,tableId,rowIndex,issue_pri,issue_sec
24,0114daa6-c048-4081-b4cf-7a9d7461fa44,25,watercourse tributary of rainbow creek erosion moderate,
25,0114daa6-c048-4081-b4cf-7a9d7461fa44,26,weed low,
26,0114daa6-c048-4081-b4cf-7a9d7461fa44,27,weed moderate,
27,0114daa6-c048-4081-b4cf-7a9d7461fa44,28,surface drainage low,
28,0114daa6-c048-4081-b4cf-7a9d7461fa44,29,wetland na,
29,0114daa6-c048-4081-b4cf-7a9d7461fa44,30,weed moderate,
30,0114daa6-c048-4081-b4cf-7a9d7461fa44,31,erosion and subsidence moderate,
31,0114daa6-c048-4081-b4cf-7a9d7461fa44,32,wetland na,
32,0114daa6-c048-4081-b4cf-7a9d7461fa44,33,wetland na,
33,0114daa6-c048-4081-b4cf-7a9d7461fa44,34,wetland weed moderate,
34,0114daa6-c048-4081-b4cf-7a9d7461fa44,35,weed low,
35,0114daa6-c048-4081-b4cf-7a9d7461fa44,36,erosion moderate,
36,0114daa6-c048-4081-b4cf-7a9d7461fa44,37,wetland,
37,0114daa6-c048-4081-b4cf-7a9d7461fa44,38,subsidence high and weed moderate,
38,0114daa6-c048-4081-b4cf-7a9d7461fa44,39,subsidence and erosion moderate,
39,0114daa6-c048-4081-b4cf-7a9d7461fa44,40,weed low,
40,0114daa6-c048-4081-b4cf-7a9d7461fa44,41,subsidence high,
41,0114daa6-c048-4081-b4cf-7a9d7461fa44,42,erosion low,
42,093f120b-9df7-480b-8ae3-2854a3b33c84,1,no issues noted,
43,093f120b-9df7-480b-8ae3-2854a3b33c84,2,approximately m north of polymoore rd noted that there was a depression on the easement the re seeded vegetation has been flooded out and died this area requires grading and or addition of topsoil to fill in the depression and then re seeded with a standard ministry of transportation mto seed mixture,
44,093f120b-9df7-480b-8ae3-2854a3b33c84,3,approximately m west of the hwy fence water was noticed bubbling out of the ground at a high spot in the topography bill taylor nova chemicals contacted other personnel at nova chemicals and this water issue was going to be investigated immediately once this issue is resolved the soil should be levelled and re seeded with a standard mto seed mixture,
45,093f120b-9df7-480b-8ae3-2854a3b33c84,4,the remainder of this area including the hill st bore pipe laydown area was graded properly and the seeded vegetation had germinated and is growing well,
46,093f120b-9df7-480b-8ae3-2854a3b33c84,5,land is graded properly and the seeded vegetation had germinated and was growing well,
47,093f120b-9df7-480b-8ae3-2854a3b33c84,6,land is graded properly and the seeded vegetation had germinated and was growing well,
48,093f120b-9df7-480b-8ae3-2854a3b33c84,7,immediately west of the gravel lane vehicle traffic has left the lane and rutted the edge of the small portion of land between the lane and the rr line this strip of land requires grading and or addition of topsoil and re seeding with a standard mto seed mixture,
49,093f120b-9df7-480b-8ae3-2854a3b33c84,8,the soil immediately west of the fibre optic connector box has depression and needs to be leveled and or addition of topsoil to fill in the depression,
50,093f120b-9df7-480b-8ae3-2854a3b33c84,9,the cultivated portion of this area both the east west and north south portions are well graded and the planted agricultural crop has germinated and appears to be growing well,
51,093f120b-9df7-480b-8ae3-2854a3b33c84,10,the cultivated portion of this area is well graded and the planted agricultural crop has germinated and appears to be growing well,
52,093f120b-9df7-480b-8ae3-2854a3b33c84,11,an area of standing water was observed in the middle of the field west of the pipeline construction area,
53,093f120b-9df7-480b-8ae3-2854a3b33c84,12,land is graded properly and the seeded vegetation had germinated and was growing well,
54,093f120b-9df7-480b-8ae3-2854a3b33c84,13,banks are suitable no erosion noted,
55,093f120b-9df7-480b-8ae3-2854a3b33c84,14,land is graded properly and the seeded vegetation had germinated and was growing well,
56,093f120b-9df7-480b-8ae3-2854a3b33c84,15,banks are suitable no erosion noted,
57,093f120b-9df7-480b-8ae3-2854a3b33c84,16,land in the st clair river sub station site was vegetated before construction this area should be re seeded with a standard mto seed mixture,
58,093f120b-9df7-480b-8ae3-2854a3b33c84,17,land north of a st is graded properly and the seeded vegetation had germinated and was growing well,
59,093f120b-9df7-480b-8ae3-2854a3b33c84,18,most of this land is graded properly but some soil ruts were observed nova chemicals should decide whether they will re grade and re seed with a standard mto seed mixture,
60,093f120b-9df7-480b-8ae3-2854a3b33c84,19,land is graded properly and the seeded vegetation had germinated and was growing well it was noted that an integrity dig was occurring north of the csx spur line at the time of line tour,
61,093f120b-9df7-480b-8ae3-2854a3b33c84,20,land is graded properly and the seeded vegetation had germinated and was growing well no remedial action is required it was noted that portions of the line along the fencing west of shell s western gate had soil ruts this was due to shell security doing perimeter tours with quads as observed by lamsar personnel since the soil damage was caused by shell remedial action is not required,
62,093f120b-9df7-480b-8ae3-2854a3b33c84,21,banks are suitable no erosion noted,
63,093f120b-9df7-480b-8ae3-2854a3b33c84,22,there is a depression in the soil at the hdd exit pit addition of topsoil levelling and reseeding with a standard mto seed mix is required the land between the enbridge valve and the union gas valve requires re grading and reseeding it appears that vehicle traffic has rutted the soil west of the nova chemicals river crossing valve this area between the two gravel lanes should be levelled and re seeded it is suggested that an orange safety fence be installed to exclude vehicle traffic until the seed has germinated and established,
64,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,1,revegetation,results of the assessment indicated that the awned wheatgrass seeded in was not successful the assessment also noted that there was no observable increase in prairie sandreed grass this location and related information will be transferred to keystone regional operations for continued engagement with the occupant and special areas board members and to create a path forward if there are continued concerns regarding the site issue resolved
65,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,2,erosion topsoil pile,assessed site in july picked and bagged russian thistle narrow leaved hawksbeard and downy brome the topsoil pile was raked and approved seed mix slender wheatgrass western wheatgrass and fultus alkali grass was broadcasted the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
66,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,3,erosion weed,site was raked to provide for good seed to soil contact the area then had an approved seed fults alkalis grass broadcast and raked in the seed was then top dressed with biotic earth and covered with a biodegradable erosion blanket the location will be passed to keystone regional operations for inclusion in operational monitoring issue resolved
67,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,4,erosion revegetation,site assessed in june area is stable with good vegetation growth minor weed presence annuals canada thistle site assessed in july canada thistle spot sprayed site assessed in september flixweed stink weed and canada thistle were present in a limited area manual weed control was conducted the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
68,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,5,erosion,stabilized area is well vegetated with native riparian grasses issue resolved
69,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,6,subsidence site contours,dig soil contours blend in from disturbed and undisturbed areas no further subsidence was observed landowner has area seeded to peas crop is consistent in color and height on and off the row minimal weed observed any weed that were visible exist on and off row landowner will manage weed during normal farming practices soil color similar on and off row no issues or work required issue resolved
70,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,7,subsidence site contours,soil contours blend in from disturbed and undisturbed areas no further subsidence was observed landowner has area seeded to lentils crop is consistent in color and height on and off the work area yellowing color on and off the row minimal weed observed any weed that were visible exist on and off row landowner will manage weed during normal farming practices soil colour similar on and off row no issues or work required issue resolved
71,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,8,subsidence site contours,soil contours blend in from disturbed and undisturbed areas no further subsidence was observed landowner has area seeded to canola crop is consistent in color and height on and off the row minimal weed observed any weed that were visible exist on and off row landowner will manage weed during normal farming practices no issues or work required issue resolved
72,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,9,subsidence site contours,soil contours blend in from disturbed and undisturbed areas no further subsidence was observed landowner has area seeded to barley crop is consistent in color and height on and off the row crop is starting to turn in various locations across the field minimal weed observed any weed that were visible exist on and off row landowner will manage weed during normal farming practices no issues or work required issue resolved
73,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,10,weed,assessed site in june weed observed comparable on offsite assessed site in september canada thistle and perennial sow thistle were spot sprayed the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
74,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,11,weed,landowner expressed concern with site site visit conducted in september canada thistle and perennial sow thistle were spot sprayed the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
75,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,12,weed,assessed site in may weed were comparable on and off site except for one patch of canada thistle canada thistle was spot sprayed in july and september the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
76,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,13,weed,assessed site in may weed were comparable on and off site assessed site in july canada thistle was spot sprayed the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
77,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,14,weed,while travelling through this quarter section to access another location it was noted that canada thistle was an issue the weed were spot sprayed in september the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
78,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,15,weed,assessed site in june weed observed comparable on offsite issue resolved
79,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,16,weed,assessed site in june weed observed comparable on offsite issue resolved
80,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,17,weed,assessed site in june weed observed comparable on offsite issue resolved
81,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,18,weed,assessed site in june weed observed comparable on offsite issue resolved
82,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,19,weed,weed observed in june were comparable on offsite except for canada thistle canada thistle was spot sprayed in july and september the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
83,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,20,weed,assessed site in june weed comparable on offsite except for canada thistle assessed in july spot sprayed canada thistle assessed site in september weed observed were comparable on offsite except for canada thistle and perennial sow thistle canada thistle observed throughout the tract one patch of sow thistle canada thistle and perennial sow thistle were spot sprayed in september the location will be passed to keystone regional operations for inclusion in operational monitoring and further weed control if required issue resolved
84,0b24b1e6-1428-446f-9122-5ba1633aff15,1,maintenance of agricultural capability a weed proliferation b reduction in quality of upper subsoil c poor grass catch on non cultivated lands d crop yield suppression on cultivated lands,
85,0b24b1e6-1428-446f-9122-5ba1633aff15,2,soil erosion a wind erosion on sandy soils b wind erosion on saline and sodic soils difficult to revegetate,
86,0b24b1e6-1428-446f-9122-5ba1633aff15,3,soil erosion cont d c water erosion on moderately steep slopes,
87,0b24b1e6-1428-446f-9122-5ba1633aff15,4,water crossings a disturbance of waterbody substrate and banks b approach slope erosion,
88,0b24b1e6-1428-446f-9122-5ba1633aff15,5,rare and endangered plants,
89,0c200808-9563-467f-b74f-2d4b73c53fc4,1,,
90,0c200808-9563-467f-b74f-2d4b73c53fc4,2,,
91,0c200808-9563-467f-b74f-2d4b73c53fc4,3,,crop growth parameters appeared equal on and off row access was limited due to adjacent construction and industrial operations soil and landscape parameters were not assessed
92,0c200808-9563-467f-b74f-2d4b73c53fc4,4,,crop growth parameters appeared equal on and off row access was limited due to adjacent construction and industrial operations soil and landscape parameters were not assessed
93,0c200808-9563-467f-b74f-2d4b73c53fc4,5,vegetation crop growth,
94,0c200808-9563-467f-b74f-2d4b73c53fc4,6,landscape contouring,
95,0c200808-9563-467f-b74f-2d4b73c53fc4,7,vegetation weed,
96,0c200808-9563-467f-b74f-2d4b73c53fc4,8,vegetation establishment,
97,0c200808-9563-467f-b74f-2d4b73c53fc4,9,vegetation weed,
98,0c200808-9563-467f-b74f-2d4b73c53fc4,10,vegetation weed,
99,0c200808-9563-467f-b74f-2d4b73c53fc4,11,vegetation crop growth,crop parameters were equal on and off row
100,0c200808-9563-467f-b74f-2d4b73c53fc4,12,vegetation weed,the row is adjacent to other utilities weed were observed to be encroaching from areas off row scentless chamomile white cockle and canada thistle were observed on and off row
101,0c200808-9563-467f-b74f-2d4b73c53fc4,13,vegetation weed,density and distribution of weed species were equal on and off the row higher densities of scentless chamomile and white cockle were observed off row
102,0c200808-9563-467f-b74f-2d4b73c53fc4,14,vegetation weed,density and distribution of weed species were equal on and off the row higher densities of scentless chamomile and white cockle were observed off row
103,0c200808-9563-467f-b74f-2d4b73c53fc4,15,vegetation crop growth,
104,0c200808-9563-467f-b74f-2d4b73c53fc4,16,vegetation crop growth,
105,0c200808-9563-467f-b74f-2d4b73c53fc4,17,vegetation unseeded,
106,0c200808-9563-467f-b74f-2d4b73c53fc4,18,landscape contouring,wetland is recovering and vegetation re establishment has improved wetland boundaries have been cultivated
107,0c200808-9563-467f-b74f-2d4b73c53fc4,19,vegetation establishment,crop parameters were equal on and off the row crop has established well along the row
108,0c200808-9563-467f-b74f-2d4b73c53fc4,20,vegetation weed,density and distribution of weed species were equal on and off the row higher densities of white cockle and canada thistle were observed off row
109,0c200808-9563-467f-b74f-2d4b73c53fc4,21,vegetation establishment,subsidence was observed at the pipeline crossing
110,0c200808-9563-467f-b74f-2d4b73c53fc4,22,vegetation weed,
111,0c200808-9563-467f-b74f-2d4b73c53fc4,23,vegetation weed,
112,0c200808-9563-467f-b74f-2d4b73c53fc4,24,soil compaction,
113,0c200808-9563-467f-b74f-2d4b73c53fc4,25,vegetation weed,no increase in weed were observed remnants of noxious weed appeared to be controlled and have died off
114,0c200808-9563-467f-b74f-2d4b73c53fc4,26,vegetation establishment,
115,0c200808-9563-467f-b74f-2d4b73c53fc4,27,vegetation weed,density and distribution of weed were equal on and off row vegetation has re established well and appropriate species were observed
116,0c200808-9563-467f-b74f-2d4b73c53fc4,28,landscape subsidence issue observed by enbridge,
117,0c200808-9563-467f-b74f-2d4b73c53fc4,29,vegetation establishment and weed,density and distribution of vegetation and weed species were equal on and off the row higher densities of white cockle perennial sow thistle scentless chamomile and canada thistle were observed off row
118,0c200808-9563-467f-b74f-2d4b73c53fc4,30,vegetation weed,density and distribution of vegetation and weed species were equal on and off the row between kp to kp there were some areas of scentless chamomile observed surrounding the newly built garage kp to kp and do not appear to be related to eth reclamation hay was cut and therefor weed were not observed between kp and kp weed observed on the row between kp to kp moderate densities of white cockle and perennial sow thistle were observed on row
119,0c200808-9563-467f-b74f-2d4b73c53fc4,31,vegetation establishment,hay was cut at the time of assessment unable to determine vegetation establishment success
120,0c200808-9563-467f-b74f-2d4b73c53fc4,32,vegetation establishment and weed,vegetation has established well on row decreased establishment in swale at kp and kp weed issue was observed in the swale at kp white cockle common tansy stinkweed and lamb s quarters were observed
121,0c200808-9563-467f-b74f-2d4b73c53fc4,33,landscape contouring,contouring issue appeared to be repaired
122,0c200808-9563-467f-b74f-2d4b73c53fc4,34,landscape subsidence,contouring issue was repaired vegetation has established well and is on a positive trajectory
123,0c200808-9563-467f-b74f-2d4b73c53fc4,35,vegetation weed,
124,0c200808-9563-467f-b74f-2d4b73c53fc4,36,vegetation weed,
125,0c200808-9563-467f-b74f-2d4b73c53fc4,37,vegetation establishment,
126,0c200808-9563-467f-b74f-2d4b73c53fc4,38,vegetation establishment,
127,0c200808-9563-467f-b74f-2d4b73c53fc4,39,vegetation weed,weed could not be thoroughly assessed due to cut hay white cockle and canada thistle were observed at the fence both on and off row the issue was resolved in july it was unclear if the weed issue was reported to have returned in
128,0c200808-9563-467f-b74f-2d4b73c53fc4,40,vegetation weed,
129,0c200808-9563-467f-b74f-2d4b73c53fc4,41,,
130,0c200808-9563-467f-b74f-2d4b73c53fc4,42,landscape contouring,
131,0c200808-9563-467f-b74f-2d4b73c53fc4,43,landscape subsidence,
132,0c200808-9563-467f-b74f-2d4b73c53fc4,44,vegetation establishment,vegetation has established well on the row vegetation within wetland area is on a positive trajectory
133,0c200808-9563-467f-b74f-2d4b73c53fc4,45,vegetation establishment,
134,0c200808-9563-467f-b74f-2d4b73c53fc4,46,vegetation weed issue observed by enbridge,wetland vegetation has established well high densities of noxious weed accumulating on the berm west of the wetland however off row
135,0c200808-9563-467f-b74f-2d4b73c53fc4,47,vegetation crop growth,vegetation has established well on the row
136,0c200808-9563-467f-b74f-2d4b73c53fc4,48,vegetation weed,weed issue observed on the row scentless chamomile white cockle canada thistle perennial sow thistle lamb s quarters and narrow leaved hawk s beard were observed at higher densities on row
137,0c200808-9563-467f-b74f-2d4b73c53fc4,49,vegetation establishment,
138,0c200808-9563-467f-b74f-2d4b73c53fc4,50,vegetation establishment,
139,0c200808-9563-467f-b74f-2d4b73c53fc4,51,vegetation weed,high densities of noxious weed were observed within the wetland
140,0c200808-9563-467f-b74f-2d4b73c53fc4,52,landscape contouring,wetland has established well contouring is not affecting wetland recovery
141,0c200808-9563-467f-b74f-2d4b73c53fc4,53,vegetation crop growth,
142,0c200808-9563-467f-b74f-2d4b73c53fc4,54,vegetation weed,high weed growth observed along the edge and within the wetland
143,0c200808-9563-467f-b74f-2d4b73c53fc4,55,vegetation establishment,
144,0c200808-9563-467f-b74f-2d4b73c53fc4,56,landscape subsidence,the borehole location at kp appears to be in a mapped wetland subsidence was not observed at the time of the assessment
145,0c200808-9563-467f-b74f-2d4b73c53fc4,57,vegetation weed,density and distribution of weed species were equal on and off row scentless chamomile was not observed at the time of assessment
146,0c200808-9563-467f-b74f-2d4b73c53fc4,58,vegetation weed,wetland has established well some impacts due to grazing
147,0c200808-9563-467f-b74f-2d4b73c53fc4,59,vegetation establishment,
148,0c200808-9563-467f-b74f-2d4b73c53fc4,60,vegetation weed,high densities of white cockle and canada thistle were observed on the row compared to off row conditions alfalfa establishment looks good
149,0c200808-9563-467f-b74f-2d4b73c53fc4,61,vegetation establishment,
150,0c200808-9563-467f-b74f-2d4b73c53fc4,62,vegetation weed,higher density of perennial sow thistle and white cockle observed on row when compared to off row between kp to kp
151,0c200808-9563-467f-b74f-2d4b73c53fc4,63,landscape subsidence,a low area was observed over the eth trench at kp to kp another low area was observed over line trench at the wetland and fence boundary at kp wetland crew assessed area and did not observe any issues or ponded water field crews spoke with landowner he indicated that an enbridge representative was visiting that week to discuss subsidence issue
152,0c200808-9563-467f-b74f-2d4b73c53fc4,64,vegetation establishment,
153,0c200808-9563-467f-b74f-2d4b73c53fc4,65,vegetation weed,patches of absinthe wormwood canada thistle and white cockle on the row most weed were distributed along line vegetation has established well
154,0c200808-9563-467f-b74f-2d4b73c53fc4,66,vegetation weed,
155,0c200808-9563-467f-b74f-2d4b73c53fc4,67,vegetation establishment,white cockle was observed in low densities on the row however high densities on adjacent enbridge row were observed vegetation has established well
156,0c200808-9563-467f-b74f-2d4b73c53fc4,68,vegetation establishment,
157,0c200808-9563-467f-b74f-2d4b73c53fc4,69,landscape erosion,
158,0c200808-9563-467f-b74f-2d4b73c53fc4,70,landscape erosion,
159,0c200808-9563-467f-b74f-2d4b73c53fc4,71,vegetation weed,higher densities of white cockle were observed on adjacent enbridge row some encroaching on eth row
160,0c200808-9563-467f-b74f-2d4b73c53fc4,72,vegetation weed,higher densities of white cockle and perennial sow thistle were observed on the row
161,0c200808-9563-467f-b74f-2d4b73c53fc4,73,vegetation establishment,
162,0c200808-9563-467f-b74f-2d4b73c53fc4,74,vegetation weed,
163,0c200808-9563-467f-b74f-2d4b73c53fc4,75,vegetation weed and establishment,high densities of white cockle and canada thistle were observed in low areas at kps and kp weed are outcompeting vegetation
164,0c200808-9563-467f-b74f-2d4b73c53fc4,76,landscape subsidence,a shallow depression was observed at kp
165,0c200808-9563-467f-b74f-2d4b73c53fc4,77,vegetation establishment,
166,0c200808-9563-467f-b74f-2d4b73c53fc4,78,vegetation weed,
167,0c200808-9563-467f-b74f-2d4b73c53fc4,79,vegetation crop growth,
168,0c200808-9563-467f-b74f-2d4b73c53fc4,80,landscape contouring,
169,0c200808-9563-467f-b74f-2d4b73c53fc4,81,landscape contouring,
170,0c200808-9563-467f-b74f-2d4b73c53fc4,82,landscape contouring,
171,0c200808-9563-467f-b74f-2d4b73c53fc4,83,vegetation weed,higher densities of white cockle and narrow leaved hawk s beard observed on row between kp to kp
172,0c200808-9563-467f-b74f-2d4b73c53fc4,84,vegetation weed,field could not be assessed due to wildlife fencing and locked gates high densities of white cockle were observed from the fence boundary
173,0c200808-9563-467f-b74f-2d4b73c53fc4,85,vegetation weed,
174,0c200808-9563-467f-b74f-2d4b73c53fc4,86,vegetation weed,high density and distribution of white cockle was observed on row
175,0c200808-9563-467f-b74f-2d4b73c53fc4,87,vegetation establishment,vegetation has established well throughout most of the tract reduced vegetation and bare soil was observed at wetland at kp to kp
176,0c200808-9563-467f-b74f-2d4b73c53fc4,88,vegetation weed,white cockle canada thistle and scentless chamomile were observed at higher densities and distributions on row between kp to kp
177,0c200808-9563-467f-b74f-2d4b73c53fc4,89,landscape subsidence contouring,subsidence was observed over the line trench at kp approx cm deep x m wide low area was observed near wetland at kp to kp confirm with landowner if this is the location area is a tree bog
178,0c200808-9563-467f-b74f-2d4b73c53fc4,90,landscape subsidence,bare soil observed subsidence observed
179,0c200808-9563-467f-b74f-2d4b73c53fc4,91,vegetation weed,
180,0c200808-9563-467f-b74f-2d4b73c53fc4,92,landscape erosion,access was not granted at the time of assessment
181,0c200808-9563-467f-b74f-2d4b73c53fc4,93,vegetation weed,access was not granted at the time of assessment
182,0c200808-9563-467f-b74f-2d4b73c53fc4,94,vegetation weed,white cockle and canada thistle were observed on row weed do not appear to be outcompeting vegetation however there are high densities of white cockle on adjacent enbridge row overall vegetation has established well
183,0c200808-9563-467f-b74f-2d4b73c53fc4,95,vegetation weed,
184,0c200808-9563-467f-b74f-2d4b73c53fc4,96,vegetation weed,high density of white cockle perennial sow thistle and canada thistle was observed on the row between kp to kp it appears that weed are spreading along the trail tracks which parallel the trench line and encroaching onto the rest of the row
185,0c200808-9563-467f-b74f-2d4b73c53fc4,97,vegetation establishment,vegetation parameters were equal on and off row vegetation has established well
186,0c200808-9563-467f-b74f-2d4b73c53fc4,98,vegetation weed,high density of white cockle perennial sow thistle and canada thistle was observed on the row between kp to kp it appears that weed are spreading along the trail tracks which parallel the trench line and encroaching onto the rest of the row
187,0c200808-9563-467f-b74f-2d4b73c53fc4,99,vegetation establishment,vegetation has established well throughout the row areas of bare soil due to tractor off road vehicle use
188,0c200808-9563-467f-b74f-2d4b73c53fc4,100,landscape contouring,low areas with bare soil appear to be a potential contouring issue at kp and kp
189,0c200808-9563-467f-b74f-2d4b73c53fc4,101,landscape rutting,
190,0c200808-9563-467f-b74f-2d4b73c53fc4,102,vegetation weed and establishment,wetland vegetation appeared to be established and wetland issue is resolved at kp noxious weed in wetland at kp vegetation is still recovering in this wetland some bare soil still likely exacerbated by grazing pressure canada thistle was observed at higher densities on remaining row weed do not appear to be outcompeting vegetation
191,0c200808-9563-467f-b74f-2d4b73c53fc4,103,vegetation weed,
192,0c200808-9563-467f-b74f-2d4b73c53fc4,104,vegetation establishment,
193,0c200808-9563-467f-b74f-2d4b73c53fc4,105,landscape subsidence,
194,0c200808-9563-467f-b74f-2d4b73c53fc4,106,landscape subsidence,
195,0c200808-9563-467f-b74f-2d4b73c53fc4,107,vegetation weed and establishment,poor vegetation establishment was observed at kp to kp higher densities of canada thistle were observed to be outcompeting vegetation a large patch of canada thistle was observed at kp
196,0c200808-9563-467f-b74f-2d4b73c53fc4,108,vegetation establishment,vegetation is establishing well however less dense than off row recently sprayed for broadleaf weed which has impaired alfalfa
197,0c200808-9563-467f-b74f-2d4b73c53fc4,109,vegetation weed,higher densities of white cockle common tansy canada thistle and narrow leaved hawk s beard were observed on the row weed were recently sprayed
198,0c200808-9563-467f-b74f-2d4b73c53fc4,110,soil compaction,
199,0c200808-9563-467f-b74f-2d4b73c53fc4,111,vegetation weed,lamb s quarters canada thistle and stinkweed white cockle and scentless chamomile were also observed at higher densities on row weed appeared to be outcompeting recently seeded vegetation however weed were sprayed
200,0c200808-9563-467f-b74f-2d4b73c53fc4,112,vegetation establishment,weed appeared to be outcompeting recently seeded vegetation
201,0c200808-9563-467f-b74f-2d4b73c53fc4,113,vegetation establishment,vegetation parameters were equal on and off row vegetation has established very well
202,0c200808-9563-467f-b74f-2d4b73c53fc4,114,vegetation weed,white cockle was observed on and off row however higher densities were reported on row
203,0c200808-9563-467f-b74f-2d4b73c53fc4,115,vegetation establishment,vegetation parameters were equal on and off row vegetation has established very well
204,0c200808-9563-467f-b74f-2d4b73c53fc4,116,vegetation weed,white cockle scentless chamomile canada thistle and narrow leaved hawk s beard were observed at higher densities on the row
205,0c200808-9563-467f-b74f-2d4b73c53fc4,117,vegetation weed,
206,0c200808-9563-467f-b74f-2d4b73c53fc4,118,landscape subsidence,minor subsidence issue was observed at kp along fence line subsidence was not observed at kp to kp
207,0c200808-9563-467f-b74f-2d4b73c53fc4,119,vegetation weed,white cockle lamb s quarters and stinkweed were observed at higher densities on the row scentless chamomile was observed and picked at the time of assessment excellent vegetation establishment was observed
208,0c200808-9563-467f-b74f-2d4b73c53fc4,120,vegetation crop growth,
209,0c200808-9563-467f-b74f-2d4b73c53fc4,121,landscape subsidence,subsidence approximately cm deep was observed in areas along the row between kp to kp
210,0c200808-9563-467f-b74f-2d4b73c53fc4,122,landscape subsidence,subsidence was repaired
211,0c200808-9563-467f-b74f-2d4b73c53fc4,123,landscape subsidence,subsidence was repaired
212,0c200808-9563-467f-b74f-2d4b73c53fc4,124,vegetation establishment,reduced crop growth was observed on the row likely due to recent repair work no soil issues were observed
213,0c200808-9563-467f-b74f-2d4b73c53fc4,125,landscape subsidence,subsidence was not observed on row crop is at the same growth stage
214,0c200808-9563-467f-b74f-2d4b73c53fc4,126,landscape contouring,
215,0c200808-9563-467f-b74f-2d4b73c53fc4,127,vegetation crop growth,reduced crop growth and patches of bare soil were observed on the row reduced crop growth is likely due to recent disturbance and repair work no soil issues were observed
216,0c200808-9563-467f-b74f-2d4b73c53fc4,128,landscape contouring,
217,0c200808-9563-467f-b74f-2d4b73c53fc4,129,soil topsoil depth,
218,0c200808-9563-467f-b74f-2d4b73c53fc4,130,vegetation establishment,crop parameters were equal on and off the row
