,0,1
135,2013 issue,2
136,2013 note,2
137,2013 ch2 m recommendation,2
138,2014 ch2m / pembina observation and recommendation,2
139,2015 ch2 m observation and comment,2
140,issue and mitigative measure to be implement,2
141,recommendations/ schedule for 2013,2
142,mean cover (%),2
143,tract,2
144,land    use,2
145,2012 pcmp recommendation,2
146,"kp1,2",2
147,2nd year (2013) pcrm assessment and work complete,2
148,3rd year (2014) pcrm assessment and work complete,2
149,4th year (2015) pcrm assessment and work complete,2
150,locations (kl/kp),2
151,implement or recommend measure to resolve issue,2
152,tera observation in 2010,2
153,tera observation in 2011,2
154,repair to date (2010to2013),2
155,description,2
156,mitigative measure take,2
157,additional post - construction measure,2
158,mitigative measure implement during construction,2
159,outstanding issue from as - build report,2
160,"amec pcem observation , 2015",2
161,"amec fw observation , 2016",2
162,1st year (2015) issue,2
163,3rd year (2017) pcrm assessment and work complete,2
164,legal location (wpm),2
165,schedule,2
166,enbridge environmental inspector observation in 2012,2
167,recommendation from first year pcmp report,2
168,may 2013 pcrm assessment and recommendation,2
169,pcrm work complete,2
170,alignment sheet #,2
171,"amec pcem observation , 2013",2
172,"amec pcem observation , 2014",2
173,status (resolved/unresolved),2
174,recommend mitigation measure to resolve issue and schedule,2
175,mitigative measure and observation in 2007,2
176,september 2012 pcrm assessment,2
177,parcel location,2
178,march 2012,2
179,december 2012,2
180,status2,2
181,propose measure for 2002,2
182,quarter section,2
183,"kilometre post1,2",2
184,recommendations/ schedule,2
185,condition / issue observe (rating),2
186,"kp 1,2",1
187,condition / issue note,1
188,specific location,1
189,propose restoration,1
190,status 2010,1
191,status 2011,1
192,status 2012,1
193,status 2013,1
194,status 2014,1
195,status 2017,1
196,tract (eeh),1
197,start kp,1
198,end kp,1
199,kp of issue,1
200,utm of issue,1
201,environmental issue observe,1
202,2016 ch2 m observations/ comment,1
203,2016 statusa,1
204,2016 landowner consultation/ comments/ repair work complete by enbridge,1
205,recommendations/ note,1
206,2017 ch2 m observations/ comment,1
207,2017 landowner consultation/ comments/ repair work complete by enbridge,1
208,2017 statusa,1
209,2017 recommendations/ note,1
210,2018 landowner consultation/ comments/ repair work complete by enbridge / assessment require by ch2 m,1
211,2018 jacobs observations/ comment,1
212,2018 statusa,1
213,2018 recommendations/ note,1
214,2013 rare plant assessment and recommendation,1
215,2013 pcrm assessment and recommendation,1
216,condition,1
217,pipeline(a),1
218,third year pcem recommendation,1
219,westcoast observation in 2012,1
220,outstanding vegetation issue,1
221,past issue,1
222,december 2015 detailsstatus / action plan,1
223,december 2016 status & update,1
224,repair work,1
225,recommendation / action plan,1
226,2014 status of landowner issue and concern,1
227,2015 status of landowner issue and concern,1
228,2015 ch2 m recommendation,1
229,2017 status of landowner issue and concern,1
230,2017 ch2 m observation and comment,1
231,2017 ch2 m recommendation,1
232,shrub cover (%groundcover) on row,1
233,shrub cover (%groundcover) off row,1
234,herb cover (%groundcover) on row,1
235,herb cover (%groundcover) off row,1
236,moss cover (%groundcover) on row,1
237,moss cover (%groundcover) off row,1
238,station / terminal,1
239,mitigation,1
240,issue resolve or unresolved,1
241,note - 2013,1
242,note - 2015,1
243,dominant specie in reference plot,1
244,dominant specie in disturb plot,1
245,1st year (2013) issue/ condition,1
246,"kp (a) , (b)",1
247,tera observation in 2014,1
248,repair to date (2010to2014),1
249,health,1
250,quarter    section,1
251,land    -PRON- d,1
252,2014    issue,1
253,2015    issue,1
254,2016    issue,1
255,2016    recommendation,1
256,2017    issue,1
257,2017    recommendation,1
258,2018    issue,1
259,2018    recommendation,1
260,recommendation    rationale,1
261,year    5    pcem    status,1
262,specific element/ location,1
263,information / comment,1
264,propose action & schedule,1
265,propose measure for 20022,1
266,condition/ issue observe (rating),1
267,1st year (2012) issue,1
268,* mitigative measure and observation in 2010,1
269,mitigative measure and observation in 2011,1
270,1st year (2012) pcm assessment,1
271,5th year (2016) pcrm assessment and work complete,1
272,legal    location (w6m),1
273,soil    issue,1
274,past    observation / comment,1
275,repair    work    complete,1
276,2017    observation / comment,1
277,transect number,1
278,2011 post - construction observation and/or monitoring,1
279,issue resolution status at end of 2011,1
280,condition / issue,1
281,post - construction restoration measure propose,1
282,wetland number,1
283,total wetland area (ha),1
284,wetland area within corridor & twa before disturbance 2008 (ha),1
285,restore wetland area within corridor & twa after disturbance 2010 (ha),1
286,restore wetland area gain or loss (ha),1
287,permanent wetland alteration (ha),1
288,map site #,1
289,date,1
290,item description,1
291,project area/ timeframe,1
292,status year 1 (2010),1
293,status year 2 (2011),1
294,status year 3 (2012),1
295,status year 4 (2013),1
296,status year 5 (2014),1
297,status(resolved/unresolved),1
298,recommend mitigation measure toresolve issue and schedule,1
299,2012 monitoring and remediation work complete,1
300,recommendation / schedule,1
301,enbridge environmental inspector observation in 2011/2012,1
302,2nd year (2014) pcm assessment,1
303,2015 pcm assessment,1
304,tera * mitigative measure and observation in 2010,1
305,tera mitigative measure and observation in 2011,1
306,westcoast mitigative measure and observation in 2012,1
307,kpk,1
308,% herb cover upland,1
309,% herb cover lowland,1
310,% shrub cover upland,1
311,% shrub cover lowland,1
312,% moss cover upland,1
313,% moss cover lowland,1
314,% litter cover upland,1
315,% litter cover lowland,1
316,tera environmental consultant observation in 2010,1
317,tera environmental consultant observation in 2011,1
318,tera environmental consultant observation in 2012,1
319,tera environmental consultant observation in 2013,1
320,"repair to date (2010,2011,2012,2013)",1
321,discipline (fieldplanning),1
322,"amec fw observation , 2017",1
323,"wood observation , 2018",1
324,locations (kl),1
325,2009 post construction mitigation and/or monitoring,1
326,issue resolution status at end of 2009 post - construction monitoring,1
327,"2010 propose post - construction monitoring , mitigation and consultation",1
328,outstanding watercourse issue,1
329,"enbridge environmental inspector (ei) observation , 2013",1
330,"enbridge environmental inspector (ei) observation , 2014",1
331,propose post - constructionmeasure,1
332,location legal location (wpm),1
333,location construction start kp,1
334,location construction end kp,1
335,location environment start kp,1
336,location environment end kp,1
337,land use/ environmental feature,1
338,construction kp of issue,1
339,environment kp of issue,1
340,utm of issue (14u),1
341,issue observe,1
342,repair work complete by enbridge,1
343,recommendation / note,1
344,2013 status,1
345,december 2015 details**current status / action plan,1
346,wetland class1,1
347,comment / issue,1
348,pipeline extension location (kp),1
349,mitigation measure implement during construction,1
350,outstanding issuess from as - build report,1
351,issue observe 2010,1
352,legal location (w4),1
353,mean cover of plant growth form (%) forbs,1
354,mean cover of plant growth form (%) graminoid,1
355,mean cover of plant growth form (%) lichen,1
356,mean cover of plant growth form (%) moss,1
357,mean cover of plant growth form (%) shrub,1
358,mean cover of plant growth form (%) tree,1
359,total vegetation cover (%),1
360,recommendation / schedule for 2015,1
361,2012 post - construction observation and/or monitoring,1
362,issue resolution status at end of 2012,1
363,may 2012 pcrm assessment,1
364,2013 pcrm assessment,1
365,mean proportion of specie richness compose of exotic specie (%),1
366,mean total cover of exotic specie (%),1
367,length (m),1
368,width (m),1
369,observation 2010 assessment,1
370,observation 2011 assessment,1
371,observation 2012 assessment¹,1
372,observation 2013 assessment,1
373,observation 2014 assessment¹,1
374,observation 2015 assessment,1
375,observation 2016 assessment,1
376,% herb cover off row,1
377,% herb cover on row – work side,1
378,% herb cover on row – spoil side,1
379,% shrub cover off row,1
380,% shrub cover on row – work side,1
381,% shrub cover on row – spoil side,1
382,% moss cover off row,1
383,% moss cover on row – work side,1
384,% moss cover on row – spoil side,1
385,% litter cover off row,1
386,% litter cover on row – work side,1
387,% litter cover on row – spoil side,1
388,spread,1
389,issues1,1
390,repair complete yr . 1 (2014),1
391,monitor / repair yr . 2 (2015),1
392,monitor yr . 3,1
393,khe land -PRON- d,1
394,year 1 issue,1
395,repair year 1,1
396,year 2 issue,1
397,repair year 2,1
398,year 3 issue,1
399,repair year 3,1
400,year 3 current recommendation,1
401,year 3 rationale,1
402,year 3 pcem status,1
403,utm,1
404,site name identifier,1
405,july 2018 observation,1
406,recommendations/ corrective action,1
407,report photo #,1
408,legal land description (w6m) and kilometer post (kp),1
409,2011 issue identify,1
410,issue identify in 2012 monitoring,1
411,location (parcel),1
412,"legal location (94b1) , kp range",1
413,legal    location,1
414,sample point,1
415,lat / long utm,1
416,land use / feature,1
417,issue    observe,1
418,status of landowner issue and concern 2014,1
419,status of landowner issue and concern - 2015,1
420,2015 recommendation,1
421,outstanding vegetation issue 2nd pcmp (2010),1
422,issue/ condition,1
423,kph,1
424,may 2013 pcrm assessment,1
425,july 2013 pcrm assessment,1
426,soil issue 2nd year pcmp (2010),1
427,outstanding issue 2nd pcmp (2010),1
428,issue identify during previous pcem program,1
429,previous recommendation,1
430,note and recommendation (2016),1
431,kpc,1
432,recommendation / schedule for 2017,1
433,propose post construction measure,1
434,legal land description (w4),1
435,note from year 4 pcem report,1
436,2016 status,1
