tableId,rowIndex,rowCounter,status_bin,status_txt,status,unresolved_prob,resolved_prob,status_code,Id,predicted_prob,predicted_status_code,predicted_status_label
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,2,,,"• Assessed site in July.  Picked and bagged Russian thistle, narrow-leaved hawksbeard and downy brome.  • The topsoil pile was raked and approved seed mix (50% Slender wheatgrass, 30% western wheatgrass and 20% Fultus alkali grass) was broadcasted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.18242896,0.8175710999999999,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,3,,,• Site was raked to provide for good seed to soil contact. The area then had an approved seed (Fults alkalis grass) broadcast and raked in. The seed was then top-dressed with Biotic Earth and covered with a biodegradable erosion blanket.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring.  • Issue resolved,Resolved,0.027574694,0.9724253,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,4,,,"• Site assessed in June.  Area is stable with good vegetation growth.  Minor weed presence (annuals, Canada thistle).  • Site assessed in July.  Canada thistle spot sprayed. • Site assessed in September.  Flixweed, stink weed and Canada thistle were present in a limited area. Manual weed control was conducted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.046143672999999996,0.9538563,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,5,,,• Stabilized area is well vegetated with native riparian grasses.  • Issue resolved,Resolved,0.030851446,0.9691485999999999,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,6,,,Dig 52  •  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to peas. Crop is consistent in color and height on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  Soil color similar on and off RoW. •  No issues or work required. • Issue resolved.,Resolved,0.0032259389,0.9967739999999999,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,7,,,•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed.  • Landowner has area seeded to lentils. Crop is consistent in color and height on and off the work area. Yellowing color on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  Soil colour similar on and off RoW. •  No issues or work required. • Issue resolved.,Resolved,0.004379106,0.9956209,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,8,,,•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to canola. Crop is consistent in color and height on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  No issues or work required. • Issue resolved.,Resolved,0.0033235184000000003,0.99667645,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,9,,,•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to barley. Crop is consistent in color and height on and off the RoW. Crop is starting to turn in various locations across the field. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  No issues or work required. • Issue resolved.,Resolved,0.0024290266,0.99757093,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,10,,,"•  Assessed site in June.  Weeds observed comparable on/offsite •  Assessed site in September.  Canada thistle and perennial sow thistle were spot sprayed.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.042979337,0.9570207000000001,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,11,,,"• Landowner expressed concern with site. •  Site visit conducted in September; Canada thistle and perennial sow thistle were spot sprayed.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.053351797,0.94664824,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,12,,,"•  Assessed site in May.  Weeds were comparable on and off-site, except for one patch of Canada thistle. •  Canada thistle was spot sprayed in July and September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.026724527,0.9732755,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,13,,,"•  Assessed site in May.  Weeds were comparable on and off-site. •  Assessed site in July.  Canada thistle was spot sprayed. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.05267479,0.94732517,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,14,,,"•  While travelling through this quarter section to access another location, it was noted that Canada thistle was an issue.  The weeds were spot sprayed in September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.012950498000000001,0.9870495000000001,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,15,,,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,Resolved,0.2965067,0.7034933000000001,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,16,,,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,Resolved,0.2993832,0.7006168,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,17,,,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,Resolved,0.3198322,0.6801678000000001,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,18,,,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,Resolved,0.31638002,0.68362,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,19,,,"•  Weeds observed in June were comparable on/offsite, except for Canada thistle. •  Canada thistle was spot sprayed in July and September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.017773682,0.9822264,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,20,,,"•  Assessed site in June.  Weeds comparable on/offsite except for Canada thistle. •  Assessed in July; spot sprayed Canada thistle. •  Assessed site in September.  Weeds observed were comparable on/offsite, except for Canada thistle and perennial sow thistle.  Canada thistle observed throughout the tract; one patch of sow thistle.   Canada thistle and perennial sow thistle were spot sprayed in September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",Resolved,0.04922043,0.95077956,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,1,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98684317,0.013156785,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,2,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98760194,0.012398053000000001,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,3,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98783034,0.01216965,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,5,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9919139000000001,0.008086123,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,6,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.99201316,0.007986861,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,7,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9882620999999999,0.011737932,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,8,,,• WC-22 - Silt fence to be removed Monitor in 2014 – see 2013 recommendation,Unresolved,0.99296206,0.0070379386,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,9,,,• WC-023 (7+100) - Silt fence to be removed Monitor in 2014 - see 2013 Recommendation,Unresolved,0.99249333,0.007506708000000001,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,10,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9913550999999999,0.008644949,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,12,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9925754999999999,0.00742454,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,13,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9930971,0.006902869,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,14,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9912895,0.008710471,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,15,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9866523000000001,0.013347632,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,16,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9936366,0.0063634403,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,17,,,• 9+900 - Scentless chamomile on Suncor access road crossing our pipeline and then down following Enbridge RoW Monitor in 2014 - see 2013 Recommendation,Unresolved,0.99036074,0.0096392315,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,18,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.99094933,0.009050675,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,19,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9905889999999999,0.009410938,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,20,,,"• 11+200 silt fence to be removed (WC31) • Good creek crossing reclamation, stakes and netting remain intact, with positive re-vegetation and the water in the creek is clear",Resolved,0.033686765,0.96631324,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,21,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9894985000000001,0.01050155,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,22,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98896503,0.011034983,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,23,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9922767,0.00772333,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,24,,,"• 13+800 - Erosion crossing TCPL RoW - IPF pipeline to the West being repaired at time of assessment (Randy Rusnak IPF 780-799-3438) • Silt fence to be removed at next creek North (WC 36) Nov 14-15 • KP 13+280 – 13+845 (SW 9-96-7 W4) • Crew mobilized to make temporary repairs to erosion, originating on foreign line to the east. • Rill on TCPL RoW is 30 – 45 cm in depth • Rill was filled with rip rap (rock collected in vicinity) and area to the east of TCPL roach was covered with erosion control fabric in an effort to limit further erosion.  These are temporary repairs until foreign line makes repairs to the source of the erosion to the east of the TCPL line. • Assess in 2014 to determine the status of the erosion source on the foreign line and make repairs to TCPL as required.",Resolved,0.05891747,0.9410825,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,25,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9839303,0.016069753,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,26,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9916937,0.00830632,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,27,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98771566,0.0122843655,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,28,,,• 15+700 - signs and posts fallen over at Muskeg R (WC 38) Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9895265999999999,0.010473345,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,29,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98480517,0.015194859,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,30,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9889324,0.01106757,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,31,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98726153,0.012738471000000001,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,32,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.98561525,0.014384728999999999,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,33,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9929609,0.0070391167000000004,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,34,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9901968000000001,0.009803211,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,35,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9901901,0.009809963,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,36,,,• 18+900 - New road installed across RoW - needs signs and marker posts Monitor in 2014 - see 2013 Recommendation,Unresolved,0.99162525,0.008374729000000001,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,38,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9894482,0.010551805,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,39,,,Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9902700000000001,0.009729965,,,,,
0d75bd13-0369-4508-909c-cfd26ee08def,40,,,• 21+900 - Posts down on South side of creek • Minimal growth on RoW from KP 21 - 23 (mostly inside plant site) Monitor in 2014 - see 2013 Recommendation,Unresolved,0.9891263000000001,0.010873665,,,,,
1a015685-b171-4200-81f5-61a4886e1918,1,,,"June 15, 2017 - 80-100% vegetation establishment, meeting adjacent land use capability. - Perennial sow thistle was identified south of the valve site near the road crossing. - KP 0+000 to 0+090 – ox eye daisy and tall buttercup identified, recommend herbicide application. June 26, 2017 – Intermittent herbicide application conducted to control Ox-Eye Daisy, Tall Buttercup, and perennial sow thistle. Sept 1, 2017 - No Noxious weeds identified, issue resolved.",Resolved,0.25810483,0.74189514,,,,,
1a015685-b171-4200-81f5-61a4886e1918,2,,,"June 15, 2017 - 80-100% vegetation establishment, meeting adjacent land use capability. - KP 0+090 to 0+720 – ox eye daisy and tall buttercup was identified, recommend herbicide application. - Slopes and diversion berms are stable and continue to establish vegetative cover. - Tall buttercup was identified along the access trail to the HDD pad. June 26, 2017 – Intermittent herbicide application conducted to control Ox-Eye Daisy and Tall Buttercup. Sept 1, 2017 – KP 0+150 to 0+900 - Intermittent herbicide application conducted to control ox-eye daisy, Canada thistle, and perennial sow thistle.",Resolved,0.37902644,0.6209735,,,,,
1a015685-b171-4200-81f5-61a4886e1918,6,,,"June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. - 50m of silt fence was removed from right of way at KP 1+610, issue resolved. Sept 1, 2017 – Intermittent herbicide application to control ox-eye daisy. Adjacent access road to the south of the right of way may be influencing the presence of weeds.",Resolved,0.12517942,0.8748206000000001,,,,,
1a015685-b171-4200-81f5-61a4886e1918,7,,,"June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. - 20m of silt fence was removed from the north side of the right of way at KP 1+825. Issue resolved. Sept 1, 2017 – KP 2+000 to 2+900 - Intermittent herbicide application conducted to control ox-eye daisy, Canada thistle, tall buttercup, and perennial sow thistle. The weeds on the right of way from KP 2+000 to 2+100 are consistent with conditions off right of way on an adjacent foreign lease. Issue resolved.",Resolved,0.15327956,0.8467203999999999,,,,,
1a015685-b171-4200-81f5-61a4886e1918,8,,,"June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. Sept 1, 2017 - Intermittent herbicide application conducted to control ox-eye daisy and perennial sow thistle. Adjacent access road to the south of the right of way may be influencing the presence of weeds.",Resolved,0.09888248,0.90111756,,,,,
1a015685-b171-4200-81f5-61a4886e1918,9,,,"June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. Sept 1, 2017 - Intermittent herbicide application conducted to control ox-eye daisy. Adjacent access road to the south of the right of way may be influencing the presence of weeds.",Resolved,0.15069407,0.8493059000000001,,,,,
1e4f52c7-8b32-41c1-ab4b-42a087cf2e14,1,,,Inspect during the growing season and handpull.,Unresolved,0.86067873,0.13932122,,,,,
1e4f52c7-8b32-41c1-ab4b-42a087cf2e14,2,,,Seed with an appropriate seed mix and restrict access until vegetation  re-establishes.,Unresolved,0.8499745999999999,0.15002544,,,,,
1e4f52c7-8b32-41c1-ab4b-42a087cf2e14,3,,,Inspect during the growing season and apply targeted herbicides.,Unresolved,0.98160523,0.0183947,,,,,
1e4f52c7-8b32-41c1-ab4b-42a087cf2e14,4,,,Seed with an approved seed mixture.,Resolved,0.34692875,0.6530712,,,,,
1e4f52c7-8b32-41c1-ab4b-42a087cf2e14,5,,,Collect and burn or haul away woody debris when appropriate.,Unresolved,0.97326285,0.02673717,,,,,
1e4f52c7-8b32-41c1-ab4b-42a087cf2e14,6,,,Seed with an approved seed mixture. Collect and burn or haul away woody debris when appropriate.,Unresolved,0.97795355,0.022046383,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,1,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.19832879999999997,0.80167127,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,2,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.13583459,0.86416537,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,3,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.16084354,0.83915645,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,4,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.17642660000000002,0.82357335,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,5,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.18514213,0.81485784,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,6,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.18159413,0.81840587,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,7,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.15954898,0.8404510000000001,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,8,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.16814867,0.8318513000000001,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,9,,,Normal Pipeline Monitoring as Native Vegetation re-establishes,Resolved,0.149339,0.8506610000000001,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,10,,,"Handpicked and Herbicide applied following assessment, normal Pipeline Monitoring as Native Vegetation re-establishes",Resolved,0.21488629999999997,0.7851137,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,11,,,Remove Pile. Winter 2017/18,Unresolved,0.9308973,0.06910271,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,12,,,Normal Pipeline Monitoring,Resolved,0.084893845,0.9151062,,,,,
1fcfd2e1-21e1-4eaa-bc61-1eb2d96bca31,13,,,Normal Pipeline Monitoring,Resolved,0.082942806,0.91705716,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,1,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.015996115,0.98400384,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,2,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.0153549155,0.98464507,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,3,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.013661523,0.98633856,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,4,,,Herbicide application occurred; monitor and apply treatment in 2017 as needed,Unresolved,0.9869278,0.013072143999999999,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,5,,,Herbicide application occurred; monitor and apply treatment in 2017 as needed,Unresolved,0.99157095,0.008429091,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,6,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.019219353999999998,0.98078066,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,7,,,The 2016 aerial assessment has confirmed that the      environmental observation is stabilizing. Ongoing       monitoring is recommended with rehabilitation if          there is the potential to impact the pipeline or  surrounding area,Resolved,0.017999887,0.98200005,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,8,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.017132071999999998,0.98286796,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,9,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.019348625,0.98065144,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,10,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.014608128,0.9853919,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,11,,,Herbicide application occurred; monitor and apply         treatment in 2017 as needed,Unresolved,0.99005425,0.009945701999999999,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,12,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.017581068000000002,0.98241895,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,13,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.020216733,0.97978324,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,14,,,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.014883275,0.9851167,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,15,,,Herbicide application occurred; monitor and apply         treatment in 2017 as needed,Unresolved,0.9877208000000001,0.0122791715,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,16,,,The 2016 aerial assessment has confirmed that the  environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,Resolved,0.018657599,0.9813424000000001,,,,,
28a99f2e-ae44-4421-80a1-d9c556f2b4ac,17,,,Herbicide application occurred; monitor and apply treatment in 2017 as needed,Unresolved,0.9878418,0.012158246999999999,,,,,
