tableId,rowIndex,rowCounter,status_txt,predicted_prob,predicted_status_code,predicted_status_label,unresolved_probability,resolved_probability
02db9f91-572a-44af-9858-4add101353c1,2,7,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",[0.8701547  0.12984532],0,Unresolved,0.8701547,0.12984532
02db9f91-572a-44af-9858-4add101353c1,2,8,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter.",[0.6946381  0.30536196],0,Unresolved,0.6946381,0.30536196
02db9f91-572a-44af-9858-4add101353c1,2,9,"July 13, 2016   - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved.",[0.420007 0.579993],1,Resolved,0.420007,0.579993
02db9f91-572a-44af-9858-4add101353c1,2,10,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7189559  0.28104416],0,Unresolved,0.7189559,0.28104416
02db9f91-572a-44af-9858-4add101353c1,2,11,"Sept 17, 2016  - Installed TC sign and marker posts at KP 0+040.",[0.9221459  0.07785407],0,Unresolved,0.9221459,0.07785407
02db9f91-572a-44af-9858-4add101353c1,2,12,"Sept 17, 2016  - Re-installed marker posts at KP 0+300, issue resolved.",[0.9755853  0.02441478],0,Unresolved,0.9755853,0.02441478
02db9f91-572a-44af-9858-4add101353c1,2,13,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.9030452  0.09695487],0,Unresolved,0.9030452,0.09695487
02db9f91-572a-44af-9858-4add101353c1,3,1,.,[0.02456743 0.9754326 ],1,Resolved,0.02456743,0.9754326
02db9f91-572a-44af-9858-4add101353c1,4,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015.",[0.11240491 0.8875951 ],1,Resolved,0.112404905,0.8875951
02db9f91-572a-44af-9858-4add101353c1,4,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",[0.00934543 0.9906545 ],1,Resolved,0.009345426,0.9906545
02db9f91-572a-44af-9858-4add101353c1,5,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9794453  0.02055475],0,Unresolved,0.9794453,0.020554747
02db9f91-572a-44af-9858-4add101353c1,5,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.14994289 0.85005707],1,Resolved,0.14994289,0.85005707
02db9f91-572a-44af-9858-4add101353c1,5,3,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.666468   0.33353198],0,Unresolved,0.666468,0.33353198
02db9f91-572a-44af-9858-4add101353c1,5,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",[0.73920625 0.26079378],0,Unresolved,0.73920625,0.26079378
02db9f91-572a-44af-9858-4add101353c1,5,5,"July 13, 2016  - No erosion or subsidence issues.",[0.24275278 0.7572472 ],1,Resolved,0.24275278,0.7572472
02db9f91-572a-44af-9858-4add101353c1,5,6,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",[0.8999449  0.10005511],0,Unresolved,0.8999449,0.10005511
02db9f91-572a-44af-9858-4add101353c1,5,7,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter.",[0.7304237  0.26957625],0,Unresolved,0.7304237,0.26957625
02db9f91-572a-44af-9858-4add101353c1,5,8,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.76044255 0.23955749],0,Unresolved,0.76044255,0.23955749
02db9f91-572a-44af-9858-4add101353c1,5,9,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.91062766 0.08937235],0,Unresolved,0.91062766,0.08937235
02db9f91-572a-44af-9858-4add101353c1,6,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9763323  0.02366769],0,Unresolved,0.9763323,0.02366769
02db9f91-572a-44af-9858-4add101353c1,6,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.1249122  0.87508774],1,Resolved,0.1249122,0.87508774
02db9f91-572a-44af-9858-4add101353c1,6,3,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.64634275 0.35365725],0,Unresolved,0.64634275,0.35365725
02db9f91-572a-44af-9858-4add101353c1,6,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",[0.72317463 0.27682537],0,Unresolved,0.72317463,0.27682537
02db9f91-572a-44af-9858-4add101353c1,6,5,"July 13, 2016  - No erosion or subsidence issues.",[0.21490914 0.78509086],1,Resolved,0.21490914,0.78509086
02db9f91-572a-44af-9858-4add101353c1,6,6,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",[0.8282328 0.1717672],0,Unresolved,0.8282328,0.1717672
02db9f91-572a-44af-9858-4add101353c1,6,7,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issue resolved.",[0.11535143 0.8846486 ],1,Resolved,0.11535143,0.8846486
02db9f91-572a-44af-9858-4add101353c1,6,8,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.72955626 0.27044374],0,Unresolved,0.72955626,0.27044374
02db9f91-572a-44af-9858-4add101353c1,6,9,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.9344048  0.06559519],0,Unresolved,0.9344048,0.06559519
02db9f91-572a-44af-9858-4add101353c1,7,1,"July 13, 2016 - Watercourse is dammed up down-stream. Riparian area is stable.",[0.0935799 0.9064201],1,Resolved,0.0935799,0.9064201
02db9f91-572a-44af-9858-4add101353c1,7,2,"July 13, 2016  - No erosion or subsidence issues.",[0.24849239 0.7515076 ],1,Resolved,0.24849239,0.7515076
02db9f91-572a-44af-9858-4add101353c1,7,3,"July 13, 2016  - marker posts required for WC1 Sept 17, 2016 - Replaced marker posts at KP 0+900 and 1+000, west and east sides of watercourse crossing. Issue resolved.",[0.5637504  0.43624964],0,Unresolved,0.5637504,0.43624964
02db9f91-572a-44af-9858-4add101353c1,8,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. Limited vegetation issue noted in 2015 (KP 1+050 to 1+280), issue resolved.",[0.09101029 0.9089897 ],1,Resolved,0.091010295,0.9089897
02db9f91-572a-44af-9858-4add101353c1,8,2,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.6878462  0.31215382],0,Unresolved,0.6878462,0.31215382
02db9f91-572a-44af-9858-4add101353c1,8,3,"July 13, 2016   - No erosion or subsidence issues.",[0.24452482 0.75547516],1,Resolved,0.24452482,0.75547516
02db9f91-572a-44af-9858-4add101353c1,8,4,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",[0.81535137 0.18464863],0,Unresolved,0.81535137,0.18464863
02db9f91-572a-44af-9858-4add101353c1,8,5,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issue resolved.",[0.11710051 0.88289946],1,Resolved,0.11710051,0.88289946
02db9f91-572a-44af-9858-4add101353c1,8,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.74856365 0.25143632],0,Unresolved,0.74856365,0.25143632
02db9f91-572a-44af-9858-4add101353c1,8,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.89157575 0.10842428],0,Unresolved,0.89157575,0.108424276
02db9f91-572a-44af-9858-4add101353c1,9,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015.",[0.11041168 0.8895883 ],1,Resolved,0.11041168,0.8895883
02db9f91-572a-44af-9858-4add101353c1,9,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",[0.00934868 0.99065125],1,Resolved,0.009348684,0.99065125
02db9f91-572a-44af-9858-4add101353c1,10,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.12271583 0.87728417],1,Resolved,0.12271583,0.87728417
02db9f91-572a-44af-9858-4add101353c1,10,2,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.7256505  0.27434948],0,Unresolved,0.7256505,0.27434948
02db9f91-572a-44af-9858-4add101353c1,10,3,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",[0.71441406 0.28558597],0,Unresolved,0.71441406,0.28558597
02db9f91-572a-44af-9858-4add101353c1,10,4,"July 13, 2016  - No erosion or subsidence issues.",[0.21903273 0.78096724],1,Resolved,0.21903273,0.78096724
02db9f91-572a-44af-9858-4add101353c1,10,5,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",[0.8416553  0.15834469],0,Unresolved,0.8416553,0.15834469
02db9f91-572a-44af-9858-4add101353c1,10,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved.",[0.14594793 0.85405207],1,Resolved,0.14594793,0.85405207
02db9f91-572a-44af-9858-4add101353c1,10,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.751258   0.24874197],0,Unresolved,0.751258,0.24874197
02db9f91-572a-44af-9858-4add101353c1,10,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.9193529  0.08064715],0,Unresolved,0.9193529,0.08064715
02db9f91-572a-44af-9858-4add101353c1,11,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.12368511 0.8763149 ],1,Resolved,0.123685114,0.8763149
02db9f91-572a-44af-9858-4add101353c1,11,2,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.62726164 0.37273833],0,Unresolved,0.62726164,0.37273833
02db9f91-572a-44af-9858-4add101353c1,11,3,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",[0.7100751 0.2899249],0,Unresolved,0.7100751,0.2899249
02db9f91-572a-44af-9858-4add101353c1,11,4,"July 13, 2016  - No erosion or subsidence issues.",[0.22134529 0.7786547 ],1,Resolved,0.22134529,0.7786547
02db9f91-572a-44af-9858-4add101353c1,11,5,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",[0.8172251  0.18277492],0,Unresolved,0.8172251,0.18277492
02db9f91-572a-44af-9858-4add101353c1,11,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved.",[0.16063471 0.83936524],1,Resolved,0.16063471,0.83936524
02db9f91-572a-44af-9858-4add101353c1,11,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7655353  0.23446472],0,Unresolved,0.7655353,0.23446472
02db9f91-572a-44af-9858-4add101353c1,11,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.93624103 0.06375898],0,Unresolved,0.93624103,0.06375898
02db9f91-572a-44af-9858-4add101353c1,12,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9798624  0.02013761],0,Unresolved,0.9798624,0.020137614
02db9f91-572a-44af-9858-4add101353c1,12,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.12317844 0.8768216 ],1,Resolved,0.123178445,0.8768216
02db9f91-572a-44af-9858-4add101353c1,12,3,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.6873411  0.31265885],0,Unresolved,0.6873411,0.31265885
02db9f91-572a-44af-9858-4add101353c1,12,4,"July 13, 2016   - No erosion or subsidence issues.",[0.26443607 0.73556393],1,Resolved,0.26443607,0.73556393
02db9f91-572a-44af-9858-4add101353c1,12,5,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.86230373 0.13769622],0,Unresolved,0.86230373,0.13769622
02db9f91-572a-44af-9858-4add101353c1,12,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved.",[0.15449849 0.84550154],1,Resolved,0.15449849,0.84550154
02db9f91-572a-44af-9858-4add101353c1,12,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7493922 0.2506078],0,Unresolved,0.7493922,0.2506078
02db9f91-572a-44af-9858-4add101353c1,12,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.91105825 0.0889418 ],0,Unresolved,0.91105825,0.0889418
02db9f91-572a-44af-9858-4add101353c1,13,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9841763  0.01582368],0,Unresolved,0.9841763,0.015823685
02db9f91-572a-44af-9858-4add101353c1,13,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",[0.01950882 0.98049116],1,Resolved,0.019508824,0.98049116
02db9f91-572a-44af-9858-4add101353c1,13,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.89788604 0.10211394],0,Unresolved,0.89788604,0.10211394
02db9f91-572a-44af-9858-4add101353c1,13,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",[0.05659395 0.94340605],1,Resolved,0.056593955,0.94340605
02db9f91-572a-44af-9858-4add101353c1,13,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",[0.00277553 0.99722445],1,Resolved,0.0027755254,0.99722445
02db9f91-572a-44af-9858-4add101353c1,13,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.6862262 0.3137738],0,Unresolved,0.6862262,0.3137738
02db9f91-572a-44af-9858-4add101353c1,13,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.90741587 0.09258413],0,Unresolved,0.90741587,0.09258413
02db9f91-572a-44af-9858-4add101353c1,14,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9826797  0.01732028],0,Unresolved,0.9826797,0.01732028
02db9f91-572a-44af-9858-4add101353c1,14,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",[0.02301017 0.97698987],1,Resolved,0.023010166,0.97698987
02db9f91-572a-44af-9858-4add101353c1,14,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.86467355 0.13532645],0,Unresolved,0.86467355,0.13532645
02db9f91-572a-44af-9858-4add101353c1,14,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",[0.05422893 0.94577104],1,Resolved,0.054228928,0.94577104
02db9f91-572a-44af-9858-4add101353c1,14,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",[0.00271383 0.9972862 ],1,Resolved,0.0027138342,0.9972862
02db9f91-572a-44af-9858-4add101353c1,14,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7608815  0.23911856],0,Unresolved,0.7608815,0.23911856
02db9f91-572a-44af-9858-4add101353c1,14,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.9058334  0.09416662],0,Unresolved,0.9058334,0.09416662
02db9f91-572a-44af-9858-4add101353c1,15,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9851541  0.01484586],0,Unresolved,0.9851541,0.014845858
02db9f91-572a-44af-9858-4add101353c1,15,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",[0.01961697 0.980383  ],1,Resolved,0.019616965,0.980383
02db9f91-572a-44af-9858-4add101353c1,15,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.82907623 0.17092375],0,Unresolved,0.82907623,0.17092375
02db9f91-572a-44af-9858-4add101353c1,15,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",[0.04382722 0.95617276],1,Resolved,0.043827217,0.95617276
02db9f91-572a-44af-9858-4add101353c1,15,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",[0.00274317 0.9972568 ],1,Resolved,0.0027431725,0.9972568
02db9f91-572a-44af-9858-4add101353c1,15,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7747141  0.22528595],0,Unresolved,0.7747141,0.22528595
02db9f91-572a-44af-9858-4add101353c1,15,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.92900175 0.07099824],0,Unresolved,0.92900175,0.070998244
02db9f91-572a-44af-9858-4add101353c1,16,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9809957  0.01900432],0,Unresolved,0.9809957,0.019004319
02db9f91-572a-44af-9858-4add101353c1,16,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",[0.01711105 0.98288894],1,Resolved,0.01711105,0.98288894
02db9f91-572a-44af-9858-4add101353c1,16,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.8738011  0.12619881],0,Unresolved,0.8738011,0.12619881
02db9f91-572a-44af-9858-4add101353c1,16,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",[0.05151437 0.9484856 ],1,Resolved,0.051514372,0.9484856
02db9f91-572a-44af-9858-4add101353c1,16,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",[0.00255994 0.9974401 ],1,Resolved,0.0025599361,0.9974401
02db9f91-572a-44af-9858-4add101353c1,16,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7254268  0.27457315],0,Unresolved,0.7254268,0.27457315
02db9f91-572a-44af-9858-4add101353c1,16,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.89912164 0.1008784 ],0,Unresolved,0.89912164,0.1008784
02db9f91-572a-44af-9858-4add101353c1,17,1,"June 22, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way.",[0.29010203 0.70989805],1,Resolved,0.29010203,0.70989805
02db9f91-572a-44af-9858-4add101353c1,18,1,"July 13, 2016 – KP 3+300 - Watercourse is flowing. No issues. Erosion noted in 2015 is no longer evident, issue resolved.",[0.00990145 0.99009854],1,Resolved,0.009901449,0.99009854
02db9f91-572a-44af-9858-4add101353c1,18,2,"July 13, 2016  - Recommend silt fence removal and repairs to marker posts.",[0.9889137  0.01108628],0,Unresolved,0.9889137,0.011086284
02db9f91-572a-44af-9858-4add101353c1,18,3,"July 13, 2016  - No erosion or subsidence issues.",[0.23397386 0.76602614],1,Resolved,0.23397386,0.76602614
02db9f91-572a-44af-9858-4add101353c1,18,4,"Sept 17, 2016 – Removed and disposed of silt fencing. Issue resolved.",[0.75648576 0.2435142 ],0,Unresolved,0.75648576,0.2435142
02db9f91-572a-44af-9858-4add101353c1,18,5,"Sept 17, 2016  - Repaired marker posts and signs. Issue resolved.",[0.9834087  0.01659134],0,Unresolved,0.9834087,0.016591337
02db9f91-572a-44af-9858-4add101353c1,19,1,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and aquatic vegetation.",[0.5492526 0.4507474],0,Unresolved,0.5492526,0.4507474
02db9f91-572a-44af-9858-4add101353c1,19,2,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.",[0.83569086 0.16430908],0,Unresolved,0.83569086,0.16430908
02db9f91-572a-44af-9858-4add101353c1,19,3,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved.",[0.09628616 0.9037138 ],1,Resolved,0.096286155,0.9037138
02db9f91-572a-44af-9858-4add101353c1,19,4,"July 13, 2016  - No erosion or subsidence issues.",[0.22773713 0.7722629 ],1,Resolved,0.22773713,0.7722629
02db9f91-572a-44af-9858-4add101353c1,19,5,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW. Intermittent herbicide application conducted to control perennial sow thistle.",[0.6192812  0.38071883],0,Unresolved,0.6192812,0.38071883
02db9f91-572a-44af-9858-4add101353c1,20,1,.,[0.02020349 0.97979647],1,Resolved,0.020203488,0.97979647
02db9f91-572a-44af-9858-4add101353c1,21,1,.,[0.02351912 0.97648084],1,Resolved,0.023519125,0.97648084
02db9f91-572a-44af-9858-4add101353c1,22,1,.,[0.01834326 0.98165673],1,Resolved,0.018343259,0.98165673
02db9f91-572a-44af-9858-4add101353c1,23,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.98645395 0.0135461 ],0,Unresolved,0.98645395,0.013546105
02db9f91-572a-44af-9858-4add101353c1,23,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs.",[0.624732   0.37526795],0,Unresolved,0.624732,0.37526795
02db9f91-572a-44af-9858-4add101353c1,23,3,"July 13, 2016   - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.",[0.8314615  0.16853856],0,Unresolved,0.8314615,0.16853856
02db9f91-572a-44af-9858-4add101353c1,23,4,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved.",[0.10637523 0.89362484],1,Resolved,0.10637523,0.89362484
02db9f91-572a-44af-9858-4add101353c1,23,5,"July 13, 2016  - No erosion or subsidence issues.",[0.2702111 0.7297889],1,Resolved,0.2702111,0.7297889
02db9f91-572a-44af-9858-4add101353c1,23,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7341462  0.26585385],0,Unresolved,0.7341462,0.26585385
02db9f91-572a-44af-9858-4add101353c1,23,7,"Sept 17, 2016  - Installed TC sign and marker posts at KP 4+800.",[0.91417813 0.08582188],0,Unresolved,0.91417813,0.08582188
02db9f91-572a-44af-9858-4add101353c1,23,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.9011053  0.09889472],0,Unresolved,0.9011053,0.098894715
02db9f91-572a-44af-9858-4add101353c1,24,1,.,[0.02599417 0.9740059 ],1,Resolved,0.025994169,0.9740059
02db9f91-572a-44af-9858-4add101353c1,25,1,.,[0.02334493 0.9766551 ],1,Resolved,0.023344934,0.9766551
02db9f91-572a-44af-9858-4add101353c1,26,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.98308945 0.01691053],0,Unresolved,0.98308945,0.01691053
02db9f91-572a-44af-9858-4add101353c1,26,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and wetland vegetation.",[0.5474864  0.45251358],0,Unresolved,0.5474864,0.45251358
02db9f91-572a-44af-9858-4add101353c1,26,3,"July 13, 2016   - Wetland functioning well, consistent with previous assessments.",[0.6598825  0.34011757],0,Unresolved,0.6598825,0.34011757
02db9f91-572a-44af-9858-4add101353c1,26,4,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile  - No erosion or subsidence issues.",[0.10895987 0.8910401 ],1,Resolved,0.10895987,0.8910401
02db9f91-572a-44af-9858-4add101353c1,26,5,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.731668   0.26833197],0,Unresolved,0.731668,0.26833197
02db9f91-572a-44af-9858-4add101353c1,26,6,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.90940213 0.09059792],0,Unresolved,0.90940213,0.09059792
02db9f91-572a-44af-9858-4add101353c1,27,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015.",[0.09121608 0.9087839 ],1,Resolved,0.09121608,0.9087839
