,pdfId,pdfName,filingId,totalPages,application_id,submitter,company,consultant_name
81,807181,A2S0K0 - Henderson Creek Lateral Loop No 3 PCMP Report Part 4 of 4,807057,5,605009,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
82,807339,A2S0X0 - Final Post Construction Environmental Monitoring Report for Saddle Hills Pipeline Loop,807162,24,506603,ARC Resources Ltd.,ARC Resources Ltd.,['TERA Environmental Consultants']
83,807947,A2S1R3 - Bear River West Lateral Loop - First Year Post-Construction Monitoring Report,807946,29,618920,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
84,877194,A3C6L8 - Horn River PCMP Report - Part 1,877284,30,601085,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
85,877517,A3C6Q4 - Horn River PCMP Report - Part 7,877284,15,601085,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
86,905316,A3E8G5 - 8154_2012_AnchorLoop_ PCM_NEB_Pt05of21,905821,107,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
87,905319,A3E8G6 - 8154_2012_AnchorLoop_ PCM_NEB_Pt06of21,905821,46,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
88,905322,A3E8G7 - 8154_2012_AnchorLoop_ PCM_NEB_Pt07of21,905821,18,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
89,905732,A3E8G8 - 8154_2012_AnchorLoop_ PCM_NEB_Pt08of21,905821,20,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
90,905735,A3E8G9 - 8154_2012_AnchorLoop_ PCM_NEB_Pt09of21,905821,20,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
91,905931,A3E8G1 - 8154_2012_AnchorLoop_ PCM_NEB_Pt01of21,905821,28,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
92,905937,A3E8H0 - 8154_2012_AnchorLoop_ PCM_NEB_Pt10of21,905821,20,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
93,911947,A3F0D9 - 2013-01-29 Keystone Year 2 Environmental Monitoring Report,912278,17,486602,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
94,911956,A3F0E3 - 2013-01-29 Keystone Year 3 Environmental Monitoring Report,912170,110,446070,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
95,912073,A3F0I0 - First Year Post-construction Environmental Monitoring Report pursuant to condition 5 of XG-W102-10-2010,912209,12,593411,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['TERA Environmental Consultants']
96,912394,A3F0J3 - Third Year Supplemental Report pursuant to condition 6 of XG-W102-04-2009,912327,22,554349,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['TERA Environmental Consultants']
97,913913,A3F0K7 - Southern Lights PCEM Report Year 4,914354,47,456607,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP and Enbridge Pipelines Inc.,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),['TERA Environmental Consultants']
98,914319,A3F0X9 - Alberta Clipper PCEM Report Year 3,914519,99,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
99,914657,A3F1Q5 - 2013-02-01 - Watino and Calais First PCMP Report,914753,25,639247,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
100,914700,A3F1E8 - Third Year Post-construction Environmental Monitoring Report,914919,11,487403,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['Mentiga Pedology Consultants']
101,914733,A3F1K2 - Cut Bank Bald Mountain-Condition 6 First PCMP Report,915072,27,633450,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
102,914958,A3F1R1 - 04 - Albright_ Year 2_App C Summary of Findings Year 1,914877,4,558435,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
103,914961,A3F1R2 - 05 - Albright_ Year 2_App D Wetlands,914877,16,558435,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
104,915019,A3F1C0 - Line 4 PCEM Report Year 4,914793,41,469094,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
105,915065,A3F1J7 - Bear River Lateral Loop No 2 - Condition 6 Post Construction Environmental Monitoring Report,915064,26,674054,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
106,915079,A3F1L4 - Groundbirch Pipeline - Condition 24-Post Construction Environmental Monitoring Report,914744,38,555680,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
107,915095,A3F1Q8 - 01 - Albright_ Year 2_ Report,914877,51,558435,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
108,920155,A3F5Z0 - 2013-02-22 - Kearl Ext Sales and MS - First PCEM Report,920247,19,609725,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
109,927382,A3F7Y8 - 2013-03-04 - Bear River Post-Construction Monitoring Program Report,927469,33,618920,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
110,961081,A3I2C0 - Groundbirch Mainline First PCMP Report Updates,961080,15,555680,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
111,1023037,A3K7F9 - Chinchaga Lateral Loop No. 3 - Condition 13-Preliminary PCM Program,1023108,21,737909,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['Stantec Consulting']
112,1036748,A3L0S2 - Doe and Henderson Crk PCEMRs,1036533,40,605009,NOA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
113,1057028,A3Q2W5 - Gething Source Water Pipeline Post Construction Environmental Monitoring Report,1056522,23,699247,105755 Alberta Ltd.,1057533 Alberta Ltd,['TERA Environmental Consultants']
114,2385635,2013-12-10- Watino and Calais Second PCMP Report - A3R8A7,2384974,22,639247,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
115,2404629,NGTL Kearl Extension and MS_Second PCRM Report - A3T2U7,2407101,39,609725,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
116,2404644,2014-01-28 Keystone PCEM Year 3  - A3T3I4,2404944,22,486602,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
117,2404648,Alberta Clipper Project PCEM Report Year 4 (2013) - A3T3K4,2404647,84,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
118,2407660,2014-01-28 Keystone PCEM Year 4  - A3T3H0,2407387,82,446070,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
119,2407764,Line 4 Extension Project PCEM Report Year 5 (2013) - A3T3S8,2407476,32,469094,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
120,2408156,Southern Lights Project PCEM Report Year 5 (2013) - A3T3R4,2407667,42,456607,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP and Enbridge Pipelines Inc.,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),['TERA Environmental Consultants']
121,2411043,Stewart Lake Pipeline PCEM Report - A3T5K9,2411253,27,656096,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",Westcoast Energy Inc.,['TERA Environmental Consultants']
122,2411350,Appendix A - Cutbank River First Year PCMP - A3T4X8,2411789,30,697803,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
123,2411357,South Maxhamish Loop Post-Construction Environmental Monitoring Report - A3T5E7,2411798,46,593411,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",Westcoast Energy Inc.,['TERA Environmental Consultants']
124,2411359,NGTL Groundbirch Mainline Saturn Section Condition 5 PCMP Report - A3T5F7,2411799,35,657473,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['Paragon Soil and Environmental Consulting']
125,2411466,Appendix B - Musreau Lake First Year PCMP - A3T4X9,2411789,31,697803,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
126,2411479,Tanghe Creek Lateral Loop No. 2 - Sloat Creek Section-Condition 9 First PCMP Report - A3T5G7,2411149,46,667071,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
127,2411484,North Maxhamish Loop Post-Construction Environmental Monitoring Report - A3T5K4,2411252,48,554349,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",Westcoast Energy Inc.,['TERA Environmental Consultants']
128,2411486,N4 Loop PCEM Report - A3T5K7,2411253,27,656096,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",Westcoast Energy Inc.,['TERA Environmental Consultants']
129,2411566,Appendix B-Nose YEAR 1 PCMP FINAL - A3T4Q7,2411456,28,673726,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
130,2411779,6873_Year 1 PCEM Pembina Beatton River - A3T4K3,2411672,32,858743,Pembina Energy Services Inc.,Pembina Energy Services Inc.,['TERA Environmental Consultants']
