Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
13,W½ 15-42-9,179.9 to 180.8,332  333  334  335,Vegetation – Weeds,Chemical control of broad-leaf invasive species in 2009.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,W½ 15-42-9,179.9 to 180.8,332  333  334  335,Soils - Compaction,Light discing of compacted area.,Potential compaction.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,W½ 15-42-9,180.1 to 180.8,332 333,Soils - Problem Lower Subsoil (gravel),Three-lift soils handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,SE 15-42-9,180.8 to 181.7,333  334  335,Soils - Compaction,Light discing of compacted area.,Potential compaction.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,SE 15-42-9,180.88 to 180. 94,333,Soils - Subsidence,--,--,Moderate subsidence observed on right-of-way during ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W4M,
13,SE 15-42-9,181.19 to 181.24,334,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: healthy with problems (67%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland is cultivated through and was not assessed for health.,Resolved,None.,,W4M,
14,NE 11-42-9,182.9,338,Vegetation - Rare Plant,Confirmed the active leather grape fern population was off the construction right-of-way.,Survival success of population.,Plant was not found.,Unresolved,Monitor in 2011.,,W4M,
14,NE 11-42-9 to end of NE 1-42-9,182.9 to 185.6,338 339  340  340.01 341,Soils - Wind Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
14,SW 12-42-9,183.9,340,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
14,SE 12-42-9,184.7,340.01,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
14,NW 6-42-8 to end of SE 33-41-8,185.6 to 191.2,342 to 350,Soils - Wind Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
14,NW 6-42-8 to end of SE 33-41-8,185.6 to 191.2,342 to 350,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W4M,
14,SW 33-41-8,190.4,350,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
14 and 15,SW 34-41-8 to end of NE 24-41-8,191.2 to 196.8,350 to 361,Soils - Wind Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
14,SE 33-41-8,191.2,350,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
15,SE 24-41-8 to end of NW 17-41-7,196.8 to 199.6,362 363 364 365,Soils - Wind Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
15,SE 24-41-8 to end of NW 17-41-7,196.8 to 199.6,362 363 364 365,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W4M,
15,SW 19-41-7,197.3,362,Vegetation - Rare Plant,Narrowed down right-of-way to avoid Schweinitz flat sedge enclosure.,Survival success of population.,None.,Unresolved,Monitor in 2011.,,W4M,
15,SE 17-41-7,200.40 to 200.52,367,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (63%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (58%). Weeds: creeping thistle. Landowner has cultivated portion of right-of-way. Undesirable species dominant.,Unresolved,Monitor in 2011.,,W4M,
15,NW 10-41-7,202.58 to 202.62,367,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: unhealthy (40%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (46%).,Resolved,None.,,W4M,
15,NW 10-41-7,202.73 to 202.75,372,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: unhealthy (51%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland is cultivated through and was not assessed for health.,Resolved,None.,,W4M,
15,SE 10-41-7,203.66 to 203.7,372,Wetland Class Overall: IV Wetland Class on right-of-way: II 2008 Health: healthy with problems (75%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (74%).,Resolved,None.,,W4M,
15,SE 10-41-7,203.86 to 203.9,373,Wetland Class Overall: IV Wetland Class on right-of-way: II 2008 Health: healthy (82%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (63%). Undesirable species (foxtail barley) dominant on right-of-way. Riparian: woody vegetation removed. Bare ground on right-of-way. Grade does not match preconstruction profile.,Unresolved,Monitor in 2011.,,W4M,
15,SE 11-41-7,205.18 to 205.25,375,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: unhealthy (51%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (61%).,Resolved,None.,,W4M,
15,NE 1-41-7,206.91 to 206.95,378,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: unhealthy (57%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (63%).,Resolved,None.,,W4M,
15,SW 6-41-6,207.8 to 208.2,380,Soils - Problem Lower Subsoil (saline/sodic),Three-lift soils handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W4M,
15,SE 6-41-6,208.8,381,Vegetation – Weeds,Compressed air/shovel cleaning of equipment for downy brome.,Potential for weed introduction and spread.,"Moderate density of stinkweed, lamb's-quarters, shepherd's purse and flixweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
15,SE 6-41-6,208.8 to 209.2,381,Soils - Compaction,--,--,Moderate compaction observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011 and alleviate compaction, if warranted.",,W4M,
16,NE 31-40-6,209.2 to 209.24,382,Wetland Class Overall: IV Wetland Class on right-of-way: II 2008 Health: healthy (93%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (72%). Weeds: creeping thistle, sow-thistle; excessively weedy. Undesirable species dominant on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
16,NE 31-40-6,209.3,382,Vegetation – Weeds,Compressed air/shovel cleaning of equipment for downy brome.,Potential for weed introduction and spread.,High density of Russian pigweed on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
16,SE 32-40-6,211.4,385,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Moderate density of perennial sow-thistle and creeping thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
16,SE 32-40-6 to SW 33-40-6,211.44 to 211.53,385,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: unhealthy/healthy with problems (58%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland was avoided by final alignment.,Resolved,None.,,W4M,
16,NW 27-40-6,213.2 to 214.2,389 390,Vegetation – Weeds,--,--,"High density of lamb's-quarters, perennial sow-thistle, foxtail barley and flixweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
16,NW 27-40-6,213.9,390,Soils – Water Erosion Water Quality and Quantity Ribstone Creek,Appropriate vehicle crossing installed. Dry at time of crossing – open cut. Reshaped and compacted bed and banks. Re-introduced salvaged substrate and organics.  Approved native seed mix applied within the riparian area.,Potential for sedimentation until vegetation is established.,Poor vegetation establishment on banks and approach to watercourse.,Unresolved,Reseed and monitor grass growth in 2011.,,W4M,
16,NE 27 to SE 26-40-6,214.9 to 216.8,391 392 393 394,Soils – Wind Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
16,NE 24-40-6 to SW 19-40-5,217.5 to 219.7,396 397 398 399 400,Soils - Wind Erosion Land and Resource Use -Sounding-Sunken Environmentally Significant Area,Followed measures from Detail 6A-50 of the Pipeline EPP. Straw crimped during final clean-up from KP 218.7 to KP 225.8.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
16 and 17,SE 19-40-5 to NE 10-40-5,219.7 to 225.4,400 to 410,Soils - Wind Erosion Land and Resource Use -Sounding-Sunken Environmentally Significant Area,Followed measures from Detail 6A-50 of the Pipeline EPP. Straw crimped during final clean-up from KP 218.7 to KP 225.8.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
16,NE 18-40-5,220.43 to 220.49,401,Wetland Class Overall: V Wetland Class on right-of-way: IV 2008 Health: healthy (88%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (60%). Weeds: creeping thistle, sow-thistle. Heavily disturbed by cattle; bare ground on right-of-way. Spoil pile exists in wetland causing water ponding.",Unresolved,Monitor in 2011.,,W4M,
17,SE 10-40-5 to NW 31-40-5,225.8 to 230.8,410 to 419,Soils - Wind Erosion Land and Resource Use -Sounding-Sunken Environmentally Significant Area,Followed measures from Detail 6A-50 of the Pipeline EPP. Straw crimped during final clean-up from KP 218.7 to KP 225.8.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W4M,
17,SE 10-40-5,226.1,410,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Moderate density of kochia and Russian thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
17,SW 6-40-4,230.1 to 230.4,418,Vegetation – Weeds,--,--,Moderate density of Russian pigweed and kochia observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
17,NE 31-39-4,231.36 to 231.44,420,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: healthy with problems (67%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (60%).,Resolved,None.,,W4M,
17,NE 31-39-4,231.9,420,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
17,NW 32-39-4,231.95,421,Vegetation – Weeds,--,--,High density of creeping thistle and perennial sow-thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
17,NW 28-39-4,233.9,425,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Moderate density of creeping thistle and lamb's-quarters on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,NW 23-39-4,238.4,432,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
18,NE 23-39-4,238.72 to 238.80,433,Wetland Class Overall: III Wetland Class on right-of-way: II 2008 Health: no baseline assessment completed,"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (60%). Weeds: creeping thistle, sow-thistle; excessively weedy. Bare ground on right-of-way. Approx. 10 cm crown immediately south of wetland.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,NE 23-39-4,238.9,434,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of kochia, flixweed, creeping thistle, perennial sow-thistle and stinkweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,SE 23-39-4,239.3,434,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
18,SW 24-39-4,239.89 to 239.97,435,Wetland Class Overall: III Wetland Class on right-of-way: II 2008 Health: unhealthy (54%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (50%).,Resolved,None.,,W4M,
18,SE 24/NE 13-39-4,240.47 to 240.55,436,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health unhealthy (54%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland was avoided by final alignment.,Resolved,None.,,W4M,
18,NW 18-39-3,241.2 to 242.1,438,Soils – Admixing,Landowner incorporated deep discing practices across the final restoration of the construction right-of-way.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,W4M,
18,NW 18-39-3,241.2 to 242.1,438,Vegetation - Weeds,Landowner introduced manure across over the final restoration along the right of way.,Potential for weed introduction and spread.,Moderate density of kochia and spear-leaved goosefoot on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,SE 18/SW 17-39-3,242.96 to 243.13,440,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: healthy with problems (72%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (64%).,Resolved,None.,,W4M,
18,NE 3-39-3,248.4 to 248.6,450,Soils - Problem Lower Subsoil (contrasting soil textures),Three-lift soils handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W4M,
18,NW 2-39-3,248.6 to 248.8,451,Soils - Problem Lower Subsoil (contrasting soil textures),Three-lift soils handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W4M,
18,NW 2-39-3,248.7,451,Soils - Compaction,--,--,Area of severe compaction and reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011 and alleviate compaction, if warranted.",,W4M,
18,NW 2-39-3,248.6 to 248.8,451,Vegetation - Weeds,--,--,"High density of stinkweed, narrow-leaved hawk's-beard and spear-leaved goosefoot observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,SW 2-39-3,249.2 to 249.4,452,Soils - Problem Lower Subsoil (contrasting soil textures),Three-lift soils handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,Moderate admixing and reduced crop growth on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,W4M,
18,SW 2-39-3,248.8 to 249.6,452,Vegetation - Weeds,--,--,"High density of foxtail barley, kochia and spear-leaved goosefoot observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,SE 2-39-3,249.6 to 249.85,453,Soils - Problem Lower Subsoil (contrasting soil textures),Three-lift soils handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,Minor admixing and reduced crop growth on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,W4M,
18,SE 2-39-3,249.85 to 250.3,453,Vegetation - Weeds,--,--,"High density of lamb's-quarters, wild oats, flixweed and wild buckwheat observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
18,SE 2-39-3,250.22 to 250.33,453,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (79%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (73%).,Resolved,None.,,W4M,
19,NW 36-38-3,250.81 to 250.89,456,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (67%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (69%).,Resolved,None.,,W4M,
19,SW 31-38-2,253.4,459,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of lamb's-quarters, kochia and wild buckwheat on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
19,NE 21-38-2,257.81 to 257.93,469,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (67%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (52%). Weeds: sow-thistle. Landowner has cultivated to edge. Bare ground on right-of-way.,Unresolved,Monitor in 2011.,,W4M,
19,SE 22-38-2,259.28 to 259.34,472,Wetland Class Overall: III Wetland Class on right-of-way: II 2008 Health: unhealthy (46%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: unhealthy (57%).,Resolved,None.,,W4M,
19,SE 22-38-2,259.85 to 260.03,472,Wetland Class Overall: III Wetland Class on right-of-way: II 2008 Health: healthy with problems (79%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: unhealthy (58%). Weeds: creeping (Canada) thistle, sow-thistle. Riparian: willows cleared dominated by non-wetland vegetation.",Unresolved,Monitor in 2011.,,W4M,
19,SW 23-38-2,260.3,473,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"High density of flixweed, kochia, foxtail barley, wild buckwheat and lamb's-quarters on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
19,SW 13-38-2,262.8,478,Vegetation – Weeds,Compressed air/shovel cleaning of equipment for scentless chamomile.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
19,SE 13-38-2,263.7,478,Vegetation – Weeds,Compressed air/shovel cleaning of equipment for scentless chamomile.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
20,NE 5-38-1,267.16 to 267.36,486,Wetland Class Overall: V Wetland Class on right-of-way: III 2008 Health: healthy with problems (79%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (53%). Not functioning as wetland. Landowner has cultivated through wetland.,Unresolved,Monitor in 2011.,,W4M,
20,NW 4-38-1,267.79 to 268.08,487,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: unhealthy (50%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (12%).,Resolved,None.,,W4M,
20,SE 35-37-1,272.2,496,Soils – Water Erosion Water Quality and Quantity Fish and Fish Habitat Eyehill Creek,Appropriate vehicle crossing installed. Adhered to instream RAP. Frozen to the bottom crossing – open cut. Reshaped and compacted bed and banks. Re-introduced salvaged substrate and organics.  Approved native seed mix applied within the riparian area.,Potential for sedimentation until vegetation is established.,Poor vegetation establishment on banks and approach to watercourse.,Unresolved,Reseed and monitor grass growth in 2011.,,W4M,
20,SE 35-37-1,272.3,496,Vegetation - Rare Plant,Right-of-way narrowed through pale blue-eyed grass population.,Survival success of population.,100's of plants located in three areas north of north boundary of right-of-way. Two plants located off south boundary.,Resolved,None.,,W4M,
20 to 21,NW 30 to NE 15-37-28,274.9 to 281.6,500 to 511,Soils - Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
20,SW 30-37-28,275.2,502,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
20,SW 30-37-28,275.35,502,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
20,SW 30-37-28,275.1 to 276.0,502,Land and Resource Use - SMA lands,Stripped trench and work lane on native prairie. Straw crimped.,Potential for erosion until revegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
20,NE 19-37-28,276.6 to 277.0,503,Soils - Trench Compaction,--,Potential for subsidence.,Moderate compaction and poor vegetation establishment on right-of-way.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
20,NW 20-37-28,277.8,505 505.01,Soils - Topsoil Loss,Stopped grade and removed remainder of topsoil/transition soil.,Potential for revegetation problems.,No issues observed on right-of-way.,Resolved,None.,,W3M,
20,SE 20-37-28,278.4 to 278.8,507,Vegetation - Weeds,--,--,"Moderate density of Russian thistle, gumweed and kochia observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
20,SE 20-37-28,278.8 to 278.9,507,Wetland Class Overall: IV Wetland Class on right-of-way: II 2008 Health: no baseline assessment completed,Installed grade material and geotextile ramp. Open cut the wetland (dry at time of construction). Backfilled the trench and removed the ramp material.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (33%). Bare ground on right-of-way. Undesirable species dominant on right-of-way. Poor wildlife habitat.,Unresolved,Monitor in 2010.,,W3M,
20,SW 21-37-28,279.2,508,Soils - Trench Compaction,--,Potential for subsidence.,Moderate compaction and reduced crop growth on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
20,SW 21-37-28,279.6,508,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
21,SE 21-37-28,279.6 to 280.0,509,Vegetation - Weeds,Compress air/shovel cleaning of equipment for wild buckwheat.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
21,NW 15-37-28,280.7 to 281.5,511,Vegetation - Weeds,Livestock manure spread on construction right-of-way by landowner.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
21,NW 15-37-28,281.0 to 281.3,511,Soils - Problem Lower Subsoil (saline topsoils),Three-lift topsoil handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W3M,
21,SE 15-37-28,281.8 to 282.2,513,Soils - Trench Compaction,--,Potential for subsidence.,Severe subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W3M,
