Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 10-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 8+680 – Pipeline identification signs and marker post remains loose / leaning, recommend repairs. Sept 22, 2015 - KP 8+680 – Pipeline identification signs and marker posts were repaired.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed.",,,
SW 10-108-12 W6,Treed Fen (8.90 to 9.10),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Treed Fen on ROW from KP 8+900 to 9+100 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. Short area on ROW at approximately 8+960 along ditch line exhibiting sparser vegetation cover like attributed to parallel line vegetation control.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting dry – semi saturated conditions via vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Fen on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species.  - During 2017 assessment, short area around KP 8+890 was exhibiting sparser vegetation. Issue not observed during 2018 assessment. Issue resolved.  - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence -or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting dry – semi saturated conditions via vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover.  - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
NW 3-108-12 W6,Broad-leaf Treed Swamp (9.20 to 9.55),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Treed Swamp on ROW from KP 9+200 to 9+550 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of various deciduous tree/shrub species emerging in from off ROW. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting drier conditions as indicated by deciduous dominated vegetation. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Swamp on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of various deciduous tree/shrub species emerging in from off ROW. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting drier conditions as indicated by deciduous dominated vegetation. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract.  - Rollback observed KP 9+500. Good vegetation infill.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed.",,,
,Shrubby Swamp (9.80 to 10.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 18, 2017 - Shallow open water / Shrubby swamp on ROW from KP 9+800 to 10+000 appears to be at full, proper functionality. Wetland hydrology influenced by beaver activity from the east; shallow intermittent pouches of water present in wetland from KP 9+800 to 9+900. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of alder, poplar, willow, broadleaf shrubs and herbaceous graminoids. Submergent vegetation establishing in open water areas. Hydrophytic species establishing well throughout wetland (common cattail, scouring rushes). - No noxious weeds were identified in wetland. Trace amounts of sweet clover present through wetland. Common weed will be outcompeted by natural succession of vegetation; leave for natural recovery. - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through moderate moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland via decomposing vegetation litter. - Wetland exhibiting semi-saturated conditions. Hydrological outlet of wetland is Beaver Pond 1 on ROW: Unnamed Tributary to Hay River. - Wetland providing good habitat opportunity through good vegetation cover and standing water; birds and amphibians were observed using wetland. - Wetland has achieved pre-construction contours. Coniferous species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shrubby Swamp on ROW from KP 9+800 to KP 10+000 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. Wetland is influenced by beaver activity to the east.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), horsetails, alder and willow trees. Good establishment of hydrophytic vegetation throughout wetland including scouring rush, common cattail, arum-leaved arrowheads and common great bulrush. Volunteer black spruce saplings emerging across ROW.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland but has settled as a result of hydrological influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Humification occurring throughout wetland; some peat accumulation occurring.  - Substrate within wetland exhibiting fully-saturated conditions with the water table at the ground surface. Intermittent pouches of standing water throughout wetland (depth 5-10cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species observed using wetland. Evidence of mammal use throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Unnamed tributary to Hay River (10.00) Moderate Vegetation Establishment,Moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation beginning to establish well. No erosion issues observed. Sediment fencing to be removed as soon as practical. Monitor vegetation establishment and slope stability in 2015. Sediment fencing removal scheduled to commence in February 2015.,"July 20, 2016 - Silt fence identified and removed on both sides of watercourse crossing (KP 10+000), issue resolved. – Banks of watercourse are stable and well vegetated, (High; 80 – 100 % vegetation cover compared to off right-of-way) (moderate vegetation noted in 2014, issue resolved) – good establishment of grasses, willows, alders, cattails and shrubs. Minimal flow identified at this time. Pipeline signs and marker posts remain loose / leaning on both sides of watercourse crossing, recommend repairs. Sept 22, 2016 - KP 9+300, 9+400, and 10+800 - Pipeline identification signs and marker posts were repaired, issues resolved.","July 21, 2017 - Unnamed tributary to Hay River. Beaver Pond 1. Banks are stable and vegetating well","July 31, 2018 - Banks appear stable and vegetated well (80 – 100% compared to off ROW) - Marker posts repaired. Issue resolved",,,
SW 3-108-12 W6,Shrubby Swamp (10.10 to 10.35),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Shrubby Swamp on ROW from KP 10+100 to 10+350 appears to be at full, proper functionality. Beaver influenced activity present in wetland at KP 10+100 resulting in portion of wetland being in saturated conditions. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting saturated conditions as indicated by deciduous dominated vegetation and surface water emergence on/off ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shrubby Swamp on ROW appears to be at full, proper functionality.  - Beaver influenced activity present in wetland at KP 10+100 resulting in portion of wetland being in saturated conditions.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting saturated conditions as indicated by deciduous dominated vegetation and surface water emergence on/off ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SW 3-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation re-establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). - KP 10+790 – Perennial sow thistle (Low; 0 – 10 % cover) and scentless chamomile (Low; 0 – 10 % cover) identified, recommend implementation of control measures. July 25, 2016 – KP 10+790, Herbicide application conducted to control perennial sow thistle and scentless chamomile. Sept 22, 2016 - KP 10+780 - Pipeline identification signs and marker posts were repaired, issue resolved.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified. - KP 10+850 - Woody debris appears to be deteriorating with vegetation and earth material forming on and around area. No work required, issue resolved. - KP 10+800 Sign post missing. Recommend repairs. - KP 10+790 - Perennial sow thistle observed, recommend weed control. August 17, 2017 – KP 10+790 – Herbicide application conducted to control perennial sow thistle. Issue resolved. - KP 10+800 - Sign post repaired, issue resolved. September 27, 2017 No noxious weeds observed, effective control of noxious weeds observed at KP 10+790. Issue resolved.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract, Previous issues resolved. - Rollback observed KP 10+770. Good vegetation infill.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed. - KP 10+100 – Marker posts require repairs. August 9, 2018 – KP 10+100 - Marker posts repaired; issue resolved.",,,
,Open Water Pond (10.80 to 10.86),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Remove silt fence north and south side;  - KP 10+800 – Silt fencing was removed today from north side of drainage","August 19, 2017 - Pond on ROW from KP 10+800 to 10+860 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids; majority of wetland exhibiting standing water, comparing with off ROW. - No noxious weeds were identified in wetland. - Trench crown present but has slightly settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is surface water. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Pond on ROW appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids; majority of wetland exhibiting standing water, comparing with off ROW. - No noxious weeds were observed in wetland. - Trench crown present but has slightly settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is surface water. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Forested Erosion (10.90),"Erosion issue observed at the open water pond. Beaver dam was extended onto the right-of-way, which overflowed causing the erosion along the slope in this area. Slope currently under repair. Temporary erosion controls have been installed to avoid sedimentation of the wetland. Additional repairs are scheduled to commence February 2015. The grade will be established, erosion controls will be installed and the area will be seeded.","July 22, 2016 - Erosion repair exhibiting good vegetation establishment (High; 80 – 100 % vegetation cover compared to off right-of-way), erosion issue is resolved.","August 19, 2017 - Pond on ROW from KP 10+800 to 10+860 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids; majority of wetland exhibiting standing water, comparing with off ROW. - No noxious weeds were identified in wetland. - Trench crown present but has slightly settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is surface water. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Pond on ROW appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids; majority of wetland exhibiting standing water, comparing with off ROW. - No noxious weeds were observed in wetland. - Trench crown present but has slightly settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is surface water. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
NW 34-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - KP 11+800 - Pipeline identification signs and marker posts leaning. - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. Sept 22, 2016 - KP 11+800 - Pipeline identification signs and marker posts were repaired.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed.",,,
NW 34-107-12 W6,Treed Bog (11.10 to 11.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","August 19, 2017 - Treed Bog on ROW from KP 11+100 to 11+400 appears to be at full, proper functionality. Wetland on ROW is inclusive of transition zone from deciduous (poplar) dominated terrain to the west to low-lying peat/spruce dominated terrain to the east.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. Wetland on ROW is inclusive of transition zone from deciduous (poplar) dominated terrain to the west to low-lying peat/spruce dominated terrain to the east.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Treed Bog (11.50 to 11.60)s,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","August 19, 2017 - Treed Bog on ROW from KP 11+500 to 11+600 appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SW 34-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.  - KP12+110 – Marker posts leaning, repair recommended. Sept 22, 2016 - KP 12+110 - Pipeline identification signs and marker posts were repaired.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed.",,,
SW 34-107-12 W6,Broad-leaf Treed Swamp (11.80 to 12.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","August 19, 2017 - Treed Swamp on ROW from KP 11+800 to 12+300 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout.  - Wetland exhibiting drier conditions as indicated by higher density of tree species on/off ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Swamp on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout.  - Wetland exhibiting drier conditions as indicated by higher density of tree species on/off ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SW 34-107-12 W6 to NW 27-107-12 W6,Treed Fen (12.30 to 12.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","August 19, 2017 - Treed Fen on ROW from KP 12+300 to 12+800 appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. Hydrological output of wetland is BP2: Unnamed Tributary to Hay River at KP 12+900.  - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Fen on ROW appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. Hydrological output of wetland is BP2: Unnamed Tributary to Hay River at KP 12+900.  - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
NW 27-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed.",,,
NW 27-107-12 W6,Open Water Pond (12.80 to 12.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","August 19, 2017 - Open Water Pond on ROW from KP 12+800 to 12+900 appears to be at full, proper functionality. Wetland is inclusive of Beaver Pond 2: Unnamed Tributary to Hay River. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids; majority of wetland exhibiting standing water, comparing with off ROW. - No noxious weeds were identified in wetland. - Trench crown present but has slightly settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is surface water. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Open Water Pond on ROW appears to be at full, proper functionality. Wetland is inclusive of Beaver Pond 2: Unnamed Tributary to Hay River. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids; majority of wetland exhibiting standing water, comparing with off ROW. - No noxious weeds were observed in wetland. - Trench crown present but has slightly settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is surface water. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
