Environmental Issues,Location,TERA* Mitigative Measures and Observations in 2010,TERA Mitigative Measures and Observations in 2011,Westcoast Mitigative Measures and Observations in 2012,TERA Observations in 2012,Status,Recommendations,VEC,GIS,Topic
(a) Alterations of natural flow patterns,Pipeline right-of-way,Water from hydrostatic testing ponding in low-lying areas near KP 0.0.,Poor drainage noted at KP 0.0. Standing water observed intermittently from KP 0.0 to KP 1.0.,--,Unable to assess drainage due to snow cover.,Unresolved,Recontour the right-of-way and monitor in 2013.,3. WATER QUALITY AND QUANTITY,,
(a) Alterations of natural flow patterns,Entire route,--,Trench settlement issues causing high crown along the right-of-way can potentially alter natural flow patterns. See Trench Subsidence element. No water flow issues of concern were identified in 2011.,--,Unable to assess natural flow patterns due to snow cover.,Unresolved,Continue monitoring trench settlement along the entire right-of-way in 2013.,3. WATER QUALITY AND QUANTITY,,
(a) Loss of wetland habitat and loss or reduction of hydrological function (filtration),Entire route,--,"During the 2011 PCEM, low-lying areas along the right-of-way were observed to be consistent with pre-construction drainage contours.",--,--,Resolved,"Continue monitoring the re-establishment of ground cover, soil erosion potential and weed growth.",4. WETLANDS,,
(a) Loss or alteration of native vegetation and vegetation important to wildlife,Entire route,Low-growing shrubs and grasses were observed along the right-of-way at the time of the PCEM program but require more time to establish.,Low-growing shrubs and grasses continue to establish well but require further monitoring.,--,Unable to assess vegetation due to snow cover.,Unresolved,Continue to monitor the re-establishment of low-growing shrubs and grasses on the right-of-way.,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,Narrow-leaved hawk's-beard was observed at low densities along the entire route during the 2011 PCEM.,--,Unable to assess weeds due to snow cover.,Unresolved,Continue monitoring right-of-way for weed growth and introduction in 2013.,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,Sweet clover was observed at low densities along the entire line and in moderate densities at KP 14.7 and from KP 28.0 to KP 30.0 during the 2011 PCEM.,--,Unable to assess weeds due to snow cover.,Unresolved,Continue monitoring right-of-way for weed growth and introduction in 2013.,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,Scentless chamomile was observed at low densities along the majority of the pipeline with a high density infestation at KP 14.7.,--,Unable to assess weeds due to snow cover.,Unresolved,Apply chemical control for scentless chamomile. Continue monitoring right-of-way for weed growth and introduction in 2013.,5. VEGETATION,,
(b) Weed introduction and spread,Lay down yard on Liard Highway,--,--,Spraying for Scentless chamomile at KP 42.0 planned for fall 2012.  Follow up treatments planned for 2013 and 2014.,Unable to assess weeds due to snow cover.,Unresolved,Continue monitoring for weed issues in 2013,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,--,Spraying for scentless chamomile at KP 14.6 planned for fall 2012.  Follow up treatments planned for 2013 and 2014.,Unable to assess weeds due to snow cover.,Unresolved,Continue monitoring for weed issues in 2013,5. VEGETATION,,
(c) Loss of rare plant populations,30 locations,"Flagged rare plant populations in October 2009. Reduced work site dimensions and lessened disturbance to vegetation by minimising grubbing and/or ramping over rare plant populations in flagged locations. At flagged rare plant locations, stripped a narrow blade width centered over the trench. If rare plants were flagged in areas where grading was required, stripped and stored grubbings and strippings separately and marked their location to ensure these materials were replaced in the same area during clean‐up.","Revisited rare plant populations of European water-hemlock, northern bog bedstraw and western Jacob's-ladder.",--,Rare plants not assessed in 2012.,"8 unresolved, 22 resolved",Continue to monitor the 8 unresolved populations of rare plants.,5. VEGETATION,,
(c) Loss of rare plant populations (cont’d),See above,"At flagged rare plant locations, placed swamp or rig mats over the spoil side and placed ditch spoil on top of the mats, to prevent ditch spoil from mixing with the unstripped surface materials. Replaced strippings in areas of rare plants in the same location as they were removed.",<s>See above</s>,<s>See above</s>,<s>See above</s>,<s>See above</s>,<s>See above</s>,5. VEGETATION,,
(a) Loss or alteration of potential wildlife habitat,Entire route,--,--,--,--,Unresolved,See Vegetation element.,6. WILDLIFE AND WILDLIFE HABITAT,,
,1 km from pipeline right-of-way,"An additional borrow site was acquired from British Columbia Crown lands. Site was approximately 1 km from pipeline, immediately adjacent and accessible by road. The trees and brush were removed, topsoil stripped and stockpiled on-site and the small borrow pit was developed. Borrow site was left with stable slope angles and public access is restricted. Drainage for the hydrostatic test water was established before the water was released. Water was released into an excavated sump under controlled conditions before it flowed into natural drainage in the area. Area was reseeded.",Area not assessed in 2011.,--,Unable to assess due to snow cover.,Unresolved,"Assess borrow pit area for general environmental condition (weeds, vegetation establishment, drainage etc.) in 2013.",7. OTHER,,
