Legal Location (W4M),Land Use,Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
NW 22-95-7,Treed,Rare plants - goldthread,"The rare plant species, goldthread, was not observed at KP 7.05. Very little vegetation was observed regenerating. This location is unresolved for rare plants. Contours have been restored.",Further rare plant monitoring recommended in 2013.,,,
NW 22-95-7,Treed Bog,Limited vegetation establishment,The wetland from KP 7.43 to KP 7.52 was observed to be in functional-at-risk condition due to limited vegetation re-establishment. See Plate 2.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE 28-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 7.52 to KP 7.73 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE/NE 28-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 8.16 to KP 9.36 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 28-95-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 9.36 to KP 9.40 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 28-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 9.40 to KP 9.75 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE/NE 33-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 10.18 to KP 10.65 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 33-95-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 10.77 to KP 10.82 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 33-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 10.82 to KP 11.11 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 33-95-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 11.20 to KP 11.25 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE 4-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 11.40 to KP 11.65 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE 4-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 11.72 to KP 11.93 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE 4-96-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 12.03 to KP 12.07 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SE 4-96-7 to SW 9-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 12.07 to KP 13.03 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 9-96-7 to SW 16-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 14.28 to KP 15.12 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SW 16-96-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 15.12 to KP 15.60 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7,Emergent Marsh,Limited vegetation establishment,The wetland from KP 15.60 to KP 15.70 is observed to be in functional-at-risk condition due to limited vegetation re-establishment. See Plate 3.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 15.70 to KP 15.83 is observed to be in functional-at-risk condition due to limited vegetation re-establishment,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7,Emergent Marsh,Limited vegetation establishment,The wetland from KP 15.83 to KP 15.86 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 15.86 to KP 16.04 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 16.04 to KP 16.14 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7,Emergent Marsh,Limited vegetation establishment,The wetland from KP 16.14 to KP 16.17 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 16-96-7 to SW 21-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 16.18 to KP 16.43 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SW 28-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 18.07 to KP 18.28 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 28-96-7,Non-woody Fen,Limited vegetation establishment,The wetland from KP 18.86 to KP 18.89 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 28-96-7,Treed Fen,Limited vegetation establishment,The wetland from KP 18.89 to KP 19.08 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 34-96-7,Treed/ Shrubby Bog,"Rare plants – goldthread, weeds","The rare plant species, goldthread, was not observed at nine locations from KP 20.85 to KP 21.30. The contours did not appear to have been restored and very little vegetation was regenerating. It appears that the newly constructed pipeline that is paralleling and sharing the Project right-of-way has not completed final clean-up. This location is unresolved for rare plants. Perennial sow-thistle, annual hawk’s-beard and horseweed observed on right-of-way from KP 20.85 to KP 21.30. See Plate 4.","Further monitoring is recommended for rare plants. Monitor weeds in 2013, and, if warranted, implement weed control measures.",,,
NW 34-96-7,Shrubby Bog,"Limited vegetation establishment, dry soil conditions",The wetland from KP 21.15 to KP 21.22 is observed to be in non-functional condition due to limited vegetation establishment and dry soil conditions caused by the presence of two existing pipelines on either side of the wetland and a paved access road to the north of the wetland. These existing features have decreased water flow into the wetland. See Plate 5.,There are no practical mitigation measures that can be used to increase soil moisture. Monitor wetland in 2013 to determine if wetland improving. Leave for natural recovery.,,,
NW 34-96-7 to SW 3-97-7,Shrubby Bog,Limited vegetation establishment,The wetland from KP 21.32 to KP 21.40 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SW 3-97-7,Treed Bog,Limited vegetation establishment,The wetland from KP 21.50 to KP 21.83 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SW 3-97-7,Treed Bog/ Treed,Rare plants – goldthread,"One subpopulation of the rare plant species, goldthread, was observed on the right-of-way from KP 21.5 to KP 22.0, consisting of 10 individuals in fair condition. Originally this location supported three sub-populations with thousands of individuals. Due to low vegetation regeneration overall and the greatly reduced numbers of rare plant individuals compared to the original population, this location is considered unresolved. The hydrology in the area appeared to have been altered by all of the construction in the area.",Further rare plant monitoring is recommended in 2013.,,,
