Legal Land Description,Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
D-019-I/094-I-11,Forested,Moderate/High Vegetation Establishment,12.26 to 12.63,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-019-I/094-I-11 to C-018-I/094-I-11,Treed Fen,None,12.53 to 12.73,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-018-I/094-I-11,Forested,Moderate/High Vegetation Establishment,12.63 to 13.00,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-018-I/094-I-11,Forested,Moderate/High Vegetation Establishment,13.00 to 13.02,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-018-I/094-I-11,Forested,Moderate/High Vegetation Establishment,13.02 to 13.36,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-018-I/094-I-11 to A-017-I/094-I-11,Broad-Leaf Treed Swamp,None,13.04 to 13.87,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-017-I/094-I-11,Forested,Moderate/High Vegetation Establishment,13.36 to 13.73,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-017-I/094-I-11,Forested,Moderate/High Vegetation Establishment,13.73 to 14.09,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-017-I/094-I-11 to B-016-I/094-I-11,Treed Fen,None,13.87 to 14.18,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-016-I/094-I-11,Forested,Moderate/High Vegetation Establishment,14.09 to 14.46,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-016-I/094-I-11 (cont’d),Mixedwood Treed Swamp,None,14.18 to 14.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-016-I/094-I-11 to B-015-I/094-I-11,Treed Fen,None,14.30 to 14.87,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-016-I/094-I-11,Forested,Moderate/High Vegetation Establishment,14.46 to 14.83,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-016-I/094-I-11,Forested,Poor Vegetation Establishment/ Ditch Plug,14.76,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-015-I/094-I-11,Forested,Moderate/High Vegetation Establishment,14.83 to 15.19,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-015-I/094-I-11,Forested,Moderate/High Vegetation Establishment,15.19 to 15.56,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-014-I/094-I-11,Forested,Moderate/High Vegetation Establishment,15.56 to 15.93,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-014-I/094-I-11,Treed Bog,None,15.61 to 15.81,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-014-I/094-I-11,Forested,Moderate/High Vegetation Establishment,15.93 to 16.29,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-014-I/094-I-11 to B-013-I/094-I-11,Mixedwood Treed Swamp,None,15.98 to 16.38,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-013-I/094-I-11,Forested,Moderate/High Vegetation Establishment,16.29 to 16.33,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-003-I/094-I-11,Forested,Moderate/High Vegetation Establishment,16.33 to 16.66,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-003-I/094-I-11,Forested,Line-of-Sight Control,16.50,"The line-of-sight control is standing correctly and is effectively blocking views down the right-of-way. The light of sight covers the entire right-of-way (Plate 4, Appendix B).",Monitor in 2015.,,,
D-003-I/094-I-11,Forested,Moderate/High Vegetation Establishment,16.66 to 17.02,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-003-I/094-I-11 to C-002-I/094-I-11,Mixedwood Treed Swamp,None,16.92 to 17.04,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-002-I/094-I-11,Forested,Moderate/High Vegetation Establishment,17.02 to 17.39,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-002-I/094-I-11,Forested,Rare Plant,17.1,15 bog adder’s-mouth orchid were observed.,Resolved – mitigation successful.,,,
C-002-I/094-I-11 to D-002-I/094-I-11,Treed Bog,None,17.04 to 17.41,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-002-I/094-I-11,Forested,Moderate/High Vegetation Establishment,17.39 to 17.76,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-002-I/094-I-11,Mixedwood Treed Swamp,None,17.41 to 17.67,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-001-I/094-I-11,Forested,Moderate/High Vegetation Establishment,17.76 to 18.12,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-001-I/094-I-11,Mixedwood Treed Swamp,None,17.75 to 17.95,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-001-I/094-I-11,Forested,Moderate/High Vegetation Establishment,18.12 to 18.49,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
