Legal Location,1st Year (2013) Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 35-62-7 W6,Treed bog,"June 22, 2014 - Wetland (Treed Bog) (KP 4+370 to KP 4+520) exhibits appropriate contouring. Hydrology within wetland is maintained across disturbance area via natural trench breaks. No sedimentation issues throughout wetland indicated by clear water appearance. Peat depth appears to be good at time of assessment. Good grass and sphagnum moss development within bog. Willow and black spruce starting to emerge within wetland reaching up to 60cm in height. Amphibians appear to be using treed bog as habitat at time of assessment. Wetland appears to be reaching pre-disturbance condition / no net loss of wetland function at this time. To expect further successional development of willows and black spruce in subsequent years. Continue to monitor.","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses and sphagnum. Willow and black spruce establishing.  - Contouring and hydrology appears to be functional. Moderate water flow observed. - A strip of coarse woody debris was observed along the southern edge of the ROW. Likely from the adjacent new construction. - Water in the wetland was clear, indicating an absence of sedimentation issues. - Depth of peat appeared to be good. - Amphibians were noted. - Rutting, likely due to ATV activity, was observed.","June 30, 2016 this is a cleared black spruce wetland; - Small pockets of standing water; no evidence of cross drainage hydrology issues - Vegetation is well established (>95%); - wetland is on a trajectory to reaching pre‑construction functional condition; - Successional development of willows and black spruce will occur over time as seen by the willow growth.","June 21, 2017 - Treed bog at KP 4+350 to 4+520 observed on ROW appears stable.  - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, mosses and willows throughout wetland. Black spruce saplings observed on north edge of ROW. - Trench crown through wetland has naturally settled over the years but remains stable. - Good depth of peat soils with organic build up and moss growth indicate substrate is maintained. - High moisture content in soils and Intermittent emergence of surface water from water table indicate hydrology is maintained. - Wetland is stable and at pre-construction functionality; Black Spruce and Larch will continue to emerge on ROW over time.",,,
NW 36-62-7 W6,Moderate vegetation establishment,"June 22, 2014 - 65-75% vegetation cover on ROW compared to off ROW control. Significant areas along ROW exhibiting bare areas with vegetation just starting to establish. Native grasses starting to establish within ROW. Woody debris present on roach for first 150m with vegetation establishing around it.  - No subsidence, erosion or contour issues.","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses. Deciduous and coniferous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Signs of ATV activity were noted. - A strip of coarse woody debris was observed along the southern edge of the ROW. Likely from the adjacent new construction.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. -Previously noted Intermittent subsidence is no longer evident, issue resolved. August 10, 2016 – Intermittent herbicide application conducted to control meadow hawkweed. - KP 4+745, 4+775, and 5+050, marker posts knocked down. Recommend repairing.","June 22, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses and broadleaf shrubs. - KP 4+570 to 5+440 - meadow hawkweed present on ROW, recommend herbicide application. - Trench crown present and stable in tract. - Marker posts and signs repaired at KP 4+745, 4+775, 4+760 and 5+050. Issues resolved. - No erosion or subsidence issues observed in tract. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed (KP 4+570 to 5+440) September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NE 36-62-7 W6,Moderate vegetation establishment,"June 22, 2014 - 70-75% vegetation cover on ROW compared to off ROW control. Significant areas along ROW exhibiting bare areas with vegetation just starting to establish. Vegetation on ROW consisting of native grasses, clover, golden rod and bluebell. - Cross drains functioning well at time of assessment with good vegetation establishment. - No subsidence, erosion or contour issues.","June 25, 2015 - Vegetative coverage approximately 95%, mostly grasses. All previous vegetation cover issues resolved. Deciduous and coniferous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line, monitor.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. -Cross drains and roach drains functioning effectively and well vegetated. -Previously noted Intermittent subsidence is no longer evident, issue resolved. - Erosion noted at KP 5+900, is not inhibiting the recovery of the ROW, issue resolved. August 10, 2016 - Intermittent herbicide application conducted to control meadow hawkweed.","June 22, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, conifers and broadleaf shrubs on ROW. - KP 5+500, 5+710, 5+760 and 5+800 – meadow hawkweed observed, herbicide application recommended. - Trench crown present and stable in tract. - Minor erosion rill observed at KP 5+470. No work recommended, as the rill is well vegetated and not impacting ROW recovery. Issue resolved. - Erosion noted in 2016 at KP 5+800 to 5+900 has increased in magnitude. Recommend repairs. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved. - Repairs completed to erosion at KP 5+800 to 5+900, issue resolved.",,,
NE 36-62-7 W6 and SW 6-63-6 W6,Treed fen,"June 22, 2014 - Wetland (Treed Fen) (KP 6+250 to KP 6+350) exhibits appropriate contouring. Hydrology within wetland is maintained across disturbance area via natural trench breaks with moderate flow of water through trench breaks. No sedimentation issues throughout wetland indicated by clear water appearance. Exceptional peat depth. Good grass and sphagnum moss development within fen. Amphibians appear to be using treed fen as habitat at time of assessment. Wetland appears to be reaching pre-disturbance condition / no net loss of wetland function at this time. To expect successional development of willows and black spruce in subsequent years. Continue to monitor.","June 25, 2015 - Vegetative coverage approximately 90%, mostly grasses and sphagnum. Willow and black spruce are establishing on the ROW. - Contouring and hydrology appeared to be functional. Moderate water flow observed. - Water in the wetland was clear, indicating an absence of sedimentation issues. - Depth of peat appeared to be good. - Amphibians were noted. - Subsidence, erosion, and admixing were not observed.","June 30, 2016- this is an early succession wetland ringed by infilling black spruce/tamarack/willow/Labrador tea; - Areas of standing water; no evidence of cross drainage hydrology issues; - Vegetation is well established (>95% of off ROW); - Wetland is on a trajectory to reaching pre‑construction functional condition; - Successional development of willows and black spruce will occur over time as seen by willow growth on the older right-of-way at the right side and the infilling of black spruce and tamarack.","June 22, 2017 - Treed fen on ROW from KP 6+230 to 6+350 appears stable. - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of mosses, rushes, grasses and willows. - Trench crown through wetland has naturally settled over the years but remains stable. - No significant ponding issues observed in wetland. - Uniform growth of vegetation indicates that substrate health has been maintained. - High water table and saturated soils indicate hydrology has been maintained. - Wetland is stable and at pre-construction functionality; conifers will begin to emerge on ROW over time. - No subsidence, erosion or weed issues observed in wetland.",,,
,Watercourse crossing: unnamed tributary to Seymour Creek,"June 22, 2014 - (KP 6+300) shows good functioning condition. No erosion or subsidence issues evident within tributary. Banks appear stable with native grasses starting to establish within Dekawe erosion control material. Silt fence on east bank requires repair. Repair silt fence at tributary. July 17, 2014 - Removed silt fence from east and west bank on unnamed tributary to Seymour Creek (KP 6+300), issues resolved.","June 25, 2015 - Vegetative coverage approximately 90%, mostly grasses and sphagnum. Willow and black spruce are establishing on the ROW. - Contouring and hydrology appeared to be functional. Moderate water flow observed. - Water was clear, indicating an absence of sedimentation issues. - Banks appear to be defined and stabile. - Amphibians were noted. - Subsidence, erosion, and admixing were not observed.","June 30, 2016 - Trib to Seymour Creek KP 6+300  - Shows good functioning condition. - No erosion or subsidence issues evident within tributary. - Banks appear stable with excellent vegetation establishment of native grasses.","June 22, 2017 - WC2 stable.  - Banks show 80-100% vegetation cover with good establishment of grasses. - Water level is high through watercourse, likely attributed to heavy recent rainfall. - Revetment posts appear to be stable through watercourse.",,,
,Moderate vegetation establishment,"June 22, 2014 - 70-75% vegetation cover on ROW compared to off ROW control. Vegetation on ROW consisting of native grasses, clover, golden rod and bluebell.","June 25, 2015 - Vegetative coverage approximately 95%, mostly grasses. 2013 vegetation cover issue resolved. - Deciduous and coniferous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - No subsidence, erosion, or admixing observed.","June 30, 2016 - Good vegetation coverage, mostly grasses. - No signs of erosion. - Noxious weeds were not identified.","June 22, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses throughout ROW. - Trench crown has settled over the years along ROW but stable and well vegetated. - No subsidence or erosion issues present in tract. July 15, 2017 - No noxious weeds identified.  September 13, 2017 - No noxious weeds observed in ¼.",,,
NW 31-62-6 W6 and SW 6-63-6 W6,High vegetation establishment,"June 23, 2014 - 60-65% vegetation established compared to off ROW.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. - No signs of erosion. - Noxious weeds were not identified.","June 27, 2016 - Good vegetation coverage, mostly grasses. - No signs of erosion. - Noxious weeds were not identified. August 5, 2016 – Intermittent herbicide application conducted to control meadow hawkweed from KP 6+400 to 6+470.","June 22, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses and willows.  - No Meadow Hawkweed observed in tract. Issue resolved - Trench crown stable and well vegetated. - No subsidence or erosion issues present in tract. July 15, 2017 – KP 6+400; handpicked, bagged and disposed of 1 bull thistle plant. KP 6+350 and 6+440 – handpicked, bagged and disposed of ragwart tansy. September 13, 2017 - No noxious weeds observed in ¼. All previous noxious weed issues resolved.",,,
NW 31-62-6 W6,High vegetation establishment,"June 23, 2014 - 70-75% vegetation established compared to off ROW. - Erosion control berms are well vegetated and appear stable at time of assessment. - Cross ditches are draining off ROW and appear to be in good condition at time of assessment. July 17, 2014 - Water emerging at base of hill on ditchline (KP 6+475). Continue to monitor. Pipeline sign installed at (KP 6+640), issue resolved.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. - ROW showing some areas of moderate vegetation establishment. - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms functioning and well vegetated. - KP 6+475 – water previously emerging from hill, no longer evident, issue resolved.","June 27, 2016 - Excellent vegetation coverage, mostly grasses. - No signs of erosion. - Diversion berms functioning effectively - Patch of perennial sow thistle was identified at KP 6+550, recommend herbicide application. July 16, 2016 – KP 6+470 to 7+090 – Intermittent herbicide application conducted to control perennial sow thistle. August 5, 2016 – Intermittent herbicide application conducted to control meadow hawkweed.","June 22, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows and broadleaf shrubs. - KP 6+550 and 6+960 – meadow hawkweed observed, recommend herbicide application. - No erosion or subsidence issues observed in tract. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 – meadow hawkweed no longer present, issue resolved. - KP 6+560, perennial sow thistle patch observed and controlled via herbicide application. Issue resolved.",,,
NW 31-62-6 W6,"Rare Plant - golden saxifrage (S3?) – KP 6+300 On August 8, 2013, Rare Plant Specialists visited the location and observed the target species. Issue resolved, no further monitoring is recommended",,,,,,,
SE 6-63-6 W6,High vegetation establishment,"June 23, 2014 - 60-65% vegetation established compared to off ROW.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. - ROW showing some areas of moderate vegetation establishment. - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms functioning and well vegetated.","June 27, 2016 - Good vegetation coverage, mostly grasses.  - No signs of erosion. - Diversion berms functioning effectively - Noxious weeds were not identified. August 5, 2016 – herbicide application conducted to control meadow hawkweed at KP 7+250","June 22, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control.  - No erosion or subsidence on track.  July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NE 31-62-6 W6,Localised terrain instability,"June 23, 2014 - 70-75% vegetation established compared to off ROW. - Small areas of bare soil present attributed to recent soil disturbance. - Minor subsidence along ditchline is located at KP 7+400. - Vegetation is growing within the subsidence. - Erosion control berms are well vegetated and appear stable at time of assessment.  July 17, 2014 - Pipeline marker posts down (KP 7+500). -Pipeline sign installed at KP 7+760, issue resolved. - Steel pins removed from diversion berms (KP 7+900 and 9+970), issue resolved.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Pipeline signs and one post missing at KP 7+400 and 7+500. August 20, 2015 – reset and repaired pipeline markers at KP 7+400 and 7+500. Issues resolved.","June 27, 2016 - Good vegetation coverage, mostly grasses. - No signs of erosion. - Diversion berms functioning effectively. - Slumping at KP 8+500, noted in 2013, and subsidence at KP 7+400, noted in 2014, are no longer evident, issues resolved. -1 tall buttercup picked and bagged at KP 7+450, issue resolved. August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 22, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control.  - Cross drains well vegetated and functioning well.  - Trench crown functioning well and well vegetated.  - KP 7+450 - tall buttercup (1 plant) handpicked, bagged and disposed of. - KP 7+800 and 7+940 – KP 7+975 – meadow hawkweed observed, recommend herbicide application. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed.  - KP 7+950 – handpicked, bagged, and disposed of 2 Oxeye daisy plants. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NW 32-62-6 W6,Low vegetation establishment,"June 23, 2014 - 70-75% vegetation cover on ROW compared to off ROW control. Some areas along ROW exhibiting thinner vegetation cover with vegetation just starting to establish. Vegetation consisting of predominately clover as well as golden rod, bluebell, scouring rush and native grasses to a lesser degree. - KP 7+980 to KP 8+100 - exhibits poor vegetation establishment. Willows, horsetail, native grasses and clover starting to emerge within area. Continue to monitor. - Slumping existing on hill slope (KP 8+225) on south side of ROW approximately with sparse vegetation. Slumping does not appear to exist over ditchline at this time. Continue to monitor for risks to pipe integrity/land us. July 17, 2014 - Installed pipeline sign at KP 8+010. Issue resolved - Removed steel pins from diversion berm (KP 8+200). Issue resolved - Silt fence material removed from KP 8+230 and KP 8+425. Issue resolved Slumping hill was repaired during the parallel winter construction on new NGTL pipeline during the winter of 2014/2015. Issue resolved.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses.   - Some areas of moderate vegetation establishment continue to monitor.  - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms tied in from new construction are functioning but may require contouring.   - Some ponding water evident adjacent new construction. - There were no issues noted with the repaired hillslope at KP 8+225.","June 27, 2016 - Good vegetation coverage, mostly grasses. Previously noted vegetation cover issues are no longer present, issues resolved. - No signs of erosion. - Diversion berms functioning effectively - Noxious weeds were not identified. - Minor ponding on South side of ROW in areas due to adjacent TCPL new construction contour /drainage notches. August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 22, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control.  - Trench crown functioning well, and well vegetated. - Cross drains functioning well, and well vegetated. - Previous ponding issues are no longer present, issues resolved. - Meadow hawkweed observed Intermittently, recommend herbicide application. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
