Quarter Section,Tract,Land Use,Land ID,2014 Issue,2015 Issue,2016 Issue,2016 Recommendation,2017 Issue,2017 Recommendation,2018 Issue,2018 Recommendation,Recommendation Rationale,Year 5 PCEM Status,VEC,GIS,Topic
SE 11‐19‐29 W3M,BESK‐0024.0,Cultivated,LAND ID 028,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 01‐19‐29 W3M,BESK‐0027.0,Native prairie,LAND ID 031,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 01‐19‐29 W3M,BESK‐0028.0,Native prairie,LAND ID 032,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 01‐19‐29 W3M,BESK‐0028.0,Native prairie,LAND ID 032,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NE 35‐18‐29 W3M,BESK‐0029.0,Native prairie,LAND ID 033,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 35‐18‐29 W3M,BESK‐0030.0,Native prairie,LAND ID 034,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 36‐18‐29 W3M,BESK‐0031.0,Native prairie,LAND ID 035,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 36‐18‐29 W3M,BESK‐0031.0,Cultivated,LAND ID 036,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 36‐18‐29 W3M,BESK‐0031.0,Cultivated,LAND ID 036,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 25‐18‐29 W3M,BESK‐0033.0,Cultivated,LAND ID 038,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 25‐18‐29 W3M,BESK‐0034.0,Cultivated,LAND ID 039,Contouring,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 25‐18‐29 W3M,BESK‐0034.0,Cultivated,LAND ID 039,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 19‐18‐28 W3M,BESK‐0036.0,Cultivated,LAND ID 041,Contouring,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
,,,,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,No issues.,,,,
NE 19‐18‐28 W3M,BESK‐0037.0,Cultivated,LAND ID 042,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 08‐18‐28 W3M,BESK‐0043.0,Cultivated,LAND ID 048,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 08‐18‐28 W3M,BESK‐0043.0,Cultivated,LAND ID 048,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 08‐18‐28 W3M,BESK‐0043.0,Cultivated,LAND ID 048,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 08‐18‐28 W3M,BESK‐0043.0,Cultivated,LAND ID 048,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 03‐18‐28 W3M,BESK‐0047.0,Cultivated,LAND ID 053,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 03‐18‐28 W3M,BESK‐0047.0,Cultivated,LAND ID 053,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 03‐18‐28 W3M,BESK‐0047.0,Cultivated,LAND ID 053,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SW 03‐18‐28 W3M,BESK‐0048.0,Cultivated,LAND ID 054,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 03‐18‐28 W3M,BESK‐0048.0,Cultivated,LAND ID 054,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 03‐18‐28 W3M,BESK‐0048.0,Cultivated,LAND ID 054,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SE 03‐18‐28 W3M,BESK‐0049.0,Cultivated,LAND ID 055,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 03‐18‐28 W3M,BESK‐0049.0,Cultivated,LAND ID 055,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 03‐18‐28 W3M,BESK‐0049.0,Cultivated,LAND ID 055,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 34‐17‐28 W3M,BESK‐0050.0,Cultivated,LAND ID 056,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 35‐17‐28 W3M,BESK‐0052.0,Cultivated,LAND ID 058,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 35‐17‐28 W3M,BESK‐0052.0,Cultivated,LAND ID 058,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 35‐17‐28 W3M,BESK‐0052.0,Cultivated,LAND ID 058,‐‐‐,‐‐‐,Admixing_2,Monitor Year 5,‐‐‐,‐‐‐,Admixing_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 35‐17‐28 W3M,BESK‐0053.0,Cultivated,LAND ID 059,Admixing,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 35‐17‐28 W3M,BESK‐0053.0,Cultivated,LAND ID 059,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 35‐17‐28 W3M,BESK‐0053.0,Cultivated,LAND ID 059,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 25‐17‐28 W3M,BESK‐0056.0,Cultivated,LAND ID 063,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SE 25‐17‐28 W3M,BESK‐0057.0,Cultivated,LAND ID 064,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SE 25‐17‐28 W3M,BESK‐0058.0,Cultivated,LAND ID 065,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SW 19‐17‐27 W3M,BESK‐0061.0,Cultivated,LAND ID 068,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 19‐17‐27 W3M,BESK‐0061.0,Cultivated,LAND ID 068,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 19‐17‐27 W3M,BESK‐0061.0,Cultivated,LAND ID 068,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SW 19‐17‐27 W3M,BESK‐0061.0,Cultivated,LAND ID 068,‐‐‐,‐‐‐,Subsidence_2,Monitor year 4,Subsidence_2,Monitor Year 5,Subsidence_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 19‐17‐27 W3M,BESK‐0061.0,Cultivated,LAND ID 068,‐‐‐,‐‐‐,Subsidence_3,Monitor year 4,Subsidence_3,Monitor Year 5,Subsidence_3,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 08‐17‐27 W3M,BESK‐0067.0,Cultivated,LAND ID 075,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 13‐16‐27 W3M,BESK‐0086.0,Native prairie,LAND ID 094,Weed concern,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,No further action required.,REPAIR,,,
NE 13‐16‐27 W3M,BESK‐0086.0,Native prairie,LAND ID 094,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 07‐16‐26 W3M,BESK‐0089.0,Cultivated,LAND ID 097,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 07‐16‐26 W3M,BESK‐0089.0,Cultivated,LAND ID 097,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 06‐16‐26 W3M,BESK‐0091.0,Cultivated,LAND ID 099,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 06‐16‐26 W3M,BESK‐0091.0,Cultivated,LAND ID 099,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,No issues.,RESOLVED,,,
SW 06‐16‐26 W3M,BESK‐0092.0,Cultivated,LAND ID 100,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 06‐16‐26 W3M,BESK‐0092.0,Cultivated,LAND ID 100,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 06‐16‐26 W3M,BESK‐0092.0,Cultivated,LAND ID 100,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NW 31‐15‐26 W3M,BESK‐0093.0,Cultivated,LAND ID 101,‐‐‐,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 31‐15‐26 W3M,BESK‐0094.0,Cultivated,LAND ID 102,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 30‐15‐26 W3M,BESK‐0096.0,Improved Pasture,LAND ID 104,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,No issues.,RESOLVED,,,
NW 19‐15‐26 W3M,BESK‐0097.0,Cultivated,LAND ID 106,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 19‐15‐26 W3M,BESK‐0098.0,Cultivated,LAND ID 107,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 32‐14‐26 W3M,BESK‐0110.0,Cultivated,LAND ID 122,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 29‐14‐26 W3M,BESK‐0111.0,Cultivated,LAND ID 123,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 29‐14‐26 W3M,BESK‐0113.0,Cultivated,LAND ID 125,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 21‐14‐26 W3M,BESK‐0115.0,Cultivated,LAND ID 127,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 21‐14‐26 W3M,BESK‐0117.0,Cultivated,LAND ID 129,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
,,,,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,,,,
,,Improved Pasture,LAND ID 130,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
,,Improved Pasture,LAND ID 130,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 16‐14‐26 W3M,BESK‐0118.0,Hay,LAND ID 131,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NE 16‐14‐26 W3M,BESK‐0118.0,Hay,LAND ID 131,‐‐‐,‐‐‐,Weed concern_2,Repair Year 3,Weed concern_2,Monitor Year 5,Weed concern_2,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NW 15‐14‐26 W3M,BESK‐0119.0,Hay,LAND ID 132,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NW 11‐14‐26 W3M,BESK‐0123.0,Native prairie,LAND ID 138,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Repair Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 11‐14‐26 W3M,BESK‐0125.0,Native prairie,LAND ID 140,‐‐‐,Weed concern_1,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 12‐14‐26 W3M,BESK‐0127.0,Native prairie,LAND ID 143,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,REPAIR,,,
SE 12‐14‐26 W3M,BESK‐0127.0,Native prairie,LAND ID 143,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,Monitor Year 5,Vegetation establishment_2,Repair,Not expected to recover without repair.,REPAIR,,,
SW 7‐14‐25 W3M,BESK‐0128.0,Native prairie,LAND ID 144,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,REPAIR,,,
SW 7‐14‐25 W3M,BESK‐0128.0,Native prairie,LAND ID 144,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
SW 7‐14‐25 W3M,BESK‐0128.0,Native prairie,LAND ID 144,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 7‐14‐25 W3M,BESK‐0129.0,Native prairie,LAND ID 145,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Repair Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
SE 7‐14‐25 W3M,BESK‐0129.0,Native prairie,LAND ID 145,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 8‐14‐25 W3M,BESK‐0132.0,Native prairie,LAND ID 148,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
NE 8‐14‐25 W3M,BESK‐0132.0,Native prairie,LAND ID 148,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 9‐14‐25 W3M,BESK‐0133.0,Native prairie,LAND ID 149,Weed concern,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 9‐14‐25 W3M,BESK‐0134.0,Native prairie,LAND ID 150,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 10‐14‐25 W3M,BESK‐0136.0,Native prairie,LAND ID 152,Weed concern,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 11‐14‐25 W3M,BESK‐0137.0,Native prairie,LAND ID 153,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 11‐14‐25 W3M,BESK‐0139.0,Native prairie,LAND ID 155,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Repair Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 2‐14‐25 W3M,BESK‐0140.0,Native prairie,LAND ID 156,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 2‐14‐25 W3M,BESK‐0140.0,Native prairie,LAND ID 156,‐‐‐,Vegetation establishment_1,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
NW 1‐14‐25 W3M,BESK‐0141.0,Native prairie,LAND ID 157,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Repair Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 1‐14‐25 W3M,BESK‐0141.0,Native prairie,LAND ID 157,‐‐‐,‐‐‐,Weed concern_2,Repair Year 3,Weed concern_2,Monitor Year 5,Weed concern_2,Monitor,Confirm conditions are stable.,REPAIR,,,
NW 1‐14‐25 W3M,BESK‐0141.0,Native prairie,LAND ID 157,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_3,Repair,Not expected to recover without repair.,REPAIR,,,
SW 1‐14‐25 W3M,BESK‐0142.0,Native prairie,LAND ID 158,‐‐‐,‐‐‐,Weed concern_1,Repair Year 4,Weed concern_1,Repair Year 5,Weed concern_1,Resolved,No further action required.,RESOLVED,,,
SE 1‐14‐25 W3M,BESK‐0143.0,Improved Pasture,LAND ID 159,‐‐‐,Seed mix/Land use,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Seed mix/Land use,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 20‐13‐24 W3M,BESK‐0152.0,Improved Pasture,LAND ID 168,‐‐‐,Weed concern_1,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,‐‐‐,‐‐‐,Cattle compounded issue.,RESOLVED,,,
SE 16‐13‐24 W3M,BESK‐0157.0,Improved Pasture,LAND ID 174,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
