Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 27-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
NE 28- 108-12 W6,Treed Fen (3.10 to 3.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Adequate cross drains present and functional – no ponding present.",,,
NE 28-108-12 W6,Treed Fen (3.60 to 3.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 27-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
SE 28-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. July 22, 2016 - Evergreen and willows, alders and shrubs species observed.",,,
,Treed Fen (4.10 to 4.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
,Treed Fen (4.10 to 4.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NE 21-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 4+800 – Scentless chamomile and perennial sow thistle observed, recommend implementation of control measures. July 25, 2016 – KP 4+275 and 4+800 – Herbicide application conducted to control scentless chamomile and perennial sow thistle.",,,
NE 21-108-12 W6,Treed Fen (4.40 to 4.54),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 22-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Diversion berms stable and well vegetated.",,,
NW 22-108-12 W6,Forested Low Vegetation Establishment,Low vegetation establishment observed on the north side of the Hay River at the HDD site. Monitor vegetation establishment in 2015.,"July 20, 2016 - Intermittent areas along the workside of the right of way, within temporary workspace areas and within drill exit pad exhibiting sparse vegetation – emerging vegetation continuing to establish.",,,
NW 22-108-12 W6,Forested Weeds,"A low density of scentless chamomile was observed in this area (six total plants). All plants were pulled by the EI at the time of the assessment, however, further monitoring for this species should occur in subsequent years. Monitor for scentless chamomile growth in 2015 and control if required.","July 26, 2016 – Herbicide application conducted to control perennial sow thistle and Canada thistle were sprayed on the north side of the Hay River along the temporary access trail.  Scentless chamomile is no longer present, 2014 issue resolved.",,,
SW 22-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Drill pad area exhibits good establishment of emerging spruce, willows and shrubs.  Planted evergreens identified throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Diversion berms are stable functional, establishing vegetation July 22, 2016 - Perennial sow thistle and scentless chamomile were identified on the south side of the Hay River crossing, recommend implementation of control measures. July 25, 2016 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",,,
SW 22-108-12 W6,Hay River (5.40) High Vegetation Establishment,No issues below the HDD sites on the north and south side of the river were observed.,"July 20, 2016 - Silt fence identified on both sides of Hay River, along temporary access July 22, 2016 - 5+443 - Removed sediment fence south side. – Silt fence was removed from the north and south sides of Hay River along temporary access trail, issues resolved.",,,
NW 15-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 6+710 – Pipeline sign and marker posts loose / leaning, repairs recommended. Sept 22, 2015 - KP 6+710 – Pipeline identification sign and marker posts were repaired, issue resolved.",,,
,Forested Low Vegetation Establishment,Low vegetation establishment observed on the south side of the Hay River at the HDD site. No erosion issues observed.,"July 20, 2016 - Drill pad area exhibits good establishment of emerging spruce, willows and shrubs.  Planted evergreens identified throughout tract.  Low vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 15-108-12 W6 to  SW 15-108-12 W6,Non-woody Fen  (6.70 to 6.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 15-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 6+900 – Silt fence remaining on both sides of drainage, no longer required – removed, issue resolved. - KP 7+380 - Pipeline sign and marker posts loose / leaning – recommend repairs Sept 22, 2015 - KP 7+380 – Pipeline identification signs and marker posts were repaired.",,,
SW 15-108-12 W6,Treed Bog (6.90 to 7.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 15-108-12 W6 to NW 10-108-12 W6,Shrubby Fen (7.30 to 7.70),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 10-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 7+700 – Pipeline sign, markers posts are loose / leaning, recommend repairs. Sept 22, 2015 - KP 7+700 – Pipeline identification signs and marker posts repaired, issue resolved",,,
NW 10-108-12 W6 to SW-10-108-12 W6,Shrubby Fen (8.00 to 8.60),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 10-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 8+680 – Pipeline identification signs and marker post remains loose / leaning, recommend repairs. Sept 22, 2015 - KP 8+680 – Pipeline identification signs and marker posts were repaired.",,,
,Treed Fen (8.90 to 9.10),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 3-108-12 W6,Broad-leaf Treed Swamp (9.20 to 9.55),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 3-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
NW 3-108-12 W6,Shrubby Swamp (9.80 to 10.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 3-108-12 W6,Unnamed tributary to Hay River (10.00) Moderate Vegetation Establishment,Moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation beginning to establish well. No erosion issues observed. Sediment fencing to be removed as soon as practical. Monitor vegetation establishment and slope stability in 2015. Sediment fencing removal scheduled to commence in February 2015.,"July 20, 2016 - Silt fence identified and removed on both sides of watercourse crossing (KP 10+000), issue resolved. – Banks of watercourse are stable and well vegetated (moderate vegetation noted in 2014, issue resolved) – good establishment of grasses, willows, alders, cattails and shrubs.  Minimal flow identified at this time.  Pipeline signs and marker posts remain loose / leaning on both sides of watercourse crossing, recommend repairs. Sept 22, 2016 - KP 9+300, 9+400, and 10+800 - Pipeline identification signs and marker posts were repaired, issues resolved.",,,
SW 3-108-12 W6,Shrubby Swamp (10.10 to 10.35),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 3-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation re-establishment throughout tract. - KP 10+790 – Perennial sow thistle and scentless chamomile identified, recommend implementation of control measures. July 25, 2016 – KP 10+790, Herbicide application conducted to control perennial sow thistle and scentless chamomile. Sept 22, 2016 - KP 10+780 - Pipeline identification signs and marker posts were repaired, issue resolved.",,,
SW 3-108-12 W6,Open Water Pond (10.80 to 10.86),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Remove silt fence north and south side;  - KP 10+800 – Silt fencing was removed today from north side of drainage",,,
SW 3-108-12 W6,Forested Erosion (10.90),"Erosion issue observed at the open water pond.  Beaver dam was extended onto the right-of-way, which overflowed causing the erosion along the slope in this area. Slope currently under repair. Temporary erosion controls have been installed to avoid sedimentation of the wetland.  Additional repairs are scheduled to commence February 2015. The grade will be established, erosion controls will be installed and the area will be seeded.","July 22, 2016 - Erosion repair exhibiting good vegetation establishment, erosion issue is resolved.",,,
NW 34-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - KP 11+800 - Pipeline identification signs and marker posts leaning. - Good vegetation establishment throughout track.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. Sept 22, 2016 - KP 11+800 - Pipeline identification signs and marker posts were repaired.",,,
NW 34-107-12 W6,Treed Bog (11.10 to 11.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout track.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 34-107-12 W6,Treed Bog (11.50 to 11.60)s,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout track.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
SW 34-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout track.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.  - KP12+110 – Marker posts leaning, repair recommended. Sept 22, 2016 - KP 12+110 - Pipeline identification signs and marker posts were repaired.",,,
SW 34-107-12 W6,Broad-leaf Treed Swamp (11.80 to 12.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout track.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
SW 34-107-12 W6 to NW 27-107-12 W6,Treed Fen (12.30 to 12.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout track.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 27-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 27-107-12 W6,Open Water Pond (12.80 to 12.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 27-107-12 W6,unnamed tributary to Hay River (12.90) Low Vegetation Establishment,"Low/moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation beginning to establish. No erosion issues observed. Sediment fencing required to remain in place. Monitor vegetation establishment and slope stability in 2015, reseed if required. Reassess removal of sediment fence if required.","July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.- Removed silt fence north and south sides of River (KP 12+900), issue resolved.",,,
,Seasonal Emergent Marsh (12.90 to 13.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract.",,,
SW 27-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
SW 27-107-12 W6,Shrubby Swamp (13.50 to 13.70),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract.",,,
NW 22-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 22-107-12 W6 to SW 22-107-12 W6,Treed Bog (14.90 to 15.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract.",,,
SW 22-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
SW 22-107-12 W6 to SW 15-107-12 W6,Treed Bog (15.30 to 16.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 – Good vegetation establishment throughout tract.",,,
NW 15-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. July 25, 2016 - One scentless chamomile plant, picked/bagged and disposed of at KP 16+180.",,,
SW 15-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved - KP 17+500 - Shallow erosion, recommend repairs. - KP 16+950 and 17+180 - Sign posts require repairs July 22, 2015 - KP 17+040 and 17+170 – Perennial sow thistle identified, recommend implementation of control measures - KP17+287; Unnamed tributary to Little Buffalo River; removed silt fence north and south side, issues resolved July 25, 2016 – KP 17+120 to 17+140 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.Sept 22, 2016 - KP 16+950 and 17+180- Pipeline identification signs and marker posts repaired, issue resolved. KP 17+500 – Erosion noted earlier in 2016 is no longer evident, improved vegetation cover, issue resolved.",,,
,Open Water Pond (17.20 to 17.34),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
NW 10-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 10-107-12 W6,Treed Bog (17.80 to 18.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract.",,,
SW 10-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
SW 10-107-12 W6,Shrubby Fen (18.70 to 18.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
SW 10-107-12 W6,Treed Fen (18.80 to 18.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
NW 3-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
