Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 1-79-10,Forested,High noxious weed issue,"May 24, 2014 - No weeds observed - Vegetation gROWth 90%-100% of off ROW, Moderate vegetation cover noted in 2013 is no longer present, issue resolved. - Erosion rills noted in 2013 at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. - 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor - 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills starting at approximately KP 4+460, running across ROW.  Repairs recommended. June 5, 2015 – Repairs completed on erosion rills at KP 4+460, monitor in 2016.","June 25, 2016 - 100% vegetation cover of off-ROW.  - Canada thistle observed. Recommend weed control.  - Erosion rills repaired in 2015 at KP 4+600 to 4+640 (mistakenly listed at KP 4+460 in 2015) require additional repairs. - KP 3+965 to 4+200, - All previously noted subsidence are no longer evident or are stable and not impacting land use.  All issues resolved. - KP 4+230 – erosion no longer evident (noted in 2015). Issue resolved. July 18, 2016 – Intermittent herbicide application conducted to control Canada thistle. August 9, 2016 – Repairs completed to erosion at KP 4+600 to 4+640.","May 26, 2017 - ROW was saturated due to recent heavy rainfall. Vegetation establishment is 100% comparable to off ROW control. Excellent grass and broadleaf vegetation establishment. - No noxious weeds observed in tract.  All previous issues resolved. - Rills evident across ROW at KP 3+800, KP 3+950, KP 4+190 and 4+510. Rills are stable and well vegetated and are acting as cross-drains. No land-use capabilities compromised. No work required, issues resolved. - Previous year erosional rill repairs from KP 4+600 to 4+640 and 4+760 remain stable and well-vegetated. No further work required, issues resolved.",,,
NW 1-79-10,Forested,"Moderate erosion issue noted (rills), moderate vegetation issue","May 24, 2014 - No weeds observed - Vegetation gROWth 90%-100% of off ROW, Moderate vegetation cover noted in 2013 is no longer present, issue resolved. - Erosion rills noted in 2013 at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. - 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor - 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills starting at approximately KP 4+460, running across ROW.  Repairs recommended. June 5, 2015 – Repairs completed on erosion rills at KP 4+460, monitor in 2016.","June 25, 2016 - 100% vegetation cover of off-ROW.  - Canada thistle observed. Recommend weed control.  - Erosion rills repaired in 2015 at KP 4+600 to 4+640 (mistakenly listed at KP 4+460 in 2015) require additional repairs. - KP 3+965 to 4+200, - All previously noted subsidence are no longer evident or are stable and not impacting land use.  All issues resolved. - KP 4+230 – erosion no longer evident (noted in 2015). Issue resolved. July 18, 2016 – Intermittent herbicide application conducted to control Canada thistle. August 9, 2016 – Repairs completed to erosion at KP 4+600 to 4+640.","May 26, 2017 - ROW was saturated due to recent heavy rainfall. Vegetation establishment is 100% comparable to off ROW control. Excellent grass and broadleaf vegetation establishment. - No noxious weeds observed in tract.  All previous issues resolved. - Rills evident across ROW at KP 3+800, KP 3+950, KP 4+190 and 4+510. Rills are stable and well vegetated and are acting as cross-drains. No land-use capabilities compromised. No work required, issues resolved. - Previous year erosional rill repairs from KP 4+600 to 4+640 and 4+760 remain stable and well-vegetated. No further work required, issues resolved.",,,
NE 2-79-10,Forested,No issues observed,"May 24, 2014 - No subsidence observed - No weeds observed - Vegetation gROWth 100% of off ROW,  - 4+700, minor rill erosion within natural wet area, not affecting land use, continue to monitor","June 1, 2015 - Vegetation 100% of off ROW control. – There were no noxious weeds noted, – Occupant requested that rocks be removed. - KP 4+700 – erosion rill no longer evident, issue resolved. June 5, 2015 - Rocks hand-picked, issue resolved. October 4, 2015 – East half of ¼ in forested portion of the ROW has great vegetation cover with well-established grasses.  There was also no visible signs of weeds in this portion of the ¼. – Erosion rills were noted in the forested portion of this ¼.  Rills are well vegetated and not affecting land use at this time.","June 25, 2016 - 100% vegetation cover of off-ROW  - No noxious weeds observed in this portion. - KP 4+760, erosion rill observed on north side of ditchline, repairs recommended. - No subsidence was observed in this portion July 18, 2016 – Intermittent herbicide application conducted to control Canada thistle. September 8, 2016 – KP 4+760 – repairs to erosion rill completed. No other erosion noted in this ¼.","May 26, 2017 - 80 - 100% establishment of grasses along the pipeline ROW within the forested section – comparable to off ROW conditions. - Noxious were no longer present, all previous issues resolved. - Minor erosion (KP 4+760) as previously reported was identified; with wattles remaining functional.  Erosion rill is vegetating well, presenting no negative environmental impact; land use is meeting adjacent land capability.  Issue resolved.",,,
NE 2-79-10,Hayland,Moderate erosion issue,"May 24, 2014 - 5+100 and 5+300 slight discolored, lighter, soil, compared to off ROW, continue to monitor later in gROWing season when oats are coming to assess crop conditions in noted area. KP 5+150 – land is no longer in hay land – noxious weed and erosion issues resolved due to land use change. Oct 5, 2014 – – KP 5+100 and 5+300, Slight discoloration of soil noted in spring assessment.  Discoloration of soils has not affected crop density this gROWing season.  No visible difference compared to off ROW.  No further work required, issue resolved.","October 4, 2015 – West half of ¼ was in oats that have not been harvested.  No visible signs of weeds in this portion of the ¼.",No issues noted,"May 26, 2017 - Vegetation within the hayland section of the ROW is comparable to off ROW, with a considerable amount of Canada thistle identified throughout the tract, on and off ROW.  Minor subsidence present that is not impacting land use, no work required, issue resolved.",,,
NE 2-79-10,Hayland,High noxious weed issue,"May 24, 2014 - 5+100 and 5+300 slight discolored, lighter, soil, compared to off ROW, continue to monitor later in gROWing season when oats are coming to assess crop conditions in noted area. KP 5+150 – land is no longer in hay land – noxious weed and erosion issues resolved due to land use change. Oct 5, 2014 – – KP 5+100 and 5+300, Slight discoloration of soil noted in spring assessment.  Discoloration of soils has not affected crop density this gROWing season.  No visible difference compared to off ROW.  No further work required, issue resolved.","October 4, 2015 – West half of ¼ was in oats that have not been harvested.  No visible signs of weeds in this portion of the ¼.",No issues noted,"May 26, 2017 - Vegetation within the hayland section of the ROW is comparable to off ROW, with a considerable amount of Canada thistle identified throughout the tract, on and off ROW.  Minor subsidence present that is not impacting land use, no work required, issue resolved.",,,
NW 2-79-10,Hayland,Moderate weed issue,"May 24, 2014 - L/O recently cultivated hay land, - KP 5+700 – weed and vegetation issues are resolved due to change in land use. - No issues noted","June 1, 2015 - Cultivated – Field has recently been seeded to oats and beginning to sprout. – There were no noxious weeds noted. – Minor subsidence throughout cultivated, not affecting land use. Continue to monitor.","June 27, 2016 – Land use returned to Hay - 60-80% vegetation cover of off-ROW. Seeded to Alfalfa, Brome, and Timothy.  Reduced alfalfa gROWth compared to off ROW. - Canada thistle observed.  Recommend weed control.  Landowner haying operation controlled weeds. - No erosion or subsidence observed, 2015 subsidence issue is no longer present, issue resolved. August 24 and 26, 2016 – KP 5+858 to 5+650 - Subsidence observed at foreign line crossing, recommend repairs.","May 27, 2017 - Vegetation within the hayland section of the ROW is comparable to off ROW, with good establishment of grasses, clover and emerging alfalfa.  2016 vegetation density issue resolved.  Some Canada thistle was identified throughout the tract, consistent with off ROW conditions.  No work Required, issue resolved. - KP 5+858 to 5+650 - Subsidence at foreign line crossing, repairs recommended. July 29 and August 1, 2017 – KP 5+858 to 5+650 - Subsidence repairs completed at foreign line crossing, issue resolved. Landowner’s tenant contacted NGTL concerned with potential impacts to crop productivity in 2018, recommend monitoring vegetation gROWth at repair site (KP 5+858 to 5+650) to determine if repairs have impacted crop.",,,
NW 2-79-10,Hayland,Moderate vegetation issues,"May 24, 2014 - L/O recently cultivated hay land, - KP 5+700 – weed and vegetation issues are resolved due to change in land use. - No issues noted","June 1, 2015 - Cultivated – Field has recently been seeded to oats and beginning to sprout. – There were no noxious weeds noted. – Minor subsidence throughout cultivated, not affecting land use. Continue to monitor.","June 27, 2016 – Land use returned to Hay - 60-80% vegetation cover of off-ROW. Seeded to Alfalfa, Brome, and Timothy.  Reduced alfalfa gROWth compared to off ROW. - Canada thistle observed.  Recommend weed control.  Landowner haying operation controlled weeds. - No erosion or subsidence observed, 2015 subsidence issue is no longer present, issue resolved. August 24 and 26, 2016 – KP 5+858 to 5+650 - Subsidence observed at foreign line crossing, recommend repairs.","May 27, 2017 - Vegetation within the hayland section of the ROW is comparable to off ROW, with good establishment of grasses, clover and emerging alfalfa.  2016 vegetation density issue resolved.  Some Canada thistle was identified throughout the tract, consistent with off ROW conditions.  No work Required, issue resolved. - KP 5+858 to 5+650 - Subsidence at foreign line crossing, repairs recommended. July 29 and August 1, 2017 – KP 5+858 to 5+650 - Subsidence repairs completed at foreign line crossing, issue resolved. Landowner’s tenant contacted NGTL concerned with potential impacts to crop productivity in 2018, recommend monitoring vegetation gROWth at repair site (KP 5+858 to 5+650) to determine if repairs have impacted crop.",,,
,Forested,No issues observed,"May 24, 2014 - No subsidence observed - No weeds observed - Vegetation gROWth 90-100%% of off ROW,","June 1, 2015 - Vegetation appears to be 90 - 100 % of off ROW control. – There were no noxious weeds noted. – No additional issues identified.","June 27, 2016 - 100% vegetation cover of off-ROW  - Canada thistle observed. Recommend weed control. Completed July 18, 2016 – Intermittent herbicide application conducted to control Canada thistle.","May 27, 2017 - 80 - 100% establishment of grasses along the pipeline ROW within the forested section – comparable to off ROW conditions. - Cross drains are functioning appropriately, with water migrating across ROW. - KP 5+860, 5+970, 6+080, and 6+150 – Canada thistle observed, Recommend weed control. July 20, 2017 - KP 5+860, 5+970, 6+080, and 6+150 – Herbicide application conducted to control Canada thistle September 26, 2017 - Canada thistle observed and herbicide application conducted.  Issue resolved.",,,
NE 3-79-10,Forested,"Moderate erosion issue, topsoil loss (eroded in localized area), moderate vegetation issue","May 25, 2014 - No subsidence observed - No weeds observed - Vegetation 90-100% of off ROW.  Moderate vegetation issue in 2013 is resolved. - Minor ATV ruts throughout tract, not affecting land use - Between 6+300 and 6+400 2 erosion ditches crossing the ROW, repairs recommended. July 3, 2014 - KP6+300 to 6+400 erosion repaired, seeded and harROWed.","June 2, 2015 – Vegetation estimated to be 90 - 100% of off ROW control. –Canada thistle noted in lower density than off ROW, not affecting land use. Continue to monitor. – Minor rills from KP6+850 to end of tract, on north side. Possibly do to ATV tracks throughout. Not affecting land use, continue to monitor. – 2014 repairs to erosion ditch from KP 6+300-KP 6+400 have improved vegetation, although erosion is still occurring.  Recommend installation of erosion control measures and reseeding. June 8, 2015 - KP 6+300 to 6+400, installed erosion control measures and reseeded previous erosion repairs, monitor in 2016 - KP 6+300, minor Canada thistle observed. Recommend spot spraying. July 23, 2015 - Herbicide application conducted at KP 6+300 to control Canada thistle. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. Sept. 25, 2015 - Herbicide application conducted at KP 6+300 to control Canada thistle.","June 25, 2016 - 100% vegetation cover of off-ROW.  - Canada thistle observed. Recommend weed control. - Third-party ATV trail observed along north side of ROW. Minor intermittent ruts observed throughout. Not affecting land use, issue resolved. - KP 6+990, erosion rill observed, repairs recommended  No subsidence was observed in this ¼. July 18, 2016 – Intermittent herbicide application conducted to control Canada thistle. August 9, 2016 - KP 6+300 to 6+400, erosion rill stabilized with is good vegetation gROWth, issue resolved. - KP 6+990 – Erosion rill repairs completed.","May 27, 2017 - 80 - 100% establishment of grasses and forbs along the pipeline ROW. - Wet conditions prevail in this area, with low areas exhibiting surface water; cross drains are functioning – water migrating across pipeline ROW appropriately - Previous erosion repairs (KP 6+300 to 6+400) are well vegetated, with previously installed wattles still providing some functional mitigation - no issue as site is meeting adjacent land use capability.  No work required, issue resolved. July 4, 2017 - Canada thistle observed and herbicide application conducted to control.  Issue resolved. September 26, 2017 - Canada thistle observed and herbicide application conducted to control.  Issue resolved.",,,
NW 3-79-10,Forested,"Moderate surface drainage (ponding), microtopography (low area) issue and moderate vegetation issue","May 25, 2014 - No subsidence observed - No weeds observed - Vegetation is 90-100% of off ROW control.  Moderate vegetation issue resolved. - Based on the vegetation coverage, ponding at KP 7+200 is no longer impacting the ROW, issue is resolved.","June 2, 2015 – Vegetation estimated to be 100% of off ROW control. – There were no noxious weeds noted. – Evidence of 3rd party ATV use along north side of ROW, not affecting land use.","June 25, 2016 - 100% vegetation cover of off-ROW.  - Canada thistle observed.  Recommend weed control  - Third-party ATV trail observed along north side of ROW. Minor intermittent ruts observed throughout. Doesn’t appear to be affecting land use. Issue resolved. - No subsidence or erosion observed in 1/4  July 18, 2016 – Intermittent herbicide application conducted to control Canada thistle.","May 27, 2017 - 80 - 100% establishment of grasses and forbs along the pipeline ROW. Vegetation establishment is comparable to off ROW conditions.  There is a considerable amount of organic litter remaining from the previous gROWing season. - Wet conditions prevail in this area, with low areas exhibiting surface water; cross drains are functioning – water migrating across pipeline ROW appropriately - KP 7+350 and 7+410 – Canada thistle observed.  Recommend weed control. July 4, 2017 - KP 7+350 and 7+410 – Herbicide application conducted to control Canada thistle.  Issue resolved. September 26, 2017 - Canada thistle observed and herbicide application conducted to control.  Issue resolved.",,,
