Legal Location,Land Use,2012 Issue(s),2012 Notes,2013 PCMP Recommendation(s),2013 Rare Plant Assessment and Recommendation(s),2013 PCRM Assessment and Recommendation(s),VEC,GIS,Topic
NW 9-96-7 W4 to SW 16-96-7 W4,Treed Fen,Limited vegetation establishment,The wetland from KP 14.28 to KP 15.12 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
SW 16-96-7 W4,Shrubby Fen,Limited vegetation establishment,The wetland from KP 15.12 to KP 15.60 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4,Emergent Marsh,Limited vegetation establishment,The wetland from KP 15.60 to KP 15.70 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4,Shrubby Fen,Limited vegetation establishment,The wetland from KP 15.70 to KP 15.83 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,• 15+700 - signs and posts fallen over at Muskeg R (WC 38) Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4,Emergent Marsh,Limited vegetation establishment,The wetland from KP 15.83 to KP 15.86 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4,Shrubby Fen,Limited vegetation establishment,The wetland from KP 15.86 to KP 16.04 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4,Treed Fen,Limited vegetation establishment,The wetland from KP 16.04 to KP 16.14 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4,Emergent Marsh,Limited vegetation establishment,The wetland from KP 16.14 to KP 16.17 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 16-96-7 W4 to SW 21-96-7 W4,Treed Fen,Limited vegetation establishment,The wetland from KP 16.18 to KP 16.43 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
SW 28-96-7 W4,Treed Fen,Limited vegetation establishment,The wetland from KP 18.07 to KP 18.28 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NE 28-96-7 W4,Non-woody Fen,Limited vegetation establishment,The wetland from KP 18.86 to KP 18.89 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NE 28-96-7 W4,Treed Fen,Limited vegetation establishment,The wetland from KP 18.89 to KP 19.08 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,• 18+900 - New road installed across RoW - needs signs and marker posts Monitor in 2014 - see 2013 Recommendation,,,
NW 34-96-7 W4,Treed/ Shrubby Bog,"Rare plants – goldthread, weeds","The rare plant species, goldthread, was not observedat nine locations from KP 20.85 to KP 21.30. The contours did not appear to have been restored and very little vegetation was regenerating. It appears that the newly constructed pipeline that is paralleling and sharing the Project right-of-way has not completed final clean-up. This location is unresolved for rare plants.Perennial sow-thistle, annual hawk’s-beard and horseweed observed on right-of-way from KP 20.85 to KP 21.30. See Plate 4.","Further monitoring is recommended for rare plants. Monitor weeds in 2013, and, if warranted, implement weed control measures","no plants observed, sites need more time to revegetate; site unresolved; monitor for rare plant in 2015.",,,,
NW 34-96-7 W4,Shrubby Bog,"Limited vegetation establishment, dry soil conditions",The wetland from KP 21.15 to KP 21.22 is observed to be in non-functional condition due to limited vegetation establishment and dry soil conditions caused by the presence of two existing pipelines on either side of the wetland and a paved access road to the north of the wetland. These existing features have decreased waterflow into the wetland. See Plate 5.,There are no practical mitigation measures that can be used to increase soil moisture. Monitor wetland in 2013 to determine if wetland improving. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
NW 34-96-7 to SW 3- 97-7,Shrubby Bog,Limited vegetation establishment,The wetland from KP 21.32 to KP 21.40 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,Monitor in 2014 - see 2013 Recommendation,,,
SW 3-97-7,Treed Bog,Limited vegetation establishment,The wetland from KP 21.50 to KP 21.83 is observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,• 21+900 - Posts down on South side of creek • Minimal growth on RoW from KP 21 - 23 (mostly inside plant site) Monitor in 2014 - see 2013 Recommendation,,,
SW 3-97-7,Treed Bog/Treed,Rare plants – goldthread,"One subpopulation of the rare plant species,goldthread, was observed on the right-of-way from KP21.5 to KP 22.0, consisting of 10 individuals in faircondition. Originally this location supported three sub-populations with thousands of individuals. Due to lowvegetation regeneration overall and the greatly reducednumbers of rare plant individuals compared to theoriginal population, this location is consideredunresolved. The hydrology in the area appeared tohave been altered by all of the construction in the area.",Further rare plant monitoring is recommended in 2013,2 plants were observed; resolved successful; no further work required,,,,
