Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 4-79-12,Tributary of Henderson Creek,"Oct 27, 2013 - Cattle present within creek","May 22, 2014 - KP 4+550, watercourse crossing in great condition.","May 23, 2015 – Watercourse crossing looks good. Creek banks appear stable. Vegetation growth at 100% of density off RoW.  – Canada thistle on watercourse banks. Recommend control.  July 17, 2015 - intermittent (spot spraying) herbicide application conducted to control Canada thistle. September 26, 2015 - Intermittent (spot spraying) herbicide application conducted to control Canada thistle","June 1, 2016 - KP 4+560, Canada thistle observed on banks of watercourse crossing. Recommend weed control.  • KP 4+550, Unnamed Tributary to Henderson Creek looks good. Creek banks and bed appear stable. July 12, 2016 – KP 4+560 - herbicide application (spot spray) conducted to control Canada thistle.",,,
,Rare plants - snakeskin liverwort (KP 4+500) Unresolved: Further monitoring is recommended.,"On August 10, 2013, Rare Plant Specialists visited the location and observed the rare plants on the right-of-way in a suitable habitat. Resolved, no further monitoring is recommended.",,,,,,
NW 4-79-12,Cultivated,,"May 22, 2014 – Field cultivated and seeded, field consistent with off RoW conditions. Monitor crop growth. – No weeds identified.","May 23, 2015 – Field cultivated and seeded, field consistent with off RoW conditions, no weeds identified at time of the assessment. – Bell hole subsidence at KP 5+950. Recommend repairs October 7, 2015 KP 5+950 – subsidence repairs completed.","June 1, 2016  - Vegetation growth at 100% of density off RoW control. Field cultivated and seeded.  - No erosion observed in ¼.  - KP 5+950, 2015 subsidence repairs appear effective. Issue resolved.",,,
NE 5-79-12,MTame pasture - Rill erosion observed on the right-of-way at KP 6.54.  oderate vegetation establishment observed on the right-of-way on the steep slope at KP 6.54.,"June, 2013 - KP 6+000 to 6+700 - Good cover of desirable vegetation. - Subsidence from KP 6+550 – 6+600; requires repair.  - KP 6+450 - rill erosion starting on ditchline and subsidence, repair. July 30, 2013 - KP 5+987. Installed swinging gates on East and west boundaries. Sept 26 - 29, 2013 KP 6+450 – 6+600 – subsidence and erosion repair completed with topsoil fill. 2012 erosion at KP 6+540, issue resolved. Rutting due to landowner activities - repaired Oct 27, 2013 - 100 % vegetation cover, 2012 vegetation cover issue at KP 6+540 is resolved – no other concerns (subsidence, erosion, weeds) in the vicinity","May 22, 2014 – KP 6+125, area with limited vegetation. – Vegetation growth at 90% of density off RoW, with a few bare areas. – No weeds identified. – Minor rutting along RoW in lower portion of field (east side of ¼).  June 11, 2014 – KP 6+125, vegetation cover improved form spring assessment, no work required this year, issue resolved.","June 10, 2015 – Vegetation estimated to be 100% of ground cover on RoW compared to off RoW. Consisting of alfalfa, clover, fescue, timothy, wheat, brome and other forage grasses.  –Small amount of Canada thistle noted to not be affecting land capability. – RoW contouring looks to consistent with natural topography.  - 2013 subsidence and erosion repairs (KP 6+450 to 6+600) no longer evident, issues resolved. – Cracking observed at KP 6+070 to 6+090 occurring along ditch walls and tire ruts at KP 6+210, recommend repairs October 7, 2015 KP 6+070 to 6+090, and KP 6+210– repairs completed.","May 31, 2016 - Vegetation is 100% of off-RoW - No noxious weeds observed. Common weeds (Dandelion and stink weed) observed on and off ROW. Issue resolved. - No erosion observed - KP 6+070 to KP 6+090, Subsidence observed. Recommend re-assessing after hay cut to determine if affecting land use. - 2015 repairs (KP 6+070 to 6+090) to ditch wall cracking appear and tire rut at KP 6+210 effective, issues resolved August 19, 2016 - Assessed subsidence now that hay has been cut and baled. - KP 6+070 to 6+090, intermittent subsidence observed, recommend repairs. September 15, 2016 - subsidence repairs completed from KP 6+070 to 6+090, issue resolved.",,,
NW 5-79-12,"MTame pasture - Poor vegetation establishment observed on the right-of-way.  oderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on right-of-way.","June, 2013 - KP 6+700 to 7+500 Good growth, few weeds no issues.  KP 7+245 vegetation 40-50% of off ROW Weeds - Lambs Quarter and Stinkweed in areas; Control Weeds","May 22, 2014 – KP 6+950, subsidence. Monitor – KP 7+150 to 7+500, subsidence. Monitor. – Vegetation growth at 100% of density off RoW. – No weeds identified. 2012 and 2013 vegetation and weed issues are resolved. – Minor rutting and roughness along RoW due to UTV and cattle activity. June 18, 2014 – Barb wire fencing and cross braces from 2 cross fences Sept 17, 2014 – Previously identified subsidence and rough area noted by Landowner, disking recommended on the RoW.","June 10, 2015 – Vegetation estimated to be 100% of ground cover on RoW compared to off RoW. Consisting of clover, fescue, timothy, wheat, brome and other forage grasses.  – Common weeds present such as dandelion and vetch. Small amounts of Canada thistle detected, not affecting land capability. Continue to monitor.  – RoW contouring looks consistent with natural topography.  August 26, 2015 – KP 6+840, intermittently from KP 6+925 to 6+980, and KP 7+050, and between KP 7+150 to 7+425, subsidence, repairs recommended. – Canada thistle was observed on east portion of ¼. Recommend control this fall with landowner approval as there is cattle in this ¼. September 22, 2015 – KP 6+840, intermittently from KP 6+925 to 6+980, KP 7+050, KP 7+080, intermittently between KP 7+150 to 7+425, KP 7+525, Subsidence, repairs completed. Electric fencing installed to exclude cattle from repair area. Seeded Oct 5, 2015.","May 31, 2016 - Excellent vegetation cover throughout this ¼. - Sporadic Canada Thistle was observed along the ROW through this ¼. Recommend spot spraying with herbicide. Landowner does not want herbicide used on his land. Hand pick in 2017. - KP 6+840 Subsidence repair completed last year has vegetated really well. Straw waddle was removed as it was no longer required. Issue resolved. - KP 6+925 – 6+980, KP 7+050, and KP 7+150 – 7+425 - Subsidence repair is vegetating well, issues resolved. - Waddles were removed from 7+250 as this location was vegetated enough and no longer required the waddles. Waddles were installed at 7+360 where a small erosion rill had formed running down the repaired subsidence.",,,
NE 6-79-12,"MTame pasture - Poor vegetation establishment observed on the right-of-way.  oderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on the right-of-way.","May, 2013 - KP 8+175 and 8+370, erosion. No work recommended, issue resolved.  KP 8+550 – 3rd party Rutting, no work recommended, issue resolved. Oct 27, 2013 - 100 % vegetation cover. No other concerns (subsidence, erosion, weeds) in the vicinity. 2012 vegetation cover and weed issues are resolved.","May 22, 2014  – KP 8+190, erosion, repairs required.  – Vegetation growth at 100% of density off RoW. – No weeds identified. – Minor roughness along RoW due to cattle activity.  Aug 16, 2014 - Observed a moderate amount of Canada thistle, both mature and newly emerging within this tract. Monitor in 2015 and control as required. July 29, 2014 - KP 8+190, erosion, repaired by filling erosion with topsoil.","May 13, 2015 - KP 8+190 Erosion Rill that was repaired 2014 has eroded again, additional repairs required. May 25, 2015 - Vegetation growth is at 100% of density off ROW control. - No weeds or subsidence was observed in pasture field. Canada thistle issue resolved. July 28, 2015 - KP 8+190 - Erosion rill repair completed by Landowner. Erosion control materials installed and electric fencing installed to exclude cattle from repair area.","May 31, 2016 - Vegetation is 90-100% of off-RoW  - No noxious weeds observed. Common weeds (Dandelion and stink weed) observed on and off ROW. - Cattle grazing evident - KP 8+190, 2015 erosion repairs appear effective. Vegetation is growing well and no erosion observed. Waddles appear to have been effective. Issue resolved. - No subsidence observed within ¼",,,
NE 6-79-12,Tributary of Henderson Creek-,,"May 22, 2014 – KP 6+780, watercourse crossing in good condition.","May 25, 2015 - Tributary is well vegetated and banks appear stable.  - Small patches of Canada thistle were observed above the east bank. Recommend control measures. July 31, 2015 – Herbicide application conducted to control Canada thistle. September 26, 2015 - herbicide application conducted to control Canada thistle at KP 7+750.","May 31, 2016 - KP 7+775, Unnamed Tributary to Henderson Creek is in good condition. Tributary is well vegetated and banks appear stable.  Aug 24, 2016 - - KP 7+775, Unnamed Tributary to Henderson Creek is in good condition following flooding earlier this year. Tributary is well vegetated and banks appear stable. Canada thistle is no longer present, issue resolved.",,,
NE 6-79-12,Rare plants - Carolina geranium (KP 7+500) Unresolved: Further monitoring is recommended.,"On August 10, 2013, Rare Plant Specialists visited the location and did not observe the rare plants on or off the right-of-way. The right-of-way was densely covered with grasses and shrub species. Unresolved: Further monitoring is recommended in 2015, earlier in the growing season when the plants are most readily observed.","September 7, 2014 - Thirteen individuals observed 10 m north of the pipeline centre line within the bottom of the dry drainage at the specified GPS location. Resolved, no further monitoring is recommended.",,,,,
SE 6-79-12,"Tame pasture - Poor vegetation establishment observed on the right-of-way.  Moderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on the right-of-way.","Oct 27, 2013 - 100 % vegetation cover. No other concerns (subsidence, erosion, weeds) in the vicinity. 2012 vegetation cover and weed issues are resolved.","May 22, 2014, – Vegetation growth at 100% of density off RoW. – No weeds identified. – Minor roughness along RoW due to cattle activity. July 29, 2014 - Completed topsoil fill throughout tract.","May 25, 2015 - Vegetation growth at 100% of density off RoW - No weeds identified. - Minor roughness along RoW due to cattle activity. - No signs of erosion or subsidence in ¼.","May 31, 2016 - Vegetation growth at 100% of density off RoW. - No noxious on invasive weeds were identified. - Minor roughness along RoW due to cattle activity. - No signs of erosion or subsidence in ¼.",,,
SW 6-79-12,"MTame pasture - Poor vegetation establishment observed on the right-of-way.  oderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on the right-of-way.","Oct 27, 2013 - 100 % vegetation cover. No other concerns (subsidence, erosion, weeds) in the vicinity. 2012 vegetation cover and weed issues are resolved.","May 22, 2014 – KP 8+500, rutting from farm machinery, Re-contour, potentially add topsoil and seed. – Vegetation growth at 100% of density off RoW. – No weeds identified. – Minor roughness along RoW due to cattle activity. July 30, 2014 Completed topsoil fill reclamation, including tire rut at KP 8+500.","May 13, 2015 - KP 9+100 and 9+300, subsidence identified. May 25, 2015 - KP 9+100 and 9+300, subsidence repairs completed by Landowner, issue resolved. - KP 8+500 Minor amount of stinkweed present at location of 2014 tire rut repairs, desirable vegetation likely to outcompete, issue resolved.. - Vegetation growth at 100% of density off RoW.  - Minor roughness along RoW due to cattle activity. - No signs of erosion or additional subsidence in ¼.","May 31, 2016 - Vegetation is at 100% compared to off ROW control.  - No noxious or invasive weeds were observed in this ¼. - No erosion or contour issues. - Subsidence repaired at KP 9+100 and 9+300 in the spring of 2015 is nearly 100% vegetated and subsidence has been resolved. Issue resolved. August 24, 2016 - Completed follow-up assessment on hay ¼ now that it has been hayed. - No erosion or subsidence observed.",,,
SE 1-79-13,Treed-pasture - Poor vegetation establishment observed on the right-of-way at KP 9.90 on the steep slope.,"<s>J</s>une, 2013 - These sections are in good shape, no subsidence issues and the growth is good (2012 vegetation cover issue at KP 9+900 is resolved), however some areas have a large number of weeds (lambs quarter, hemp nettle, and stickweed) Monitor and possible spray out the hemp and lambs quarter. July 4, 2013 - Sprayed for Broadleaf weeds and C. thistle - Much of the stinkweed in SE-1-79-13-W6M has been outcompeted by desirable vegetation.","May 22, 2014 – KP 9+950, slope in good condition. Minor erosion. Continue to monitor – KP 10+250 to 10+400, subsidence, repairs required – Vegetation growth at 100% of density off RoW. – No weeds identified (2013 weed issues resolved). – Minor roughness along RoW due to cattle activity. Aug 21, 2014 - KP 10+250 to 10+380 – Topsoil fill of subsided area, picked rocks and seeded. KP 10+010 – a straw cloth waddle was placed into the span of the area of channel erosion and secured.","June 10, 2015 – Vegetation estimated to be 100% of ground cover on RoW compared to off RoW control. Consisting of alfalfa, clover, orchard, timothy, brome grasses.  – RoW contouring consistent with natural topography.  – 2014 subsidence repairs at KP 10+250 to 10+380 appear stable and vegetating well, issue resolved. – No issues with subsidence, erosion or contouring.","June 1, 2016 - Vegetation cover at 100% compared to off ROW.  - It was a little rough through hayed portion of the ROW due to tire ruts caused by farming but difficult to tell due to vegetation cover. - Hill slope appears stable with minimal erosion. Vegetation cover on slope is about 90% of Off ROW control.  September 13, 2016 - KP 9+500 to 9+900 – landowner concern with rough ROW affecting land use and subsidence at KP 10+000 to 10+300. Repairs recommended. Wet conditions prevented completion of work in 2016, complete in 2017 as soon as ground conditions and landowner will allow.",,,
SE 1-79-13,Tributary of Henderson Creek,,,,"June 1, 2016 - Unnamed tributary to Henderson Creek at KP 9+460 is very well vegetated with lots of shrub tree growth. Creek was bored under along with parallel road crossing which would have a minimal impact on the creek.",,,
