Legal Location,KP,Land Use,Conditions,Notes,Recommendation(s),VEC,GIS,Topic
SE 14-80-20,18+750,Forested,Moderate surface drainage (ponding) issue,Area of temporary ponding observed at the toe of the slope.,Monitor in 2014 and repair if required,,,
SE 14-80-20,18+950,Forested,Moderate erosion issue,Erosion observed associated with the drainage channel.,Monitor in 2014 and install additional erosion controls if required.,,,
SW 14-80-20,19+350,Forested,No issues observed,"Drainage channel is stable, vegetation establishing well.",None,,,
SW 14-80-20,19+375,Forested,No issues observed,The ROW is revegetating well.,None,,,
SW 14-80-20,19+600,Forested,Moderate surface drainage (ponding),Temporary ponding observed near toe of slope.,Monitor in 2014 and repair if required,,,
SW 14-80-20,19+650,Forested,Moderate erosion issue,Erosion observed associated with the drainage channel.,Monitor in 2014 and install additional erosion controls if required.,,,
SW 14-80-20,19+850,Forested,Moderate noxious weed issue,Canada thistle observed on workside and trench line.,Monitor in 2014 and implement appropriate weed control if necessary,,,
NW 14-80-20,20+050,Forested,Moderate surface drainage (ponding) issue,Temporary ponding observed on trench and work side. Vegetation is establishing.,Monitor in 2014 and repair if required,,,
NE 15-80-20,20+350,Forested,"Moderate surface drainage (ponding), Moderate microtopography (erosion) issues, moderate vegetation issue","Ponding and erosion associated with drainage channel observed on the ROW, which is restricting vegetation growth.",Monitor in 2014 and repair if required,,,
NE 15-80-20,20+350,Forested,Moderate Noxious weed issue,Oxeye Daisy observed on the ROW.,Monitor in 2014 and implement appropriate weed control if necessary,,,
NE 15-80-20,20+500,Forested,No issues observed,The ROW is revegetating well.,None,,,
NE 15-80-20,20+750,Forested,"Moderate surface drainage (ponding), issues, moderate vegetation issue",Temporary ponding on work side bare ground associated with ponded water.,Monitor in 2014 and repair if required,,,
SE 22-80-20,21+100,Wetland,Emergent marsh,"Small low areas of slow vegetation re-establishment, however, otherwise excellent vegetation growth on the construction right-of-way; vegetation microsites (e.g., sedge sp.) re-establishing on the construction right-of way.  Appropriate graminoid wetland species (e.g., bluejoint) establishing along the wetland margins.  Excellent vegetation re-establishment at margins of watercourse (e.g., sedge sp.).",Monitor in 2014.,,,
SE 22-80-20,21+150,Watercourse,No issues observed,Watercourse banks are stable and revegetated.,Monitor in 2014,,,
SE 22-80-20,21+200,Forested,Rare Plant,"Purple-stemmed aster - observed growing on the right-of-way, including the ditch line.",Resolved - successful,,,
SW 22-80-20,21+550,Forested,Moderate vegetation issues,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
SW 22-80-20,21+650,Forested,Moderate microtopography (subsidence) issue,Subsidence on trench.,Monitor in 2014 and repair if required,,,
SW 22-80-20,21+650,Forested,Moderate vegetation issues,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
SW 22-80-20,21+800,Forested,Moderate microtopography (subsidence) issue,Subsidence on trench.,Monitor in 2014 and repair if required,,,
SW 22-80-20,21+800,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
SW 22-80-20,22+050,Forested,No issues observed,The ROW is revegetating well.,None,,,
NW 22-80-20,22+150,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
NW 22-80-20,22+450,Forested,Moderate microtopography (subsidence) issue,Subsidence on trench.,Repair scheduled for winter 2014.,,,
NW 22-80-20,22+450,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
NE 21-80-20,22+600,Forested,High microtopography (subsidence) issue,Subsidence observed on spoil side of ROW.,Repair scheduled for winter 2014.,,,
NE 21-80-20,22+625,Forested,"High microtopography (subsidence) issue,  Moderate vegetation issue","Trench subsidence and erosion observed on the ROW exposing portion of pipeline, bare patch of vegetation associated with subsidence.",Repair scheduled for winter 2014.  Monitor in 2014,,,
NE 21-80-20,22+700,Forested,High microtopography (subsidence) issue,Subsidence on trench.,Repair scheduled for winter 2014.,,,
NE 21-80-20,22+700,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
NE 21-80-20,22+750,Watercourse,No issues observed,Watercourse banks are stable and revegetating well.,None,,,
NE 21-80-20,23+250,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
NW 21-80-20,23+550,Forested,Moderate microtopography (subsidence) issue,Subsidence on trench.,Monitor in 2014 and repair if required,,,
NW 21-80-20,23+550,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
