Legal Land Description,Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 15-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 5, 2014 - TransCanada pipeline markers have fallen over at KP 3+800, repairs recommended. July 10, 2014 - 75-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. -  TransCanada pipeline markers repaired at KP 3+800, issue resolved.","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - No subsidence or erosion issues evident from aerial assessment. June 8, 2015 - 85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ditchline. - Scentless Chamomile, perennial sow thistle, and hawkweed present on ROW at KP 4+350. Recommend herbicide application. July 22, 2015- Herbicide application conducted at KP 4+350 to control perennial sow thistle, scentless chamomile, and hawkweed. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no subsidence or other integrity concerns were observed.  Ponding at screw anchor sites and bell holes is no longer evident, 2013 issue resolved.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses, shrubs and aquatic vegetation. Previously noted patches of reduced/low vegetation cover issues resolved. - Wetland functioning well - No erosion or subsidence issues. September 15, 2016 - 85% vegetation established compared to off-ROW. - Patches of Perennial Sow Thistle were observed along ROW at KP 4+200. KP 4+300, and KP 4+400 (scentless chamomile also present at KP 4+400).  Herbicide application conducted to control. - Repairs completed to marker posts at KP 3+800, issue resolved.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing.  Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - KP 3+810, 4+100, and 4+300 to 4+450 - Perennial sow thistle observed, recommend weed control. August 23, 2017 - KP 3+810, 4+100, and 4+300 to 4+450 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
NW 15-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - 80-85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ROW.  - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable.","June 7, 2015- Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- Vegetation on ROW 85-90% compared to off-ROW control. Previously assessed low/reduced vegetation cover were not evident along tract indicating vegetation is flourishing well.  2013 and 2014 issue resolved. - Mineral wetlands along tract stable with good wet-tolerant species thriving. Hydrology maintained as indicated through standing water and saturated soils. - Minor subsidence and ponding evident over screw anchor holes in tract, not affecting land use  July 22, 2015 - Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Wetland vegetation well established.  - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. - Wetland and drainage functioning well - No erosion or subsidence issues. Previously noted subsidence/ponding at screw anchors and bell holes are no longer evident, issue resolved. September 15, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 4+900, KP 4+050 and KP 5+150, herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - KP 5+000 to 5+275 - Perennial sow thistle observed, recommend weed control. August 23, 2017 - KP 5+000 to 5+275 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 10, 2017 - Shrubby swamp on ROW from KP 4+830 to 4+980 appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, aspen and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (arrowheads, cattails) including submergent vegetation in standing water areas. - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled due to high moisture content in substrate. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Wetland exhibiting saturated conditions through the majority of wetland, with standing water present throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as tertiary successional species. Overall, no net loss of wetland function was observed.",,,
,Watercourse,None,No issues noted,"June 8, 2015 - Watercourse within mineral wetland area appears stable with standing water present.",No issues noted.,"August 1, 2017 - No issues noted.",,,
,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - 80-85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ROW.  - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable.","June 7, 2015- Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- Vegetation on ROW 85-90% compared to off-ROW control. Previously assessed bare areas were not evident along tract indicating vegetation is flourishing well.  2013 and 2014 issue resolved. - Mineral wetlands along tract stable with good wet-tolerant species thriving. Hydrology maintained as indicated through standing water and saturated soils. - Minor subsidence and ponding evident over screw anchor holes in tract, not affecting land use  July 22, 2015 - Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Wetland vegetation well established.  - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. - Wetland and drainage functioning well - No erosion or subsidence issues. Previously noted subsidence/ponding at screw anchors and bell holes are no longer evident, issue resolved. September 15, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 4+900, KP 4+050 and KP 5+150, herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - KP 5+000 to 5+275 - Perennial sow thistle observed, recommend weed control. August 23, 2017 - KP 5+000 to 5+275 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
SW 22-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - 75-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - TransCanada pipeline marker posts are missing at KP 5+980. Recommend installing new marker posts.","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. June 8, 2015- Vegetation on ROW 85% compared to off-ROW. No bare areas evident throughout tract indicating vegetation development is progressing positively.  2013 issue resolved. - Perennial sow thistle and scentless chamomile found from KP 5+350 to KP 5+480. Recommend herbicide application. - Roach along ROW stable with cross drains functioning well. - Mineral wetlands throughout tract stable with good wet-tolerant vegetation establishing. Hydrology appears to be maintained through standing water and saturated soils. - Subsidence evident at KP 5+415 and at screw anchor holes within tract. Continue to monitor. July 22, 2015 - Herbicide application to control perennial sow thistle, scentless chamomile, and hawkweed from KP 5+350 to KP 5+480. September 13, 2015- Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses, shrubs and aquatic vegetation.   - Wetland functioning well - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors, bell holes, and KP 5+415 are no longer evident, issues resolved. September 15, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 5+400, KP 5+450 and KP 5+650, herbicide application conducted to control.  Scentless chamomile no longer evident, issues resolved. - KP 5+980 - Marker post installation recommendation was mistaken, no work required, issue resolved.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - Parallel foreign ROW to the east, has infestation of perennial sow thistle. - KP 5+300 to 6+175 - Perennial sow thistle observed, recommend weed control. - KP 5+600 - Scentless chamomile observed, hand-picked and disposed of.  Issue resolved.  August 23, 2017 - KP 5+300 to 6+175 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
NW 22-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - Vegetation cover is 70-80% of off-ROW control - West side of ROW appears to have been used as winter access last winter, so vegetation cover is reduced. - Vegetation cover 90-100% of off-ROW control within wetlands throughout tract. - Minor water ponding within screw anchor holes","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. June 8, 2015- Vegetation on ROW 80-85% compared to off-ROW control. Previously assessed low/reduced vegetation cover were not evident along tract indicating vegetation development is progressing positively. 2013 and 2014 issue resolved. - Roach along tract stable with good vegetation establishing. Cross drains appear to be functioning well. - Mineral wetlands along tract stable with good wet-tolerant species thriving. Hydrology maintained as indicated through standing water and saturated soils. - Minor subsidence evident over screw anchor holes in tract. Does not appear to be affecting land use. July 22, 2015- Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.  - Wetland vegetation well established.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. - Wetland functioning well - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors and bell holes are no longer evident, issues resolved September 16, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 5+900 and KP 6+025, herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - KP 6+375 to 6+900 - Perennial sow thistle observed, recommend weed control. August 23, 2017 - KP 6+375 to 6+900 - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 10, 2017 - Woody swamp on ROW from KP 6+210 to 6+320 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, tamarack and willow. Hydrophytic vegetation emerging throughout wetland (arrowheads, cattails). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled due to high moisture content in substrate. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. Peat accumulation occurring through wetland. - Wetland exhibiting semi-saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",,,
,Watercourse,None,No issues noted,"June 8, 2015 - Watercourse within mineral wetland at KP 6+900 appears stable with standing water present at time of assessment.",No issues noted,"August 1, 2017 - No issues noted.",,,
,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - Vegetation cover is 70-80% of off-ROW control - West side of ROW appears to have been used as winter access last winter, so vegetation cover is reduced. - Vegetation cover 90-100% of off-ROW control within wetlands throughout tract. - Minor water ponding within screw anchor holes","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. June 8, 2015- Vegetation on ROW 80-85% compared to off-ROW control. Previously assessed low/reduced vegetation cover were not evident along tract indicating vegetation development is progressing positively. 2013 and 2014 issue resolved. - Roach along tract stable with good vegetation establishing. Cross drains appear to be functioning well. - Mineral wetlands along tract stable with good wet-tolerant species thriving. Hydrology maintained as indicated through standing water and saturated soils. - Minor subsidence evident over screw anchor holes in tract. Does not appear to be affecting land use. July 22, 2015- Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.  - Wetland vegetation well established. - Third party trails noted parallel to and crossing TransCanada line.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. - Wetland functioning well - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors and bell holes are no longer evident, issues resolved September 16, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 5+900 and KP 6+025, herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Native grasses clover, vetch and willows establishing. Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - KP 6+375 to 6+900 - Perennial sow thistle observed, recommend weed control. August 23, 2017 - KP 6+375 to 6+900 - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 10, 2017 - Shrubby swamp on ROW from KP 6+850 to 7+050 appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, alder and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (arrowheads, common cattails). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled due to high moisture content in substrate. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Wetland exhibiting saturated conditions through the majority of wetland, with standing water present throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water. Killdeer observed on ROW. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",,,
SW 27-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 5, 2014 -  TransCanada pipeline markers have fallen over at KP 7+200 and 7+425, repairs recommended. July 10, 2014 - Vegetation cover 80% of off-ROW. - Repaired marker posts at 7+200 and 7+425, issues resolved. - Minor subsidence at pipeline crossing at 7+400, continue to monitor - Vegetation cover 90-100% of off-ROW control within wetlands throughout tract. - Minor water ponding within screw anchor holes","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. June 8, 2015 - Vegetation establishment within tract 85% compared to off-ROW control. Few areas along tract exhibiting thinner vegetation cover.  2013 low vegetation cover issue resolved - Patch of perennial sow thistle evident at KP 7+160. Recommend herbicide application. - Roach along ROW stable with good vegetation cover predominantly consisting of vetch species’. Cross drains throughout roach are functioning well. - Mineral wetlands within tract stable with good wetland vegetation establishing well. Hydrology appears to be maintained through standing water and saturated soils. - Marker posts knocked down at KP 7+235 and KP 7+400.  Repairs completed, issues resolved. - Minor subsidence evident at access to facility at KP 7+235 and KP 7+400. Minor subsidence and ponding evident over screw anchor holes throughout tract. Continue to monitor. July 22, 2015 - Herbicide application to conducted at KP 7+160 control perennial sow thistle and hawkweed. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed  - Third party trails noted parallel to and crossing TransCanada line","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses and shrubs. Previously noted patches of thinner/low vegetation cover issues resolved. - No noxious weed identified.  - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors, bell holes, KP 7+235, and KP 7+400 are no longer evident, issues resolved - KP 7+250 – Marker posts down at foreign line crossing, recommend repairs.  September 16, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 7+100, KP 7+200, and KP 7+425, herbicide application conducted to control. - Repaired marker posts at foreign line crossing at KP 7+250, issue resolved.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch and willows establishing.  Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - KP 7+200 signs and marker posts were straightened and stabilized.  Issue resolved. - KP 7+050 to 7+200 and 7+370 to 7+600 - Perennial sow thistle observed, recommend weed control.  August 23, 2017 - KP 7+050 to 7+200 and 7+370 to 7+600 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
NW 27-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - Vegetation cover is 80% of off-ROW control throughout tract - Wetland vegetation coming in very well throughout tract - Minor subsidence and water ponding at screw anchor locations throughout tract","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - No subsidence or erosion issues evident from aerial assessment.  June 8, 2015 - Vegetation establishment within tract 85% compared to off-ROW control.  Few areas along tract exhibiting thinner vegetation cover. - Roach through tract stable with good vegetation establishing. Cross drains functioning well. - Mineral wetlands throughout tract stable, indicated by good wet-tolerant vegetation growth. Hydrology maintained as standing water and saturated soils are present within wetlands. - No subsidence or erosion evident throughout tract.  2013/2014 screw anchor and bell hole ponding/subsidence issue resolved. July 22, 2015 - Eight scentless chamomile plants located, picked, bagged, and disposed of.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs. Previously noted patches of thinner/low vegetation cover issues resolved. - No noxious weeds identified. - No erosion or subsidence issues. September 16, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 7+900, herbicide application conducted to control.  Scentless chamomile no longer evident, issue resolved.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch and willows establishing.  Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.",,,
NW 27-82-6 W4,Watercourse,Low vegetation cover,"July 5, 2014 - High vegetation emergence at KP 7+900 near Cottonwood Creek crossing.  2013 low vegetation issue resolved. - Creek banks are stable and well vegetated at time of assessment. - Some siltation on the creek banks likely deposited during the high flows of spring runoff. July 10, 2014  - Creek at 7+950 looks stable, has some siltation on the banks due to spring runoff, no signs of ROW erosion on either side of creek","June 8, 2015 - Creek stable with exceptional willow establishment along both banks. Minor sedimentation present within creek over ROW but appears to be consistent with off-ROW control; water flow does not appear to be impeded. 3rd party ATV bridge evident across watercourse causing thinner vegetation cover over entrance and exit points. Moderate water flow within creek. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no subsidence or other integrity concerns were observed  - A small, 3rd party, bridge is still present.","July 11, 2016 - Cottonwood Creek at KP 8+000 – Banks are well vegetated and stable, moderate flow at this time.   September 16, 2016 - Creek banks appear stable and well vegetated at KP 7+970 watercourse crossing.","August 1, 2017 - Cotton Wood Creek KP 8+087 - Banks are stable and well vegetated. - Good cobble present in bottom.  - Crib posts are functioning well.",,,
,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - Vegetation cover is 80% of off-ROW control throughout tract - Wetland vegetation coming in very well throughout tract - Minor subsidence and water ponding at screw anchor locations throughout tract","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - No subsidence or erosion issues evident from aerial assessment.  June 8, 2015 - Vegetation establishment within tract 85% compared to off-ROW control.  Few areas along tract exhibiting thinner vegetation cover. - Roach through tract stable with good vegetation establishing. Cross drains functioning well. - Mineral wetlands throughout tract stable, indicated by good wet-tolerant vegetation growth. Hydrology maintained as standing water and saturated soils are present within wetlands. - No subsidence or erosion evident throughout tract.  2013/2014 screw anchor and bell hole ponding/subsidence issue resolved.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs. Previously noted patches of thinner/low vegetation cover issues resolved. - No noxious weeds identified. - No erosion or subsidence issues. September 16, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 8+200 and KP 8+650, herbicide application conducted to control.","August 1, 2017 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No noxious weeds identified. - No erosion or subsidence issues.",,,
NE 27-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 5, 2014 -  TransCanada pipeline markers have fallen over at KP 8+750, repairs recommended. July 10, 2014 - Vegetation cover is 70-80% of off-ROW.  Pipeline markers at KP 8+750 repaired, issue resolved.","June 7, 2015 - Vegetation establishing well along ROW. - Wetlands stable throughout tract. - Ponding evident along ROW where a beaver has dammed up water course downstream to the east. - No subsidence or erosion issues evident from aerial assessment.  June 8, 2015 - Vegetation establishment within tract appears to be 80-85% compared to off-ROW control.  2013 low vegetation issue is resolved. - Roach appears stable as indicated through good vegetation growth and good cross-drains functionality. - Mineral wetlands throughout tract stable with good wetland indicative vegetation establishment. Hydrology is maintained through standing water and saturated soils. - ROW flooded (comparable to off-ROW) at KP 8+700 as a result of beaver activity upstream of watercourse. Ditchline roach remains stable through flooded area providing adequate cover over pipeline. - No subsidence or erosion issues evident within tract.  2013 screw anchor/bell hole ponding issue resolved. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no subsidence or other integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - No noxious weeds identified. September 16, 2016 - 85% vegetation established compared to off-ROW. - No noxious weeds observed within tract. - No erosion concerns observed within tract.","August 1, 2017 – No issue noted.",,,
SE-34-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - Vegetation cover is within wetlands 90% of off-ROW control.","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - No subsidence or erosion issues evident from aerial assessment. June 9, 2015 - Vegetation establishment within tract is 90-95% compared to off-ROW control. Vegetation consisting of native grasses, wild rose, bluebell and deciduous species’.  2013 low vegetation cover issues resolved. - Roach within tract stable with good vegetation establishing. Cross-drains are functioning well along roach. - Wetlands within tract stable with good wetland vegetation establishment. Natural conifer saplings evident within wetlands reaching 15 feet tall. - No subsidence or erosion issues evident within tract. 2013 screw anchor ponding/bell hole issue resolved. September 13, 2015 - Vegetation continues to establish throughout the ROW. Grasses and forbs were observed as well as Willows and Black Spruce seedlings.  - Soils stable and no subsidence or other integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses and shrubs.  - Wetlands functioning and flourishing. Excellent growth of aquatic vegetation.  - No erosion or subsidence issues. - Foreign pipeline recently installed to the east of ROW.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch, Raspberry and willows establishing.  Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - KP 9+300 signs and marker posts were straightened and stabilized. Issue resolved. - Perennial sow thistle (KP 9+100) and scentless chamomile (KP 9+275) observed, recommend weed control. August 23, 2017 – herbicide application conducted to control perennial sow thistle (KP 9+100) and scentless chamomile (KP 9+275).  Issue resolved. September 10, 2017 - Shrubby swamp on ROW from KP 8+760 to 8+990 appears to be at full, proper functionality. Beaver dam present in wetland at KP 8+790. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, alder and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (arrowheads, common cattails). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled due to high moisture content in substrate. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Wetland exhibiting saturated conditions through the majority of wetland, with standing water present throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water. Mallard observed at KP 8+790. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",,,
SE-34-82-6 W4,Watercourse,Ponded water caused by beaver dams,"July 10, 2014 - Beaver dam at 8+800 across ROW backing water up across entire ROW.  No work required.","June 9, 2015 - Beaver damn has flooded ROW and off-ROW at KP 8+800 at watercourse within tract.","July 11, 2016 – Banks are vegetated and stable. Minimal flow at this time as the watercourse has been dammed up stream.","August 1, 2017 - Banks are vegetated and stable. Minimal flow at this time as the watercourse has been dammed up stream.",,,
,Mineral Wetland / Treed Wetland / Forested,Low vegetation cover at mulched site.,"July 10, 2014 - Vegetation cover is within wetlands 90% of off-ROW - Repaired marker posts at 8+850 and 9+400, issue resolved. - Vegetation cover between 9+100 and 9+950 40-60% of off-ROW, continue to monitor vegetation.","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - No subsidence or erosion issues evident from aerial assessment. June 9, 2015 - Vegetation establishment within tract is 90-95% compared to off-ROW control. Vegetation consisting of native grasses, wild rose, bluebell and deciduous species’.  2013/2014 low vegetation cover issue is resolved. - Roach within tract stable with good vegetation establishing. Cross-drains are functioning well along roach. - No pipeline marker signs at foreign crossing at KP 9+000. Marker sign to be installed in 2016. - Minor contouring issue evident at 9+400. Not affecting land-use at this time, issue resolved. - Wetlands within tract stable with good wetland vegetation establishment. Natural conifer saplings evident within wetlands reaching 15 feet tall. Hydrology appears to be maintained as indicated through saturated soils. - No subsidence or erosion issues evident within tract. September 13, 2015 - Vegetation continues to establish throughout the ROW. Grasses and forbs were observed throughout the ROW as well as Willows and Black Spruce seedlings.  - Soils stable and no subsidence or other integrity concerns were observed","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses and shrubs.  - Wetlands functioning and flourishing. Excellent growth of aquatic vegetation.  - No erosion or subsidence issues. - Foreign pipeline recently installed to the east of ROW.  - KP 9+230 – herbicide application conducted to control perennial sow thistle.  - KP 9+500 – herbicide application conducted to control individual scentless camomile plants.  September 16, 2016 - Patches of Perennial Sow Thistle were observed along ROW at KP 9+200, KP 9+450, and KP 9+500. Patches of Canada Thistle plant were observed at KP 9+500.  Intermittent herbicide application conducted to control. - Installed TransCanada sign at KP 9+000, issue resolved.","August 1, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Grasses clover, vetch, Raspberry and willows establishing.  Cattails, Bull Rushes, Reed grass, and Cotton grass present in low areas.  - No erosion or subsidence present.  - Perennial sow thistle (KP 9+100) and scentless chamomile (KP 9+275) observed, recommend weed control. August 23, 2017 – herbicide application conducted to control perennial sow thistle (KP 9+100) and scentless chamomile (KP 9+275).  Issue resolved.",,,
