Land Description,Length  (m),Width (m),Observations 2010 Assessment,Observations 2011 Assessment,Observations 2012 Assessment¹,Observations 2013 Assessment,Observations 2014 Assessment¹,Observations 2015 Assessment,Observations 2016 Assessment,VEC,GIS,Topic
NW 33-38-8 W4 CofT No. 002 125 248 +3,200,20 or narrower if ditchline stripped,"Native Range: ROW seeded to improved pasture mix (alfalfa, brome grass, crested wheatgrass) – except around Unnamed Creek Site 1 (A7 mix). Seeded grasses well established. Area deleted as it is tame pasture.",Area deleted as land use is tame pasture.,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,
NW22-38-8 W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species fowl bluegrass (28%), tufted hairgrass (8%), slough grass (7%). •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species western wheat grass and fowl bluegrass (13% each), slender wheat grass (6%), tufted hairgrass (4%). •  Plains rough fescue not seeded, not a suitable range site for the species. •  Kentucky blue grass increased from < 1% to 4%, timothy constant at 3%, Canada bluegrass increased from 0% to 1%, monitor site as it is trending to modified. •  Foxtail barley increased from <1% to 4 %, native but can be related to soil disturbance. •  Litter scored unhealthy (< 50 lb/ac). •  Wire on fence removed, moderate to heavy grazing intensity the previous two years, observed utilization 50%, heavy grazing intensity on control, preferential grazing along truck trail parallel to pipeline trench. •  Bare soil and pugging on ROW, monitor grazing pressure. •  Canada thistle (1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 6-38-7 W4 CofT No. 832 085 462,,,Native Range:  excellent native grass growth including seeded fescue (A1 mix) and fescue plugs; fescue plugs (spring 2010) well established and hard to find amongst density of seeded grasses; fescue plugs found were 3-5”+ high.,"•  Good native vegetation establishment (± 70%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species slender wheat grass (13%), smooth brome (11%), green needle (7%). •  Recovering site Trending to Modified due to the presence of smooth brome and to a lesser extent quack grass. •  Canada thistle (5%) and perennial sow thistle (<1%) require control.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 6-38-7 W4 CofT No. 832 085 463,250,20 or narrower if ditchline stripped,Native Range: excellent native grass growth including seeded fescue (A1 mix) and fescue plugs; fescue plugs (spring 2010) well established and hard to find amongst density of seeded grasses; fescue plugs found were 3-5”+ high.,"•  Good native vegetation establishment (± 70%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (13%), smooth brome (11%), green needle (7%). •  Recovering site Trending to Modified due to the presence of smooth brome and to a lesser extent quack grass. •  Canada thistle (5%) and perennial sow thistle (<1%) require control. •  Trending to Modified.","§  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species Kentucky bluegrass (22%), awnless /smooth brome (11%). •  Plains rough fescue constant at < 1%. •  Kentucky bluegrass increased from< 1% to 22%, awnless brome decreased slightly from 11% to 9%, monitor site as it is trending to modified. •  Fence removed recently, not grazed.  •  Canada thistle (3%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 31-37-7 W4 CofT No. 802 260 951 A,1000,20 or narrower if ditchline stripped,Native Range: excellent native grass growth including seeded fescue (A1 mix) and fescue plugs; fescue plugs (spring 2010) well established; fescue plugs found were 2-3 x more advanced in growth stage than seeded fescue and numerous plugs were 4-6”+ high.,"•  Excellent native vegetation establishment (+/-80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (11%), slender wheat grass (8%), sedge species (6%). •  Plains rough fescue present (2%) from plugs and seed. •  Perennial sow thistle (<1%) requires control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (23%), northern wheat grass (9%). •  Plains rough fescue decreased slightly from 2% to 1%. •  Kentucky bluegrass increased from 0% to 5%, monitor site as it is trending to modified. •  Gates open, unutilized to light grazing intensity, observed utilization 30%. •  Canada thistle (<1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 31-37-7 W4 CofT No. 802 260 951 A,800,20 or narrower if ditchline stripped,Native Range: ROW has been overgrazed; could not tell what were planted fescue plugs and what was seeded; gates were open at south end; I did find one or two fescue plugs on a planting  slope that were not grazed and they were 3-4” high.,"•  Excellent native vegetation establishment (+/-85%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (26%), green needle grass (17%), smooth brome (8%). •  Recovering site Trending to Modified due to the presence of smooth brome. •  Canada thistle (1%) and perennial sow thistle (1%) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (18%), Kentucky bluegrass (7%). •  Plains rough fescue not observed, similar to 2012. •  Awnless/smooth brome decreased from 8% to 5%, Kentucky bluegrass increased from 4% to 7%, monitor site as it is trending to modified. •  Gates open, light to moderate grazing intensity, observed utilization 20%. •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 32-37-7 W4 CofT No. 176Z190A,,,Native Range: ROW has been overgrazed; could not tell what were planted fescue plugs and what was seeded; gates were open at north end.,"•  Excellent native vegetation establishment (+/-85%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species slender wheat grass (17%), green needle grass (10%). •  Plains rough fescue present (4%) from plugs and seed. •  Rare crested wheat grass plant observed (<1%), not a concern at this time. •  Canada thistle and perennial sow thistle (<1% each) require control. •  Plains rough fescue present (7%) from undetermined source. •  Kentucky bluegrass (1%), and smooth brome (2%), not concern at this time. •  Consider removing fence.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings. •  Keystone will be implementing options regarding fence removal, and is planning to remove the fence in 2015.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NW 29-37-7 W4 CofT T No. 176Z190,1050,20 or narrower if ditchline stripped,"Native Range: excellent native grass growth including seeded fescue (revised A2 mix) and fescue plugs; it was very, very difficult to find planted fescue plugs given the overall success of the native grass growth in the east half of the ¼ section – fescue plugs that were found were 3-5” high and well established; the ROW had been overgrazed in the west half of the ¼ section and I could not tell what were planted fescue plugs and what was seeded.","•  Excellent native vegetation establishment (+/-85%) of revised A2 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (22%), green needle grass (20%). •  Plains rough fescue present (7%) from undetermined source. •  Kentucky bluegrass (1%), and smooth brome (2%), not a concern at this time. •  Consider removing fence. •  Canada thistle and perennial sow thistle (<1% each) require control. •  Early Seral Community Stage.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (20%), Kentucky bluegrass (15%). •  Plains rough fescue decreased from 7% to observed estimation of 3%. •  Kentucky bluegrass increased from 1% to 15%, awnless/smooth brome decreased from 2% to < 1%, monitor site as it is trending to modified.  •  Gates open, moderate grazing intensity, observed utilization 40%. •  Significant cattle trail on ROW, consider dropping fence in numerous locations to allow livestock to cross over.  •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results. •  Monitoring to be conducted in 2017.,,,
SW 29-37-7 W4 CofT No. 176Z190,100,20 or narrower if ditchline stripped,Native Range: excellent native grass growth including seeded fescue (revised A2 mix) and fescue plugs; it was very difficult to find planted fescue plugs given the overall success of the native grass growth throughout the ¼ section – fescue plugs that were found were 3-5” high and well established.,"•  Excellent native vegetation establishment (+/-85%) of revised A2 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species slender wheat grass (25%), western wheat grass (13%). •  Recovering site Trending to Modified due to the presence of quack grass (8%). •  Plains rough fescue present (<1%) from seed. •  Canada thistle and perennial sow thistle (1% each) require control.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results. •  Monitoring to be conducted in 2017.,,,
SE 29-37-7 W4 CofT No. 176Z190,1050,20 or narrower if ditchline stripped,Native Range: excellent native grass growth including seeded fescue (revised A2 mix) and fescue plugs; it was very difficult to find planted fescue plugs given the overall success of the native grass growth throughout the ¼ section – fescue plugs that were found were 3-5” high and well established.,"•  Excellent native vegetation establishment (+/-85%) of revised A2 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (25%), western wheat grass (13%). •  Recovering site Trending to Modified due to the presence of quack grass (8%). •  Plains rough fescue present (<1%) from seed. •  Canada thistle and perennial sow thistle (1% each) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (18%), western wheat grass (11%). •  Plains rough fescue not recorded along transect. •  Kentucky bluegrass increased from 2% to 10%, quack grass decreased from 8% to not recorded along transect, monitor site as it is trending to modified. •  Gates open, moderate  grazing intensity, observed utilization 45%. •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
