Location,Soil Issue 2nd Year PCMP (2010),Potential Adverse Effect,Proposed Mitigation,Proposed Schedule,VEC,GIS,Topic
Chainage  4+800 to 4+900,Unmaintained erosion control structures (straw wattles). Exposed topsoil – high erosion potential.,Continued erosion.,Install temporary ECS until such time that permanent measures can be completed. Seed with an approved seed mixture.,Winter 2011. Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage  5+975 to 6+450,"Up to 10% stones (boulder, cobble, and gravel-sized) identified within the ROW.",Decreased soil fertility.,Collect and dispose of stones within the ROW.,Spring/Summer of 2011.,,,
Chainage 6+500 to 6+950,Exposed topsoil on the north slope adjacent Tupper Creek – high erosion potential. Area has been re-seeded.,Continued erosion.,Install temporary ECS until such time that permanent measures can be completed. Monitor seed to ensure that vegetation established; re-seed if required.,Winter 2011. Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 7+149 to 7+601,Exposed topsoil on the south slope adjacent Tupper Creek – high erosion potential. Area has been re-seeded.,Continued erosion.,Install temporary ECS until such time that permanent measures can be completed.  Monitor seed to ensure that vegetation established; re-seed if required.,Winter 2011. Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 7+451,Poorly constructed water bars.,Continued erosion.,Install temporary ECS until such time that permanent measures can be completed. Extend water bars across ROW width and beyond to ensure water is carried off ROW.,Winter 2011. Spring/Summer 2011 with follow-up monitoring in the summer/fall of 2011.,,,
Chainage  11+265 to 11+300,30-40% admixing primarily around the banks of the non-classified drainage.,Decreased soil fertility and root restrictions.,"Import topsoil, seed with an approved seed mix.",Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage  11+238 to 11+338,Exposed topsoil on banks of non-classified drainage – high erosion potential.,Continued erosion.,Install temporary ECS until such time that permanent measures can be completed. eed with approved seed mixture.,Winter 2011. Spring/Summer 2011 with follow-up monitoring in the summer/fall of 2011.,,,
Chainage  11+693 to 12+125,"Up to 15% stones (boulder, cobble, and gravel-sized) spread across the ROW surface.",Decreased soil fertility.,Collect and dispose of stones within the ROW.,Spring/Summer 2011.,,,
Chainages 16+475 to 17+900,"Up to 15% stones (boulder, cobble, and gravel-sized) identified within the disturbed topsoil.",Decreased soil fertility.,Collect and dispose of stones within the ROW.,Spring/Summer 2011.,,,
Chainage 18+400,Rutting on the ROW,Decreased soil fertility and root restrictions.,Re-grade and disk area. Seed with an approved seed mixture.,Spring 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 26+550 to 26+930,Roach atop pipeline trench. Poor contouring.,Decreased soil fertility.,Re-contour.,Winter 2010 with follow-up monitoring Spring of 2011.,,,
Chainage 27+150 to 28+670,"Exposed topsoil – high erosion potential. Up to 10% stones, boulder, cobble and gravel-sized identified within the disturbed topsoil.",Continued erosion. Decreased soil fertility.,Collect and dispose of stones within the ROW.  Seed with an approved seed mixture.,Spring 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 28+100 to 28+150,Between 30% and 40% admixing between the topsoil (“A”) and subsoil (“B”) horizons.,Decreased soil fertility.,Import and incorporate topsoil.  Seed with an approved seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 28+555 to 28+670,Up to 50% admixing between the topsoil (“A”) and subsoil (“B”) horizons.,Decreased soil fertility.,Import and incorporate topsoil.  Re-seed with an approved seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Timber Decking Site A,Vehicle tire rutting. Poor contouring. Topsoil Compaction. Up to 50% admixing between the topsoil (“A”) and subsoil (“B”) horizons. Surface soil less than 80% of the original topsoil depths.,Decreased soil fertility and root restrictions.,"Re-grade and disk area, import additional topsoil, seed with an approved seed mixture.",Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Timber Decking Site J,Surface soil less than 80% of the original topsoil depths.,Decreased soil fertility.,Import and incorporate topsoil. Seed with approved seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Timber Decking Site M,Exposed topsoil – high erosion potential.,Topsoil erosion.,Seed with an approved seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Timber Decking Site P,Up to 50% admixing between the topsoil (“A”) and subsoil (“B”) horizons.,Decreased soil fertility.,"Import additional topsoil, seed with an approved seed mixture.",Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Timber Decking Site Q,Up to 50% admixing and compaction in the northern portion of the decking site.,Decreased soil fertility. Restricted vegetation growth.,Disk in conjunction with incorporating topsoil. Seed with an appropriate seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Timber Decking Site T,Up to 40% admixing between the topsoil (“A”) and subsoil (“B”) horizons.  Poor contouring.,Decreased soil fertility.,Disk in conjunction with incorporating topsoil. Seed with an appropriate seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
