SPREAD,QUARTER SECTION,LAND USE,ISSUES1,REPAIRS COMPLETED YR. 1 (2014),MONITOR/REPAIR YR. 2 (2015),MONITOR YR. 3,STATUS,VEC,GIS,Topic
A,NW 25-18-29 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NE 25-18-29 W3M,Cultivated,Admixing; Subsidence; Wind/water erosion,Subsidence repaired,Monitor subsidence,Monitor admixing; erosion and/or ESC; subsidence,Unresolved,,,
A,SE 25-18-29 W3M,Cultivated,Admixing; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing; contouring; erosion and/or ESC,Unresolved,,,
A,SW 30-18-28 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
A,NW 19-18-28 W3M,Cultivated,Admixing; Contouring,n/a,n/a,Monitor stunted crop; admixing; contouring,Unresolved,,,
A,NE 19-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
A,SE 19-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 20-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 17-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NE 17-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 17-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NE 08-18-28 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,Erosion repaired and/or ESC implemented,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
A,NW 09-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NE 09-18-28 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 09-18-28 W3M,Cultivated,Admixing; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing,Unresolved,,,
A,SW 10-18-28 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NW 03-18-28 W3M,Cultivated,Unable to complete full PCEM assessment*; Admixing; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor stunted crop; admixing; erosion and/or ESC,Unresolved,,,
A,SW 03-18-28 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
A,SE 03-18-28 W3M,Cultivated,Unable to complete full PCEM assessment*; Compaction; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor compaction; erosion and/or ESC,Unresolved,,,
A,NE 34-17-28 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
A,NW 35-17-28 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring,Unresolved,,,
A,SW 35-17-28 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
A,SE 35-17-28 W3M,Cultivated,Admixing; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing,Unresolved,,,
A,NE 26-17-28 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction; erosion and/or ESC,Unresolved,,,
A,NW 25-17-28 W3M,Hay,Contouring; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
A,SW 25-17-28 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
A,SW 25-17-28 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,SE 25-17-28 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,SE 25-17-28 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,NE 24-17-28 W3M,Hay,Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction,Unresolved,,,
A,NW 19-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
A,SW 19-17-27 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,Erosion repaired and/or ESC implemented,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
A,SW 19-17-27 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SE 19-17-27 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,Erosion repaired and/or ESC implemented,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
A,NE 18-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 18-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 17-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 08-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NE 08-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 08-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 09-17-27 W3M,Cultivated,Rutting; Wind/water erosion,n/a,n/a,Monitor stunted crop; rutting,Unresolved,,,
A,NW 04-17-27 W3M,Cultivated,Admixing; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing,Unresolved,,,
A,NE 04-17-27 W3M,Cultivated,Admixing; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing,Unresolved,,,
A,SE 04-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 04-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 03-17-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 34-16-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 34-16-27 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,SE 34-16-27 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NE 27-16-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 26-16-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 26-16-27 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,SE 26-16-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NE 23-16-27 W3M,Native prairie,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,NW 24-16-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 24-16-27 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
A,NW 13-16-27 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,NE 13-16-27 W3M,Native prairie,Admixing; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
A,SE 13-16-27 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SW 18-16-26 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,NW 07-16-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 07-16-26 W3M,Native prairie,Subsidence; Weed concerns,Subsidence repaired,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
A,NW 06-16-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 06-16-26 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
A,NW 31-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 31-15-26 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NW 30-15-26 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,SW 30-15-26 W3M,Improved pasture,Contouring; Weed concerns including downy brome; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
A,SW 30-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 19-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 19-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 19-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NE 18-15-26 W3M,Hay,Contouring; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
A,NW 17-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 17-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 08-15-26 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
A,NW 08-15-26 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SW 08-15-26 W3M,Native prairie,Contouring; Weed concerns; Wind/water erosion,Recontoured,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
A,SW 08-15-26 W3M,Hay,Contouring; Weed concerns; Wind/water erosion,Recontoured,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
A,SE 08-15-26 W3M,Hay,Contouring; Weed concerns; Wind/water erosion,n/a,Monitor contouring,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
A,NE 05-15-26 W3M,Cultivated,Subsidence; Wind/water erosion,Subsidence repaired,n/a,Monitor stunted crop,Unresolved,,,
A,SE 05-15-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 04-15-26 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NW 32-14-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 32-14-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 29-14-26 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NE 29-14-26 W3M,Cultivated,Silt fence and/or construction debris; Wind/water erosion,Silt fence and/or construction debris removed,n/a,Monitor stunted crop,Unresolved,,,
A,SE 29-14-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 28-14-26 W3M,Cultivated,Unable to complete full PCEM assessment*; Subsidence,n/a,Monitor subsidence,Complete PCEM assessment; Monitor subsidence,Unresolved,,,
A,NW 21-14-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 21-14-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 21-14-26 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 21-14-26 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
A,NE 16-14-26 W3M,Hay,Compaction; Contouring,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; contouring,Unresolved,,,
A,NW 15-14-26 W3M,Hay,Compaction; Contouring; Seed catch,Seeded,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; contouring,Unresolved,,,
A,SW 15-14-26 W3M,Native prairie,Admixing; Silt fence and/or construction debris; Subsidence; Weed concerns,Seeded; Silt fence and/or construction debris removed; Subsidence repaired,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing; subsidence,Unresolved,,,
A,SE 15-14-26 W3M,Native prairie,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,NE 10-14-26 W3M,Native prairie,Admixing; Compaction; Scalping; Weed concerns including Canada thistle; Wind/water erosion,Seeded,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction; erosion and/or ESC; scalping,Unresolved,,,
A,NE 10-14-26 W3M,Native prairie,Weed concerns including Canada thistle,Seeded,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,NE 10-14-26 W3M,Native prairie,Seed catch; Weed concerns including Canada thistle,Seeded,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 11-14-26 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 11-14-26 W3M,Native prairie,Weed concerns including crested wheatgrass; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 11-14-26 W3M,Native prairie,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 12-14-26 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 12-14-26 W3M,Native prairie,Subsidence; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SE 12-14-26 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 7-14-25 W3M,Native prairie,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SE 7-14-25 W3M,Native prairie,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 8-14-25 W3M,Native prairie,Scalping; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SE 8-14-25 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 8-14-25 W3M,Native prairie,Admixing; Compaction; Weed concerns including crested wheatgrass; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction; erosion and/or ESC,Unresolved,,,
B,NW 9-14-25 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 9-14-25 W3M,Native prairie,Compaction; Contouring; Weed concerns including crested wheatgrass,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; compaction; contouring,Unresolved,,,
B,NW 10-14-25 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NE 10-14-25 W3M,Native prairie,Scalping; Silt fence and/or construction debris; Trench crowning; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds; Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; scalping; trench crowning,Unresolved,,,
B,NW 11-14-25 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 11-14-25 W3M,Native prairie,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 11-14-25 W3M,Native prairie,Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction,Unresolved,,,
B,NE 2-14-25 W3M,Native prairie,Weed concerns including crested wheatgrass,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 1-14-25 W3M,Native prairie,Weed concerns including crested wheatgrass; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 1-14-25 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 1-14-25 W3M,Improved pasture,Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction,Unresolved,,,
B,NE 36-13-25 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
B,NW 31-13-24 W3M,Improved pasture,Admixing; Contouring; Weed concerns including downy brome,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; contouring,Unresolved,,,
B,SW 31-13-24 W3M,Improved pasture,Admixing; Silt fence and/or construction debris; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds; Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; admixing; contouring; erosion and/or ESC,Unresolved,,,
B,SE 31-13-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 30-13-24 W3M,Hay,Contouring; Scalping; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC; scalping,Unresolved,,,
B,SE 30-13-24 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 29-13-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 29-13-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 20-13-24 W3M,Cultivated,Contouring,n/a,Remove silt fence and/or construction debris,Monitor stunted crop; contouring,Unresolved,,,
B,NE 20-13-24 W3M,Improved pasture,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,NE 20-13-24 W3M,Native prairie,Scalping; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SE 20-13-24 W3M,Native prairie,Scalping; Weed concerns including Canada thistle,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 21-13-24 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 16-13-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 16-13-24 W3M,Improved pasture,Silt fence and/or construction debris; Weed concerns,n/a,Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 16-13-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 15-13-24 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
B,NW 10-13-24 W3M,Cultivated,Unable to complete full PCEM assessment*; Compaction; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor compaction; erosion and/or ESC,Unresolved,,,
B,NE 10-13-24 W3M,Improved pasture,Contouring; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SE 10-13-24 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NE 3-13-24 W3M,Native prairie,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds; Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 2-13-24 W3M,Native prairie,Scalping; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds; Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; scalping,Unresolved,,,
B,SW 2-13-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
