Pipeline Extension Location (KP),Issue(s),Note(s),Recommendations,VEC,GIS,Topic
5.00 – 6.00,Physical  Environment – Erosion,GEroded area (5m wide x 5m long x 0.10m deep) observed along high gradient at KP 5.14. ood riparian vegetation establishment along unnamed tributary  to  Brazion  Creek  at  KP  5.56  (Crossing  #11)  but  some bank material beginning to degrade.,Monitor  erosion in  2015  and repair if unstable.,,,
,Vegetation Establishment/Soil Admixing,MLow  to  no  vegetation  establishment  in  rare  ecosystem  from  KP 5.75 to KP 6.00. oderate  vegetation  establishment  at  KP  5.29  likely  due  to  soil admixing.,"Monitor vegetation  establishment  in  fall, 2015.",,,
,Physical  Environment – Rutting,Rutting (0.2m deep) observed from KP 5.57 to KP 5.94.,Repair rutting and monitor in 2015.,,,
6.00 – 7.00,Vegetation Establishment/Soil Admixing,"LLow  to  no  vegetation  establishment  in  rare  ecosystem  from  KP 6.00 to KP 6.16.  ow  vegetation  establishment  from  KP 6.28  to  KP  6.58,  and  KP 6.84 to KP 7.00 likely due to soil admixing.","Reseed in spring, 2015  and  monitor vegetation establishment in fall, 2015.",,,
6.00 – 7.00,Vegetation – Weeds,Low density of sweet clover observed at KP 6.58.,Control weeds; monitor in 2015.,,,
7.00 – 8.00,Vegetation Establishment/Soil Admixing,MLow to no vegetation establishment from KP 7.00 to KP 7.10 due to soil admixing. oderate vegetation establishment from KP 7.22 to KP 7.54 due to soil admixing.,"Reseed in spring, 2015  and  monitor vegetation establishment in fall, 2015.",,,
7.00 – 8.00,Physical  Environment – Erosion/Infrastructure and Services – Refuse,ADrainage  observed through  ROW  at  KP  7.20  causing  minor erosion. Remnant geotextile fabric observed within drainage.   large  soil  pile  associated  with  a  temporary  work  zone  was identified as remaining at KP 7.80.,RMonitor  erosion in  2015  and repair if unstable. Dispose of refuse appropriately. econtour soil pile and monitor in 2015.,,,
8.00 – 9.00,Physical  Environment – Erosion,Tributary  to  Brazion  Creek  identified  at  KP  8.14  with  sloughing along the left bank.,Monitor  erosion in  2015  and repair if unstable.,,,
8.00 – 9.00,Infrastructure and Services  –  Temporary Work Structures,Corduroy  remaining  along  east  side  of  ROW  from  KP  8.56  to KP 8.73 limiting vegetation establishment.,Monitor  for  vegetation  establishment  in 2015.,,,
8.00 – 9.00,Vegetation – Weeds,Low density of sweet clover observed at KP 8.23 and at KP 8.50.,Control weeds and monitor in 2015.,,,
8.00 – 9.00,Vegetation Establishment/ Soil Admixing,MLow vegetation establishment from KP 8.48 to KP 8.54 likely due to soil admixing. oderate vegetation establishment from KP 8.19 to KP 8.48 likely due to soil admixing.,"Reseed in spring, 2015  and  monitor vegetation establishment in fall, 2015.",,,
9.00 – 10.00,Physical  Environment – Trench Crown,Trench crown observed from KP 9.19 to KP 9.44; does not appear to affect drainage across the ROW.,Install breaks in trench crown and monitor in 2015.,,,
10.00,Vegetation Establishment/ Soil Admixing/Course Fragments,CLow to  moderate  vegetation  establishment from  KP  9.00 to KP 9.44 and from KP 9.76 to KP 9.85 due to admixing. ourse Fragments at KP 9.17 limits vegetation establishment.,"Prepare  (till)  topsoil  layer,  reseed  spring 2015 and monitor fall, 2015.",,,
10.00,Vegetation – Weeds,Low density of sweet clover observed at KP 9.67.,Control weeds and monitor in 2015.,,,
10.00 – 11.00,Physical  Environment – Trench Crown,Trench  crown  observed from  KP  10.66  to  KP  10.85  affecting drainage across the ROW.,Install breaks in trench crown and monitor in 2015.,,,
10.00 – 11.00,Vegetation Establishment/ Soil Admixing,Moderate vegetation establishment at KP 10.00 likely due to soil admixing.,"Reseed in spring, 2015  and  monitor vegetation establishment in fall, 2015.",,,
10.00 – 11.00,Vegetation – Weeds,Low density of sweet clover observed along left bank of Brazion Creek at KP 10.01,Control weeds and monitor in 2015,,,
10.00 – 11.00,Physical  Environment – Erosion,Erosion channel observed along east side of trench crown from KP 10.66 to KP 10.80.,Monitor  erosion in  2015  and repair if unstable.,,,
11.00 – 12.00 11.00 – 12.00,Infrastructure and Services – Culvert/ Physical  Environment - Erosion,MCrushed culvert observed at KP 11.69.  inor erosion observed along drainage to culvert  (Crossing #2) from KP 11.75 to KP 11.80.,Replace  culvert  and  monitor  in  2015  to ensure  culvert  is  not  affecting  drainage along road through the  ROW.  Repair eroded area if unstable.,,,
11.00 – 12.00 11.00 – 12.00,Vegetation – Weeds,"LLHigh density of sweet clover observed from KP 11.00 to KP 11.24.  ow density of scentless chamomile observed at KP 11.62. ow  densities  of  sweet  clover,  dandelion,  and  narrow-leaved hawks beard associated with access road at KP 11.64.",Control weeds and monitor in 2015.,,,
