Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2013) Issue(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,3<s>rd</s> Year (2015) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 35-62-7 W6,Treed bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"June 22, 2014 - Wetland (Treed Bog) (KP 4+370 to KP 4+520) exhibits appropriate contouring. Hydrology within wetland is maintained across disturbance area via natural trench breaks. No sedimentation issues throughout wetland indicated by clear water appearance. Peat depth appears to be good at time of assessment. Good grass and sphagnum moss development within bog. Willow and black spruce starting to emerge within wetland reaching up to 60cm in height. Amphibians appear to be using treed bog as habitat at time of assessment. Wetland appears to be reaching pre-disturbance condition / no net loss of wetland function at this time. To expect further successional development of willows and black spruce in subsequent years. Continue to monitor.","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses and sphagnum. Willow and black spruce establishing.  - Contouring and hydrology appears to be functional. Moderate water flow observed. - A strip of coarse woody debris was observed along the southern edge of the ROW. Likely from the adjacent new construction. - Water in the wetland was clear, indicating an absence of sedimentation issues. - Depth of peat appeared to be good. - Amphibians were noted. - Rutting, likely due to ATV activity, was observed.",,,
NW 36-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 65-75% vegetation cover on RoW compared to off RoW control. Significant areas along RoW exhibiting bare areas with vegetation just starting to establish, possibly attributed to recently disturbed soils and/or woody debris. Native grasses starting to establish within RoW. Woody debris present on roach for first 150m with vegetation establishing around it. Vegetation on roach consisting predominantly (greater than 90%) of non-noxious weeds. Continue to monitor. - Slightly more weeds existing on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail. - No subsidence, erosion or contour issues at time of assessment.","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses. Common weeds observed included dandelion and horsetail. Deciduous and coniferous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Signs of ATV activity were noted. - A strip of coarse woody debris was observed along the southern edge of the ROW. Likely from the adjacent new construction.",,,
NE 36-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Significant areas along RoW exhibiting bare areas with vegetation just starting to establish possibly attributed to recently disturbed soils and/or woody debris. Vegetation on RoW consisting of native grasses, clover, golden rod and bluebell. - Slightly more weeds existing on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail. - Cross drains functioning well at time of assessment with good vegetation establishment. - No subsidence, erosion or contour issues at time of assessment.","June 25, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed include dandelion. Deciduous and coniferous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line, monitor.",,,
NE 36-62-7 W6 and SW 6-63-6 W6,Treed fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"June 22, 2014 - Wetland (Treed Fen) (KP 6+250 to KP 6+350) exhibits appropriate contouring. Hydrology within wetland in maintained across disturbance area via natural trench breaks with moderate flow of water through trench breaks. No sedimentation issues throughout wetland indicated by clear water appearance. Exceptional peat depth at time of assessment. Good grass and sphagnum moss development within fen. Amphibians appear to be using treed fen as habitat at time of assessment. Wetland appears to be reaching pre-disturbance condition / no net loss of wetland function at this time. To expect successional development of willows and black spruce in subsequent years. Continue to monitor.","June 25, 2015 - Vegetative coverage approximately 90%, mostly grasses and sphagnum. Common weeds observed included stinkweed and horsetail. Willow and black spruce are establishing on the ROW. - Contouring and hydrology appeared to be functional. Moderate water flow observed. - Water in the wetland was clear, indicating an absence of sedimentation issues. - Depth of peat appeared to be good. - Amphibians were noted. - Subsidence, erosion, and admixing were not observed.",,,
NE 36-62-7 W6 and SW 6-63-6 W6,Watercourse crossing: unnamed tributary to Seymour Creek,No concerns observed at the watercourse crossing at KP 6.3. Moderate vegetation establishment which is expected to improve in subsequent years.,"June 22, 2014 - (KP 6+300) shows good functioning condition. No erosion or subsidence issues evident within tributary. Banks appear stable with native grasses starting to establish within Dekawe erosion control material. Silt fence on east bank requires repair. Repair silt fence at tributary. Silt fences to remain. July 17, 2014 - Removed silt fence from east and west bank on unnamed tributary to Seymour Creek (KP 6+300). No pipeline signs on either side of watercourse crossing.","June 25, 2015 - Vegetative coverage approximately 90%, mostly grasses and sphagnum. Common weeds observed included stinkweed and horsetail. Willow and black spruce are establishing on the ROW. - Contouring and hydrology appeared to be functional. Moderate water flow observed. - Water was clear, indicating an absence of sedimentation issues. - Banks appear to be defined and stabile. - Amphibians were noted. - Subsidence, erosion, and admixing were not observed.",,,
NE 36-62-7 W6 and SW 6-63-6 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Vegetation on RoW consisting of native grasses, clover, golden rod and bluebell. - Slightly more weeds existing on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail.","June 25, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included stinkweed and horsetail. Deciduous and coniferous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Subsidence, erosion, and admixing were not observed.",,,
NW 31-62-6 W6 and SW 6-63-6 W6,High vegetation establishment,"No concerns observed on the right-of-way, vegetation establishment is high.","June 23, 2014 - 60-65% vegetation established compared to off RoW. - Weed growth is comparable to off RoW at time of assessment.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.   - RoW showing some areas of moderate vegetation establishment. - No signs of erosion. - Noxious weeds were not identified.",,,
NW 31-62-6 W6,High vegetation establishment,"No concerns observed on the right-of-way, vegetation establishment is high.","June 23, 2014 - 70-75% vegetation established compared to off RoW. - Erosion control berms are well vegetated and appear stable at time of assessment. - Cross ditches are draining off RoW and appear to be in good condition at time of assessment. July 17, 2014 - Water emerging at base of hill on ditchline (KP 6+475). Continue to monitor. Pipeline sign installed at (KP 6+640).","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - RoW showing some areas of moderate vegetation establishment. - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms functioning and well vegetated.",,,
SE 6-63-6 W6,High vegetation establishment,"No concerns observed on the right-of-way, vegetation establishment is high.","June 23, 2014 - 60-65% vegetation established compared to off RoW. - Small areas of bare soil present attributed to recent soil disturbance. - Weed growth is comparable to off RoW.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - RoW showing some areas of moderate vegetation establishment. - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms functioning and well vegetated.",,,
NE 31-62-6 W6,Localised terrain instability,Area approximately 8 m x 4 m on the edge of the slope at KP 8.5 has slumped. Slumping is likely due to the very steep slope (> 30%) at this location. Further terrain instability does not appear to be occurring and vegetation is establishing on the slumped area.,"June 23, 2014 - 70-75% vegetation established compared to off RoW. - Small areas of bare soil present attributed to recent soil disturbance. - Minor subsidence along ditchline is located at kp 7+400. - Vegetation is growing within the subsidence. - Erosion control berms are well vegetated and appear stable at time of assessment.  July 17, 2014 - Pipeline marker posts down (KP 7+500). -Pipeline sign installed at KP 7+760  - Steel pins removed from diversion berms (KP 7+900 and 9+970).","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Pipeline signs and one post missing at KP 7+400 and 7+500. August 20, 2015 – reset and repaired pipeline markers at KP 7+400 and 7+500.",,,
NW 32-62-6 W6,Low vegetation establishment,Vegetation on the right-of-way from KP 9.3 to KP 9.6 has low establishment due to high disturbance in this area related to a road. Vegetation cover in this area is expected to improve in subsequent years.,"June 23, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Some areas along RoW exhibiting thinner vegetation cover with vegetation just starting to establish. Vegetation consisting of predominately clover as well as golden rod, bluebell, scouring rush and native grasses to a lesser degree. - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail. - Large area (approximately 120m x entire width of RoW) with significant woody debris (KP 7+980 to KP 8+100) exhibits poor vegetation establishment. Willows, horsetail, native grasses and clover starting to emerge within area. Continue to monitor. - Slumping existing on hill slope (KP 8+225) on south side of RoW approximately 12m x 6m x 1.2m in magnitude with sparse vegetation within effected area. Slumping does not appear to exist over ditchline at this time. Continue to monitor for risks to pipe integrity/land us. July 17, 2014 - Installed pipeline sign at KP 8+010. - Removed steel pins from diversion berm (KP 8+200). - Silt fence material removed from KP 8+230 and KP 8+425. July 21, 2014 - Installed stakes with flagging tape around significant slumping on east-facing hill slope KP 8+230. Slumping hill was repaired during the parallel winter construction on Musreau LL No.3 during the winter of 2014/2015.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.   - Some areas of moderate vegetation establishment continue to monitor.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring.   - Some ponding water evident adjacent new construction. - There were no issues noted with the repaired hillslope at KP 8+225.",,,
NE 32-62-6 W6,High vegetation establishment,"No concerns observed on the right-of-way, vegetation establishment is high.","June 23, 2014 - 75-80% vegetation cover on RoW compared to off RoW control. Areas along RoW exhibiting moderate vegetation cover possibly attributed to low, wet area. Vegetation consisting of clover, scouring rush, golden rod, bluebell and native grasses. Continue to monitor for water-resilient vegetation emergence. - Slightly more weeds existing on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail. - Significant area of relatively bare vegetation cover from KP 9+425 to KP 9+525. Woody debris present within area. Continue to monitor - Minor ponding existing along ditchline from KP 8+975 to KP 8+995. Continue to monitor for ponding water extent.","June 26, 2015 Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - - Some ponding water evident adjacent new construction – similar to off RoW. - Woody debris left in sections along RoW from adjacent construction.",,,
NE 32-62-6 W6,Watercourse crossing: unnamed tributary to Rat Creek - Kp 9+557,No concerns observed at the watercourse crossing at KP 9+557. High vegetation establishment.,"June 23, 2014 - appears stable at time of assessment. Vegetation starting to emerge through Dekawe material on both banks including willows. Minor subsidence on east bank with vegetation establishing. Minor subsidence on west bank with vegetation establishing. Multiple ATV tracks evident through tributary on north side of RoW. Good cobble distribution within tributary. Silt fence can be removed at this time. - Diversion berms function well along RoW with exceptional vegetation establishing. Willows starting to emerge along berms.  July 17, 2014 - Removed silt fence and installed pipeline sign at unnamed tributary to Rat Creek at KP 9+550.","June 26, 2015 - banks are well vegetated appear stable. - Excessive ATV rutting through water crossing to the North side of RoW.  - Minor ponding over ditchline but flow is not blocked. – continue to monitor.",,,
NW 33-62-6 W6,High vegetation establishment,"No concerns observed on the right-of-way, vegetation establishment is high.","June 23, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Significant areas along RoW exhibiting bare areas with vegetation just starting to establish possibly attributed to recently disturbed soils and/or woody debris. Vegetation on RoW consisting of native grasses, clover, golden rod and bluebell. - Weed cover and composition similar on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Some ponding water evident adjacent new construction. - Woody debris left in sections along RoW from adjacent construction.",,,
NW 33-62-6 W6,Watercourse crossing: Unnamed Tributary to Rat Creek,,"June 23, 2014 - Unnamed tributary to Rat Creek - appears to be stable at time of assessment. No subsidence, erosion or ponding issues occurring within tributary. Good vegetation establishment on both banks with willows starting to emerge. Amphibians using tributary as habitat. Silt fence can be removed at this time. - Erosion rill existing slightly north of ditchline at KP 10+000. July 21, 2014 - Implemented straw waddle erosion control material within subsidence along ditchline (KP 10+000).","June 26, 2015 - Banks are well vegetated and appear stable. - Minor ponding over ditchline but flow is not blocked.  – continue to monitor.",,,
NE 33-62-6 W6,High vegetation establishment,"No concerns observed on the right-of-way, vegetation establishment is high.","July 3, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Several areas along RoW exhibiting thinner vegetation cover possibly attributed to recently disturbed soils. Vegetation consisting of clover, aven species’, Indian paintbrush, bluebell and native grasses - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and horsetail.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Some ponding water evident adjacent new construction. - Woody debris left in sections along RoW from adjacent construction.",,,
NE 33-62-6 W6,Shrubby swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,No issues noted,No issues noted,,,
NE 33-62-6 W6,Watercourse crossing: Long Lake Creek - Kp 10+660,No concerns observed at the watercourse crossing at KP 12.0. High vegetation establishment.,"July 3, 2014 - appears to be in stable condition at time of assessment with good vegetation growth through Dekawe material on both banks. No subsidence or erosion issues evident within crossing. Minimal flow of water observed at time of assessment. Silt fencing to be removed.  - Possible slumping along ditchline (KP 10+830) showing a significant amount of ponding water. No ponding evident on parallel lines. Area around ponded water shows good vegetation establishment signifying stabilization. Continue to monitor. July 18, 2014 - Removed silt fence at unnamed tributary to Cutbank Creek on both east and west bank (KP 10+650). - Removed silt fence at KP 10+840. Installed pipeline sign (KP 11+100).","June 26, 2015 - Banks are well vegetated and appear stable. - Minor ponding over ditchline but flow is not blocked. – continue to monitor.",,,
NW 34-62-6 W6,Low vegetation establishment,Vegetation on the right-of-way has not yet established. Vegetation cover is expected to improve in subsequent years.,"July 3, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Areas along RoW exhibiting poor vegetation cover possibly attributed to recently disturbed soils. Continue to monitor for vegetation development along bare areas. - Slightly more weeds existing on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion, cow parsnip and horsetail. - Canada thistle present on ditchline from KP 11+360 to KP 11+340. - Minor water flow down ditchline (KP 11+840) for approximately 40m due to uphill ponding (KP 11+800). Ground around and within erosion appears to have stabilized with vegetation and appropriate root depth. Implementation of straw waddle erosion control should remediate issue. Continue to monitor.  July 21, 2014 - Weed wacked Canada thistle. KP 11+340 to 11+380.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included horsetail and dandelion. Deciduous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted. - KP 11+274 – About 100m of coarse woody debris observed along the southern portion of the ROW from the adjacent new construction. Monitor. - KP 11+340 to 11+400 – Canada thistle was observed concentrated on ditch line. Recommend weed mitigation. - KP 11+360 – 10m x 10m area of reduced vegetative establishment was observed north of ditch line. The patch exhibited higher levels of moisture. Vegetative coverage was approximately 50%. Monitor. - KP 11+600 – An area measuring 2m across ditch line, was noted to have reduced vegetative establishment. The patch exhibited higher levels of moisture. Vegetative coverage was approximately 50%. Monitor. - KP 11+800 – New construction, adjacent to the south of ROW, has resulted in blocking a diversion ditch, causing ponding on ditch line.  - KP 12+000 – About 30m of coarse woody debris observed along the southern portion of the ROW from the adjacent new construction. Monitor.  July 14, 2015 – spot spraying completed from KP 11+274 to 12+000 to control Canada Thistle August 27, 2015 - Canada thistle at KP 11+340 unaffected by earlier herbicide application. Fall herbicide application recommended. September 18, 2015 – spot spraying completed to control Canada Thistle.",,,
NW 34-62-6 W6,Watercourse crossing: Unnamed Tributary to Long Lake - Kp 11+933,"Rill erosion was observed on the slope at KP 12.7, but the erosion control measures are effectively preventing sedimentation from entering the watercourse. Erosion is expected to stabilise as vegetation re-establishes over time.","July 3, 2014- (KP 11+950) appears to be stable at time of assessment with grasses emerging on both banks on path to resemble vegetation cover upstream and downstream of crossing. Minimal water flow through tributary at time of assessment. No subsidence or erosion issues evident. July 18, 2014 - Removed silt fence at unnamed tributary to Long Lake at KP 11+950.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included clover and horsetail. Willow is establishing on the ROW. - Contouring and hydrology appear to be consistent with off ROW. Moderate water flow observed. - Water was clear, indicating an absence of sedimentation issues. - Banks appear to be defined and stabile. Revetment post and coir banks were functional. - Amphibians were noted. - Subsidence was not observed. - Rutting was observed north of the crossing. Signs of ATV activity noted.",,,
,Shrubby Swamp – Kp 11+900,,"July 3, 2014  Wetland (shrubby swamp) at KP 12+050 shows good re-establishment after disturbance. Sphagnum moss starting to establish within wetland. Depth of ‐organic peat appears to be moderate at time of assessment. Expected to show great peat accumulation in subsequent years. No standing water present in wetland at time of assessment. No sedimentation / soil integrity issues within wetland. Amphibians and rodents present within wetland.","June 26, 2015 - Vegetative coverage approximately 90%, mostly grasses, clover and sphagnum. Willow establishing.  - Contouring and hydrology appears to be functional. High water level with moderate flow observed. - Water in the wetland was clear, indicating an absence of sedimentation issues. - Depth of peat appeared to be good. - Amphibians were noted. - Rutting on the north side of ROW, likely due to ATV activity, was observed.",,,
NE 34-62-6 W6,Low vegetation establishment,Vegetation on the right-of-way has not yet established. Vegetation cover is expected to improve in subsequent years.,"July 3, 2014 - ~80% vegetation established compared to off RoW. - Good vegetation establishment at kp 12+450 where sediment fencing has been installed.  - Minor bare patches present along RoW attributed to soil disturbance. - Nominal flows at time of assessment. - Water has ponded on ditchline at kp 12+100. Recommend installation of cross drain to avoid erosion at ditchline.","June 26, 2015 - Vegetative coverage approximately 85%, mostly grasses. Common weeds observed included clover and fireweed.  - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Coarse woody debris observed along the southern portion of the ROW, at times stretching across ditch line. Likely from the adjacent new construction. Monitor. - Signs of ATV activity were noted. - KP 12+400 – Area of reduced vegetative growth concentrated around ditch line, 10m x 30m. Approximate coverage was 40%. Monitor. - KP 12+550 – Low, wet area of reduced vegetative growth on ditch line, 3m x 2m. Area is vegetating slowly. Monitor. - KP 12+650 – Silt fencing and diversion berm associated with adjacent new construction with ponding on ditch line. - KP 12+800 – Drainage off of adjacent new construction resulting in erosion across ROW. Erosion rill has natural flow interruption and is vegetating. Monitor.",,,
NE 34-62-6 W6,Watercourse crossing: Unnamed Tributary to Rat Creek - Kp 12+726,,"July 3, 2014 - Watercourse crossing located at kp 12+700 is in good condition at time of assessment. July 18, 2014 - Removed plywood debris and silt fence on both north and south bank at unnamed tributary to Rat Creek (KP 12+700). - Removed silt fence on east and west bank at cross drain (KP 12+450).","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included dandelion and horsetail. Willow is establishing on the ROW. - Contouring and hydrology appeared to be consist with off ROW. Moderate water flow observed. - Water was clear, indicating an absence of sedimentation issues. - Banks appear to be defined and stabile. Revetment post and coir banks were functional. - Amphibians were noted. - Subsidence was not observed. - Rutting was observed north of the crossing. Signs of ATV activity noted.",,,
SW 35-62-6 W6,High vegetation establishment,"High vegetation establishment observed from KP 14.0 to KP 14.8. Slight decrease near road due to increased disturbance, but many seedlings present.","July 3, 2014 - 80-85% vegetation established compared to off RoW. - Minor bare patches present along RoW attributed to soil disturbance. - No noxious weeds observed during assessment. July 18, 2014 - Removed plywood debris (KP 13+760).","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included horsetail and clover. - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted. - KP 13+340 – Approximately 10m of perennial sow thistle was observed, concentrated around ditch line. Recommend weed control measures. July 14, 2015 – spot spraying completed from KP 13+275 to 14+180 to control perennial sow thistle. August 27, 2015 - Perennial sow thistle along ditch line unaffected by earlier herbicide application. Fall herbicide application recommended. September 18, 2015 – spot spraying completed to control perennial sow thistle.",,,
NW 26-62-6 W6,Low vegetation establishment,Vegetation on the right-of-way has not yet established. Vegetation cover is expected to improve in subsequent years.,"June 21, 2014 - 85-95% vegetation cover on RoW compared to off RoW control with few areas exhibiting thinner vegetation. Establishment of native grasses, scouring rush and clover along RoW. - Weed cover on RoW comparable to off RoW control. Non-noxious annual weeds consisting of dandelion and horsetail present on RoW. - No subsidence, erosion or contour issues present at time of assessment.","June 26, 2015 Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included dandelion and clover. - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted.",,,
