Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,Discipline (field planning),"AMEC PCEM Observations, 2013","AMEC PCEM Observations, 2014","AMEC PCEM Observations, 2015","Amec FW Observations, 2016","Amec FW Observations, 2017","Wood Observations, 2018",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
16,54+580 to 54+610,NW 14-5-34 W1,Wetland (W-321) Weeds,,Wetland,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Not assessed in 2015.,Emergent vegetation establishing around wetland. It remains weedy outside the riparian area. Woody vegetation will not be permitted to establish on RoW due to pipeline integrity requirements.,Emergent vegetation is well established. Weed composition and abundance are comparable on and off ROW. Issue resolved,,,Resolved,,,,
17,56+840,NE 13-5-34 W1,Watercourse crossing (Antler River),Rare plant,Watercourse,"Viola pedifida, Lillium philadelphicum  not observed.","Viola pedifida, Lillium philadelphicum  not observed.","Lillium philadelphicum  observed, Viola pedifida   not observed.",No rare  plants observed.,Prairie lily found on and off RoW. Viola pedifida  not found.,June: did not locate V. pedatifida (S3)on or off of the ROW but noted numerous specimen of V. nephrophylla (S4) both on and off the ROW.                  July: 2 No viola found.                                          August 24: No rare plant found.Confirmed with regional botanists (regulatory and U of S) that this was likely misidentified during preconstruction surveys.     Consider resolved,None recommended.,Resolved,"Inquiries with regional botanical data centres suggested the species of plant V. pedatifida  was misidentified during pre-construction surveys. There are no records to indicate that this plant grows in this region of the province.  V.pedatifida prefers to grow in dry gravelly hills and exposed banks. V.pedatifida  looks similar to V.nephrophylla , which grows in moist meadows, streambanks, willow thickets, and moist open woods. The habitat in this area would be more suited to the V.nephrophylla  than the V.pedatifida .",,,
18,59+250,NW 17-5-33 W1,Crop,Rare plant,Terrestrial,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Prairie lily found on and off RoW.,,None recommended.,Resolved,Land use for this area has changed from modified grassland to crop since construction and no longer suitable habitat to support this rare plant.,,,
18,59+450,NW 17-5-33 W1,,Subsidence,Terrestrial,,,,There are two small areas (5m x 5m) still holding water in the RoW. Pretty minor. May be resolvable if landowner is OK with it.,No signs of subsidence. Issue has been resolved.,,"Added topsoil, cultivated and recontoured in May 2016.",Resolved,,,,
19,62+000,SE 21-5-33 W1,Crop,"Vegetation establishment, coarse fragments",Terrestrial,August 2013: Some bare patches; unsure of cause.  Unsure of how landowner was managing land and timeline of chemical treatments.,"August 2014: Area appears to have been sprayed (chem fallow), not sure about productivity of land (no crop). Some bare patches.  Unsure of how landowner was managing land and timeline of chemical treatments.",Some bare patches and coarse fragments.,"Soybean crop planted in 2016. Crop is fairly patchy along RoW and a fair amount of coarse fragments between 62+000 to 62+500, however, the RoW follows a ridge line in the field that may contribute to the poor crop growth and coarse fragments.",Vegetation establishment is comparable on and off RoW. Issue resolved.,,Landowner cultivated RoW in spring 2016.,Resolved,,,,
19,64+250,SE-27-5-33W1,Wetland (W-323) Weeds,,Wetland,,,,"Weedy species, including foxtail barley and dock present in the riparian vegetation.",Weed composition and abundance on edge of wetland is comparable on and off RoW. No indication of weak crop growth on RoW. Issue resolved.,,,Resolved,,,,
20,65+600,NW 26-5-33 W1,Wetland (W-340) Weeds,,Wetland,,July 2014: Silt fence no longer required/functioning.,,Weedy along entire wetland.,"Bare patch in RoW low lying area. Minor salinity issues around wetland but consistent with other wetlands in area. Could be compaction issue, shovel pit recommended. Weeds are noted along wetland on and off RoW.",Canola crop with bare patch still evident along edge of wetland overlapping ROW. 20X20 Still exhibiting signs of salinity. Wetland has been cultivated. Compaction test negative. Saline areas are evident on wetland edges off ROW as well in the area.  Due to dryer conditions and not construction related.,Removed silt fence in September 2014.,Resolved,"Pre-construction data (2010) from Matrix suggests that this wetland has always had significant weed issues (most notably Cirsium arvense ), noted as healthy with problems during preconstruction surveys. The field notes suggest that the low-lying area of the wetland is bare and that Cirsium arvense  (Canada thistle) is encroaching the centre of the wetland.",,,
20,65+740,NW 26-5-33 W1,Wetland,Rare plant,Wetland,Polygala senega  and Lillium philadelphicum  not observed.,Polygala senega  and Lillium philadelphicum  not observed.,Polygala senega  and Lillium philadelphicum  not observed.,Polygala senega  and Lillium philadelphicum  not observed.,No rare plants found on or off RoW,"June: Did not find the target species. However,  a population of 100+ Small yellow ladies' slippers (S3), was identified both on and off of the ROW.  July: No rare plant found.August: No rare plant found.Suggest ground conditions are too dry to support the rare plants observed during pre-construction conditions, although habitat is otherwise suitable. Consider resolved.",None recommended.,Resolved,,,,
20,67+050,SE 36-5-33 W1,Wetland,Rare plant,Wetland,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Sprayed to edge of wetland. No rare plant found. Suggest land is no longer suitable to support rare plants. Consider resolved.,,None recommended,Resolved,,,,
21,69+200,SE-1-6-33W1,Hayland,Subsidence - daylighting holes,Terrestrial,,,,Sunken bore hole still visible and holding some surface water. Suggest adding some topsoil to level.,Subsidence still visible. RoW is on the edge of a low area.,,,Resolved,,,,
22,71+400 to 73+600,,Crop,"Vegetation establishment, admixing",Terrestrial,,,,The crop still appears to be stunted along the RoW and some shoefly's. Admixing noted as well. Continue to monitor.,Crop growth comparable on and off RoW. Recent hail damage to entire crop. Consider resolved.,,Cultivated and contoured May 2016.,Resolved,,,,
22,73+700,SE-17-6-32-W1,Wetland,Rare plant,Wetland,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,No rare plants found on or off RoW.,June: Did not find the target species Did find an S3 ranked orchid Coeloglossom viride.       July:  Rare plant not found.                         August: no rare plant found.Suggest habitat is suitable to support target species under less dry conditions.  Consider resolved.,None recommended.,Resolved,,,,
23,77+380,SE 22-6-32 W1,Crop,Vegetation establishment,Terrestrial,,June 2014: Surface drainage channel formed due to topography.  Outlet at tributary to Lightening Creek.,"Large bare patches within crop (40 m x 12 m, and 30 m x 60 m).","Some bare patches present along the RoW (visible from farm access road), however, patches noted in the rest of the 1/4 as well. Landowner was spraying at the time of assessment so crew did not walk to specific KP. May be resolvable if landowner is OK with it as the patches are pretty minor in size.","200 m X 30 m wide bare patch in crop. High salinity, some erosion, maybe a compaction issue, suggest a shovel test. Several spots with same characteristics off RoW throughout quarter.",No bare patch evident. Likely a seeding issue last year. Crop comparable on and off RoW. Consider resolved.,"Backfilled, September 2014.",Resolved,,,,
24,81+950,SE 36-6-32 W1,Crop,Vegetation Establishment,Terrestrial,,June 2014: Gully erosion at RoW boundary.,"Some minor rill erosion at base of slope, some patches of poor vegetation establishment (12 m x 8 m)",There is an 80 m x 20 m patch with stunted crop growth along the side slope of the hill. Compaction or admixing did not appear to be the issue.,Crop growth excellent on and off Row.  Considered Resolved.,,Recontouring completed in 2014.,Resolved,,,,
25,82+600 to 82+730,SW 31-6-31 W1,Modified grass,Weeds,Terrestrial,,"June 2014: Weeds on RoW, no noxious weeds present.   Natural succession occurring along edge of disturbance, including sedges, Baltic rush, golden bean.","Some weeds on RoW.  Species include foxtail barley, dock, thistle.","Grass is establishing well. Heavy western dock infestation, and some wavy leaf thistle. Grass may choke out the dock in time. Continue to monitor.",Western dock still found on RoW. Grass establishment very good.,Some western dock still present but off RoW also. Becoming choked out. Canada thistle found off and on RoW. Consider resolved.,Restripped recontoured topsoil replaced and reseeded in August 2013. Hand pulled weeds in October 2016.,Resolved,,,,
26,85+000,SE 4-7-31 W1,Crop,"Drainage, subsidence",Terrestrial,,No issue identified.,"Some Landowner created rutting, but no erosion issue observed.",Some subsidence still present on NW side of RoW along wetland. Also some pugging noted from horses or cattle where soil is soft. May resolve itself after another yr.,"Some pugging still present but noted off RoW  around wetlands. Tame pasture/hay, grass is establishing very well. Foxtail barley present on RoW but also off. Consider resolved.",,"Topsoil replaced, September 2014. Recontoured in spring 2016.",Resolved,,,,
27,87+890 to 87+970,SE 10-7-31 W1,Wetland W-183,Silt fence,Wetland,,,,Silt fence remaining on site. Visible or unburied portions should be removed.,No silt fence present. Consider resolved.,,Removed silt fence.,Resolved,,,,
27,88+200 to 88+350,SW 11-7-31 W1,Wetland,Weeds,Wetland,,June 2014: Weedy on and off-RoW.  Noxious weeds: cleavers.,Not assessed in 2015.,"Reed canary grass was identified as the dominant plant with small patches of perennial sowthistle, Canada thistle, pigweed species and dock species. Weed patches equally distributed on- and off-RoW",Weed composition and abundance on wetland edge is comparable on and off RoW. Consider resolved.,,None recommended.,Resolved,,,,
27,88+330 to 88+440,SW 11-7-31 W1,Wetland (W-185),"Sediment, erosion, weed.",Wetland,,July 2014: Some sediment deposition from erosion of upland areas on pipeline RoW to south of wetland crossing.,Some rilling on-RoW (comparable to off-RoW).,Signs of erosion no longer apparent. High weed density observed on the RoW.,Vegetation on RoW well established. Weed composition and abundance are comparable on and off RoW. Not impacting function of wetland.  Issue resolved.,,,Resolved,,,,
27,88+330 to 89+180,SW 11-7-31 W1,Crop,Stressed vegetation,Terrestrial,,,,"Continuous one metre wide strip on RoW parallel to pipeline showed stress in the crop, which was yellow and dying within the strip but green and healthier adjacent in August 2016.","Crop growth excellent on and off RoW, no bare strip present. Likely a fertilizer or seeding issue. Issue resolved.",,,Resolved,,,,
27,90+640,SW 13-7-31 W1,Watercourse crossing (tributary to Gainsborough Creek),Scour pool,Watercourse,August 2013: A soil berm was installed as erosion control on either side of the crossing . This berm has breached and active erosion is visible. Deposition downstream of the crossing is visible. Erosion on the west side of the crossing resulted in narrowing the channel width.  Some of the willow has been removed on the west side of the channel.,"May 2014: Previously disturbed/reclaimed areas on both sides of the crossing are not fully stabilized with permanent erosion control (e.g., re-vegetation is not complete). Some of the woody riparian vegetation (willow) has been removed on the west side of the channel.",,"Site visit conducted. Scour pool to be filled in with sand bar and re-contoured, protected with erosion matting and re-seeded. Shoreline of tributary to be lined with cobble to armour and protect from further scour erosion.",Scour pool was filled in. Vegetation is establishing well. Silt fence around scour pool still present. Creek channel filling in nicely. West side has been cultivated to within 20 m of riparian area. Reassess in 2018,"Scour pool completely vegetated, no exposed soils. Silt fencing removed. Creek function restored. Consider resolved.","Silt fence removed in 2013. Marker posts re-installed in 2013 and again in September 2014. Reestablished fence lines and mowed the row on east side in 2014.  Sandbar removed and scour pool filled in, November 2016.Remaining silt fence removed in 2018.",Resolved,,,,
31,102+400 to 102+550,SW 11-8-30 W1,Pasture,Weeds,Terrestrial,,"June 2014: Bare ground, little to no vegetation growth.  Looks like area was repaired in fall 2013.",Weedy - yellow sweet clover.,"Heavy perennial sowthistle infestation as well as some Canada thistle, foxtail barley.",Veg well established on RoW. Weed composition and abundance are comparable on and off RoW. Consider resolved,,Recontoured and reseeded in 2013.,Resolved,,,,
31,103+000 to 103+200,SE 11-8-30 W1,Tame pasture,Weeds,Terrestrial,,"June 2014: Unsure if seeded (if seeded, poor establishment).  Should be Ranchers Hay mix.",Good vegetation establishment.  Weedy - yellow sweet clover infestation.,"Heavy perennial sowthistle infestation along with some nodding thistle, Canada thistle. Grass establishment is good. Wildlife lands. Wet. Would be hard to access with equipment to this stretch but recommend spraying with Curb or mow & bag weeds.",Veg well established on RoW. Weed composition and abundance are comparable on and off RoW. Consider resolved,,Broadcasted seeded using ranchers hay mix - August 2014.,Resolved,,,,
31,103+272 to 103+803,SE 11-8-30 W1,Tame pasture,Weeds,Terrestrial,,"June 2014: Unsure if seeded (if seeded, poor establishment).  Should be Ranchers Hay mix.",Good vegetation establishment.  Weedy - yellow sweet clover infestation.,"Lots of perennial sowthistle, some Canada thistle and foxtail barley. Hayed annually. Suggest spraying with or continue to mow/bag weeds. Grass is establishing good. Lots of perennial sowthistle on the RoW (none off RoW), some Canada thistle and foxtail barley. Suggest spraying with  or mowing/bagging weeds.",Grass mixture is well established with good coverage. Weed composition and abundance is higher on RoW compared to off RoW. May not be considered issue with landowner. Consider resolved if landowner acceptable?,"Seed mix doesn’t match. Off site: brome, alfalfa. On site: ranchers hay mix. Good grass establishment. Doesn’t affect land use. Some perennial sow thistle but also present off RoW around wetlands. Continued haying should eventually choke out thistle.",Broadcasted seeded using ranchers hay mix - August 2014.,Resolved,,,,
32,105+540 to 107+350,7-8-29 and 18-8-29 W2,Native grassland,"Seed mix, reclamation",Terrestrial,,,,"Poor establishment of Southern Manitoba Native Blend seed mix species. Four species from the seed mix were identified along the RoW, western wheatgrass, slender wheatgrass, and blue grama. However, with the exception of slender wheatgrass, the other seed mix species were not common along the RoW.","Off RoW appears to be native. Vegeation on  RoW is well established and contains a more diverse range of grass spp compared to off RoW. Off RoW mainly poa spp, silverberry and snowberry. Correct seed mix used for reclamation","Species composition  (weeds and native species) similar on and off the ROW similar, with more shrub cover off of the ROW. Consider resolved .","Re-fenced, overseeded and weed management  in 2018.",Resolved,,,,
33,107+340,SE 18-8-29 W1,Watercourse crossing (Jackson Creek),3rd party issue,Watercourse,August 2013: Third party line break and spill site overlaps Bakken RoW; clean-up underway by third party.  Crossing not inspected.,May 2014: Third party line break and spill site overlaps Bakken RoW; clean-up underway by third party.  Crossing not inspected.,Not assessed in 2015.,Creek crossing looks good. Landowner crops right up to edge of water so there is no riparian area. No other deficiencies noted.,"107+400 - Jackson Creek  Creek dry, bank is stabilized, vegetation along the bank establishing well, weeds present on and off RoW. Lots of pugging from cattle along banks. Should be looked at in 2018. Erosion and sediment control material should be removed after one more year.",Grass established well. Pugging not as evident. Creek dry. Hayed up to edge of creek. Cattails beginning to come established. ESC still present along 100 m of creek (third party?),Area cleaned up.,Resolved,,,,
33,108+270 to 108+425,NE 18-8-29 W1,Pasture,Weeds,Terrestrial,,June 2014: Unsure if seeded.  Bare to weedy.,"Weedy on-RoW.  Species include yellow sweet clover, prickly lettuce, bluebur, thistle.","Grass is fairly sparse along this section, some wheatgrass growing but the brome and alfalfa are struggling. Lots of perennial sowthistle, and some Canada thistle on RoW (none off RoW). Suggesting spraying and reseeding.",Canada thistle is considerably more dense on RoW compared to off RoW. Grass establishment is good on RoW. May want to suggest mowing/bagging.,Cut and baled. Canada thistle still present but likely be choked out due to good grass establishment. Thistle comparable on and off RoW. Consider resolved,Mowed August 2014. Reworked and reseeded fall 2016.,Resolved,,,,
33,109+800,NW 20-8-29 W1,Hayland,Seed mix,Terrestrial,,"June 2014: Alignment sheets say cropland, but is now hayland/tame pasture (brome and alfalfa).",Seed mix doesn't match off-RoW species (off-RoW is hay).,"Grass is starting to establish well, however, lots of perennial sowthistle, Canada thistle and foxtail barley present. Suggest spraying and possibly overseeding.",Very good establishment. Landowner recently cut and baled quarter. Grass growth on RoW is comparable to off of RoW. Could not assess for weeds.,Hay cut and baled. Veg on and off RoW looks the same. No difference off and on Row. Low area has minimal weeds and similar on and off RoW. Consider resolved,"RoW disced and cultivated in August 2014. RoW harrowed, rocks picked, re-seeded using Ranchers Hay mix and rolled September 2014.",Resolved,,,,
35,113+800 to 113+950,SW-34-8-29 W1,Pasture,Vegetation establishment,Terrestrial,,June 2014: Gravelly subsoil ridge at ground surface.,Ridge not identified.  Sparse vegetation establishment.,Grass establishing. Continue to monitor.,Good establishment on and off the RoW. Issue resolved.,,Mowed and overseeded  in May 2016. Reseeded again in September 2016.,Resolved,,,,
35,114+300 to 115+200,SE-34-8-29W1,,"Erosion, weeds",Terrestrial,,,,Appears erosion issues still exist. Whole 1/4 is weedy and has not been seeded in 2016. Requires further discussion and continued monitoring.,100 m X 25 m of stunted growth and minor bare patches. Similar conditions exist off ROW as well in this type of rolling topography. Consider resolved.,,Recontoured two areas in August 2016.,Resolved,,,,
36,117+530 to 117+590,SE 2-9-29 W1,Wetland (W-AMEC1),"Debris, compaction",Wetland,,July 2014: Swamp mats left at edge of wetland.,,"Potential compaction issues, minimal vegetation establishment. Wetland is not a Class V at the crossing location. Reclassified as a Class III.","No compaction on RoW, bare patch surrounding whole wetland on and off RoW, more so off RoW. Minor salinity issues in bare patches. Canola crop is healthy. Issue resolved.",,Skidsteer used to removed mats from edge of wetland - August 2014.,Resolved,,,,
