Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 6-79-9,Forested,High noxious weed issue,2+600,"Two scentless chamomile plants were hand-picked, bagged and disposed of.","May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80% of off ROW,  • 2+550, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","May 30, 2015 – Vegetation estimated to be 80 - 90% of off ROW control – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. Rill erosion at KP 2+550 no longer visible, issue resolved. September 15, 2015 - Canada thistle observed up to KP 2+860. Recommend weed control.  September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle. Scentless chamomile has not been present for two growing seasons at KP 2+600, issue resolved.",,,
NW 6-79-9,Forested,No issues observed,3+000,The ROW is revegetating well.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80% of off ROW,  • 2+550, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","May 30, 2015 – Vegetation estimated to be 80 - 90% of off ROW control – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. Rill erosion at KP 2+550 no longer visible, issue resolved. September 15, 2015 - Canada thistle observed up to KP 2+860. Recommend weed control.  September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle. Scentless chamomile has not been present for two growing seasons at KP 2+600, issue resolved.",,,
NE 1-79-10,Forested,No issues observed,3+250,The ROW is revegetating well.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80%-90% of off ROW,  • 3+550,minor rill erosion within natural wet area, not affecting land use, continue to monitor","June 1, 2015 – Vegetation estimated to be 95% of off ROW control. – There were no noxious weeds noted.  – Foreign pipeline crossing has excellent vegetation with poplar and willow trees establishing throughout. – Minor subsidence noted At KP 3+580, not affecting land use. Continue to monitor.  – Erosion noted at KP 3+550, no longer visible, issue resolved. – Rill erosion at KP 3+700 runs perpendicular across ROW. Repairs recommended. - September 25, 2015 – KP 3+700 - Erosion repairs completed, monitor in 2016.",,,
NE 1-79-10,Forested,Moderate erosion issue,3+700,"Lower rill erosion on ROW, natural low area","May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80%-90% of off ROW,  • 3+550,minor rill erosion within natural wet area, not affecting land use, continue to monitor","June 1, 2015 – Vegetation estimated to be 95% of off ROW control. – There were no noxious weeds noted.  – Foreign pipeline crossing has excellent vegetation with poplar and willow trees establishing throughout. – Minor subsidence noted At KP 3+580, not affecting land use. Continue to monitor.  – Erosion noted at KP 3+550, no longer visible, issue resolved. – Rill erosion at KP 3+700 runs perpendicular across ROW. Repairs recommended. - September 25, 2015 – KP 3+700 - Erosion repairs completed, monitor in 2016.",,,
NW 1-79-10,Forested,No issues observed,3+800,The ROW is revegetating well.,"May 24, 2014 •  No weeds at time of assessment • Vegetation growth 90%-100% of off ROW,  • Erosion rills noted at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. • 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor • 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills (3) starting at approximately KP 4+460, running across ROW. Repairs recommended. June 5, 2015 – Repairs completed on erosion rills (3) at KP 4+460, monitor in 2016.",,,
NW 1-79-10,Forested,High noxious weed issue,4+450,Canada thistle observed on the south side of ROW.,"May 24, 2014 •  No weeds at time of assessment • Vegetation growth 90%-100% of off ROW,  • Erosion rills noted at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. • 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor • 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills (3) starting at approximately KP 4+460, running across ROW. Repairs recommended. June 5, 2015 – Repairs completed on erosion rills (3) at KP 4+460, monitor in 2016.",,,
NW 1-79-10,Forested,"Moderate erosion issue noted (rills), moderate vegetation issue",4+650,"Rill no vegetation in rill, sides are vegetated. During the fall of 2013, the area was reseeded.","May 24, 2014 •  No weeds at time of assessment • Vegetation growth 90%-100% of off ROW,  • Erosion rills noted at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. • 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor • 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills (3) starting at approximately KP 4+460, running across ROW. Repairs recommended. June 5, 2015 – Repairs completed on erosion rills (3) at KP 4+460, monitor in 2016.",,,
NW 1-79-10,Forested,"Moderate erosion issue, moderate vegetation issue",4+700,"3 rills N to S. with limited vegetation in eroded areas. During the fall of 2013, the area was reseeded.","May 24, 2014 •  No weeds at time of assessment • Vegetation growth 90%-100% of off ROW,  • Erosion rills noted at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. • 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor • 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills (3) starting at approximately KP 4+460, running across ROW. Repairs recommended. June 5, 2015 – Repairs completed on erosion rills (3) at KP 4+460, monitor in 2016.",,,
NW 1-79-10,Forested,Moderate erosion issue,4+800,"Rill/gully erosion parallel to trench on west side. During the fall of 2013, the area was reseeded.","May 24, 2014 •  No weeds at time of assessment • Vegetation growth 90%-100% of off ROW,  • Erosion rills noted at KP 4+650, 4+700, and 4+800, were no longer evident, issues are resolved. • 4+000 and 4+150, minor subsidence, not affecting land use, continue to monitor • 4+230, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","June 1, 2015 – Vegetation estimated to be 100% of off ROW control – There were no noxious weeds noted, 2013 issue resolved. – Minor Subsidence intermittent throughout KP 3+965 to KP 4+200 and at KP 4+440, not affecting land use. Continue to monitor. – Minor rill erosion at KP 4+230 within natural wet area, not affecting land use. Continue to monitor. – Erosion rills (3) starting at approximately KP 4+460, running across ROW. Repairs recommended. June 5, 2015 – Repairs completed on erosion rills (3) at KP 4+460, monitor in 2016.",,,
NE 2-79-10,Forested,No issues observed,4+850,The ROW is revegetating well.,"May 24, 2014 • Forested • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 100% of off ROW,  • 4+700, minor rill erosion within natural wet area, not affecting land use, continue to monitor","June 1, 2015 - Forested – Vegetation estimated to be 100% of off ROW control. – There were no noxious weeds noted, – Occupant requested that rocks be removed. - KP 4+700 – erosion rill no longer evident, issue resolved. June 5, 2015  - Rocks hand picked October 4, 2015 – East half of ¼ in forested portion of the ROW has great vegetation cover with well-established grasses. There were also no visible signs of weeds in this portion of the ¼. – Erosion rills were noted in the forested portion of this ¼. Rills are well vegetated and not affecting land use at this time.",,,
NE 2-79-10,Hayland,Moderate erosion issue,5+150,Slight erosion rilling observed,"May 24, 2014 • L/O cultivated hay land • 5+100 and 5+300 slight discolored, lighter, soil, compared to off ROW, continue to monitor later in growing season when oats are coming to assess crop conditions in noted area. KP 5+150 – land is no longer in hay land – noxious weed and erosion issues resolved due to land use change. Oct 5, 2014 – – KP 5+100 and 5+300, Slight discoloration of soil noted in spring assessment. Discoloration of soils appears to have not affected crop density this growing season. No visible difference compared to off ROW. No further work required.","October 4, 2015 – West half of ¼ was in oats that have not been harvested. No visible signs of weeds in this portion of the ¼.",,,
NE 2-79-10,Hayland,High noxious weed issue,5+150,Low levels of Canada thistle observed on the ROW.,"May 24, 2014 • L/O cultivated hay land • 5+100 and 5+300 slight discolored, lighter, soil, compared to off ROW, continue to monitor later in growing season when oats are coming to assess crop conditions in noted area. KP 5+150 – land is no longer in hay land – noxious weed and erosion issues resolved due to land use change. Oct 5, 2014 – – KP 5+100 and 5+300, Slight discoloration of soil noted in spring assessment. Discoloration of soils appears to have not affected crop density this growing season. No visible difference compared to off ROW. No further work required.","October 4, 2015 – West half of ¼ was in oats that have not been harvested. No visible signs of weeds in this portion of the ¼.",,,
NE 2-79-10,Hayland,No issues observed,5+400,The ROW is revegetating well.,"May 24, 2014 • L/O cultivated hay land • 5+100 and 5+300 slight discolored, lighter, soil, compared to off ROW, continue to monitor later in growing season when oats are coming to assess crop conditions in noted area. KP 5+150 – land is no longer in hay land – noxious weed and erosion issues resolved due to land use change. Oct 5, 2014 – – KP 5+100 and 5+300, Slight discoloration of soil noted in spring assessment. Discoloration of soils appears to have not affected crop density this growing season. No visible difference compared to off ROW. No further work required.","October 4, 2015 – West half of ¼ was in oats that have not been harvested. No visible signs of weeds in this portion of the ¼.",,,
NW 2-79-10,Hayland,Moderate weed issue,5+700,"Low levels of wild oats and hawksbeard were observed on the ROW. During the fall of 2013, the area was reseeded.","May 24, 2014 • L/O cultivated hay land, •KP 5+700 – weed and vegetation issues are resolved due to change in land use. • No issues noted","June 1, 2015 - Cultivated – Field has recently been seeded to oats and beginning to sprout. – There were no noxious weeds noted. – No ROW fence.  – Minor subsidence throughout cultivated, not affecting land use. Continue to monitor.",,,
NW 2-79-10,Hayland,Moderate vegetation issues,5+700,"Vegetation cover is expected to improve in subsequent year. During the fall of 2013, the area was reseeded.","May 24, 2014 • L/O cultivated hay land, •KP 5+700 – weed and vegetation issues are resolved due to change in land use. • No issues noted","June 1, 2015 - Cultivated – Field has recently been seeded to oats and beginning to sprout. – There were no noxious weeds noted. – No ROW fence.  – Minor subsidence throughout cultivated, not affecting land use. Continue to monitor.",,,
NW 2-79-10,Forested,No issues observed,6+000,The ROW is revegetating well.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 90-100%% of off ROW,","June 1, 2015 - Forested – Vegetation appears to be 90 - 100 % of off ROW control. – There were no noxious weeds noted. – ATV ruts (3rd party) throughout. – No issues identified.",,,
NE 3-79-10,Forested,"Moderate erosion issue, topsoil loss (eroded in localized area), moderate vegetation issue",6+400,"Erosion rill observed. Topsoil eroded down to subsoil. During the fall of 2013, the area was recontoured, erosion controls were installed and the swale was reseeded.","May 25, 2014 • No subsidence observed at time of assessment • No weeds observed at time of assessment • Vegetation 90-100% of off ROW • Minor ATV ruts throughout tract, not affecting land use • Between 6+300 and 6+400 2 erosion ditches crossing the ROW, repairs recommended. July 3, 2014 - KP6+300 to 6+400 erosion repaired, seeded and harrowed.","June 2, 2015 – Vegetation estimated to be 90 - 100% of off ROW control. –Canada thistle noted in lower density than off ROW, not affecting land use. Continue to monitor. – Foreign pipeline has recently been constructed across right of way at KP6+550. Continue to monitor. – Minor rills from KP6+850 to end of tract, on north side. Possibly do to ATV tracks throughout. Not affecting land use, continue to monitor. – 2014 repairs to erosion ditch from KP 6+300-KP 6+400 have improved vegetation, although erosion is still occurring. Recommend installation of erosion control measures and reseeding. June 8, 2015 - KP 6+300 to 6+400, installed erosion control measures and reseeded previous erosion repairs, monitor in 2016 - KP 6+300, minor Canada thistle observed. Recommend spot spraying. July 23, 2015  Herbicide application conducted at KP 6+300 to control Canada thistle. August 24, 2015 - Herbicide appeared to have killed approximately 90% of Canada thistle. Recommend re-applying herbicide in fall. Sept. 25, 2015 - Herbicide application conducted at KP 6+300 to control Canada thistle.",,,
NW 3-79-10,Forested,"Moderate surface drainage (ponding), microtopography (low area) issue and moderate vegetation issue",7+200,"Slight swale observed in naturally low are which is affecting vegetation growth. During the fall of 2013, the area was recontoured,","May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation is 90-100% of off ROW control. • Based on the vegetation coverage, ponding at KP 7+200 is no longer impacting the ROW, issue is resolved.","June 2, 2015 – Vegetation estimated to be 100% of off ROW control. – There were no noxious weeds noted. – Evidence of 3rd party ATV use along north side of ROW, not affecting land use.",,,
NW 3-79-10,Forested,No issues observed,7+450,The ROW is revegetating well.,"May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation is 90-100% of off ROW control. • Based on the vegetation coverage, ponding at KP 7+200 is no longer impacting the ROW, issue is resolved.","June 2, 2015 – Vegetation estimated to be 100% of off ROW control. – There were no noxious weeds noted. – Evidence of 3rd party ATV use along north side of ROW, not affecting land use.",,,
NE 4-79-10,Hayland,Moderate erosion issue,7+900,"Gully erosion. During the fall of 2013, the area was recontoured, erosion controls were installed and the swale was reseeded.","May 25, 2014 • Berm on east end of ¼ has no vegetation, seeding required. • No subsidence observed at time of assessment • No weeds at time of assessment • L/O has disked ROW, but it is rough. Erosion issue at KP 7+900 has been resolved due to the landowner disking the ROW. Surface drainage issue at KP 8+000 resolved due to the landowner disking the ROW.  June 23, 2014 – L/O worked ROW reseeded and harrowed. ROW its rough with linear depressions running east-west due to farming direction.","June 2, 2015  – Access not granted by landowner. TransCanada Land Department was notified. October 3, 2015 – Partial assessment completed from nearby road allowance, as landowner denied access. –Alfalfa and grasses have begun growing throughout ¼ and are in the juvenile stage.",,,
NE 4-79-10,Cultivated,"Moderate surface drainage (ponding), microtopography (low area) issue and moderate vegetation issue",8+000,"Swale on west side. No growth. During the fall of 2013, topsoil was distributed.","May 25, 2014 • Berm on east end of ¼ has no vegetation, seeding required. • No subsidence observed at time of assessment • No weeds at time of assessment • L/O has disked ROW, but it is rough. Erosion issue at KP 7+900 has been resolved due to the landowner disking the ROW. Surface drainage issue at KP 8+000 resolved due to the landowner disking the ROW.  June 23, 2014 – L/O worked ROW reseeded and harrowed. ROW its rough with linear depressions running east-west due to farming direction.","June 2, 2015  – Access not granted by landowner. TransCanada Land Department was notified. October 3, 2015 – Partial assessment completed from nearby road allowance, as landowner denied access. –Alfalfa and grasses have begun growing throughout ¼ and are in the juvenile stage.",,,
NE 4-79-10,Cultivated,High vegetation issues,8+400,Repair had recently been done along workside at the time of the assessment.,"May 25, 2014 • Berm on east end of ¼ has no vegetation, seeding required. • No subsidence observed at time of assessment • No weeds at time of assessment • L/O has disked ROW, but it is rough. Erosion issue at KP 7+900 has been resolved due to the landowner disking the ROW. Surface drainage issue at KP 8+000 resolved due to the landowner disking the ROW.  June 23, 2014 – L/O worked ROW reseeded and harrowed. ROW its rough with linear depressions running east-west due to farming direction.","June 2, 2015  – Access not granted by landowner. TransCanada Land Department was notified. October 3, 2015 – Partial assessment completed from nearby road allowance, as landowner denied access. –Alfalfa and grasses have begun growing throughout ¼ and are in the juvenile stage.",,,
NE 4-79-10,Watercourse,High noxious weed issue,8+550,Canada thistle observed on workside.,"May 25, 2014 • Watercourse looks good, no issues, recommend removal of silt fence • ROW west of watercourse has been worked and reseeded, vegetation is 70-80% of off ROW, continue to monitor June 21, 2014 – KP 7+925, Berm reseeded.  – KP 8+750, Repair required on berm washout. Berm repaired by hand with replacement of the original material. Additional erosion control materials installed and area reseeded.  – KP 8+550, Removed silt fence on both sides of unnamed creek.","Could not be assessed due to landowner denying access. Monitor in 2016, pending access approval by landowner.",,,
NW 4-79-10,Hayland,"High surface drainage (ponding), microtopography (low area) issue and, moderate vegetation issue",8+950,"Depression on workside holding water which is impacting vegetation Intermittent drain across ROW, some ruts. During the fall of 2013, topsoil was distributed and the area was reseeded.","May 25, 2014 • L/O has disked ROW, but the east hay field is rough. • 3 patches of light soil conditions noted. • West hay field, grade looks good • No subsidence • No weeds at time of assessment June 19, 2014 - L/O is happy with the current condition of the ROW and does not feel there needs to be any dirt work done. Therefore microtopography issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","June 2, 2015 – Vegetation estimated to be 30% of off ROW control. Consisting mostly of alfalfa, and brome grasses. Monitor in 2016 to ensure reduced vegetation cover is not persistent. – Occurrences of Canada thistle noted, not affecting land capability. Continue to monitor.  – Right of way not fenced.  – Cross drainage at KP 9+212 appears to be re-vegetating and functional. – Fence at KP 9+210 has posts pounded but no barbed wire stung. Fence will be completed in consultation with landowner. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - – Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harrowed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Herbicide appeared to have killed approximately 90% of Canada thistle. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.",,,
NW 4-79-10,Hayland,High surface drainage (ponding) and Microtopography (low area) issue,9+025,"Swale on workside and on trench. During the fall of 2013, topsoil was distributed and the area was reseeded.","May 25, 2014 • L/O has disked ROW, but the east hay field is rough. • 3 patches of light soil conditions noted. • West hay field, grade looks good • No subsidence • No weeds at time of assessment June 19, 2014 - L/O is happy with the current condition of the ROW and does not feel there needs to be any dirt work done. Therefore microtopography issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","June 2, 2015 – Vegetation estimated to be 30% of off ROW control. Consisting mostly of alfalfa, and brome grasses. Monitor in 2016 to ensure reduced vegetation cover is not persistent. – Occurrences of Canada thistle noted, not affecting land capability. Continue to monitor.  – Right of way not fenced.  – Cross drainage at KP 9+212 appears to be re-vegetating and functional. – Fence at KP 9+210 has posts pounded but no barbed wire stung. Fence will be completed in consultation with landowner. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - – Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harrowed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Herbicide appeared to have killed approximately 90% of Canada thistle. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.",,,
