Approximate KP [Legal Location],1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),2<s>nd</s> Year (2015) PCRM Assessment and Work Completed,3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Watercourse [9] (KP 1+050) No issues observed,"Two watercourses (9 and 10) have been combined into one channel by surrounding housing development project as planned prior to construction of Parkway Loop. As such, the watercourses have now been realigned to a different location that was not disturbed during construction therefore areas disturbed during construction are not present at the current watercourse crossing. Recommendations: None - Land turned over to the housing developer for management.",,"June 9, 2016 - Watercourse appears to be in good condition. Native grasses established, low flow within watercourse, water level mid-way.","May 24, 2017 - Watercourse appears to be in good condition at time of assessment. Native grasses established, medium flow within watercourse, water level mid-way, mallard ducks observed within watercourse. - No subsidence or erosion evident in tract.","May 28, 2018 and August 3, 2018 - Watercourse is in good condition at time of assessment. Native grasses established, medium flow within watercourse, water level mid-way, toads observed within watercourse. - No subsidence or erosion evident in tract",,,
KP 1+150 [Subdivision of - West half LT 12 CON 4 WHS],Residential (KP 0+720 to 1+225) No issues observed,ROW was turned over to developer of housing - ponding; weeds; microtopography issues are all currently noted along the ROW due to the housing development being constructed. This area includes watercourse crossings 9 and 10. Recommendations: None - Land turned over to the housing developer for management.,,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses. Minor bare areas throughout tract, monitor in 2017 - Canada thistle, scentless chamomile, bull thistle and ox-eye daisy evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Intermittent mechanical weed control conducted.","July 25, 2017 - No vegetation control required","May 28, 2018 and August 3, 2018 - 90-95% vegetation establishment on ROW compared to off ROW control. Previous vegetation cover issues resolved. - Grass ROW is comparable to off ROW control.  - Management of KP 0+720 to KP 1+225 land has been turned over to housing developer for management. Conditions within ROW are same as off ROW.  - Previous weed issues resolved.",,,
KP 1+330 - 1+470 [East Half LT 12 CON 5 WHS],Crop – soybeans (KP 1+445) No issues observed,No issues. Crop is comparable to the Control. A few perennial sow thistle plants were noted on the Control adjacent to the ROW. Recommendations: None,,No issue noted during assessments,"May 24, 2017  - Scentless chamomile, perennial sow thistle and broadleaf plantain evident along border of cropland within tract; recommend weed control. June 21, 2017 - Mechanical weed control conducted within ditch area long roadway (KP 1+330) and CN rail fence (KP 1+470) to remove noxious and invasive weeds. July 25, 2017 - Crop on ROW is comparable to off ROW - Previous weed management appears successful, <10% of weeds have re-emerged. August 9, 2017 - No weed control conducted. Previous weed management effective.","May 28, 2018 - Weeds on ROW along border of cropland are comparable to off ROW control. -Cropland appears to have been worked and seeded, crop is emerging. August 3, 2018 - Weeds on ROW along border of cropland are comparable to off ROW control. Previous weed issues resolved. -Corn crop has emerged and appears to be doing well, conditions comparable on ROW to off ROW control.",,,
KP 1+520 - 1+930 [East Half LT 12 CON 5 WHS],Crop – soybeans (KP 1+565) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 9, 2016 - Cultivated, sprout height on ROW appears to be similar to off ROW. - Bull thistle and scentless chamomile observed along fence adjacent to CN railway at KP 1+515. Canada thistle observed along crop border. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - No weed management measurements required, weeds along crop border appear to be sprayed with crops. Weed issues noted in 2014 and 2015 (KP 1+620 to 1+720) are no longer present and are managed with crops, issue resolved.","May 24, 2017 - Cultivated area on ROW appears similar to off ROW. - Bull thistle and scentless chamomile observed along fence adjacent to CN railway at KP 1+515. Canada thistle observed along crop border. Recommend weed control. - No subsidence or erosion evident in tract. June 21, 2017 - Mechanical weed control conducted along CN fence line (KP 1+520) to control bull thistle and scentless chamomile. July 25, 2017 - Crop on ROW appears similar to off ROW. - Bull thistle and scentless chamomile previously observed along fence adjacent to CN railway at KP 1+515 has been removed and does not appear to have re-established since prior weed control August 9, 2017 - No weed control conducted. Previous weed management effective; issue resolved.","May 28, 2018 - Cultivated area on ROW appears similar to off ROW. - No subsidence or erosion evident in tract. - Weeds on ROW along border of cropland are comparable to off ROW control. Previous weed issues resolved. August 7, 2018 - Cultivated area on ROW appears similar to off ROW. - No subsidence or erosion evident in tract.",,,
KP 1+520 - 1+930 [East Half LT 12 CON 5 WHS],Near a watercourse crossing (KP 1+630),Bare ground patches (approximately 5% of the ROW) were observed. These areas were not associated with soils issues (as confirmed by the soil inspection) and are due to natural spring flooding. . The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,,"June 9, 2016 - Watercourse 8 appears stable with good vegetation establishment on both banks. Non-native vegetation (wild carrot) noted in 2014 is no longer evident, issue resolved. High water level observed, no flow occurring. Rutting noted in 2014 at KP 1+710 is no longer evident, issue resolved. - 90-95% vegetation establishment on ROW within riparian area located at KP 1+521 along watercourse #8. Bare ground patches noted in 2014 (KP 1+630) are no longer evident, issue resolved.","May 24, 2017 - 90-95% vegetation establishment on ROW within riparian area located at KP 1+521 along watercourse #8. Vegetation consisting of native grasses and broadleaf vegetation and are comparable to off ROW control. - Watercourse 8 appears to be stable at this time with good vegetation establishment on both banks. June 21, 2017 - Intermittent mechanical weed control within riparian area around watercourse 8 to control noxious and invasive species.","May 28, 2018 and August 7, 2018 - 90-95% vegetation establishment on ROW within riparian area located at watercourse #8. Watercourse 8 appears stable at this time with good vegetation establishment on both banks. Moderate water level observed, no flow at time of assessment. - Vegetation consisting of native grasses and broadleaf vegetation and are comparable to off ROW control. Previous weed issues resolved. - No subsidence or erosion evident in tract.",,,
,(KP 1+620 to 1+720) Noxious weed issue (high),"The presence of noxious weeds (common ragweed, wild carrot perennial sow thistle, and bull thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW. Recommendations: Monitor in 2015, implement weed control as required.","November 25, 2015 -Weeds noted throughout area (KP 1+620 to 1+720). Weeds also observed along field edges off ROW throughout immediate area. - Recommend assessment during early growing season 2016 to determine if control measures are required",,"July 25, 2017 - Watercourse 8 appears to be stable at this time with good vegetation establishment on both banks, no flow observed at time of assessment.",,,,
,Watercourse [8] (KP 1+650) Non-native species (moderate),"Non-native species (wild carrot) are established at the watercourse crossing. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","November 25, 2015 - Removed silt fence from north and south banks of watercourse crossing. ""T"" posts, silt fence and bales were removed, issue resolved.",,"July 25, 2017 - Watercourse 8 appears to be stable at this time with good vegetation establishment on both banks, no flow observed at time of assessment.",,,,
,Near a watercourse crossing (KP 1+710),Minor third party rutting was observed. The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015.,,,"July 25, 2017 - Watercourse 8 appears to be stable at this time with good vegetation establishment on both banks, no flow observed at time of assessment.",,,,
,"Crop – soybeans (KP 1+720 to 1+850) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 20% or less of the topsoil in areas of poor vegetation growth. Admixing is localized to small areas (approximately 5 m by 5 m) sporadically along the ROW and encompassed less than 20% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 9, 2016 - Cultivated, sprout height on ROW appears to be similar to off ROW. There was no difference evident in crop height or density, as noted in 2014 from KP 1+720 to 1+850. Admixing noted does not appear to affecting land use or equivalent land capability, issue resolved.","May 24, 2017 - Cultivated area on ROW appears similar to off ROW. - No subsidence or erosion evident in tract. July 25, 2017 - Crop on ROW appears similar to off ROW.","May 28, 2018 - Cultivated area on ROW appears similar to off ROW. - No subsidence or erosion evident in tract. - Weeds on ROW along border of cropland are comparable to off ROW control. August 7, 2018 - Cultivated area on ROW appears similar to off ROW. - No subsidence or erosion evident in tract.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Crop – soybeans (KP 1+960) No issues observed,Open area left unseeded because of third party rutting. Rutting is in an area approximately 10 m<s>2</s>) No issues. Crop is comparable to the Control outside the rutted areas. Recommendations: None,,"June 9, 2016 - Winter wheat planted within cultivated area; crops approximately ½ m in height and conditions within ROW are comparable to off the ROW","May 24, 2017 - Winter wheat planted within portion of cultivated area; crops approximately 0.25 – 0.5m in height and conditions within ROW are comparable to off the ROW.","May 28, 2018 - Cropland appears to have been worked but not planted yet. - Conditions within ROW are comparable to off ROW. August 7, 2018 - Current year’s soy crop is well established and is comparable to off ROW conditions.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Watercourse [7] (KP 2+100) Non-native species (moderate),"Non-native species (wild carrot) are established at the watercourse crossing. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","August 27 and 28, 2015 - mechanical weed control completed in area near watercourse 7 (KP 2+098) to control non native species.  - removed silt fence and hay bales from watercourse 7 (KP 2+098), issue resolved. August 28, 2015 - Approximately from KP 2+000 to watercourse 7 (2+098), 70-75% of the trees that were planted are showing foliage establishment at this time. Approximately from 2+098 to 2+200, 85-90% of the trees that were planted are showing foliage establishment at this time. good conifer saplings flourishing within these areas as well","June 9, 2016 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. Non-native species (wild carrot) noted in 2014 is no longer evident, issue resolved. The watercourse was dry at the time of assessment. Gravel distribution appears uniform. - Tall buttercup and Canada thistle observed on South bank of the watercourse; conditions within ROW are comparable to off ROW.  - Tree was observed to be cut down and left within the ROW. Recommend removal of woody debris at KP 2+098. - No subsidence or erosion evident within tract. June 23, 2016 - Intermittent mechanical weed control completed along watercourse 7 (KP 2+098) to control tall buttercup and Canada thistle. - Removal of woody debris at KP 2+098.","May 24, 2017 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. - Tall buttercup and Canada thistle was observed on South bank of the watercourse; recommend weed control. - Some Subsidence at KP 2+140 presenting as a trough for water runoff into nearby wooded area to the north 40m long by 1m wide 10-20cm deep. Subsidence currently not affecting land use, no work recommended. June 21, 2017 - Intermittent mechanical weed control conducted within riparian area around watercourse 7 to control tall buttercup and Canada thistle. August 9, 2017 - Additional intermittent mechanical weed control conducted within riparian area around watercourse 7 to control tall buttercup and Canada thistle.","May 28, 2018 and August 7, 2018 - Watercourse #7 is stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. No water was present at the time of assessment. - Conditions within ROW are comparable to off ROW. - Previous noxious weed issues resolved.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Woodland / Near a watercourse crossing (KP 2+130) No issues observed,The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,"August 27 and 28, 2015 - mowing woodlot 3 (KP 1+930 - 2+200) to control noxious weeds.","June 9, 2016 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. Non-native species (wild carrot) noted in 2014 is no longer evident, issue resolved. The watercourse was dry at the time of assessment. Gravel distribution appears uniform. - Tall buttercup and Canada thistle observed on South bank of the watercourse; conditions within ROW are comparable to off ROW.  - Tree was observed to be cut down and left within the ROW. Recommend removal of woody debris at KP 2+098. - No subsidence or erosion evident within tract. June 23, 2016 - Intermittent mechanical weed control completed along watercourse 7 (KP 2+098) to control tall buttercup and Canada thistle. - Removal of woody debris at KP 2+098.","May 24, 2017 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. - Tall buttercup and Canada thistle was observed on South bank of the watercourse; recommend weed control. - Some Subsidence at KP 2+140 presenting as a trough for water runoff into nearby wooded area to the north 40m long by 1m wide 10-20cm deep. Subsidence currently not affecting land use, no work recommended. June 21, 2017 - Intermittent mechanical weed control conducted within riparian area around watercourse 7 to control tall buttercup and Canada thistle. August 9, 2017 - Additional intermittent mechanical weed control conducted within riparian area around watercourse 7 to control tall buttercup and Canada thistle.","May 28, 2018 and August 7, 2018 - Watercourse #7 is stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. No water was present at the time of assessment. - Conditions within ROW are comparable to off ROW. - Previous noxious weed issues resolved.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Woodland (KP 2+130 to 2+220) Noxious weed issues (moderate),"The presence of noxious weeds (Canada thistle, common ragweed, perennial sow thistle and wild carrot) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 27 and 28, 2015 - mowing woodlot 3 (KP 1+930 - 2+200) to control noxious weeds.","June 9, 2016 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. Non-native species (wild carrot) noted in 2014 is no longer evident, issue resolved. The watercourse was dry at the time of assessment. Gravel distribution appears uniform. - Tall buttercup and Canada thistle observed on South bank of the watercourse; conditions within ROW are comparable to off ROW.  - Tree was observed to be cut down and left within the ROW. Recommend removal of woody debris at KP 2+098. - No subsidence or erosion evident within tract. June 23, 2016 - Intermittent mechanical weed control completed along watercourse 7 (KP 2+098) to control tall buttercup and Canada thistle. - Removal of woody debris at KP 2+098.","May 24, 2017 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. - Tall buttercup and Canada thistle was observed on South bank of the watercourse; recommend weed control. - Some Subsidence at KP 2+140 presenting as a trough for water runoff into nearby wooded area to the north 40m long by 1m wide 10-20cm deep. Subsidence currently not affecting land use, no work recommended. June 21, 2017 - Intermittent mechanical weed control conducted within riparian area around watercourse 7 to control tall buttercup and Canada thistle. August 9, 2017 - Additional intermittent mechanical weed control conducted within riparian area around watercourse 7 to control tall buttercup and Canada thistle.","May 28, 2018 and August 7, 2018 - Watercourse #7 is stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. No water was present at the time of assessment. - Conditions within ROW are comparable to off ROW. - Previous noxious weed issues resolved.",,,
,"Crop – soybeans (KP 2+220 to 2+670) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area.  Admixing was 20% or less of the topsoil in areas of poor vegetation growth. Admixing is localized to small areas (approximately 5 m by 5 m) sporadically along the ROW and encompasses less than 20% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 9, 2016 - Winter wheat planted within cultivated area; crops approximately ½ m in height and conditions within ROW are comparable to off the ROW. - Decrease in crop height and density, KP 2+220 to 2+670, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved June 23, 2016 - Intermittent mechanical weed control near Bovaird Drive.","May 24, 2017 - Crop not planted at this time. July 25, 2017 - Soy crop is on ROW is comparable to off ROW. - Previous noxious weed issues resolved.","May 28, 2018 - Cropland appears to have been worked but not planted yet. - Conditions within ROW are comparable to off ROW. August 7, 2018 - Current year’s soy crop is well established and is comparable to off ROW conditions.",,,
