Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-I30,Treed bog,"September 17, 2014 - Wetland located at KP 5+470 to KP 5+800 is holding water and contains emergent riparian vegetation. Disturbance species present on the existing ROW crossing at KP 5+575.","June 18, 2015  - 70-80% vegetation established compared to off ROW.  - Treed Bog located between kp 5+470 to kp 5+840 has standing water on east side of ROW and contains emergent riparian vegetation.  - Bare patches of peat and mulch present along ROW.  -  Wetland has proper functional condition. Issue resolved.","Sept 24, 2016 - Treed bog located between KP 5+470 and KP 5+840. - 75 - 85% vegetation establishment compared to off-ROW. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - No noxious weeds observed within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-I20,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW.  2013 vegetation issue resolved. Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015  - Vegetation on ROW appears to be 70-80% comparable to off ROW. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback within tract appears to be functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation appeared to be well established with numerous sedges and grasses, willows and small trees were observed throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted. - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. September 25, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
,"Rare Plant - western Jacob's ladder (S4) – KP 5+950 to 6+300 On August 24, 2013, rare plant specialists visited the location and observed approximately 15 plants. Resolved: No further monitoring is recommended.",,,,,,
,Treed bog,"September 17, 2014 - Wetland located at KP 6+400 is holding water and contains emergent riparian vegetation.","June 18, 2015  - 70-80% vegetation established compared to off ROW.  - Treed Bog located between kp 6+000 and kp 7+130 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Bare patches of peat and mulch present along ROW.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 24, 2016 - Treed bog located between KP 6+000 and KP 7+130. - 75-85% vegetation establishment compared to off-ROW. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - No noxious weeds observed within wetland. - Intermittent sections of standing water present. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-I10,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW.  2013 vegetation issue resolved. • Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW.  - No weed issues evident within tract. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback in tract appears to be functioning well as no foreign activity is present. - No subsidence or erosional issues evident in tract. July 14, 2015  - A single scentless chamomile plant was handpicked, bagged and removed from site at KP 7+400. September 22, 2015  - Vegetation appeared to be well established with numerous sedges and grasses, willows and small trees were observed throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No weed concerns were observed.","June 20, 2016 - Excellent vegetation established.  No visible flowering noxious weeds. No soil or erosion issues. July 21, 2016- Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - KP 7+900 – herbicide application conducted to control perennial sow thistle. September 25, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. Scentless chamomile noted in 2015, no longer evident, issue resolved.",,,
94P-4-I10,Treed bog,"September 17, 2014 - Wetland located at KP 7+450 is holding water and contains emergent riparian vegetation.","June 18, 2015  - 70-80% vegetation established compared to off ROW.  - Treed Bog located between kp 7+280 and kp 7+620 has standing water on east side of ROW and contains emergent riparian vegetation.  -  Wetland has proper functional condition.  Issue resolved.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed bog located between KP 7+280 and KP 7+620. - Emergent riparian vegetation present throughout wetland. - Intermittent areas of standing water located within wetland. - No noxious weeds observed within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-H100,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW.  2013 vegetation issue resolved. • Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015  - Vegetation on ROW appears to be 75-85% comparable to off ROW.  - Courvoisier Creek at KP 8+200 appears stable. Banks are well vegetated with willows establishing. Bed is stable with good cobble distribution. Revetment posts appear to be functioning well retaining banks. Diversion berms leading to creek are functioning well with good vegetation establishment at this time. High water flow. Recommend removal of silt fences on both banks. - Creek at KP 9+030 appears stable. Banks are showing good vegetation growth and bed appears stable with good cobble distribution. Revetment posts are functioning well at this time. Moderate flow apparent. Recommend removal of silt fences on both banks and cutting out exposed plastic fabric on south bank. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 14, 2015  - Patch of scentless chamomile plants was handpicked, bagged and removed from ROW at KP 8+060. - Silt fences and pegs within waddles were removed from both banks of Courvoisier Creek (KP 8+200) and the creek crossing at KP 9+020.  Issues resolved. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Courvoisier Creek crossing appeared to be stable.   - Banks of creek were well vegetated and no erosion or slumping was observed. - No integrity concerns were noted.  - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Courvoisier Creek, KP-8+200 – bed and banks are stable. Moderate flow, no issues. Marker posts and signage are in place. September 25, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues - Scentless chamomile noted in 2015 (KP 8+060) is no longer evident, issue resolved.",,,
94P-4-H100,"Rare Plant - western Jacob's ladder (S4) – KP 8+200 On August 24, 2013, rare plant specialists conducted an incidental visit at the location and observed 5 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-H100,Rare Plant - western Jacob's ladder (S4) – KP 8+600 No monitoring was conducted in 2013 since the project no longer impacted the population following the reroute. Resolved: No further monitoring is recommended.,,,,,,
,"Rare Plant - western Jacob's ladder (S4) – KP 9+000 On August 24, 2013, rare plant specialists visited the location and observed more than 30 plants. Resolved: No further monitoring is recommended.",,,,,,
,Treed fen,"September 17, 2014 - Wetland located at KP 8+700 is holding water and contains emergent riparian vegetation.","June 18, 2015   - 70-80% vegetation established compared to off ROW.  - Treed Fen located between kp 8+400 and kp 9+000 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition.  Issue resolved.  - Bare patches of peat and mulch present along ROW.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed fen located between KP 8+400 and KP 9+000. - Emergent riparian vegetation present throughout wetland. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-H90,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, no issues (50% cover ditchline, 70% ROW)","June 18, 2015  - Vegetation on ROW appears to be 75-85% comparable to off ROW. 2013 vegetation issue resolved. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Tributary KP 9+000– banks stable, no issues.  September 25, 2016- - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94P-4-H90,"Rare Plant - western Jacob's ladder (S4) – KP 9+850 to 10+150 On August 24, 2013, rare plant specialists visited the location and observed 5 to 10 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-H90,Treed fen,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015   - Treed Fen located between kp 9+100 and kp 10+250 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed fen located between KP 9+100 and KP 10+250. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved",,,
,Erosion - Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,,"June 18, 2015  - No erosion noted; no further work required.  Issue resolved",,,,
94P-4-H80,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, mostly wetland species, no issues (30% cover ditchline, 80% ROW)","June 18, 2015  - Vegetation on ROW appears to be comparable to off ROW. - Patch of perennial sow thistle south of road crossing at KP 10+570. Patch of scentless chamomile at KP 10+760. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015 -Herbicide application conducted from KP 10+570 and 10+760 to control perennial sow thistle and scentless chamomile. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.   - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to scentless chamomile throughout tract and perennial sow thistle at KP 10+500 (ditch of access road). September 25, 2016 - Previous herbicide application appears to have effectively control scentless chamomile.  - KP 10+500 – Additional herbicide applied to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues. 2013 to 2015 vegetation cover issue resolved.",,,
94P-4-H80,Treed fen,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015  - Treed Fen located between kp 9+100 and kp 10+250 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed fen located between KP 9+100 and KP 10+250. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition.  Issue resolved.",,,
94P-4-H70,High vegetation establishment,"September 18, 2014 - Predominate species is sweet clover (85% cover over ROW)","June 18, 2015  - Vegetation on ROW appears to be 90-95% comparable to off ROW. - Roach appears stable with some areas exhibiting thinner vegetation cover with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Tributary– banks stable, no issues.  - KP 11+200 - herbicide application conducted to control perennial sow thistle.  September 25, 2016 -- Previous herbicide application appears effective. - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94P-4-H60,Moderate vegetation establishment,"September 18, 2014 - Tributary at KP 12+500 in good condition, well vegetated, no issues. Silt fence can be removed. October 2, 2014 – silt fencing removed.","June 18, 2015  - Vegetation on ROW appears to be 75-85% comparable to off ROW.  2013 vegetation issue resolved. - Scentless chamomile found at KP 12+210. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Tributary at KP 12+500 appears stable with vegetation establishing well on both banks. Bed appears stable with good cobble distribution. Marker posts were fixed on south bank. Recommend removal of exposed plastic matting and silt fences on both banks. - Rollback within tract is functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 15, 2015  - Herbicide application conducted at KP 10+570 and 12+210 to control scentless chamomile. - Silt fence was removed and exposed plastic matting was cut out at creek crossing at KP 12+500.  Issue resolved. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW.  - No integrity concerns were noted.  - Tributary appeared to be stable. Banks appeared to be well vegetated and did not show any evidence of slumping or erosion. Flow did not appear to be affected by construction activities as it appeared to be consistent throughout the ROW   - Previous herbicide application appears successful; no noxious weeds were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified.  Scentless chamomile issue from 2015 resolved. - Cross drains are vegetated and functioning.  - Rollback within tract is functioning well as no foreign activity is evident. - No erosion or subsidence issues. - Tributary KP 12+500– banks are well-vegetated, no issues.  September 25, 2016 - KP 12+500 – straightened and secured marker posts and signage. - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
