Biophysical Element,Legal Land Description (W6M) and Kilometre Post (KP),Land Use,Outstanding Issue,Potential Adverse Environmental Effect,Proposed Action and Schedule,VEC,GIS,Topic
Alteration of Natural Flow Patterns,"SE 23-79-12,  KP 5.0",Henderson Creek,•  Severe gully erosion,Altered natural drainage,Repaired in October 2011. Monitor in 2012.,4. Water Quality and Quantity,,
Alteration of Fish and Fish Habitat along the Route,--,--,--,--,No environmental issues identified during the 2011 PCMP.,5. Fish and Fish Habitat,,
Increased Sedimentation,"SE 23-79-12,  KP 5.0",Henderson Creek,•  Severe gully erosion,Altered natural rate of sedimentation,Repaired in October 2011. Monitor in 2012.,5. Fish and Fish Habitat,,
Alteration of Wetland Habitat along the Route,"NE 23-79-12, KP 3.75 to KP 3.80",Wetland,•  Undesirable species,Altered natural riparian vegetation,Monitor in 2012.,6. Wetlands,,
Alteration of Wetland Habitat along the Route,"NW 24-79-12, KP 4.16 to KP 4.21",Wetland,•  Undesirable species,Altered natural riparian vegetation,Monitor in 2012.,6. Wetlands,,
Alteration of Wetland Habitat along the Route,"SE 23-79-12, KP 4.75 to KP 4.80",Wetland,•  Undesirable species,Altered natural riparian vegetation,Monitor in 2012.,6. Wetlands,,
Alteration of Wetland Habitat along the Route,"NE 14-79-12, KP 6.12 to KP 6.15",Wetland,•  Weeds •  Undesirable species,Altered natural riparian vegetation,Monitor in 2012.,6. Wetlands,,
Alteration of Wildlife Habitat along the Route,--,--,--,--,No environmental issues identified during the 2011 PCMP.,7. Wildlife and Wildlife Habitat,,
Loss of Species at Risk or Species of Special Status,--,--,--,--,No environmental issues identified during preconstruction activities.,8. Species at Risk or Species of Special Status,,
Alteration of Air Quality along the Route,--,--,--,--,No environmental issues identified during preconstruction activities.,9. Air Quality,,
Alteration of the Acoustic Environment along the Route,--,--,--,--,No environmental issues identified during preconstruction activities.,10. Acoustic Environment,,
Loss or alteration of Heritage Resources along the Route,--,--,--,--,No environmental issues identified during the 2011 PCMP.,11. Heritage Resources,,
