Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
D 022 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,No issues observed.,"August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs.  2014 issue with patches of low vegetation resolved - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - Intermittent herbicide application conducted to control perennial sow thistle.","June 25, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 2+300 to 3+010 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - Rollback is present in tract from KP 2+800 to 2+700 and is functioning well as access control as no third party activity was identified. - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – KP 2+300 to 3+010 – Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
,Line of Sight Control (3+200),The line of sight control is standing correctly and is effectively blocking views down the right of way. The line of sight covers the entire right of way.,"July 27, 2016 - line of site barriers were in place and functional. September 19, 2016 – line of sight barriers repaired.","August 5, 2017 - Line of sight barrier at KP 3+200 on ROW has effectively served its purpose and can now be removed as deciduous tree species (alder & poplar) growth exceeding 3m across ROW for 100m to the west and east of barrier. Trees are providing effective natural line of sight break in area. September 29, 2017 - KP 3+200 – Removed all line of site barrier material from ROW via helicopter equipped with a long line. Issue Resolved.","June 25, 2018 - Vegetation in vicinity of previous Line-of-Sight barrier for Caribou habitat continues to establish well.  Deciduous tree species (alder & poplar) growth exceeding 3m across ROW for 100m to the west and east of barrier. Trees are providing effective natural line of sight break in area.",,,
C-021-K/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. Alder trees within tract exceeding 5m in height. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - Intermittent herbicide application conducted to control perennial sow thistle.","June 25, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 3+570 to 3+770 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately.  - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – KP 3+570 to 3+770 - Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
D-021-K/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. Alder trees within tract exceeding 5m in height. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - No noxious weeds identified.  Issue resolved","June 25, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 3+570 to 3+770 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately.  - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – KP 3+570 to 3+770 - Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
D-021-K/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Alder/willow species present along fringe of wetland (High; 80 – 100 % vegetation cover compared to off right-of-way). - Spruce saplings establishing along ROW boundaries. - Wetland functional, issue resolved.","August 5, 2017 - Treed bog on ROW from KP 3+460 to 3+550 appears to be at full, proper functionality. Wetland is largely influenced by seasonal weather. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, poplar and shrubs. - Trace amounts of sweet clover present on ditch line in wetland. Common weeds will be outcompeted by natural succession of vegetation; leave for natural recovery. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through low moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions.  - Wetland exhibiting dry conditions comparing with off ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Treed Bog on ROW from KP 3+460 to KP 3+550 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willow and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrological conditions. - Wetland exhibiting semi-saturated conditions with visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
D 021 K/094 I 11 to  C 030 J/094 I 11,Broad-leaf Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 – Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High; 80 – 100 % vegetation cover compared to off right-of-way). - Wetland functional, issue resolved.","August 5, 2017 - Treed swamp on ROW from KP 3+740 to 3+870 appears to be at full, proper functionality. Wetland is largely influenced by seasonal weather. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, poplar and shrubs. - Trace amounts of sweet clover present on ditch line in wetland. Common weeds will be outcompeted by natural succession of vegetation; leave for natural recovery. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through low moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions.  - Wetland exhibiting dry conditions comparing with off ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Broad-leaf Treed Swamp on ROW from KP 3+740 to KP 3+870 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrological conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
C-030-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 -Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor (High; 80 – 100 % vegetation cover compared to off right-of-way). - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. Alder trees within tract exceeding 5m in height.  - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - Perennial sow thistle observed at KP 3+880 and 4+370.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – Herbicide application conducted at KP 3+880 and 4+370 to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
D-030-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 -Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way).  Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. Alder trees within tract exceeding 5m in height. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - No noxious weeds identified. Issue resolved.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - Perennial sow thistle observed at KP 3+880 and 4+370.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – Herbicide application conducted at KP 3+880 and 4+370 to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
D-030-J/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 – Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land (High; 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.","August 5, 2017 - Treed bog on ROW from KP 4+440 to 4+550 appears to be at full, proper functionality. Wetland on ROW is inclusive of transition zone from upland shrub / deciduous tree to the north to low-lying peat soil landscape to the south. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of Labrador tea, sphagnum mosses, herbaceous graminoids, willows and alder. Deciduous species increasing in density progressing to the north on ROW. Good establishment of hydrophytic species through wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Peat depth exceeding 40cm; mottling occurring. - Wetland exhibiting saturated conditions comparing with off ROW conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover; birds observed using wetland. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Treed Bog on ROW from KP 4+440 to KP 4+550 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. Wetland on ROW is inclusive of transition zone between upland aspen parkland to the north to low-lying black spruce-dominated bog wetland to the south. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. o Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), sphagnum mosses, horsetails, alder, willow, alsike clover, yellow rattle, common yarrow, Labrador tea, bog cranberry and reindeer lichen. Black spruce and tamarack saplings emerging across width of ROW.  - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted.  - Substrate appears healthy throughout wetland through uniform vegetation cover. Organics and humification increase moving south across the ROW with peat increasing to depths greater than 30cm along the southern edge of the ROW.  - Substrate within wetland exhibiting semi-saturated conditions increasing saturation to the south. Substrate exhibiting very high moisture retention capabilities. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird and amphibian species observed using wetland. Evidence of mammal use identified throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Off ROW vegetation successfully encroaching across ROW; biodiversity maintained.",,,
C-029-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - Good vegetation cover on ditch line. - No subsidence or erosion issues.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including",,,
C-029-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - Good vegetation cover on ditch line. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - No noxious weeds identified. Issue resolved.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 4+580 to 5+310 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – KP 4+580 to 5+310 – Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land (High; 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning. - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.","August 5, 2017 - Shrubby swamp on ROW from KP 4+630 to 4+830 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, poplar and shrubs. - No noxious weeds were identified in wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions.  - Wetland exhibiting semi-saturated conditions. - Wetland providing good habitat opportunity through good vegetation cover; birds observed using wetland. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Shrubby Swamp on ROW from KP 4+630 to KP 4+830 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willow, horsetails, common cattail and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrological conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Forested Rare Plant (4+700),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations or at transplant location. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended. Issue resolved.","Additional monitoring commitment made in May 17, 2017 NEB IR response.","July 30, 2018 - Species not observed at the historically recorded pre-disturbance locations or at the reported transplant location. Changes to site moisture regime (likely resulting from changes to the pre-disturbance vegetation community) and litter accumulation from competing graminoid species are likely limiting to species re-establishment at this site. As this species has not been observed during three consecutive monitoring events, the mitigation strategy employed at this location is considered ineffective. Further monitoring of this location is not recommended.",,,
,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way).  Vegetation comparable to adjacent forest floor. - Good vegetation cover on ditch line. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - No noxious weeds identified. Issue resolved.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 4+580 to 5+310 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 21, 2018 – KP 4+580 to 5+310 – Intermittent herbicide application conducted to control perennial sow thistle September 22, 2018 – Intermittent herbicide application to control perennial sow thistle.",,,
,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land (High; 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.","August 4, 2017 - Shrubby Swamp on ROW from KP 4+930 to 5+190 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of alder, willow, herbaceous graminoids and sphagnum mosses. Great establishment of hydrophytic species throughout wetland. - Trench crown and stub berms present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Gleying observed in subsoil within wetland. - Wetland exhibiting semi-saturated conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and mulch throughout. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Shrubby Swamp on ROW from KP 4+930 to KP 5+190 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willow, horsetails, common cattail and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrological conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Forested Rare Plant (5+000),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended.  Issue resolved.","Additional monitoring commitment made in May 17, 2017 NEB IR response.","July 30, 2018 - Species not observed at the historically recorded pre-disturbance location. Changes to site moisture regime (likely resulting from changes to the pre-disturbance vegetation community) and litter accumulation from competing graminoid species are likely limiting to species re-establishment at this site. As this species has not been observed during three consecutive monitoring events, the mitigation strategy employed at this location is considered ineffective. Further monitoring of this location is not recommended.",,,
,Forested Rare Plant (5+200),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at pre-disturbance locations or at transplant location. Mitigation measures taken during construction effectively maintained habitat conditions similar to pre-disturbance conditions. Further monitoring at this site is not recommended. Issue resolved.","Additional monitoring commitment made in May 17, 2017 NEB IR response.","Two individuals were observed at the reported transplant location (E 602678, N 6506700). Mitigation for this rare plant occurrence is considered to have been effective, and this site is considered resolved.",,,
D 029 J/094 I 11 to  C 028 J/094 I 11,Forested Rare Plant (5+000 to 5+600),"Due to the change in conservation priority status for western Jacob’s-ladder in BC, no monitoring was warranted for this species in 2014. Issue resolved.",No further monitoring required.,N/A,N/A,,,
D 029 J/094 I 11 to  C 028 J/094 I 11,Broad-leaf Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present such as sedge, berry bushes and willow species continue to re-establish.  - Poplar saplings as tall as 7.0 feet. - Grass species and density comparable to adjacent land (High; 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning. - Wetland functional, issue resolved.","August 4, 2017 - Swamp on ROW from KP 5+200 to 5+520 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of alder (>3m in height), willow, broadleaf shrubs, herbaceous graminoids and sphagnum mosses. Great establishment of hydrophytic species throughout wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Gleying observed in subsoil within wetland. - Wetland exhibiting semi-saturated conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and mulch throughout. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Broad-leaf Treed Swamp on ROW from KP 5+200 to KP 5+520 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrological conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
