Alignment  Sheet,Legal Location (WPM),Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
68,NE 14-9-28,964.5 to 964.65,4026.01,Vegetation - Weeds,"High density of false ragweed, lamb’s-quarters, Canada thistle, common pepper-grass and perennial sow-thistle on construction right-of-way.","High density of false ragweed, lamb’s-quarters, Canada thistle, wild oats and perennial sow-thistle on construction right-of-way.",High densities of perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,,
68,NW 13-9-28,964.7 to 965.5,4027 4027.01,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,Minor to moderate compaction causing reduced crop density observed on construction right-of-way.,Land access not granted at time of survey. Communication with EI indicated that landowner has no concerns.,Land decompacted in 2012.,Resolved,None.,,,
68,NE 13-9-28,965.5 to 966.3,4027.01,Soils - Compaction,--,Compaction testing by Mentiga Pedology Consultants Ltd.,Moderate to severe compaction causing reduced crop density observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. Communication with EI indicated that landowner has no concerns.,Land decompacted in 2012.,Resolved,None.,,,
69,SE 15-9-27,972.3,4033.1,Vegetation – Establishment  Unnamed Drainage,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Grasses well-established. No vegetation issues observed.,Reseeded west side of drainage summer 2011. Reseeded west side of drainage August 2012.,Resolved,None.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,Much of this area is a permanent wetland. No vegetation establishment issues observed.,--,Resolved,None.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Weeds,"Moderate density of foxtail barley, green foxtail, Canada fleabane and barnyard grass observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,Much of this area is a permanent wetland. Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
70,NW 4-9-25,989.8 to 990.6,4053,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Unable to assess due to wet conditions during ground reconnaissance.,This area is a permanent wetland. No subsidence observed.,--,Resolved,None.,,,
70,NE 4-9-25,990.6 to 991.4,4054,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Unable to assess due to wet conditions during ground reconnaissance.,This area is a permanent wetland. No subsidence observed.,--,Resolved,None.,,,
70,NE 2-9-25,993.8 to 994.5,4057,Vegetation - Weeds,"Moderate density of common knotweed, flixweed, false ragweed, spear-leaved goosefoot, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.","Moderate density of pineappleweed, sweet clover, Canada thistle, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.","Moderate densities of white sweet clover, nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.",There are no weeds issues observed in this quarter-section.,Weeds sprayed August 2012.,Resolved,None.,,,
71,SW 32-8-23,1008.4 to 1009.2,4073,Vegetation – Establishment,--,--,--,No vegetation establishment issues observed on construction right-of-way. Vegetation well-established.,Reseeded in June 2012.,Resolved,None.,,,
71,SE 32-8-23,1009.15 to 1010.0,4074,Vegetation – Establishment,--,--,--,Bare areas now vegetated. No vegetation establishment issues observed on construction right-of-way.,Reseeded in June 2012.,Resolved,None.,,,
71,SE 32-8-23,1009.15 to 1010.0,4074,Vegetation - Weeds,--,--,--,The landowner has a concern with leafy spurge in this area. Landowner had just sprayed leafy spurge.,2013: Landowner controlling weeds on right-of-way by chemical application.,Unresolved,Monitor in 2014.,,,
71,SW 33-8-23,1010.0 to 1010.71,4075,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,"Large patches of bare ground exist in this quarter-section with sparse vegetation. Generally, areas of low relief have increased vegetation establishment success. Hill slopes and other areas observed with bare ground, consistently have less topsoil.",Reseeded fall 2011 and June 2012.,Unresolved,Issue being managed as per Oak Lake Sandhills Management Plan (Appendix H).,,,
71,SE 33-8-23,1010.71 to 1011.59,4075.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,"Large patches of bare ground exist in this quarter-section with sparse vegetation. Grasses are generally establishing well, but more time may be required to increase density.",Reseeded fall 2011 and June 2012.,Unresolved,Issue being managed as per Oak Lake Sandhills Management Plan (Appendix H).,,,
71,SE 33-8-23,1010.71 to 1011.59,4075.01,Vegetation - Weeds,--,--,--,Low density of leafy spurge observed on construction right-of-way.,2013: Landowner controlling weeds on right-of-way by chemical application.,Unresolved,Issue being managed as per Oak Lake Sandhills Management Plan (Appendix H).,,,
71,NE 28-8-23,1011.5,Crown,Vegetation - Weeds,--,--,Noxious weed leafy spurge poses a potential threat to a rare plant population both on and off the right-of-way.,No weed issues observed on construction right-of-way.,--,Resolved,None.,,,
72,NW 27-8-23,1011.5 to 1012.4,4076,Vegetation – Establishment,--,--,--,Bare ground areas now vegetated. No vegetation establishment issues observed on construction right-of-way.,--,Resolved,None.,,,
72,NE 22-8-22,1022.56 to 1022.67,4090,Vegetation - Weeds,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on construction right-of-way observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,A high density of Canada thistle and a moderate density of perennial sow-thistle and leafy spurge observed on the construction right-of-way.,Weeds sprayed in August 2012.,Unresolved,Control weeds and monitor in 2014.,,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,Poor drainage observed on construction right-of-way. Cattails have established due to perennial wetness.,Drainage issue has been repaired to landowner’s satisfaction (as per EI).  No drainage issues observed. Entire area was bare ground at time of survey (not likely seeded). Vegetation establishment should be monitored in 2014.,Drainage repaired fall 2011. Landowner disced cattails in August 2012. Reseeded in August 2012.,Resolved,Monitor vegetation establishment in 2014.,,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Subsidence,Issue reported by construction contractor.,Unable to fully assess due to portions of the construction right-of-way being flooded at time of survey.,Unable to assess due to wet conditions during ground reconnaissance.,No subsidence issues observed.,Subsidence repaired in 2010.,Resolved,None.,,,
73,NE 18-8-21,1027.7 to 1028.4,4096,Soils - Drainage,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Patches of previously standing water observed on construction right-of-way. Land fallow at time of survey.,This area appears to be a naturally occurring low area.,Drainage repaired in 2010.,Resolved,None.,,,
73,SW 15-8-21,1031.8 to 1032.6,4100,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requesting paratilling due to compaction. Moderate compaction observed on construction right-of-way during ground reconnaissance.,Minor compaction observed on construction right-of-way during ground reconnaissance slightly affecting crop growth.,No compaction issues observed on construction right-of-way. Compaction parameters tested are similar to off construction right-of-way.,Compaction repaired in 2010. Paratilled in 2011.,Resolved,None.,,,
73,SE 15-8-21,1032.6 to 1033.4,4101,Soils – Erosion Vegetation – Crop Growth,--,--,--,Area appears to be stabile. No erosion concerns observed.,Paratilled in 2011. Topsoil added to improve contour in 2011.,Resolved,None.,,,
73,SE 15-8-21,1032.6 to 1033.0,4101,Soils – Compaction,--,--,Minor compaction and reduced crop height observed on construction  right-of-way during ground reconnaissance.,No compaction issues observed. Crop appears to be growing well.,Paratilled in 2011.,Resolved,None.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Vegetation – Crop Growth,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Crop parameters assessed on the construction right-of-way are equal to off construction right-of-way. Previous repairs to this site have resolved the crop growth issue.,--,Resolved,None.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Minor compaction observed on construction right-of-way during ground reconnaissance.,No compaction issues observed. Crop appears to be growing well.,Paratilled in 2011.,Resolved,None.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,Poor contouring resulting in drainage issues observed on construction right-of-way during ground reconnaissance.,No contouring issues observed. The Enbridge EI noted that right-of-way repairs were completed in 2013 to the landowner’s satisfaction.,Topsoil added to improve contour in 2011. Drainage repaired in 2013.,Resolved,None.,,,
73,SE 8-8-20,1039.7 to 1040.3,4110,Vegetation - Weeds,--,"Moderate density of Canada thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",Evidence of weeds observed on construction right-of-way. Hay has recently been cut.,Large patch of Canada thistle observed on construction right-of-way.,Weeds mowed in summer 2011. Weeds mowed in summer 2012. 2013: Selective hand spraying target Canada thistle.,Unresolved,Control weeds and monitor in 2014.,,,
73,SE 8-8-20,1040.0 to 1040.2,4110,Soils – Drainage,--,--,--,No drainage issues observed on construction right-of-way.,Fall 2012: Drainage repaired. Landowner pleased with repairs.,Resolved,None.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Vegetation - Weeds,"Moderate density of Canada thistle, common burdock, perennial sow-thistle, black medick and lamb’s-quarters on construction right-of-way.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Communications with EI indicate that weed management was successful in this area.,Weeds sprayed in fall 2011 and August 2012. 2013: Selective hand spraying target Canada thistle.,Resolved,None.,,,
74,NW 34-7-19,LC 2.5 to LC 2.7,4125,Vegetation - Weeds,"Moderate density of perennial sow-thistle, field dock, spear-leaved goosefoot, false ragweed, Russian thistle, stinkweed and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, spear-leaved goosefoot, narrow-leaved hawk’s-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Foxtail barley is now present at densities and distribution patterns equal to those observed off the construction right-of-way.,--,Resolved,None.,,,
74,NW 35-7-19,1054.0,4127,Vegetation - Weeds,"High density of dog mustard, false ragweed, foxtail barley, spear-leaved goosefoot, perennial sow-thistle, field dock, redroot pigweed and wild oats observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,"Moderate density of Canada thistle, perennial sow-thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weed species composition and density on the construction right-of-way equal to off the construction right-of-way.,Weeds sprayed June and August 2012.,Resolved,None.,,,
74,NW 35-7-19,1054.0,4127,Vegetation – Crop Growth,--,--,--,"No reduced crop growth (related to the Alberta Clipper project) observed on the construction right-of-way. The Enbridge EI noted that the landowner does have crop growth concerns, however they are related to other pipelines.",--,Resolved,None.,,,
75,SW 36-7-19,1055.8 to 1056.3,4129,Vegetation - Weeds,"Moderate density of perennial sow-thistle, common burdock, green smartweed, field dock and dandelion on construction right-of-way.","Moderate density of foxtail barley, field dock, Canada thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.","Moderate densities of perennial sow-thistle, Canada thistle and false ragweed observed on construction  right-of-way during ground reconnaissance.",Weed species composition and density on the construction right-of-way equal to off the construction right-of-way.,Weeds sprayed August 2012.,Resolved,None.,,,
75,"SE 31-7-18, SW 32-7-18",1058.7 to 1058.9,4132  4133,Vegetation - Weeds,--,--,--,No weeds issues observed on construction right-of-way.,Weeds sprayed June and August 2012.,Resolved,None.,,,
75,"SE 31-7-18, SW 32-7-18",1058.7 to 1058.9,4132  4133,Soils – Erosion Vegetation - Establishment,--,--,--,Area appears stable. No erosion issues observed. Vegetation is now well-established.,Erosion repaired and reseeded fall 2011. 2012: Berm built between fields to prevent water flow from natural wetland into crop.,Resolved,None.,,,
75,NE 26-7-18,1064.6 to 1064.8,4141,Soils - Subsidence,--,Moderate subsidence observed on the construction right-of-way during ground reconnaissance.,Minor subsidence (approximately 10 cm deep) observed on construction  right-of-way during ground reconnaissance.,No subsidence observed by EI and landowner. Landowner satisfied with condition of land.,--,Resolved,None.,,,
75,SW 25-7-18,1065.8,4143,Vegetation – Weeds Black Creek,--,"Moderate density of Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on north bank during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Foxtail barley is now present at densities and distribution patterns equal to those observed off the construction right-of-way.,--,Resolved,None.,,,
75,SW 25-7-18,1065.6,4143,Soils – Compaction,--,--,Moderate compaction causing poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No compaction issues observed. This issue was likely caused by excess moisture (affecting seed germination) in 2012.,--,Resolved,None.,,,
76,NW 14-7-17,W 0.9,4155.01,Vegetation - Weeds,--,--,Landowner observed higher density of foxtail barley on construction right-of-way compared to off.,Foxtail barley is now present at densities and distribution patterns equal to those observed off the construction right-of-way.,--,Resolved,None.,,,
76,NW 14-7-17,W 0.4 to W 1.0,4155.01,Soils - Drainage,--,--,Landowner observed poor drainage along construction right-of-way.,Communications with EI indicate that the landowner is satisfied with the repairs. No drainage issues observed in 2013.,Disced and graded right-of-way September 2012.,Resolved,None.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation - Weeds,"Moderate density of foxtail barley, wild oats, Russian thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed species composition and density on the construction right-of-way equal to off the construction right-of-way.,--,Resolved,None.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation – Establishment,--,--,--,"Land was fallow at time of assessment. Weeds are an issue both on and off the construction right-of-way. Unable to assess vegetation density due to high level of weeds, however, the vegetation that is present on the construction  right-of-way is similar to that observed off the construction right-of-way.",Reseeded September 2012.,Resolved,None.,,,
76,NW 16-7-16,W 7.17,4162,Vegetation – Weeds,--,--,"Moderate density of Canada thistle, field dock, green foxtail and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",There is a high a density of annual weeds present both on and off the construction right-of-way.,Weeds sprayed August 2012.,Resolved,None.,,,
77,SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation – Establishment  Oak Creek,--,Poor vegetation establishment on west bank and moderate vegetation establishment on approach slopes observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on west bank of construction right-of-way during ground reconnaissance where there is no topsoil. Sediment fence still in place.,Slopes are well-vegetated. No erosion concerns observed.,"Banks restored, protected and reseeded in fall 2011. Mowed west side of creek August 2012.",Resolved,None.,,,
77,SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation - Weeds Oak Creek,"High weeds density of false ragweed, lamb’s-quarters, Russian thistle, stinkweed, Canada thistle, Canada fleabane and field dock on southeast bank of construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of Canada thistle, common burdock and leafy spurge observed on west bank along construction right-of-way during ground disturbance.",Weed densities higher on the construction right-of-way than off. Leafy spurge present at a moderate density.,--,Unresolved,Control weeds and monitor in 2014.,,,
78,NE 36-6-14,1107.4 to 1107.6,4199,Land and Resource Use - Organic Farm Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, dandelion, Canada thistle, common plantain and foxtail barley on construction right-of-way.","Moderate density of spear-leaved goosefoot, Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of foxtail barley, Canada thistle, perennial sow-thistle and kochia observed on construction right-of-way during ground reconnaissance.",Weed densities are similar on and off the construction right-of-way.,--,Resolved,None.,,,
79,NW 17-6-12,1120.7,4217,Soils - Erosion,Issue reported by construction contractor.,Gully erosion observed on the construction right-of-way during ground reconnaissance.,Gully erosion (approximately  10 cm x 30 cm) observed in ditch on construction right-of-way during ground reconnaissance.,"Original erosion issue no longer exists. However, the area around the cathodic protection cable attached to the pipeline sign in the ditch is eroding. This issue is not related to pipeline construction and will be communicated to Enbridge Operations.",Erosion repaired in 2010.,Resolved,None.,,,
79,NW 10-6-12,1124.25 to 1124.5,4222,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,"Repaired low areas north of farm yard, restored swale, imported topsoil in 2011. 2013: Reclamation work completed as required.",Unresolved,Follow land management procedures as indicated in Appendix D.,,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,Imported topsoil in 2011. 2013: Reclamation work completed as required.,Unresolved,Follow land management procedures as indicated in Appendix D.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Weeds,--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,Weeds sprayed in October 2011. 2013: Reclamation work completed as required.,Unresolved,Follow land management procedures as indicated in Appendix D.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils – Contouring,--,Landowner noted low area from dugout to fenceline.,--,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,Hauled in topsoil and installed berm east of dugout in 2011. 2013: Reclamation work completed as required.,Unresolved,Follow land management procedures as indicated in Appendix D.,,,
79,NE 10-6-12,1125.0 to 1125.6,4222.01,Vegetation – Establishment,--,--,--,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,Seeded patchy growth on cattle runway and drainage swale fall in 2011. 2013: Reclamation work completed as required.,Unresolved,Follow land management procedures as indicated in Appendix D.,,,
79,SE 10-6-12,1125.4 to 1125.85,4222.02,Vegetation - Establishment,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,Reseeded in summer 2011. 2013: Reclamation work completed as required.,Unresolved,Follow land management procedures as indicated in Appendix D.,,,
79,SE 10-6-12,1125.4 to 1125.85,4222.02,Soils – Compaction,--,--,Minor compaction observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. A management plan for these lands has been included in Appendix D.,2013: Reclamation work completed as required.,Unresolved,Follow land management procedures as indicated in Appendix D.,,,
80,NE 31-5-11,1131.3 to 1131.5,4231,Vegetation – Weeds,--,--,"Moderate density of absinthe, Canada thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weed management weed management has been successful in this area. No weed issues observed.,Weeds sprayed in August 2012. 2013: Selective hand spraying of Canada thistle and false ragweed.,Resolved,None.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Soil parameters assessed appear equal on and off the construction right-of-way.,--,Resolved,Monitor in 2014.,,,
80,NW 24-5-11,1139.9,4241.01 4241.02,Topography – Slopes Soils - Erosion Vegetation - Establishment Water Quality and Quantity Unnamed Drainage,Sediment fences are damaged. Area is highly disturbed by cattle. Poor vegetation establishment on both banks. Large gully starting to form down the bank on the east slope. Banks were observed to be poorly-recontoured and sediment has entered the drainage.,Moderate vegetation establishment on construction right-of-way at west bank. Heavy cattle traffic on construction right-of-way at crossing.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Cattle traffic and erosion observed on construction right-of-way.,Vegetation now well-established.,Area repaired and reseeded summer 2011.,Resolved,None.,,,
80,NW 24-5-11,1139.85 to 1140.0,"4241.01, 4241.02",Vegetation - Weeds,--,--,Low densities of Canada thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed on the construction right-of-way.,Weeds sprayed in August 2012.,Resolved,None.,,,
83,NE 24-3-7,1184.3 to 1184.4,4309,Vegetation - Weeds,--,--,--,"Numerous weed species, including a moderate density of Canada thistle and perennial sow-thistle were observed on the construction right-of-way.",Weeds sprayed in August 2012.,Unresolved,Control weeds and monitor in 2014.,,,
83,SE 19-3-6,1186.1 to 1186.45,4311,Vegetation - Weeds,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,"Canada thistle control was successful, however, leafy spurge is now present on the construction right-of-way at a moderate density. It is likely that the leafy spurge was introduced during integrity digs and, therefore, is not an issue related to construction of the pipeline.",Weeds sprayed in 2010. Weeds sprayed in August 2012. 2013: Selective hand spraying target Canada thistle.,Resolved,None.,,,
84,NW 1-3-6,1194.9 to 1195.23,4325,Vegetation - Weeds,"High density of nodding thistle, foxtail barley, spear-leaved goosefoot, Canada thistle, false ragweed and shepherd’s purse on construction right-of-way.",Moderate density of foxtail barley and field dock observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of Canada thistle, nodding thistle, false ragweed and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weed species composition and density on the construction right-of-way equal to off the construction right-of-way.,Weeds sprayed August 2012.,Resolved,None.,,,
84,NE 1-3-6,1195.7,4326.02,Vegetation – Establishment,Issue reported by construction contractor.,Poor vegetation establishment observed near dugout on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground disturbance.,Vegetation at this site is comparable to off the construction right-of-way. The bare ground evident at this location (on and off the construction right-of-way) is being caused by cattle traffic (near a water source).,Reseeded in fall 2011.,Resolved,None.,,,
84,SW 6-3-5,1196.7,4327.01,Topography – Slopes Soils - Erosion Vegetation - Establishment Water Quality and Quantity Deadhorse Creek,West approach slope appears unstable on construction right-of-way.,Area of poor vegetation establishment on west bank observed on construction right-of-way during ground reconnaissance.,Bare patch (2 m x 2 m) on west bank observed on construction right-of-way during ground reconnaissance.,Vegetation now well-established on the west bank.,"Slopes repaired, protected and reseeded in fall 2011. Repaired with topsoil and jute matting, reseeded in October 2012.",Resolved,None.,,,
84,NE 31-2-5,1198.0 to 1198.3,4329 4329.01,Land and Resource  Use - Urban Construction Area Vegetation - Weeds,"Moderate to high density of nodding thistle, dandelion, green foxtail, Canada thistle, perennial sow-thistle and foxtail barley on construction right-of-way.","Moderate density of Canada thistle, perennial sow-thistle and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.",Low to moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Perennial sow-thistle observed at higher densities on the construction right-of-way compared to off.,Reseeded in 2010. Weeds sprayed September 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,,
