Legal Location (W4M),Land Use,Condition/ Issues Noted (Rating),"Kilometre Post1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
NW 11-82-17,Forested,Plant Growth (Low),07+080 to 7+550,• Plant growth consistent with Year 1 vegetation expectations • Intermittent limited plant growth on the ditch line,None,No issue,,,
NE 11-82-17,Forested,Plant Growth (Low),07+550 to 07+750,• Plant growth consistent with Year 1 vegetation expectations • Intermittent limited plant growth on the ditch line,None,No issue,,,
SE 14-82-17,Forested,Access Control (N/A),07+800,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SE 14-82-17,Forested,Plant Growth (Moderate),07+750 to 08+100,• Intermittent limited plant growth on the work side of the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 14-82-17,Forested,Noxious Weeds (High),07+750 to 08+100,"• Several scentless chamomile (Tripleurospermum inodorum) individuals present only on the ROW • Some individuals were picked and disposed during the assessment • Selective weed control completed on August 29, 2018",Monitor in 2019 and control as required,Unresolved,,,
SW 14-82-17,Forested,Plant Growth (Moderate),08+100 to 08+550,• Limited desirable plant growth • Intermittent limited plant growth on the work side of the ROW,Monitor in 2019,Unresolved,,,
SW 14-82-17,Forested,Noxious Weeds (High),08+100 to 08+550,"• Several scentless chamomile (Tripleurospermum inodorum) individuals present only on the ROW   • Selective weed control completed on August 29, 2018",Monitor in 2019 and control as required,Unresolved,,,
NW 14-82-17,Forested,Plant Growth (Moderate),08+550 to 08+780,• Limited desirable plant growth • Intermittent limited plant growth on the work side of the ROW,Monitor in 2019,Unresolved,,,
NW 14-82-17,Wetland,Woody Debris / Surface Drainage (Moderate),08+800,"• Coarse woody debris present blocking the cross drain, causing ponding on the right-of-way",None,No issue,,,
NW 14-82-17,Wetland,Amphibian Breeding Pond (N/A),08+800,• Pond was off ROW and not disturbed,None,No Issue,,,
NW 14-82-17,Wetland,Wetland 8-1 (Low),08+780 to 08+960,• Wooded Swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 23-82-17,Forested,Plant Growth (Moderate),08+960 to 10+200,• Limited desirable plant growth  • Establishment is consistent with Year 1 regrowth.,Monitor in 2019,Unresolved,,,
SW 23-82-17,Forested,Noxious Weeds (High),09+800 to 09+900,"• Several scentless chamomile (Tripleurospermum inodorum) and common tansy (Tanacetum vulgare) individuals was present on the ROW and in the extra work spaces • Some individuals were picked and disposed of, though densities were too high to pick in the extra work spaces • Selective weed control completed on August 29, 2018",Monitor in 2019 and control as required,Unresolved,,,
SW 23-82-17,Forested,Grade Inconsistency (High),09+900,• Subsidence present in the temporary work space 50 to 75 cm deep and 20 m by 20 m in size,Monitor in 2019,Unresolved,,,
NW 23-82-17,Forested,Access Control (N/A),10+400,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NW 23-82-17,Forested,Plant Growth (High),10+200 to 10+900,• Intermittent limited plant growth observed on the ROW throughout the quarter section • Limited desirable plant growth,Monitor in 2019.,Unresolved,,,
NE 22-82-17,Forested,Plant Growth (Moderate),10+900 to 11+300,• Intermittent limited plant growth on the work side of the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019.,Unresolved,,,
NE 22-82-17,Forested,Amphibian Breeding Ponds (N/A),11+100 to 11+500,• The ponds were observed • Plant growth was limited surrounding the pond,None,o issue,,,
SE 27-82-17,Forested,Plant Growth (Moderate),11+300 to 11+440,• Intermittent limited plant growth on the work side of the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 27-82-17,Wetland,Wetland 9-1 (Low),11+440 to 11+490,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 27-82-17,Forested,Grade Inconsistency (High),11+550,• Grade Inconsistency present at the mud mix pit approximately 20 m by 20 m and 75cm deep.,Monitor in 2019,Unresolved,,,
SE 27-82-17,Forested,Noxious Weeds (High),11+550,"• Many scentless chamomile (Tripleurospermum inodorum) and white cockle (Silene latifolia) individuals were observed at the north edge of the pad on the ROW only • Selective weed control completed on September 25, 2018; white cockle was not observed",Monitor in 2019 and control as required,Unresolved,,,
SE 27-82-17,Forested,Watercourse - Athabasca River (WC2) (Low),11+840,• Watercourse is not disturbed • Pipeline was directionally drilled and had no impact on vegetation or terrain,Monitor in 2019,Unresolved,,,
SE 27-82-17,Forested,Plant Growth (Low),11+490 to 11+950,• Intermittent limited plant growth on the work side of the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,None,No issue,,,
SW 27-82-17,Forested,Watercourse - Athabasca River (WC2) (Low),12+000 to 13+000,• Watercourse is not disturbed • Pipeline was directionally drilled and had no impact on vegetation or terrain,Monitor in 2019,Unresolved,,,
NW 27-82-17,Forested,Plant Growth (Low),12+600 to 12+840,• Vegetation is establishing well in this quarter section,None,No issue,,,
NW 27-82-17,Wetland,Amphibian Breeding Pond (N/A),12+900,• Pond is off the ROW and not disturbed,None,No issue,,,
NW 27-82-17,Wetland,Wetland 10-1 (Low),12+840 to 13+000,• Wooded fen not disturbed • Pipeline was directionally drilled and had no impact on vegetation or terrain,Monitor in 2019,Unresolved,,,
NE 28-82-17,Wetland,Plant Growth (Moderate),13+000 to 13+800,• Limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 28-82-17,Wetland,Surface Drainage (Moderate),13+050,• Ponding water was observed • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
NE 28-82-17 continued,Wetland,Noxious Weeds (High),13+550,"• Scentless chamomile (Tripleurospermum inodorum) observed coming from adjacent pipeline ROW • Noxious weeds were restricted to the pipeline ROWs • Selective weed control completed on September 25, 2018",Monitor in 2019 and control as required,Unresolved,,,
NE 28-82-17 continued,Wetland,Wetland 10-1 (Low),13+000 to 13+800,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 33-82-17,Wetland,Amphibian Breeding Pond (N/A),14+000,• Pond is present • Plant growth is limited surrounding the pond,None,No issue,,,
SE 33-82-17,Wetland,Access Control (N/A),14+000,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SE 33-82-17,Wetland,Wetland 10-1 (Low),13+800 to 14+200,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 33-82-17,Wetland,Wetland 10-1 (Low),14+200 to 14+900,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 33-82-17,Wetland,Wetland 10-1 (Low),14+900 to 15+450,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 32-82-17,Wetland,Wetland 10-1 (Low),15+450 to 16+100,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 32-82-17,Wetland,Access Control (N/A),15+900 to 16+000,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SE 04-83-17,Wetland,Wetland 10-1 (Low),16+100 to 16+290,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations with intermittent limited plant growth observed throughout the quarter section,Monitor in 2019,Unresolved,,,
SW 04-83-17,Wetland,Wetland 10-1 (Low),16+290 to 16+890,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 04-83-17,Wetland,Wetland 11-1 / Plant Growth (Moderate),16+890 to 17+210,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 04-083-17,Wetland,Plant Growth (Moderate),17+210 to 17+490,• Limited plant growth,Monitor in 2019,Unresolved,,,
NW 04-083-17,Wetland,Noxious Weeds (High),17+210 to 17+250,"• Several scentless chamomile (Tripleurospermum inodorum) individuals were observed in the quarter section on the ROW only • Approximately 10 plants were picked from the area though there was likely to be more throughout the quarter • No additional scentless chamomile observed during the September 25, 2018 inspection",Monitor in 2019 and control as required,Unresolved,,,
NW 04-083-17,Wetland,Wetland 11-1 / Plant Growth (Moderate),17+210 to 17+490,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 05-083-17,Wetland,Surface Drainage (Moderate),17+490 to 18+320,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
NE 05-083-17,Wetland,Plant Growth (Moderate),17+490 to 18+320,• Limited plant growth,Monitor in 2019,Unresolved,,,
NE 05-083-17 continued,Wetland,Wetland 11-1 / Plant Growth (Moderate),17+490 to 18+320,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 08-083-17,Wetland,Plant Growth (Moderate),18+320 to 18+660,• Limited plant growth,Monitor in 2019,Unresolved,,,
SE 08-083-17,Wetland,Noxious Weeds (Moderate),18+600,• Two scentless chamomile (Tripleurospermum inodorum) individuals were observed in the quarter section  • Individuals were picked and properly disposed of,Monitor in 2019 and control as required,Unresolved,,,
SE 08-083-17,Wetland,Wetland 11-1 / Plant Growth (Moderate),18+320 to 18+530,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 08-083-17,Wetland,Wetland 11-2 / Plant Growth (Moderate),18+530 to 18+660,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 08-083-17,Wetland,Wetland 12-1 / Plant Growth (Moderate),18+520 to 18+660,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 08-083-17,Wetland,Plant Growth (Moderate),18+660 to 19+440,• Limited plant growth,Monitor in 2019,Unresolved,,,
SW 08-083-17,Wetland,Wetland 12-1 / Plant Growth (Moderate),18+660 to 19+230,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations • Algae noted in the wetland is not deemed to be excessive and does not appear to affect wetland function,Monitor in 2019,Unresolved,,,
SW 08-083-17 continued,Wetland,Wetland 13-1 (Low),19+220 to 19+440,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 08-083-17,Wetland,Plant Growth (Moderate),19+440 to 19+830,• Limited plant growth,Monitor in 2019,Unresolved,,,
NW 08-083-17,Wetland,Wetland 13-1 (Low),19+440 to 19+730,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 08-083-17,Wetland,Wetland 12-2 (Low),19+730 to 19+830,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 07-083-17,Wetland,Access Control (N/A),20+400 to 20+525,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances • The area between the two areas of mounding (approximately 300 m) had very limited plant growth and intermittent ponding over the ditch and work side",Monitor in 2019,Unresolved,,,
NE 07-083-17,Wetland,Plant Growth (Moderate),19+830 to 20+525,• Limited plant growth,Monitor in 2019,Unresolved,,,
NE 07-083-17,Wetland,Wetland 12-2 (Low),19+830 to 20+525,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 18-083-17,Wetland,Access Control (N/A),20+825,• Mounding is effectively limiting access,None,No issue,,,
SE 18-083-17,Wetland,Surface Drainage (Moderate),21+000,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
SE 18-083-17,Wetland,Wetland 12-2 (Low),20+525 to 21+035,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 18-083-17,Wetland,Wetland 12-2 (Low),21+035 to 21+340,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 18-083-17,Wetland,Wetland 14-1 / Plant Growth (Moderate),21+310 to 21+685,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-083-17,Wetland,Wetland 14-1 / Erosion (Moderate),21+685 to 21+890,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions except for erosional sediment entering the wetland • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations • Water with possible sediment is flowing into the wetland from areas near KP 22+000,Monitor in 2019 and install erosion controls as required,Unresolved,,,
NW 18-083-17,Wetland,Wetland 15-1 / Plant Growth (Moderate),21+890 to 22+150,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-083-17,Wetland,Wetland 14-2 (Low),22+120 to 22+240,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-083-17,Wetland,Noxious Weeds (High),21+685 to 22+240,"• Scentless chamomile (Tripleurospermum inodorum) individuals were observed in the quarter section on the ROW only • Selective weed control completed on September 25, 2018",Monitor in 2019 and control as required,Unresolved,,,
NW 18-083-17,Wetland,Surface Drainage / Erosion (High),22+000,• Water is ponding and flowing towards the open water in wetland 14-1 • Flowing water is causing erosion approximately 45 cm deep,Monitor in 2019 and install erosion controls as required,Unresolved,,,
NE 13-083-18,Wetland,Wetland 16-1 (Low),22+350 to 22+680,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 13-083-18 continued,Wetland,Wetland 14-2 (Low),22+680 to 22+700,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 13-083-18 continued,Wetland,Access Control / Plant Growth (Low),22+600,• Mounding is effectively limiting access • Intermittent limited plant growth on the mounded areas,None,No issue,,,
NE 13-083-18 continued,Wetland,Surface Drainage (Moderate),22+240 to 22+700,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
SE 24-083-18,Wetland,Surface Drainage (Moderate),22+700 to 23+535,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
SE 24-083-18,Wetland,Wetland 14-2 (Low),22+700 to 23+535,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 24-083-18,Wetland,Access Control (N/A),23+750,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 24-083-18,Wetland,Wetland 14-2 (Low),23+535 to 24+430,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 24-083-18,Wetland,Surface Drainage (Moderate),24+430 to 24+590,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
NW 24-083-18,Wetland,Wetland 14-2 (Low),24+430 to 24+590,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 24-083-18,Wetland,Wetland 17-1 (Low),24+500 to 24+590,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 25-083-18,Wetland,Wetland 14-2 (Low),24+590 to 24+610,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 25-083-18,Wetland,Wetland 17-1 / Plant Growth (Moderate),24+610 to 25+060,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 25-083-18,Wetland,Wetland 17-2 (Low),25+060 to 25+120,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 25-083-18,Forested,Noxious Weeds (High),25+275 to 25+350,"• Several scentless chamomile (Tripleurospermum inodorum) individuals were observed in the quarter section on either side of the watercourse (WC3) on the ROW only • Selective weed control completed on October 1, 2018",Monitor in 2019 and control as required,Unresolved,,,
SW 25-083-18,Forested,Plant Growth (Moderate),25+120 to 25+620,• Limited plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
