Environmental Issues,Location,*Mitigative Measures and Observations in 2010,Mitigative Measures and Observations in 2011,Status,Recommendations,VEC,GIS,Topic
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 10 m x • 1 m) at KP 26.55.,Unresolved,Repair subsidence and monitor.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 15 m x • 5 m) from KP 36.4 to KP 36.5.,Unresolved,Repair subsidence and monitor.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (40 cm x 2 m x • 2 m) at KP 36.6.,Unresolved,Repair subsidence and monitor.,2. SOIL AND SOIL PRODUCTIVITY,,
(a) Alterations of natural flow patterns,Pipeline right-of-way,•  Water from hydrostatic testing ponding in low-lying areas near KP 0.0.,Poor drainage noted at • KP 0.0. Standing water observed intermittently from KP 0.0 to KP 1.0.  See Plate 4.,Unresolved,Recontour the right-of-way as close to the preconstruction profile as possible. Continue monitoring.,3. WATER QUALITY AND QUANTITY,,
(a) Alterations of natural flow patterns,Pipeline right-of-way,Crossing of drainage areas during • construction has altered drainage patterns resulting in wet areas from KP 10.2 to KP 11.0.,No drainage issues observed • from KP 10.2 to KP 11.0.,Resolved,None.,3. WATER QUALITY AND QUANTITY,,
(a) Alterations of natural flow patterns (cont’d),Entire route,--,Trench settlement issues • causing high crown along the right-of-way can potentially alter natural flow patterns. See Trench Subsidence element. No water flow issues of concern were identified in 2011.  See Plate 5.,Unresolved,Continue monitoring trench settlement along the entire right-of-way.,3. WATER QUALITY AND QUANTITY,,
(a) Loss of wetland habitat and loss or reduction of hydrological function (filtration),Entire route,--,"During the 2011 PCEM, • low-lying areas along the right-of-way were observed to be consistent with preconstruction drainage contours.",Resolved,"Continue monitoring the re-establishment of ground cover, soil erosion potential and weed growth.",4. WETLANDS,,
(a) Loss or alteration of native vegetation and vegetation important to wildlife,Entire route,Low-growing shrubs and grasses • were observed along the right-of-way at the time of the PCEM program but require more time to establish.,Low-growing shrubs and • grasses continue to establish well but require further <s>monitoring.</s>,Unresolved,Continue to monitor the re-establishment of low-growing shrubs and grasses on the right-of-way.,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,Narrow-leaved hawk's-beard • was observed at low densities along the entire route during the 2011 PCEM.,Unresolved,Continue monitoring right-of-way for weed growth and introduction.,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,Sweet clover was observed at • low densities along the entire line and in moderate densities at KP 14.7 and from KP 28.0 to KP 30.0 during the 2011 PCEM.,Unresolved,Continue monitoring right-of-way for weed growth and introduction.,5. VEGETATION,,
(b) Weed introduction and spread,Pipeline right-of-way,--,Scentless chamomile was • observed at low densities along the majority of the pipeline with a high density infestation at KP 14.7.  See Plate 6.,Unresolved,Apply chemical control for scentless chamomile. Continue monitoring right-of-way for weed growth and introduction.,5. VEGETATION,,
(c)  Loss of rare plant populations,30 locations**,"Flagged rare plant populations in • October 2009. Reduced work site dimensions • and lessened disturbance to vegetation by minimizing grubbing and/or ramping over rare plant populations in flagged locations. At flagged rare plant locations, • stripped a narrow blade width centred over the trench. If rare plants were flagged in areas where grading was required, stripped and stored grubbings and strippings separately and marked their location to ensure these materials were replaced in the same area during clean‐up. At flagged rare plant locations, • placed swamp or rig mats over the spoil side and placed ditch spoil on top of the mats, to prevent ditch spoil from mixing with the unstripped surface materials. Replaced strippings in areas of • rare plants in the same location as they were removed.","Revisited rare plant • populations of European water-hemlock, northern bog bedstraw and western Jacob's-ladder.",8 Unresolved** 22 Resolved**,Continue to monitor the 8 unresolved populations of rare plants in July 2012.,5. VEGETATION,,
(a) Loss or alteration of potential wildlife habitat,Entire route,--,--,Unresolved,See Vegetation element.,6. WILDLIFE AND WILDLIFE HABITAT,,
(a) General,Adjacent to pipeline right-of-way,"An abandoned trapper/hunting • shack was located adjacent to the pipeline right‐of‐way during centre line survey. This was not an old (i.e. , heritage) cabin, but a structure in general disuse (plastic tarps, roofless, broken walls, garbage, etc.).",The shack is dilapidated and is • not an environmental concern. No potential for contamination was observed.,Resolved,None.,7.  OTHER,,
(a) General,1 km from pipeline right-of-way,"An additional borrow site was • acquired from BC Crown lands. Site was approximately 1 km from pipeline, immediately adjacent and accessible by road. The trees and brush were  removed, topsoil stripped and stockpiled on site and the small borrow pit was developed. Borrow site was left with stable slope angles and public access is restricted. Drainage for the hydrostatic test water was established before the water was released. Water was released into an excavated sump under controlled conditions before it flowed into natural drainage in the area. Area was reseeded.",Area not assessed in 2011. •,Unresolved,"Assess borrow pit area for general environmental condition (weeds, vegetation establishment, drainage etc.).",7.  OTHER,,
