Location Range,Issue(s),KP  Range,Prior Observations (Source),2013 TERA Observations,2015 Assessment,December 2015 DetailsStatus/Action Plan,December 2016 Status & Update,VEC,GIS,Topic
c‑8‑I/94O11 to a‑98‑H/94O11 (KP 14.00 to KP 15.00),,,,,,,,,,
c‑17‑H/94O11 to d‑68‑H/94O11 (KP 17.00 to KP 18.00),Vegetation -   Weeds,17.00 to 17.20,--,Moderate density of sweet-          clover observed along the      construction right‑of‑way from  KP 17.00 to KP 17.20.,Resolved - Ongoing monitoring  required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply         treatment in 2017 as needed,,,
c‑17‑H/94O11 to d‑68‑H/94O11 (KP 17.00 to KP 18.00),,17.1,2011 (TERA): Erosion 60 cm x 2 m x 10 m at KP 17.10.2012 (TERA): Unable to assess due to snow cover.,Gully erosion (three channels measuring 10 m long x 0.50 m wide x 0.50 m deep) removing sediment from water bar observed at KP 17.10 in 2013.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
d‑68‑H/94O11 to c‑58‑H/94O11 (KP 18.00 to KP 19.00),Physical Environment - Rutting,18.55 (2015 km 19.7-20.5),--,Low vegetation establishment (50 m x 10 m) likely due to soil rutting (50 m long x 0.60 m wide x 0.30 m deep) observed at KP 18.55.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
c‑58‑H/94O11 to d‑49‑H/94O11 (KP 19.00 to KP 20.00),Physical Environment - Erosion,19.92,--,Gully erosion (10 m long x 0.75 m wide x 0.25 m deep) resulting from water diverted by trench crown observed at KP 19.92. Gully erosion (10 m long x 0.50 m wide x 0.50 m deep) resulting from water diverted by trench crown observed at KP 19.99.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
d‑20‑H/94O11 to c‑10‑H/94O11 (KP 23.00 to KP 24.00),Vegetation -   Weeds,23.57 to 24.00,--,High density of sweet-clover           observed along the construction      right‑of‑way from KP 23.57 to  KP 24.00.,Resolved -  Ongoing monitoring  required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply         treatment in 2017 as needed,,,
d‑20‑H/94O11 to c‑10‑H/94O11 (KP 23.00 to KP 24.00),Physical Environment - Subsidence,23.64 (2015 km 23.63),2011 (TERA): Subsidence 50 cm x 10 m x 5 m observed at KP 23.50.2012 (TERA): Unable to assess due to snow cover.,Subsidence (100 m long x 0.50 m wide x 0.25 m deep) observed along the east side of trench crown at KP 23.64.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the  environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
c‑10‑H/94O11 to a‑91‑B/94O11 (KP 24.00 to KP 25.00),Vegetation - Weeds,24.30 to 24.5024.33,--,Moderate density of sweet-clover observed along the construction right‑of‑way from KP 24.30 to 24.50.Moderate density patch of scentless chamomile observed along the construction right‑of‑way at KP 24.33.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
b‑81‑B/94O11 to a‑72‑B/94O11 (KP 226.00 to KP 27.00),Vegetation - Weeds,26.30 to 26.60,--,High density of sweet-clover observed along the construction right‑of‑way from KP 26.30 to KP 26.60.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
a‑72‑B/94O11 to a‑62‑B/94O11 (KP 27.00 to KP 28.00),Vegetation - Weeds,27.10 to 27.2527.3127.45,--,High density of sweet-clover observed along the construction right‑of‑way from KP 27.10 to KP 27.25.High density patch of sweet-clover observed along the construction right‑of‑way at KP 27.31. Low density patch of scentless chamomile along the construction right‑of‑way at KP 27.45. Hand pulled in 2013.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
a‑62‑B/94O11 to d‑53‑B/94O11 (KP 28.00 to KP 29.00),Vegetation -   Weeds,28.2328.2928.5228.94,--,Moderate density patch of           scentless chamomile at      KP 28.23. Moderate density of sweetclover on trench crown observed at KP 28.29. Low density patch of scentless chamomile at KP 28.52 and KP 28.94. Hand pulled in 2013.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
d‑53‑B/94O11 to c‑43‑B/94O11 (KP 29.00 to KP 30.00),Physical Environment - Subsidence,29.23 to 29.30,--,Several subsided sites measuring up to 0.50 m deep. Trench crown may be misaligned through corner.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
d‑53‑B/94O11 to c‑43‑B/94O11 (KP 29.00 to KP 30.00),Vegetation - Weeds,29.27,--,Low density patch of scentless chamomile at KP 29.27.,Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
c‑43‑B/94O11 to d‑34‑B/94O11(KP 30.00 to KP 31.00),Vegetation - Weeds,30.00 to 31.00,--,Moderate density of sweet-clover observed from KP 30.00 to KP 31.00.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
d‑34‑B/94O11 to d‑24‑B/94O11,Vegetation - Weeds,31.00 to 31.2031.8,--,Moderate density of sweet-clover observed from KP 31.00 to KP 31.20. Scentless chamomile observed along track on west side of right-of-way at KP 31.80.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
d‑24‑B/94O11 to c‑14‑B/94O11 d‑5‑B/94O11 to b‑95‑J/94O6 (KP 34.00 to KP 35.00),Vegetation -   Weeds,32.00 to 33.00,--,Moderate density of sweet-          clover observed from KP 32.00      to KP 33.00.  Scentless chamomile observed at KP 32.40.,Resolved -  Ongoing  monitoring required,Herbicide application occurred; monitor     and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply       treatment in 2017 as needed,,,
d‑24‑B/94O11 to c‑14‑B/94O11 d‑5‑B/94O11 to b‑95‑J/94O6 (KP 34.00 to KP 35.00),Physical Environment - Subsidence,34.5,--,Subsidence (5 m long x 3.00 m wide x 0.75 m deep) holding water on trench line observed at KP 34.50,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
b‑95‑J/94O6 to b‑85‑J/94O6 (KP 35.00 to KP 36.00),Physical Environment - Subsidence,35.06,--,Subsidence (3.00 m long x 3.00 m wide x 0.50 m deep) ponding water on trench line observed at KP 35.06.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
b‑85‑J/94O6 to c‑76‑J/94O6 (KP 36.00 to KP 37.00),,36.57,2011 (TERA): Subsidence 40 cm x 2 m x 2 m at KP 36.60.2012 (TERA): Unable to assess due to snow cover.,Subsidence (20 m long x 3.00 m wide x 0.50 m deep) ponding water on trench line observed at KP 36.57.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
