Legal Location (W4M),Land Use,1st Year (2013) Issue(s),1st Year (2013) Notes,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 22-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.",July 11 • Vegetation cover is 70-80% of off RoW throughout tract - Wetland vegetation 80-90% of off RoW - Minor subsidence and water ponding at screw anchor locations throughout tract,"June 7, 2015 - Vegetation establishment appears to be developing well along RoW. - No subsidence or erosion issues evident from aerial assessment. Subsidence at screw anchor and bell locations noted in 2013, is no longer evident, issue resolved. - Wetlands appear to be stable throughout tract. June 10, 2015 - 80% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are stable and well vegetated at this time. - Perennial Sow Thistle present along RoW at KP 6+370. Recommend herbicide application. - Erosion along east side of ditchline at KP 6+500, rill is well vegetated. Continue to monitor. July 23, 2015 - Herbicide application conducted to control perennial sow thistle. September 12, 2015  - Grasses and small forbs were observed throughout the RoW. - Soils stable with good vegetation cover, no subsidence or other integrity concerns were noted. - Foreign company line has stockpiled soils directly to the west of roach along this quarter section, these stockpiled soils contain large concentrations of perennial sow thistle which may negatively affect TCPL RoW, continue to monitor. - Silt fence was collected and removed from the south bank of watercourse crossing.",,,
SW 27-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.",July 11 • Vegetation cover is 60-70% of off RoW - Wetlands look good with Vegetation cover 80-90% of off Row,"June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 10, 2015 - 70% vegetation establishment compared to off-RoW. - Minor subsidence due to screw anchors within peat moss dominated section of tract. Continue to monitor. - Wetlands within tract are stable and well vegetated at this time. - Minor patches of limited vegetation cover throughout tract, monitor. - Rollback access control is in good condition. July 23, 2015 - Perennial sow thistle located and herbicide application conducted to control perennial sow thistle. September 12, 2015  - Grasses and small forbs were observed throughout the RoW.  - Soils stable with good vegetation cover, no integrity concerns were noted. No additional environmental concerns were identified.",,,
NW 27-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • Good vegetation emergence along RoW. July 11 • Vegetation cover is within wetlands 80-100% of off RoW - Vegetation cover between 8+200 and 8+300 40-60% of off RoW, continue to monitor vegetation","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - 85 - 100% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, including KP 8+200 to 8+300, monitor. - Wetlands within tract are stable and well vegetated at this time. - Perennial sow thistle present along RoW from KP 7+950 to KP 8+200. Canada thistle present along RoW at KP 8+200. Recommend herbicide application. - Erosion along east side of ditchline at KP 8+300, well vegetated at this time. Continue to monitor. July 23, 2015 - Herbicide application conducted to control perennial sow thistle. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW - Soils stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified. Subsidence at screw anchor and bell locations noted in 2013, is no longer evident, issue resolved. - Herbicide application was conducted to control perennial sow thistle and Canada thistle.",,,
NE 28-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.",July 11 • Vegetation cover is 70-80% of off RoW,"June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - 90% vegetation establishment compared to off-RoW. Low vegetation noted in 2013 is resolved. - High willow/alder regeneration within tract. - Mulch presence on ditchline due to recent clearing on adjacent RoW. - No Noxious weeds observed within tract during assessment. July 23, 2015 - Perennial sow thistle located and herbicide application conducted to control perennial sow thistle. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW - Soils stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified. Subsidence at screw anchor and bell locations noted in 2013, is no longer evident, issue resolved.",,,
SE-33-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.",July 11 • Vegetation cover is 40-60% of off RoW - Minor subsidence and water ponding at screw anchor locations throughout tract - Wetland vegetation coming in very well throughout tract with 80-90% vegetation cover of off RoW,"June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - 60% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are stable and well vegetated at this time. - Perennial sow thistle present along RoW at KP 8+700 and 9+050. Recommend herbicide application. - Erosion along east side of ditchline at KP 9+150, rill is poorly vegetated at this time. Continue to monitor. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW. - Noxious weed control no longer required at KP 8+700 and 9+050, continue to monitor in 2016 and implement weed control measures, as required. - Soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified. Subsidence at screw anchor and bell locations noted in 2013, is no longer evident, issue resolved.",,,
,Forested,Low vegetation cover,"Although low vegetation cover, no environmental concerns (e.g., soil erosion) observed. Diversion berms are functioning well.",July 11 • Vegetation cover is 40-60% of off RoW - Minor subsidence and water ponding at screw anchor locations throughout tract,"June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - 60% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Rutting east of ditchline at KP 9+300, monitor. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW - Soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified.",,,
SW 33-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Low vegetation cover,"Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.",July 11 • Vegetation cover is 80-90% of off RoW,"June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - 90% vegetation establishment compared to off-RoW. Low vegetation noted in 2013 is resolved. - Perennial Sow Thistle present along RoW at KP 9+550. Recommend herbicide application. September 12,2015  - Vegetation well established with low shrubs and willows throughout RoW - Noxious weed control no longer required at KP 9+550, continue to monitor in 2016 and implement weed control measures, as required. - Soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified.",,,
SW 33-83-6 W4,Watercourse,None,Watercourse (06-WC-13) was HDD. No disturbance to the watercourse during construction. No issues observed.,"July 11 • Vegetation cover is 80-90% of off RoW - Marker posts missing from creek crossing on both sides at 9+650 - Creek crossing looks good at 9+650, crossing was HDD, so there was no disturbance during construction","June 10, 2015 - Watercourse crossing in good condition, no marker posts installed, install in 2016. September 12,2015 - Watercourse crossings appeared to be stable and well vegetated at time of assessment. Water was observed to be freely flowing and construction activities did not appear to be impacting water course.",,,
NW 33-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Low vegetation cover,"Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • Water has ponded on ditchline at screw anchor sites at multiple locations along the pipeline. July 12, 2104 • 80-85% vegetation establishment compared to off RoW. - Wetlands within tract are well vegetated and stable at this time.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - Vegetation on RoW is 85% compared to off RoW control. Low vegetation noted in 2013 is resolved. - Roach appears to be stable with vegetation beginning to establish on it. Cross drains are functioning well at this time. - Wetlands within tract appear to be stable with good wet-tolerant vegetation establishment such as grasses and bulrushes. Hydrology appears to be maintained through wetland as indicated by saturated, organic soils. September 12, 2015  - Vegetation well established. - Soils stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified.",,,
NW 33-83-6 W4,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-17). No issues observed.,"July 5, 2014 - TCPL pipeline markers have fallen over at KP 9+950.  July 12, 2104 • 80-85% vegetation establishment compared to off RoW. - TCPL pipeline marker sign had fallen over at kp 9+950. Sign and markers repositioned.","June 7, 2015 - No issues evident at watercourse. June 10, 2015 - - No issues noted within watercourse.  September 12, 2015  - Vegetation was determined to be well established  - Soils stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified.",,,
,Mineral Wetland / Treed Wetland / Forested,Low vegetation cover,"Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • Water has ponded on ditchline at screw anchor sites at multiple locations along the pipeline. July 12, 2104 • 80-85% vegetation establishment compared to off RoW. - Wetlands within tract are well vegetated and stable at this time.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - Vegetation on RoW is 85% comparable to off RoW control. Low vegetation noted in 2013 is resolved. - Perennial sow thistle at KP 10+340 and KP 10+450 to KP 10+760. Recommend herbicide application. - Roach appears to be stable with vegetation beginning to establish on it. Cross drains are functioning well at this time. - Wetlands within tract appear to be stable with good wet-tolerant vegetation establishment such as grasses and bulrushes. Hydrology appears to be maintained through wetland as indicated by saturated, organic soils. - Erosion across RoW at foreign pipeline crossing at KP 10+480. Areas are vegetating at this time. Continue to monitor. September 12, 2015  - Vegetation well established. - Noxious weed control no longer required at KP 10+340 and KP 10+450 to 10+760, continue to monitor in 2016 and implement weed control measures, as required. - Soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.",,,
SW 4-84-6 W4,Mineral Wetland / Treed Wetland / Forested,Low vegetation cover,"Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 12, 2014 • 70-80% vegetation establishment compared to off RoW. - Minor subsidences on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Two scentless chamomile plants were handpicked, bagged, and disposed of on ditchline at kp 11+275. - Minor patches of reduced vegetation cover present on RoW. - Erosion control berms are stable and well vegetated at this time.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 10, 2015 - Vegetation on RoW is 80-85% comparable to off RoW control. Low vegetation noted in 2013 is resolved. - Perennial sow thistle found throughout majority of tract. Recommend herbicide application. - RoW parallels open camp for northeast half of tract. - Roach appears to be stable at this time and showing vegetation establishment. Cross drains are functioning well. - Wetland within tract appears stable with good wet tolerant vegetation establishment. Hydrology appears to be maintained as indicated through open water. Diversion berms leading to wetland appear to be functioning well with good vegetation establishment. - No subsidence or erosional issues evident within tract. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW  - Soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted. No additional environmental concerns were identified.  - Common Tansy and scentless chamomile were identified during the site assessment. Intermittent herbicide application conducted to control perennial sow thistle, common tansy, and scentless chamomile.",,,
