Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
SW 21-52-23,0026.1 0026.2 0026.3 0026.4,4.549,5.387,Cultivated,"4.920, 5.340","345046 E 5930587 N, 344894 E 5930204 N",Vegetation – weeds,Increased scentless chamomile observed on wetland areas compacted to off ROW.,U,"December 6, 2016: land agent received a call from the occupant requesting compensation for the lack of canola growing on the ROW.  December 8, 2016: land agent met with the occupant and compensated him for his crop loss. Occupant indicated they had no additional issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor and control weeds with the occupant in 2017.",Control weeds and monitor in 2017.,"High densities of scentless chamomile, white cockle, Canada thistle, and perennial sow thistle were observed on the ROW.",--,U,"Control weeds, seed, and monitor in 2018.",--,Density and distribution of weed species were equal on and off the ROW. Higher densities of scentless chamomile and white cockle were observed off ROW.,R,None.,,,
NW 16-52-23,0027 0030,5.387,6.194,Cultivated,5.387 to 6.194,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 16-52-23,0031,6.194,7.123,Cultivated,"6.194 to 6.400, 6.720 to 6.830, 6.920 to 6.960",--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 16-52-23 (cont’d),See above,See above,See above,See above,"6.400 to 6.720, 6.830 to 6.920, 6.960 to 7.123",--,Vegetation - unseeded,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Seed and,monitor crop growth in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 9-52-23,0032,7.710,7.760,Wetland,7.700 to 7.770,345154 E 5927949 N to 345151 E 5927879 N,Landscape – contouring*,"Minor standing water and bare soil in wetland on ROW, vegetation anticipated to regenerate. No soil issues.",U,"December 8, 2016: land agent met with the land occupant and compensated him for his crop loss. Occupant indicated they had no additional issues or concerns with the ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.   Minor standing water,and bare soil in the wetland on the ROW; vegetation anticipated to regenerate. No soil issues. Vegetation re-establishment has improved in the wetland since 2016.,--,U,Monitor in 2018.,--,"Wetland is recovering, and vegetation re-establishment has improved. Wetland boundaries have been cultivated.",R,None.,,,
SW 9-52-23/ NW 4-52-23,0033 0034 0035 0036 0037,7.915,9.528,Cultivated,8.320 to 9.528,--,Vegetation – Establishment,Pasture species were observed to be establishing well on the ROW but require more time to match off ROW conditions.,U,"October 4, 2016: land agent met with the land occupant. Occupant indicated they had no issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor vegetation establishment in 2017.,Reduced crop growth and patches of bare soil were observed on the ROW. Vegetation establishment issue could potentially be caused by adjacent pipeline construction. Similar comment for the wetland. Minor admixing was observed.  Land use changed from tame pasture to cultivated. Disturbance from adjacent construction.,--,U,Monitor in 2018.,--,Crop parameters were equal on and off the ROW. Crop has established well along the ROW.,R,None.,,,
SW 9-52-23/ NW 4-52-23,0033 0034 0035 0036 0037,7.915,9.528,Cultivated,7.915 to 8.730,--,Vegetation –Weeds,High densities of white cockle were observed on the ROW.,U,"October 4, 2016: land agent met with the land occupant. Occupant indicated they had no issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor vegetation establishment in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,Density and distribution of weed species were equal on and off the ROW. Higher densities of white cockle and Canada thistle were observed off ROW.,R,None.,,,
SW 9-52-23/ NW 4-52-23,0033 0034 0035 0036 0037,7.915,--,Watercourse – Fulton Creek/ wetland,8.530,345130 E  5927121 N,Vegetation - Establishment,Vegetation is not establishing along banks of watercourse due to presence of cattle.,U,"October 4, 2016: land agent met with the land occupant. Occupant indicated they had no issues or concerns with ROW condition Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.","Isolate cattle from the watercourse crossing on the ROW, if possible. Monitor vegetation establishment in 2017.",Vegetation has established well along the banks where riprap is not present.,--,R,None.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Subsidence was observed at the pipeline crossing.,U,Monitor in 2019. Repair subsidence when feasible.,,,
NW 4-52-23,0035 0036 0037,8.733,9.528,Tame pasture,8.733 to 9.528,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor vegetation establishment in 2017,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 4-52-23,0035 0036 0037,9.340,9.460,Wetland,9.340,345099 E  5926312 N,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 4-52-23,0038,9.528,10.421,Cultivated,9.528 to 10.421,--,Soil - compaction,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,maturity in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 33-51-23,0040 0041,10.961,11.810,Hay,10.961 to 11.810,--,Vegetation - weeds,Hay species were establishing well and on a positive trajectory. Weeds were observed at a higher density on ROW compared to off. Lamb’s quarters and wild buckwheat were observed at moderate densities on ROW.,U,"July 12, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor hay growth with the landowner in 2017.","Monitor in 2017, to ensure that desirable species are outcompeting weed species.",Density and distribution of weed species were equal on and off the ROW.,"Repair Work: Common Tansy, White Cockle, Canada Thistle & Leafy Spurge was sprayed in 2017.",R,None.,--,No increase in weeds were observed.  Remnants of noxious weeds appeared to be controlled and have died off.,R,None.,,,
NW 34-51-23,0042 0043,11.810,12.408,Cultivated/ tree nursery,11.810 to 12.408,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 34-51-23,0044,12.408,--,Wetland,12.700,346447 E  5924174 N,Vegetation - weeds,Patch of white cockle and lamb’s-quarters located on the ROW in wetland area,U,"July 12, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor crop growth and ensure weed control in 2017 with the landowner.",Control weeds and monitor weed growth in 2017.,"High percent coverage of weeds on and off the ROW in the wetland, likely due to disturbance around the existing facility site adjacent to the wetland.",--,U,Continue monitoring weeds in 2018.,--,"Density and distribution of weeds were equal on and off ROW.  Vegetation has re-established well, and appropriate species were observed.",R,None.,,,
SE 34-51-23,0045,13.004,13.834,--,--,--,Landscape - subsidence issue observed by Enbridge,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Assess in 2017.,,Subsidence issue was repaired.,"July 12, 2017: Land Agent spoke with landowner. Landowner will repair subsidence.",R,None.,--,--,--,--,,,
SE 34-51-23,0045,13.004,13.834,Tame Pasture,13.004 to 13.800,--,Vegetation – establishment and weeds,--,--,--,--,Field was fallow at the time of assessment. Crop establishment could not be assessed.,--,U,Assess vegetation establishment in 2018.,--,"Density and distribution of vegetation and weed species were equal on and off the ROW. Higher densities of white cockle, perennial sow thistle, scentless chamomile and Canada thistle were observed off ROW.",R,None.,,,
SE 35-51-23,0047 0048 0049 0050,14.660,15.469,Hay,15.070 to 15.397; 15.397 to 15.469,--,Vegetation - weeds,"Weed issue observed on the ROW. Area was not seeded and is entirely weeds. White cockle, scentless chamomile, Canada thistle, lamb’s-quarters, and wild buckwheat were observed at moderate to high densities. Land owner is hauling in soil to recontour area.",U,Seeding of the ROW was undertaken by the landowner on this property in late spring of 2016. Will continue to monitor hay growth with the landowner in 2017.,Control weeds and monitor in 2017.,There were no weeds observed on the ROW.  The ROW was disturbed by current construction activities (repairing a subsided hydrovac hole).,"November 7, 2017:  Land Agent, Nolan Sand, spoke with Leslie Dowler, and she confirmed that crews handpicked the ROW twice this fall to eliminate the scentless chamomile. She stated that this will need to continue taking place next year until scentless chamomile is no longer a concern on the property.",U,"Monitor for weeds in 2018, as per landowner request.",--,"Density and distribution of vegetation and weed species were equal on and off the ROW between KP 14.660 to KP 15.060.  There were some areas of scentless chamomile observed surrounding the newly built garage (KP 14.700 to KP 14.860) and do not appear to be related to ETH reclamation. Hay was cut, and therefor weeds were not observed between KP 15.070 and KP 15.397. Weed observed on the ROW between KP 15.397 to KP 15.469. Moderate densities of white cockle and perennial sow thistle were observed on ROW.",U,Control weeds between KP 15.397 to KP 15.469 and monitor in 2019.  Monitor for weeds in 2019 between KP 15.070 and KP 15.397 where hay was cut.,,,
SE 35-51-23,0047 0048 0049 0050,14.660,15.469,Hay,15.06 to 15.47,--,Vegetation - establishment,Hay species were recently seeded. A full vegetation assessment was not possible.,U,Seeding of the ROW was undertaken by the landowner on this property in late spring of 2016. Will continue to monitor hay growth with the landowner in 2017.,Monitor in 2017.,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,--,U,Assess vegetation establishment in 2018.,,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,U,Assess vegetation establishment in 2019.,,,
SW 36-51-23,0051,15.469,16.388,Hay,15.966; 16.020,--,Vegetation – establishment and weeds,The ROW was mowed at the time of assessment. Vegetation appeared to be on a positive trajectory but requires assessment at full growth. No soil issues. Weed issue observed in mowed area. Canada thistle and stinkweed were observed at higher densities on compared to off ROW.,U,"July 6, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor weeds growth and vegetation establishment in 2017.,Hay was cut at the time of assessment. Unable to determine vegetation establishment success and identify the presence of weeds. The ROW was disturbed by current construction activities between KP 15.85 to KP 16.05.,"August 23, 2017: white cockle and Canada thistle regrowth since hay was cut.  Repair Work: Scentless chamomile and white cockle were sprayed in 2017.",U,Assess vegetation establishment and weeds in 2018.,--,"Vegetation has established well on ROW.  Decreased establishment in swale at KP 15.966 and KP 16.020. Weed issue was observed in the swale at KP 16.020. White cockle, common tansy, stinkweed and lamb’s quarters were observed.",U,Control weeds and monitor vegetation establishment in 2019.,,,
SW 36-51-23 (cont’d),See above,See above,See above,See above,--,--,Landscape - contouring,--,--,--,--,Enbridge was fixing drainage and contouring on the ROW at the time of assessment.,"July 19, 2017: Land Agent spoke with landowner; they are unhappy with the repair work. October 17, 2017: inspected by Lane, Nolan, Chad, Randy, and Roseanne. Will be surveying this fall to determine what can be done. Repair Work: July 20, 2017: Survey took elevation shots along the entire area where work has been completed east across the ROW through the wet area, to compile elevations to see what can be done, if anything.",U,Repair contouring and assess vegetation establishment and weeds in 2018.,--,Contouring issue appeared to be repaired.,R,None.,,,
SE 36-51-23,0052 0054 0055 0056 0056.1,16.388,16.600,Tame pasture,16.388,350006 E 5924001 N,Landscape - subsidence,An area of subsidence was noted at the fence line.,U,"November 4, 2016: land agent spoke with the landowner via telephone and indicated that the land is still too wet to work on and indicated that the subsidence repair work will occur in the spring of 2017. Landowner indicated they had no issues or concerns with what was discussed. Repair Work: Enbridge to repair subsidence.",Repair subsidence and monitor the area in 2017.,The ROW was disturbed by current construction activities.,--,U,Assess subsidence and associated vegetation establishment in 2018.,--,Contouring issue was repaired.  Vegetation has established well and is on a positive trajectory.,R,None.,,,
SE 36-51-23,0052 0054 0055 0056 0056.1,16.388,16.600,Tame pasture,16.388 to 16.600,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 36-51-23,0052 0054 0055 0056 0056.1,16.6,17.461,Hay,16.600 to 17.461,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 31-51-22,0056.2,17.461,17.685,Tame pasture,17.461 to 17.685,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Isolate cattle,"from the ROW, if possible. Monitor vegetation establishment in 2017.",Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 30-51-22,0056.3,17.685,18.495,Tame pasture/ hay,17.685 to 18.260,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.,"Isolate cattle from the ROW, if possible. Monitor vegetation establishment in 2017.",Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 30-51-22,0056.3,17.685,18.495,Tame pasture/ hay,18.260 to 18.495,--,Vegetation - weeds,Weed issue observed on the ROW. Several patches of white cockle were observed.,U,"October 13, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor weed concerns with landowner in 2017.",Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,Weed issue identified by Enbridge and landowner in 2017. Repair Work: Sprayed weeds in June 2017. White cockle and Canada thistle were sprayed in August 2017.,R,None.,"On June 5, 2018, affected areas were sprayed to control the Canada thistle, Sow thistle, White cockle, Toadflax and possible scentless chamomile on the ROW boundary near the power pole which is located on the South boundary of the East/West portion off HWY 21",Weeds could not be thoroughly assessed due to cut hay. White cockle and Canada thistle were observed at the fence both on and off ROW. The issue was resolved in July 2017. It was unclear if the weed issue was reported to have returned in 2018.,U,-Monitor in 2019 if warranted.,,,
SW 30-51-22,0059 0060,18.495,18.620,Hay,18.495 to 18.620,--,Vegetation - Weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,July 13. 2017: landowner reviewed the completed work and signed off on the contractor release.,R,None.,--,--,--,--,,,
SW 30-51-22,0059 0060,18.620,18.910,Tame pasture/ hay,--,--,--,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off the ROW.,July 13. 2017: landowner reviewed the completed work and signed off on the contractor release.,R,None.,--,--,--,--,,,
SW 30-51-22,0059 0060,18.910,19.364,Hay,19.010,351076 E 5922176 N,Landscape - Contouring,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Recontour and,monitor in 2017.,Contouring issue was repaired.,"July 13. 2017: landowner reviewed the completed work and signed off on the contractor release. Repair Work: The ROW was reseeded on July 12, 2017.",R,None.,--,--,--,--,,,
SW 30-51-22 (cont’d),See above,See above,See above,See above,19.140,351087 E 5922051 N,Landscape - subsidence,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair,subsidence and monitor in 2017.,Subsidence caused by a deflection issue was repaired.,"July 13. 2017: landowner reviewed the completed work and signed off on the contractor release. Repair Work: ROW was reseeded on July 12, 2017.",R,None.,--,--,--,--,,,
SW 30-51-22 (cont’d),See above,See above,See above,See above,19.010; 19.140,--,Vegetation - establishment,--,--,--,--,Patches of bare soil where contouring and subsidence issues were recently repaired.,"July 13. 2017: landowner reviewed the completed work and signed off on the contractor release.  Repair Work: ROW was reseeded on July 12, 2017.",U,Monitor vegetation establishment in 2018.,--,Vegetation has established well on the ROW. Vegetation within wetland area is on a positive trajectory.,R,None.,,,
SW 30-51-22 (cont’d),See above,See above,See above,See above,18.620 to 19.364,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off the ROW.,"July 13. 2017: landowner reviewed the completed work and signed off on the contractor release.  Repair Work: ROW was reseeded on July 12, 2017.",R,None.,--,--,--,--,,,
NW 19-51-22,0060.1,19.350,19.450,Wetland,19.350 to 19.450,--,Vegetation – weed issue observed by Enbridge,"Bare ground/slow wetland vegetation establishment at margins. Scentless chamomile, flixweed, lamb’s-quarters were observed at moderate densities in wetland area.",U,"December 13, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation growth with the landowner in 2017.",Control weeds and monitor in 2017.,Reduced crop growth and patches of bare soil were observed on the ROW. Vegetation establishment issue could potentially be caused by adjacent pipeline construction. Similar comment for the wetland.,--,U,Monitor in 2018.,--,"Wetland vegetation has established well. High densities of noxious weeds accumulating on the berm west of the wetland, however off ROW.",R,None.,,,
NW 19-51-22,0060.1,19.740,20.031,Tame Pasture,19.740 to 20.031,--,Vegetation – crop growth,Crop density was less on ROW than off. An additional growing season may be required to allow for vegetation recovery.,U,"December 13, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor crop growth with the landowner in 2017.",Monitor crop growth in 2017.,Field was fallow at the time of assessment. Crop establishment could not be assessed.,May 2017: land agent spoke with landowner; no vegetation issues were observed.,U,Seed and monitor crop establishment in 2018.,--,Vegetation has established well on the ROW.,R,None.,,,
NW 19-51-22 (cont’d),See above,See above,See above,See above,See above,--,Vegetation – weeds,--,--,--,--,--,--,--,--,--,"Weed issue observed on the ROW. Scentless chamomile, white cockle, Canada thistle, perennial sow thistle, lamb’s quarters and narrow-leaved hawk’s beard were observed at higher densities on ROW.",U,Control weeds and monitor in 2019.,,,
NE 19-51-22,0062 0063,20.031,20.331,Hay,20.031 to 20.331,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 19-51-22,0064 0065,20.331,20.950,Hay,20.331 to 20.950,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 19-51-22,0064 0065,20.800,20.830,Wetland,--,351951 E 5920634 N to  351967 E  5920608 N,Vegetation - weeds,Area on Edmonton to Hardisty ROW with thin layer of mulch. Vegetation anticipated to re-establish after additional growing season.,U,"October 19, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment with the landowner in 2017.",Monitor vegetation establishment in 2017.,Canada thistle and lambs-quarters observed in wetlands (low percent coverage on and off the ROWs). Vegetation re-establishing in a mulch area noted in 2016.,--,U,Monitor in 2018.,--,High densities of noxious weeds were observed within the wetland.,U,Hand pull weeds and monitor in 2019.,,,
SE 19-51-22,0064 0065,20.900,20.900,Wetland,20.900,352052 E 5920531 N,Landscape - contouring,--,--,--,--,"Contouring issue observed, ROW higher on ETH within the wetland area.",--,U,Monitor in 2018,--,Wetland has established well. Contouring is not affecting wetland recovery.,R,None.,,,
SE 19-51-22,0064 0065,20.950,21.290,Cultivated,20.950 to 21.290,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Monitor crop,growth in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,,,,,,,
SE 19-51-22,0064 0065,21.300,21.300,Wetland,21.300,352173 E 5920249 N,Vegetation – weeds,--,--,--,--,,--,,,--,High weed growth observed along the edge and within the wetland.,U,Hand pullmonitor in 2019.,,,
NW 17-51-22,0069,21.489,22.348,Treed pasture/ Cultivated,21.890 to 22.348,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 17-51-22 (cont’d),See above,See above,See above,See above,--,--,Landscape – subsidence,--,--,--,--,--,"May 16, 2017: landowner reported subsidence at borehole locations. July 14, 2017: landowner compensated to conduct repair work himself.",U,Confirm location of subsidence and monitor repair work and vegetation establishment in 2018.,--,The borehole location at KP 21.500 appears to be in a mapped wetland. Subsidence was not observed at the time of the assessment.,U,Verify the location subsidence was observed and monitor in 2019 if warranted.,,,
