Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 17-79-19,Hayland,Moderate weed (not noxious) issue,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 6+990 – Subsidence noted, not affecting current land use, monitor in 2015. – KP 6+700 to 7+200 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","May 14, 2015 – Herbicide was applied in 2014 appears to be effective, there has been a reduction in weed cover. Seeding recommended. June 11, 2015 -– Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 6+990, Subsidence with minor erosion rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request.","May 27, 2016 – Vegetation is 60% of off-ROW and is establishing well. Area was seeded last year  - Common weeds present (Blue Bur and Stinkweed). Common weeds are likely due to soil disturbance in 2015. There were no noxious weeds observed. – No erosion observed. – KP 7+045 to 7+065, intermittent subsidence observed, recommend repairs. Subsidence and erosion at KP 6+990 was no longer evident, issues resolved. September 23, 2017 - KP 7+050 to 7+100, subsidence repairs completed, issues resolved. September 24, 2016 – Weeds have been choked out by desirable vegetation. All previous weed issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 0-65% compared to the off-ROW control within 2016 subsidence repair areas (KP 7+050 to 7+100), monitor later in the growing season. Vegetation cover within the remaining portions of the ¼ is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - No subsidence or erosion observed in this ¼ July 16, 2017 – Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control. All previous vegetation cover issues resolved.",,,
SE 17-79-19,Hayland,Moderate weed (not noxious) issue,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 6+990 – Subsidence noted, not affecting current land use, monitor in 2015. – KP 6+700 to 7+200 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","May 14, 2015 – Herbicide was applied in 2014 appears to be effective, there has been a reduction in weed cover. Seeding recommended. June 11, 2015 -– Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 6+990, Subsidence with minor erosion rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request.","May 27, 2016 – Vegetation is 60% of off-ROW and is establishing well. Area was seeded last year  - Common weeds present (Blue Bur and Stinkweed). Common weeds are likely due to soil disturbance in 2015. There were no noxious weeds observed. – No erosion observed. – KP 7+045 to 7+065, intermittent subsidence observed, recommend repairs. Subsidence and erosion at KP 6+990 was no longer evident, issues resolved. September 23, 2017 - KP 7+050 to 7+100, subsidence repairs completed, issues resolved. September 24, 2016 – Weeds have been choked out by desirable vegetation. All previous weed issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 0-65% compared to the off-ROW control within 2016 subsidence repair areas (KP 7+050 to 7+100), monitor later in the growing season. Vegetation cover within the remaining portions of the ¼ is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - No subsidence or erosion observed in this ¼ July 16, 2017 – Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control. All previous vegetation cover issues resolved.",,,
NE 17-79-19,Hayland,Moderate vegetation issue,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 7+400 to 7+460 Erosion rills, not affecting land use. Monitor in 2015. – KP 7+720 to 7+740 and 7+940 to 7+990 – Subsidence noted, not affecting land use, monitor in 2015 – KP 7+200 to 8+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 7+375 to 7+460, KP 7+620 to 7+820, and KP 7+940 to 7+990, subsidence with erosional rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. Previous subsidence and erosion issues resolved. August 6, 2015 - KP 8+000, Subsidence observed, and repairs recommended. August 17, 2015 - KP 8+000, repairs completed.  Issue resolved.","May 27, 2016 – Vegetation is 60% of off-ROW and is establishing well.  Intermittent bare areas observed throughout ¼, especially on top of hill. Vegetation is stunted in the areas due to dry soil conditions Area was seeded last year  -Common weeds present (Blue Bur and Stinkweed). Common weeds are likely due to soil disturbance in 2015. There were no noxious weeds observed. – KP 7+400 and 7+860, erosion rill observed, recommend repairs. September 23, 2016 - Subsidence observed at KP 7+970 to 8+000, repairs completed, issue resolved. September 23, 2016 – Intermittent bare areas seeded. - KP 7+400 – erosion rill repaired, issue resolved. September 24, 2016 – Weeds have been choked out by desirable vegetation. All previous weed issues resolved. KP 7+860 – Erosion is not impacting landuse and is fully vegetated, no work recommended, issue resolved.","June 5, 2017 - Vegetation cover on the ROW is 0 to 65%, compared to the off ROW control at the topsoil repair areas, KP 7+400 and 7+600, and KP 7+970 to 8+000, monitor later in growing season. - Vegetation cover on the ROW within the remaining portions of the ¼ is 80 to 100% compared to the off ROW control.  2016 reduced vegetation cover issue is resolved. - No noxious weeds identified. - No soil stability concerns noted. No issues. July 16, 2017 – Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control.  All previous vegetation cover issues resolved.",,,
SE 20-79-19,Pasture,No issues observed,"August 23, 2014 – KP 8+050 to 8+290 – Hay field in good condition, field was cut at time of assessment, no sign of weeds or erosion noted.  - KP 8+050 to 8+060, 8+120 to 8+140, 8+160 to 8+170, and 8+230 to 8+240 – Subsidence noted, not affecting land use, monitor in 2015.","June 21, 2015 - Vegetation is 90-100% of off-ROW control.  - KP 8+050 to 8+060 – Subsidence observed, repairs recommended. - KP 8+120 to 8+140, KP 8+160 to 8+170 – Minor subsidence observed, not affecting farming activities/land use. Recommend continued monitoring. July 31, 2015 - Previously assessed subsidence appears to have worsened.  - KP 8+090 to 8+140 and KP 8+160 to 8+210, Intermittent subsidence. Recommend subsidence repairs. August 16-17, 2015 – Intermittent subsidence repairs competed from KP 8+050 to 8+210.  Issues resolved.","July 9, 2016 - 100% vegetation cover compared to off-ROW.  - No noxious weeds observed. - 2015 subsidence repairs (KP 8+050 to 8+210) appear to have been effective. Subsidence issue appears to have been resolved. Subsidence noted in 2014 at KP 8+230 to 8+240 is no longer evident, issue resolved. - KP 8+320 to 8+340, wetland is in good condition. Area is well-vegetated with no signs of subsidence or erosion.","June 6, 2017 - Vegetation establishment 80-100% comparable to off ROW control. Good establishment of grasses throughout tract. - No noxious weeds were observed in tract. - No ROW fence present in tract. - Emergent marsh from KP 8+320 to 8+340 appears stable although no emerging wetland vegetation was observed. Wetland was dry at time of assessment, likely attributed to removal of upstream beaver dam. A lot of previous year litter was observed throughout wetland.  This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, substrate function, water quality, and habitat opportunity. Off ROW vegetation successfully emerging onto ROW; species biodiversity has been maintained.",,,
SE 20-79-19,Watercourse,No issues observed,"August 23, 2014– KP 8+350 – Watercourse crossing in good condition, no signs of erosion and vegetation is establishing well. Silt fence located on banks of drainage.  Recommend removing silt fence. Weeds noted on NW bank of watercourse. Recommend weed control. September 17, 2014 - KP 8+350 - Silt fence removed from NW and SE side of drainage, issue resolved. Herbicide application conducted to control weeds.","June 21, 2015 - KP 8+350 – Watercourse crossing in good condition, no signs of erosion and vegetation is establishing well.  Previous weed issues resolved.","July 9, 2016 - Sunset Creek - KP 8+350, Watercourse crossing in good condition. Area is well-vegetated with no signs of subsidence or erosion. Banks are well-vegetated and stable.  - KP 9+385, sign requires repairs.","June 6, 2017 - Sunset creek at KP 8+350 stable. Both banks are 80-100% vegetated compared to off ROW. Grasses and coniferous shrubs beginning to emerge on banks. Crib walls stable on both banks. Bed appears stable as no sedimentation was observed. Low flow of water at time of assessment. No signs of instability at watercourse crossing.  - KP 9+385 – sign repaired, issue resolved.",,,
SE 20-79-19,Watercourse,Rare plant – meadow willow (S2S3) – KP 8+300) Meadow willow - monitoring was not required since the portion of the population to be impacted by construction activities was relocated in 2011. Issue resolved.,"August 23, 2014– KP 8+350 – Watercourse crossing in good condition, no signs of erosion and vegetation is establishing well. Silt fence located on banks of drainage.  Recommend removing silt fence. Weeds noted on NW bank of watercourse. Recommend weed control. September 17, 2014 - KP 8+350 - Silt fence removed from NW and SE side of drainage, issue resolved. Herbicide application conducted to control weeds.","June 21, 2015 - KP 8+350 – Watercourse crossing in good condition, no signs of erosion and vegetation is establishing well.  Previous weed issues resolved.","July 9, 2016 - Sunset Creek - KP 8+350, Watercourse crossing in good condition. Area is well-vegetated with no signs of subsidence or erosion. Banks are well-vegetated and stable.  - KP 9+385, sign requires repairs.","June 6, 2017 - Sunset creek at KP 8+350 stable. Both banks are 80-100% vegetated compared to off ROW. Grasses and coniferous shrubs beginning to emerge on banks. Crib walls stable on both banks. Bed appears stable as no sedimentation was observed. Low flow of water at time of assessment. No signs of instability at watercourse crossing.  - KP 9+385 – sign repaired, issue resolved.",,,
SW 20-79-19,Pasture,No issues observed,"August 23, 2014 – KP 8+500 to 9+000 - Hay field was cut at time of assessment, vegetation is 80% of off ROW and establishing well. No weeds were observed. – KP 9+000 to KP 9+270 – Pasture field, no signs of erosion or subsidence, or weeds at time of assessment. – KP 8+400 – Weeds. Sow thistle, weed control recommended. – KP 8+500 – Drainage ditch crosses ROW at edge of hay field. Drainage ditch appears man made and travels north and south of ROW. Monitor in 2015. – KP 9+050 – Limited vegetation growth, monitor in 2015. September 17, 2014 - KP 8+400 – Herbicide application conducted to control perennial sow thistle.","June 21, 2015 - - KP 8+500 to 9+000, Vegetation appears to be 90-100% of off-ROW control.  - KP 9+000 to KP 9+270 – Pasture field, no signs of erosion or subsidence, or weeds at time of assessment.  Weed issue (KP 8+400) resolved. - KP 8+500 – Drainage ditch crosses ROW at edge of hay field. No erosion observed. Recommend continued monitoring. - KP 9+050 – Reduced vegetation growth and ponding water, not affecting land use and no erosion noted. Recommend continued monitoring.","July 9, 2016 Hay - KP 8+500 to 9+000, hay portion of field has 100% vegetative cover compared to off-ROW. Grazing evident - No noxious weeds observed - KP 8+500, Landowner indicated that drainage ditch is impeding land use. Recommend repairs.  Following additional discussions with Landowner, they will complete repairs, issue resolved. Pasture - KP 9+000 to 9+270, pasture portion of field has 90-100% vegetative cover compared to off-ROW.  - Canada thistle observed. Recommend weed control. - KP 9+050, previously identified bare area is not holding water at this time. Vegetation infilling. Issue resolved. - No subsidence or erosion observed in ¼","June 6, 2017 - Vegetation establishment 80-100% comparable to off ROW control. Good establishment of grass and alfalfa throughout tract. Grazing occurring. - No noxious weeds were observed in tract.",,,
NW 20-79-19,Hay,,"August 23, 2014 – KP 9+300 – Weeds – Canada thistle noted Recommend weed control. – KP 9+270 to 9+425 - no signs of erosion or subsidence were noted during assessment. September 17, 2014 - KP 9+300 – intermittent herbicide application conducted.","June 21, 2015 - Vegetation appears consistent with off-ROW conditions. No weeds, erosion, or subsidence observed at this time. Weed issue (KP 9+300) resolved.","July 9, 2016 - Vegetation cover is 100% of off-ROW No noxious weeds observed No subsidence or erosion observed","June 6, 2017 - Vegetation establishment 80-100% comparable to off ROW control. Good establishment of grass and alfalfa throughout tract. - No noxious weeds were observed in tract.",,,
NE 19-79-19,Pasture,No issues observed,"August 23, 2014 – KP 9+525 to 9+580 – Shrubby Swamp. Area vegetation is 100% of off ROW, no signs or erosion or subsidence. – KP 9+525 and KP 9+580 – Silt fence located on either side of shrubby swamp. Vegetation in area is fully established. Recommend removing silt fence at both locations. – KP 10+050 – Previously noted weeds. Stinkweed observed during 2013 assessment. Limited stinkweed was noted during assessment. Area was reseeded, monitor in 2015. – KP 10+450 Subsidence noted in 2013 assessment.  Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Monitor in 2015. – KP 10+450 Weeds - Canada thistle noted, recommend weed control.  – Landowner had concerns with Clover concentrations, area was reseeded with approved seed mix, monitor in 2015. September 10, 2014– KP 9+525 and KP 9+580 – Silt fence removed.  Issue resolved. September 12, 2014 – KP 10+450 – Herbicide application conducted to control Canada thistle.","June 21, 2015 – Excellent vegetation, comparable to the off ROW control.  Landowner concern with vegetation composition resolved. - KP 10+050 and KP 10+450 – previous weed issues resolved. - 2014 herbicide application appears successful. – KP 9+525 to 9+580, Shrubby swamp. Excellent vegetation within comparable to off ROW, functioning well. – KP 10+450 Subsidence noted in 2013 and 2014 assessment. Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Subsidence has been stable for two growing seasons, issue is resolved. – No additional subsidence or erosion noted at time of assessment, contouring and topography looks good.","May 29, 2016 – Vegetation 90-100% of off-ROW. There were no noxious weeds observed. Cattle grazing evident. – KP 9+525 to 9+580, Shrubby swamp has excellent vegetation growth and is comparable to off-ROW areas.  – No Erosion was observed – KP 10+335 to 10+400, intermittent subsidence observed. The area is well-vegetated, stable, and there is no impact to land use. No further work required, issue resolved. – KP 10+500, hydrovac hole observed. Recommend repairs. October 7, 2016 – KP 10+500, hydrovac hole repairs completed. Issue resolved.","June 6, 2017 Pasture Portion - Vegetation establishment 80-100% comparable to off ROW control. - KP 9+530 - Canada thistle observed, recommend weed control. June 12, 2017 – KP 9+530 – weed control conducted on Canada thistle, issue resolved. - Shrubby swamp from KP 9+520 to 9+570 appears stable. Minimal disturbance construction through wetland resulted in majority of mature vegetation to remain. Excellent establishment of willows and poplars within wetland. Good establishment of vegetation indicating hydrology is maintained. No issues. This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, water quality, substrate function and habitat opportunity. Species biodiversity has been maintained. - No erosion or subsidence was observed in tract. Forested Portion - Vegetation establishment 80-100% comparable to off ROW control. - KP 10+435 - Canada thistle observed, recommend weed control. June 12, 2017 – KP 10+435 - weed control conducted on Canada thistle, issue resolved August 21, 2017 – KP 9+540, 9+960, and 10+422 - Intermittent weed control implemented on Canada thistle. Issues resolved.",,,
NE 19-79-19,Forested,Moderate weed (not noxious) issue,"August 23, 2014 – KP 9+525 to 9+580 – Shrubby Swamp. Area vegetation is 100% of off ROW, no signs or erosion or subsidence. – KP 9+525 and KP 9+580 – Silt fence located on either side of shrubby swamp. Vegetation in area is fully established. Recommend removing silt fence at both locations. – KP 10+050 – Previously noted weeds. Stinkweed observed during 2013 assessment. Limited stinkweed was noted during assessment. Area was reseeded, monitor in 2015. – KP 10+450 Subsidence noted in 2013 assessment.  Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Monitor in 2015. – KP 10+450 Weeds - Canada thistle noted, recommend weed control.  – Landowner had concerns with Clover concentrations, area was reseeded with approved seed mix, monitor in 2015. September 10, 2014– KP 9+525 and KP 9+580 – Silt fence removed.  Issue resolved. September 12, 2014 – KP 10+450 – Herbicide application conducted to control Canada thistle.","June 21, 2015 – Excellent vegetation, comparable to the off ROW control.  Landowner concern with vegetation composition resolved. - KP 10+050 and KP 10+450 – previous weed issues resolved. - 2014 herbicide application appears successful. – KP 9+525 to 9+580, Shrubby swamp. Excellent vegetation within comparable to off ROW, functioning well. – KP 10+450 Subsidence noted in 2013 and 2014 assessment. Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Subsidence has been stable for two growing seasons, issue is resolved. – No additional subsidence or erosion noted at time of assessment, contouring and topography looks good.","May 29, 2016 – Vegetation 90-100% of off-ROW. There were no noxious weeds observed. Cattle grazing evident. – KP 9+525 to 9+580, Shrubby swamp has excellent vegetation growth and is comparable to off-ROW areas.  – No Erosion was observed – KP 10+335 to 10+400, intermittent subsidence observed. The area is well-vegetated, stable, and there is no impact to land use. No further work required, issue resolved. – KP 10+500, hydrovac hole observed. Recommend repairs. October 7, 2016 – KP 10+500, hydrovac hole repairs completed. Issue resolved.","June 6, 2017 Pasture Portion - Vegetation establishment 80-100% comparable to off ROW control. - KP 9+530 - Canada thistle observed, recommend weed control. June 12, 2017 – KP 9+530 – weed control conducted on Canada thistle, issue resolved. - Shrubby swamp from KP 9+520 to 9+570 appears stable. Minimal disturbance construction through wetland resulted in majority of mature vegetation to remain. Excellent establishment of willows and poplars within wetland. Good establishment of vegetation indicating hydrology is maintained. No issues. This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, water quality, substrate function and habitat opportunity. Species biodiversity has been maintained. - No erosion or subsidence was observed in tract. Forested Portion - Vegetation establishment 80-100% comparable to off ROW control. - KP 10+435 - Canada thistle observed, recommend weed control. June 12, 2017 – KP 10+435 - weed control conducted on Canada thistle, issue resolved August 21, 2017 – KP 9+540, 9+960, and 10+422 - Intermittent weed control implemented on Canada thistle. Issues resolved.",,,
NE 19-79-19,Forested,Moderate Microtopography (subsidence) issue,"August 23, 2014 – KP 9+525 to 9+580 – Shrubby Swamp. Area vegetation is 100% of off ROW, no signs or erosion or subsidence. – KP 9+525 and KP 9+580 – Silt fence located on either side of shrubby swamp. Vegetation in area is fully established. Recommend removing silt fence at both locations. – KP 10+050 – Previously noted weeds. Stinkweed observed during 2013 assessment. Limited stinkweed was noted during assessment. Area was reseeded, monitor in 2015. – KP 10+450 Subsidence noted in 2013 assessment.  Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Monitor in 2015. – KP 10+450 Weeds - Canada thistle noted, recommend weed control.  – Landowner had concerns with Clover concentrations, area was reseeded with approved seed mix, monitor in 2015. September 10, 2014– KP 9+525 and KP 9+580 – Silt fence removed.  Issue resolved. September 12, 2014 – KP 10+450 – Herbicide application conducted to control Canada thistle.","June 21, 2015 – Excellent vegetation, comparable to the off ROW control.  Landowner concern with vegetation composition resolved. - KP 10+050 and KP 10+450 – previous weed issues resolved. - 2014 herbicide application appears successful. – KP 9+525 to 9+580, Shrubby swamp. Excellent vegetation within comparable to off ROW, functioning well. – KP 10+450 Subsidence noted in 2013 and 2014 assessment. Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Subsidence has been stable for two growing seasons, issue is resolved. – No additional subsidence or erosion noted at time of assessment, contouring and topography looks good.","May 29, 2016 – Vegetation 90-100% of off-ROW. There were no noxious weeds observed. Cattle grazing evident. – KP 9+525 to 9+580, Shrubby swamp has excellent vegetation growth and is comparable to off-ROW areas.  – No Erosion was observed – KP 10+335 to 10+400, intermittent subsidence observed. The area is well-vegetated, stable, and there is no impact to land use. No further work required, issue resolved. – KP 10+500, hydrovac hole observed. Recommend repairs. October 7, 2016 – KP 10+500, hydrovac hole repairs completed. Issue resolved.","June 6, 2017 Pasture Portion - Vegetation establishment 80-100% comparable to off ROW control. - KP 9+530 - Canada thistle observed, recommend weed control. June 12, 2017 – KP 9+530 – weed control conducted on Canada thistle, issue resolved. - Shrubby swamp from KP 9+520 to 9+570 appears stable. Minimal disturbance construction through wetland resulted in majority of mature vegetation to remain. Excellent establishment of willows and poplars within wetland. Good establishment of vegetation indicating hydrology is maintained. No issues. This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, water quality, substrate function and habitat opportunity. Species biodiversity has been maintained. - No erosion or subsidence was observed in tract. Forested Portion - Vegetation establishment 80-100% comparable to off ROW control. - KP 10+435 - Canada thistle observed, recommend weed control. June 12, 2017 – KP 10+435 - weed control conducted on Canada thistle, issue resolved August 21, 2017 – KP 9+540, 9+960, and 10+422 - Intermittent weed control implemented on Canada thistle. Issues resolved.",,,
NW 19-79-19,Forested,Moderate surface drainage (seepage) issue,"August 23, 2014 – Vegetation throughout ¼ is 90% of off ROW, no signs of erosion.  – KP10+550 to 11+000 – Weeds – Multiple weeds species noted across ROW. Recommend weed control.  – KP 10+550 to 10+700 and 10+950 – Subsidence noted, not affecting land use, no signs of erosion or integrity issues. Monitor in 2015. – All diversion berms in ¼ were in good condition, re-vegetating well and had no signs of erosion. September 12, 2014 – KP 10+550 to 11+000 – Intermittent herbicide application conducted.","June 21, 2015 – Excellent vegetation, comparable to the off ROW control. - 2014 herbicide application appears successful.  Issue resolved. – KP 10+550 to 10+700 and KP 10+950, subsidence is not affecting land use. Issue resolved. - Seepage at KP 10+600 is no longer evident, issue resolved. – Diversion berms and drainage channels are well vegetated and stable at the time of the assessment.","May 30, 2016 - Excellent vegetation observed in this ¼ and is 90-100% compared to off ROW.  - Small occurrence of roughly 5 Purple stemmed aster recorded at KP 10+600.  - Diversion berms in ¼ appear to be functioning well and are densely vegetated.","June 6, 2017 - Vegetation establishment 80-100% comparable to off ROW. Good establishment of grasses, willows and poplar throughout tract.  - KP 10+570 to 10+980 – Intermittent Canada thistle and bull thistle observed, recommend weed control. June 12, 2017 – KP 10+570 to 10+980 – Intermittent weed control implemented on Canada thistle and bull thistle.  Issue resolved. August 21, 2017 – KP 10+525 to 11+525 – Intermittent weed control implemented on Canada thistle, bull thistle and perennial sow thistle. Issues resolved.",,,
NW 19-79-19,Forested,Moderate microtopography (subsidence) issue,"August 23, 2014 – Vegetation throughout ¼ is 90% of off ROW, no signs of erosion.  – KP10+550 to 11+000 – Weeds – Multiple weeds species noted across ROW. Recommend weed control.  – KP 10+550 to 10+700 and 10+950 – Subsidence noted, not affecting land use, no signs of erosion or integrity issues. Monitor in 2015. – All diversion berms in ¼ were in good condition, re-vegetating well and had no signs of erosion. September 12, 2014 – KP 10+550 to 11+000 – Intermittent herbicide application conducted.","June 21, 2015 – Excellent vegetation, comparable to the off ROW control. - 2014 herbicide application appears successful.  Issue resolved. – KP 10+550 to 10+700 and KP 10+950, subsidence is not affecting land use. Issue resolved. - Seepage at KP 10+600 is no longer evident, issue resolved. – Diversion berms and drainage channels are well vegetated and stable at the time of the assessment.","May 30, 2016 - Excellent vegetation observed in this ¼ and is 90-100% compared to off ROW.  - Small occurrence of roughly 5 Purple stemmed aster recorded at KP 10+600.  - Diversion berms in ¼ appear to be functioning well and are densely vegetated.","June 6, 2017 - Vegetation establishment 80-100% comparable to off ROW. Good establishment of grasses, willows and poplar throughout tract.  - KP 10+570 to 10+980 – Intermittent Canada thistle and bull thistle observed, recommend weed control. June 12, 2017 – KP 10+570 to 10+980 – Intermittent weed control implemented on Canada thistle and bull thistle.  Issue resolved. August 21, 2017 – KP 10+525 to 11+525 – Intermittent weed control implemented on Canada thistle, bull thistle and perennial sow thistle. Issues resolved.",,,
SW 30-79-19,Forested,Moderate microtopography (subsidence) issue,"August 23, 2014 – Vegetation is 80% of off-ROW. Land use is cattle grazing.  – KP 11+000 – Erosion noted between pipeline marker signs on ¼ line. Area is fully vegetated, erosion is not affecting land use and no signs of integrity issues. Monitor in 2015. – KP 11+020 to 11+050, 11+075 to 11+200, 11+325 to 11+460, and 11+560 to 11+610 – Subsidence noted, not affecting land use, no signs of erosion or integrity issues. Monitor in 2015.  – KP 11+000 to 11+610 – Intermittent weeds throughout ¼. Recommend weed control. September 12, 2014 – KP 11+000 to KP 11+610 – Intermittent herbicide application conducted to control weeds.","June 16, 2015 - Vegetation off-ROW is forested, while onsite is pasture. Area is well-vegetated. - KP 11+000 – Erosion noted between pipeline marker signs on ¼ line. Area is fully vegetated, erosion is not affecting land use and no signs of integrity issues.  Issue resolved. - KP 11+020, KP 11+075, 11+325 to 11+610, minor subsidence observed, not affecting land use. Issues resolved. - KP 11+000 to 11+610, Canada thistle observed throughout ¼. Recommend weed control. July 5, 2015 – intermittent herbicide application conducted to control Canada thistle. June 22, 2015– onsite discussion with landowner following concern with fencing on the property. The issue has been forwarded to TransCanada`s Land Department to resolve with the landowner. October 1, 2015- KP 11+000 to 11+610, additional herbicide application conducted to control Canada thistle.","May 29, 2016 -– Vegetation 90-100% of off-ROW. There were no noxious weeds observed, weed issues resolved. – KP 11+075, diversion berm eroded, recommend repairs. – KP 11+600, gate to holding pen installed and appears to be in good condition. No further work required. 2015 Landowner fencing issue resolved. October 9, 2016 – KP 11+075, diversion berm repairs completed, issue resolved.","June 6, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control.  - No noxious weeds were observed. - KP 11+075, diversion berm repair completed last year appears to have stabilized erosion as area is fully vegetated. Issue resolved.  August 21, 2017 – KP 11+060 – Weed control implemented on Canada thistle. Issue resolved.",,,
SE 25-79-20,Forested,Moderate microtopography (subsidence) issue,"July 18, 2014 – 90-100% vegetation cover to off ROW – Some small areas of moderate vegetation. Monitor. – KP 11+700, patches of foxtail recommend weed control – KP 11+900, Erosion. Water coming down the rill seems to have breached the berm and eroded part of the top of the berm. Repairs recommended. September 12, 2014 – KP 11+900, erosion at diversion berm was re-contoured and erosion control measures installed.  Issue resolved. – KP 11+700 – Herbicide application conducted to control foxtail.","June 16, 2015 -Area appears well-vegetated with strong growth and density throughout tract. Areas of moderate cover are no longer evident, issue resolved. - KP 11+700 – Foxtail issue resolved. - KP 11+650 to 11+750, minor intermittent subsidence observed, not affecting land use. Recommend continued monitoring. - KP 11+900, diversion berms appear well-vegetated. Straw waddles working effectively. - Canada thistle observed throughout ¼. Recommend weed control.  July 5, 2015 – intermittent herbicide application conducted to control Canada thistle. July 19, 2015 - Herbicide application appeared to be working effectively.","May 30, 2016 - 90-100% vegetation cover compared to off ROW.   - No noxious or invasive weeds were identified, Canada thistle issue resolved. - No signs of erosion. - KP 11+650 to 11+750, minor intermittent subsidence observed, not affecting land use, consistent with previous assessments.  No work required, issue resolved.","June 6, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. - KP 11+650, Subsidence observed. The area is fully vegetated, stable and is not affecting land use.  No work recommended, issue resolved. - KP 11+925 to 11+975 – Intermittent bull thistle individuals observed, recommend weed control - Diversion berms in ¼ have 80-100% vegetation cover compared to off ROW, are stable, and functioning appropriately. - No erosional issues were identified in ¼ section. June 12, 2017 – KP 11+925 to 11+975 – Intermittent weed control implemented on bull thistle, issue resolved. August 21, 2017 – KP 11+650 to 11+910 – Intermittent weed control implemented on bull thistle and Canada thistle.  Issue resolved.",,,
