Environmental Issue/Concern,Legal Location/Site,Current Status 2010,Current Status 2011,Current Status 2012,Current Status 2013,Current Status 2014,Current Status 2015,Current Status 2016,Recommendations/Schedule for 2017,VEC,GIS,Topic
Conversion  Site contours,Dig 517 NE 34-16-19 W2M,Not applicable,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment. •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2014. •  No further issues.,•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 519 NW 31-16-18 W2M,Not applicable,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment. •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2014. •  No further issues.,•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 521 NE 31-16-18 W2,Not applicable,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment. •  Dig site was stripped, re-graded and reclaimed in Fall of 2014. •  No further issues.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 563-564 SE 30-16-16 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012. •  No further issues.","•  No issues, No work required.","•  Subsidence on dig site observed during spring assessment. •  Dig site was stripped, re-graded and reclaimed in Fall of 2014. •  No further issues.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 970 NE 19-12-15 WPM,Not applicable,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment. •  Dig site was stripped, re-graded and reclaimed in Fall of 2014. •  No further issues.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Land levelling,SE 24-10-5-WP  Carman Sales M/S,"Spots backfilled over line on new ROW has settled in some spots and water is pooling, topsoil may be require to be brought in to fill these spots, or re grading. Land owners drainage ditch was not contoured back to grade and water is not running through it but pooling in it instead.  Re-contour soil on new ROW, topsoil may be required to be brought in to fill these spots. Re-contour drainage ditch to allow water to move without pooling. - Spring thru Fall 2011",•  Field was not land levelled in 2011 due to lack of specialized equipment availability.,"•  Field was not land levelled in 2012. •  Although work is required to address uneven contours, there are no known crop production issues at these locations.",•  Field was not land levelled in 2012. •  Land-levelling work is required to restore field surface contours.,•  Land levelling was completed during summer / fall 2014. •  Land-levelling work was required to restore field surface contours.,•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion Erosion Control Repair,Dig 1021 SW 16-12-13 WPM,Not applicable,•  2011 assessment indicate erosion control matting requires repair or replacement.,•  Assessed in late Fall 2012.,"•  Small area on access has been re-seeded, approx. 40% coverage in first year. Erosion control matting has been installed along with temporary fencing.",•  Small area on access has been re-seeded late October. Erosion control matting has been repaired. Temporary fencing still in place.,•  Monitoring vegetation throughout growing season. Seeded grasses establishing well.  •  Biotic Earth™ mulch and inter-seeding has been completed in October to support advanced germination in spring of 2016.,•  2016 monitoring revealed no issues and no work required. •  Desirable vegetation well established. •  Temporary fencing removed.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion Erosion Control Repair,Dig 1024 NW 10-12-13 WPM,Not applicable,Not applicable,Not applicable,Not applicable,•  Small area within dig site has poor vegetation cover 40%. Site has been re-seeded late October. Erosion control has been applied. Temporary fencing has been installed around dig site.,•  Monitoring vegetation throughout growing season. Seeded grasses establishing well.  •  Biotic Earth™ mulch and inter-seeding has been completed in October to support advanced germination in spring of 2016.,•  2016 monitoring revealed no issues and no work required. •  Desirable vegetation well established. •  Temporary fencing removed.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Re-seeding,Dig 187 SW 9-18-6 W3M,Not applicable,Same as above,•  Fencing was removed and vegetation was mowed. •  No issues and no further work required.,•  Good vegetation cover. •  Downy brome observed – Picking and spraying completed.,•  Good vegetation cover. •  Re-seeding completed on areas where downy brome have been picked. •  Downy brome observed – Picking and spraying completed.,•  Good vegetation cover. •  Landowner had cattle grazing pasture majority of growing season preventing any downy brome plants from maturing.,•  2016 monitoring revealed no issues and no work required. •  Desirable vegetation well established.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Re-seeding,Burstall Launcher / Receiver Site,Not applicable,Not applicable,Not applicable,•  South east corner of the permanent top soil pile required re-seeding. •  Seeding complete.,•  South east corner of the permanent top soil pile required re-seeding. •  Seeding complete.,•  Permanent topsoil pile had little to no vegetation growing on the southern portion of the pile. Pile has been worked up. Biotic Earth™ mulch has been worked into soil and pile has been seeded.,•  2016 monitoring revealed no issues and no work required. •  Desirable vegetation well established. •  Minor disturbance as Operations activities are adjacent to the pile.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Re-seeding,Dig 1024 NW 10-12-13 WPM,Not applicable,Not applicable,Not applicable,Not applicable,•  Small area within dig site has poor vegetation cover 40%. Site has been re-seeded late October. Erosion control has been applied. Temporary fencing has been installed around dig site.,•  Monitored vegetation throughout growing season. Seeded grasses establishing well.  •  Biotic Earth™ mulch and inter-seeding has been completed in October to support advanced germination in spring of 2016.,•  2016 monitoring revealed no issues and no work required. •  Desirable vegetation well established.,No further work or monitoring required.   PCEM is considered to be complete.,,,
