Environmental Issues,Location,Mitigative Measures Implemented,Status,Proposed Post-Construction Measures,VEC,GIS,Topic
Bank stability or approach slope erosion,"Souris River, Oak Creek (KP 1109.3) (east bank); Thornhill Creek; and Deadhorse Creek",-  Rock armour was installed on the banks. -  Instability was noted during spring 1999 on the east bank of the Souris River.  The bank and approach slope were regraded twice and the overall height and weight of the bank reduced.  Additional stabilization measures were employed in November 1999 to address slumping of the east bank. -  Watercourse crossings appeared to be stable and vege-tation well established during summer 2000 post-construction monitoring.,Resolved,---,3.  WATER CROSSINGS,,
Bank stability or approach slope erosion,KP 1073.8 to KP 1074.0,-  Minor rill erosion on the east approach slope to the Souris River was repaired in the fall of 2000.,Unresolved,Monitor the approach slopes for instability and erosion,3.  WATER CROSSINGS,,
Species with special conservation status,"See Alignment Sheets.  See Tables 4.10, 4.11  and 4.12",-  Preconstruction and prefinal clean-up wildlife surveys were conducted along the route for wildlife species with special conservation status.  Construction right-of-way was narrowed at identified locations.  Salvage of toads was conducted at specific locations -  No right-of-way seeding was conducted in the spring of 2000.,Resolved,---,4. ADVERSE EFFECTS ON WILDLIFE,,
Disturbance of migratory bird nesting,Entire route,-  Construction was scheduled to avoid the April 1 to July 15 peak breeding and nesting period.  Surveys were conducted in the spring of 1999 to ensure that no nesting by migratory birds was occurring on the right-of-way. -  No right-of-way seeding was conducted in the spring of 2000.,Resolved,---,4. ADVERSE EFFECTS ON WILDLIFE,,
Natural drainage patterns,Entire route,-  Gaps were left in the topsoil pile at natural drainage ways during rough clean-up in 1998. -  The right-of-way was recontoured to the preconstruction profile and an appropriate trench crown was provided. -  Additional gaps in the trench crown and the topsoil pile were opened up in the spring of 1999 to avoid disruption of drainage patterns. -  No drainage problems identi-fied during the summer 2000 post-construction monitoring program.,Resolved,---,5. DISRUPTION TO DRAINAGE,,
Loss of rare plants,KP 1004.4 to KP 1004.9,"-  Right-of-way preparation activi-ties resulted in a disturbance of large stands of sand bluestem. -  No sand bluestem seed was avail-able from the right-of-way due to heavy grazing, however, seed was collected from adjacent areas and sown during final clean-up on adjacent areas (KP 1004.9 to KP 1005.1). -  A few individuals found on the right-of-way during summer 2000 post-construction monito-ring, but not the locations where seed was sown.",Unresolved,Monitor the success of the sites sown with sand bluestem and natural reestablishment from the seed bank in the soil.,6. VEGETATION,,
,KP 1006.4,"-  About 30 seneca root (uncommon, not rare) plants were salvaged and transplanted 200 m NW of the right-of-way.  Another 50 plants were salvaged and trans-planted in a nursery.  Seeds were collected and sown on the right-of-way.  About 25 plants remained on the work side but were protected under the topsoil windrow. -  Transplant site not located and no plants found on the right-of-way, during the summer 2000 post-construction monitoring.",Unresolved,"Monitor the success of the transplant sites, the recovery of plants on the right-of-way and the seeded areas.",6. VEGETATION,,
Loss of native prairie,See Environmental Alignment Sheets,"-  Traffic was limited through native prairie segments.  Distur-bance to the sod layer was mini-mized during topsoil stripping, backfilling and topsoil replace-ment.  Native seed mixes were sown on disturbed areas with native vegetation -  Vegetation was well estab-lished, as noted during the summer 2000 post-construction monitoring.",Resolved,---,6. VEGETATION,,
Loss of native prairie,KP 988.2 to KP 993.1,"-  Over 90 kg of native seed was collected from adjacent high quality native prairie and sown with Seed Mix #5 and Canada wild rye along this segment. -  Vegetation was well estab-lished, as noted during the summer 2000 post-construction monitoring.",Resolved,---,6. VEGETATION,,
Salt water pipeline leak,KP 993.2,"-  A salt water pipeline leak occurred in October of 1998.  Vacuum trucks were brought in to remove as much salt water as feasible.  Water samples in August 1999 indicated that high salt levels were still present and vacuum trucks hauled all remaining water to a nearby disposal well. -  Soil sample results indicated that elevated salt levels were present in the immediate vicinity of the bell hole while salt levels on adjacent areas were likely not problematic.  A groundwater monitoring well was installed at the site. -  While no crop growth problems were evident during summer 2000 post-construction monitoring, the results of soil samples taken in the summer of 2000 indicate that salts from the spill continue to impact the site.",Unresolved,Further mitigation and monitoring will be conducted in 2001.,"7. CONTAMINATION OF GROUNDWATER, SURFACE WATER AND SOILS",,
