Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Shrubby Swamp (KP 5+100 to 5+140),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 9, 2016 - Wetlands vegetating quite well with wetland grasses, shrubs and willows on the majority of the wetland. There is open ponded water on both sides of ditch line but cross drains are in place to allow for proper migration.",,,
SE 21-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 10, 2016 - Low vegetation density throughout this tract; continue to monitor vegetation recovery. Alder, willow and poplar starting to infill; birdsfoot trefoil clumps. - Minor rill erosion intermittently throughout. - Adequate cross drains present and functional – no ponding present.",,,
SW 21-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 10, 2016 – Majority of the ROW is vegetating well with grasses, birdsfoot trefoil, shrubs, willow and aspen. There are areas exhibiting reduced vegetation density. Continue to monitor vegetation recovery. - No noxious weeds were identified.  - KP 6+560 to 6+620, Two erosion rills, require repairs. Cross drain required at KP 6+620. Seeding of slope may be required. Aug 30, 31, Sept 10, 11, and 13, 2016 – KP 6+560 to 6+620 – Erosion repairs conducted by filling in eroded channels by hand, installing erosion control materials, and digging cross drain.  Repairs seeded with approved seed mix. Continue to monitor in 2017.",,,
SW 21-96-5 W6,Shrubby Swamp (KP 6+100 to 6+400),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 10, 2016  - Wetland at is well vegetated with wetland grasses, willows and shrubs. Cross drains are affectively draining water across ditch line.",,,
,Unnamed drainage to Midget Creek (KP 6+400) Erosion Low Vegetation Establishment,"Erosion gully observed on upper slope of east bank. This issue was repaired in January 2015. Low vegetation establishment observed on approach slopes of watercourse. Monitor in 2015, reseed if required.","July 10, 2016 - watercourse is well vegetated. Sediment fencing no longer required, remove. - East slope has some rill erosion.  Recommend repairs.  This is not the same erosion noted in 2014, the 2014 erosion issue is no longer evident, issue resolved. Although reduced vegetation density remains, continue to monitor following repairs. July 11, 2016 - KP 6+460 – Marker posts require repairs. - KP 6+505, Diversion berm on work side of the ROW has filled with sediment.  Repairs required. Aug 30, 2016 - KP 6+340 and 6+460 – Repaired marker posts, issue resolved. - Removed sediment fence that was no longer functional, issue resolved. Aug 30, 31, Sept 10, 11, and 13, 2016 – Erosion repairs and diversion berm repairs completed.",,,
SE 20-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the ROW is vegetating well with grasses, birdsfoot trefoil, shrubs, willow and aspen. There are areas exhibiting reduced vegetation density, there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. - KP 7+410, ponding water on workside, cross drain repairs required.  - No noxious weeds were identified. Aug 30 and 31, 2016 - KP 7+410 – Cross drain repairs completed, issue resolved.",,,
SW 20-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction ROW with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the ROW is vegetating well with American vetch, grasses, willows and alders. There are areas exhibiting reduced vegetation density, there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. - KP 8+000, signs and marker posts require repairs. - No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.",,,
SW 20-96-5 W6,Rare Plant (KP 8+500),"No lance-leaved grape ferns (S2) were observed on July 30, 2014. Numerous other grape fern species observed are present and the site appears undisturbed. Issue resolved",,,,
,Rare Plant (KP 8+500),"One individual leather grape fern (S3) was observed on July 30, 2014. Issue resolved",,,,
,Rare Plant (KP 8+500),"Two northwestern grape ferns (S3) were observed on July 30, 2014. Issue resolved",,,,
,Rare Plant (KP 8+500),"Three scalloped moonwort (S1) were observed on July 30, 2014. Issue resolved",,,,
SE 19-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the ROW is vegetating well with grasses, birdsfoot trefoil, shrubs, willow and aspen. There are areas exhibiting reduced vegetation density, there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. 2014 vegetation issue resolved. - KP 8+770 – Drainage is stable with well-established vegetation. Minor erosion noted in bed of drainage, recommend repairs. - Adequate cross drains present and functional – no ponding present. Aug 31, 2016 - KP 8+770 – vegetation cover within minor has improved over growing season, repairs no longer warranted, issue resolved.",,,
SE 19-96-5 W6,Treed Fen (KP 8+700 to 8+970),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Good establishment of vegetation within wetland locations - appear to be meeting adequate function consistent with pre-construction conditions.",,,
NE 18-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Good vegetation establishing within the south portion of this tract with birdsfoot trefoil, grasses, shrubs, willows and aspen. - Poor establishment of vegetation throughout the north portion of this tract, continue to monitor vegetation recovery. - KP 9+240 – Ponding of water, repair cross drain. - KP 9+490 – Drainage is stable, no erosion or slumping; willow staking has been conducted along both sides of the drainage. Aug 31, 2016 - KP 9+240 – Cross drain repaired by hand, issue resolved.",,,
,Treed Fen (KP 9+200 to 9+340),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 18-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 – Majority of the ROW is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen. There are areas exhibiting reduced vegetation density, there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. 2014 vegetation issue resolved. - KP 9+640 – Drainage is stable, no erosion or slumping; willow staking has been conducted along both sides of the drainage. - Marker posts on the northeast side of drainage required repair. - KP 9+860 & 10+040– effective implementation of access control across right of way on both sides of access road. - Adequate cross drains present and functional – no ponding present. Aug 31, 2016 - KP 9+620 – marker posts repaired.",,,
NW 18-96-5 W6,Shrubby Swamp (KP 9+500 to 9+700),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NE 13-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Poor establishment of vegetation throughout the majority of this tract, birdsfoot trefoil, grasses, shrubs, willows and aspen are present. Continue to monitor vegetation recovery. - KP 10+500 – diversion berm at top of slope requires repairs. - Adequate cross drains present and functional – no ponding present. Sept 1, 2016 - KP 10+500 – Repairs completed by hand on diversion berm, issue resolved.",,,
NE 13-96-6 W6,Treed Fen (KP 10+500 to 10+820),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Excellent establishment of grasses, Labrador tea, mosses, willows and other native species throughout wetland area. Wetland appears to be meeting adequate function consistent with pre-construction conditions.",,,
NW 13-96-6 W6,Treed Bog (KP 11+200 to 11+350),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Wetland has moderate vegetation establishment consisting of wetland grasses and birdsfoot trefoil. Willows, and shrubs are also emerging. Mosses observed developing through wetland.",,,
,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the ROW is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. - KP 11+700, Poor vegetation establishment on grade cut.  Grasses are beginning to infill but vegetation establishment should be monitored. An erosion rill running down ditchline on workside, recommend repairs. - No noxious weeds were identified. Sept 1, 2016 - KP 11+650 – Marker posts and signs repaired. Sept 13, 2016 - KP 11+700 - Rill erosion noted earlier in growing season has been stabilized by improved vegetation cover, issue resolved, no work required.",,,
,Shrubby Fen (KP 11+900 to 12+100),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Wetland is well vegetated due to minimal disturbance construction.",,,
NE 14-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Majority of the ROW is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and alders, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density with minor erosion.  Continue to monitor these areas for vegetation recovery. - KP 12+450, signs and marker posts required repairs. - No noxious weeds were observed in this ¼. Sept 1, 2016 - KP 12+450 – Marker posts and signs repaired.",,,
NE 14-96-6 W6,Shrubby Fen (KP 12+200 to 12+360),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Wetland has excellent vegetation establishment consisting of mainly wetland grasses, willows, and shrubs. Mosses were also observed developing well through wetland. Effective cross drainage throughout wetland.",,,
NW 14-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - ROW is poorly vegetated, although emergent grasses, willows, and alders are present. There are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved.  2014 vegetation issue resolved. - KP 13+000, Ponding water observed, cross drain requires repairs. - No noxious weeds were identified. Sept 2, 2016 - KP 13+000 – Cross drain repaired by hand, issue resolved.",,,
NW 14-96-6 W6,Treed Fen (KP 13+00 to 13+280),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Wetland has excellent vegetation consisting of wetland grasses, willows, and shrubs. Good functional cross drains through wetland area.",,,
NE 15-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Majority of the ROW is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. - KP 14+370, Erosion rill running down diversion berm. Recommend repairs. - KP 14+450 - Line of sight barrier and access control both functional. - No noxious weeds were identified. Sept 2, 2016 - KP 14+370 – Erosion rill repaired with installation of erosion control materials, issue resolved.",,,
,Treed Fen (KP 13+700 to 14+410),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Wetland well vegetated with willows, alders and shrubs. Mosses are also establishing through wetland. Good functional cross drains through wetland area.",,,
NW 15-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Low vegetation density throughout tract. Intermittent minor erosion rill noted, continue to monitor vegetation recovery. - KP 14+600 – Access control in place and functional. - KP 14+800 – perennial sow thistle identified, recommend implementation of control measures. - KP 14+880 – ponding noted, cross drain requires repairs. July 15, 2016 – KP 14+800 - Herbicide application conducted to control perennial sow thistle. Sept 2, 2016 - KP 14+880 – Cross drain repaired by hand, issue resolved.",,,
NW 15-96-6 W6,Treed Fen (KP 14+900 to 15+370),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Excellent establishment of grasses, Labrador tea, mosses, willows and other native species throughout wetland area. Wetland appears to be meeting adequate function consistent with pre-construction conditions.",,,
NE 16-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Majority of the ROW is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - KP 16+100 – Poor drainage noted, cross drain requires repairs. Sept 2, 2016 - KP 16+100 – Cross drain repaired by hand, issue resolved.",,,
NW 16-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Reduced vegetation density throughout tract. Intermittent minor erosion rill noted, continue to monitor vegetation recovery. Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - KP 16+210 – erosion identified, repairs recommended. Sept 2 and 13, 2016 - KP 16+210 – Erosion repairs completed by hand.",,,
SW 16-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Majority of the ROW is moderately vegetated with birdsfoot trefoil, grasses, shrubs, willows, alders, and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - Adequate cross drains present and functional – no ponding present. - KP 16+350 – Drainage is stable and well vegetated, moderate flow identified. Issue noted at drainage entry point, erosion occurring to form new channel across ROW, repairs recommended. - KP 16+520 – Drainage is stable and well vegetated, no issues moderate flow identified. - KP 16+320 and 16+490 – Marker posts required repairs. Sept 2, 2016 - KP 16+320 and 16+490 – Marker posts and signs repaired, issue resolved. - KP 16+350 – Erosion noted earlier in growing season has stabilized with improved vegetation cover, work no longer required, issue resolved.",,,
SE 17-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Majority of the ROW is moderately vegetated with birdsfoot trefoil, grasses, shrubs, willows, alders, and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (KP 17+000 to 17+300). Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - Diversion berms in this ¼ are vegetating and functioning well. - KP 17+840, Sediment fence near tree line, remove. - No noxious weeds were identified. Sept. 9, 2016 - KP 17+840 - Removed wattles and sediment fence, issue resolved.",,,
SW 17-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 – Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch and grasses. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - KP 17+990 – Subsidence identified on ditchline, no work recommended, not presenting as a pipeline integrity issue or preventing the ROW from recovering, issue resolved. - KP 18+030 – Drainage lined with rock cobble is stable and functioning well.  One area where cobble is absent, recommend redistribution of cobble. - KP 18+200 to 18+400 - Diversion berms, minor erosion occurring within diversion berms. Sept 9, 2016 KP 18+030 – Cobble redistributed, issue resolved. Sept 14, 2016 - KP 18+200 to 18+400 – Erosion noted earlier in growing season is no longer present, vegetation improvements have stabilized the area, no work required, issue resolved.",,,
SW 17-96-6 W6,Sloat Creek (KP 17+900) Low Vegetation Establishment,"At the time of the assessment, work was occurring on the approach slopes of the watercourse to stabilize the soil.  Monitor in 2015 and re-seed if required","July 3, 2016 - banks are stable, no slumping evident, grasses emerging, coir lifts functioning well. Upper bank on the east side of the watercourse crossing is exhibiting new emerging grasses, but appears to have been stressed during dry period earlier this summer. Sediment fencing and wattles remain functional – some minor repairs required. Sand bags along watercourse are not bio-degradable and will require removal upon establishment of vegetation (20 removed that were no longer required). Sept 2, 2016 - KP 17+870 and 18+000 – Repaired marker posts and signs, issue resolved. - KP 17+900 – removed sediment fence. Sept 9, 2016- Removed all remaining sediment fences, synthetic wattles, and synthetic sand bags. Issues resolved.",,,
SE 18-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch and grasses. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. - KP 18+765 to 18+825, Erosion on spoil side, recommend repairs - KP 19+180 and 19+265 - Ponding water, repair of cross drain required. - KP 19+350, Erosion due to inadequate cross drain, repair cross drain. - No noxious weeds were observed in this ¼. Sept 14, 2016 - KP 18+765 to 18+825 – contoured erosion and installed erosion control measures to repair erosion.  Issue resolved. - KP 19+180, 19+265, and 19+350 – Cross drains repaired by hand.  Issues resolved.",,,
SW 18-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch and grasses. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. (KP 19+730 to 19+900). - KP 19+510 – minor erosion due to inadequate cross drain, repair cross drain. - KP 19+730 – Sign post requires repairs. - No noxious weeds were identified. Sept 14, 2016 - KP 19+730 – Sign post repaired, issue resolved. - KP 19+510 – cross drain repaired by hand, issue resolved.",,,
NW 18-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. - No noxious weeds were identified in this ¼.",,,
NE 13-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. - KP 20+635 and KP 20+630 to 20+815 - Erosion, recommend repairs. - No noxious or invasive weeds were observed in this ¼. Sept 6, 2016 – KP 20+635 and KP 20+630 to 20+815 – Erosion noted earlier in growing season has stabilized due to improved vegetation cover and work is no longer warranted.  Issues resolved.",,,
,Rare Plant (KP 20+500),"No golden saxifrage (S3?) were observed on July 30, 2014. Habitat is suitable for this species at this location. Further monitoring recommended.","Aug 21, 2016 - Species (golden saxifrage) not observed at the historically recorded pre-disturbance location. Golden Saxifrage is now ranked as an S4 (apparently secure, taxon is uncommon but not rare) (ACIMS, 2016). As the species is no longer considered rare in Alberta, no further monitoring will be conducted on the Project. Issue resolved.",,,
,Erosion (KP 20+630),"Erosion rills observed along the long sloping stretch in this area. Issues continue for approximately 100 m. This issue is not near a watercourse so there is no risk of sedimentation, but should be repaired to avoid gully formations. This issue was repaired in January 2015.","July 3, 2016 – Erosion at this location is no longer evident, issue resolved.",,,
NW 13-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved.  There are areas exhibiting reduced vegetation density. Minor erosion rills identified, they are not inhibiting the recovery of the ROW, issue resolved. - KP 21+475 - Diversion berm filled with sediment, recommend repairs. - KP 21+670 - Erosion, recommend repairs. - Volunteer spruce was found emerging in various location along ditch line in this ¼. - No noxious weeds were observed in this ¼. Sept 14, 2016 - KP 21+475 – Diversion berm repaired by hand. KP 21+670 – Erosion repaired by hand and erosion control materials installed.",,,
NE 14-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved.  There are areas exhibiting reduced vegetation density. Minor erosion rills identified, they are not inhibiting the recovery of the ROW, issue resolved.   No noxious weeds were identified",,,
NE 14-96-7 W6,Steep Slope Low/Moderate Vegetation Establishment,,"July 13, 2016 - - KP 22+175 to 22+400 - Erosion issue on east hillslope due to limited vegetation cover, recommend removal of existing erosion control materials that are no longer effective, repair of erosion, and re-installation of erosion control materials. Sept 4 – 8, 2016 – Erosion on hillslope repaired by hand with the construction of soil breakers, installation of straw wattles, removal of previous erosion control materials and seeding with approved seed mix. Continue to monitor hillslope recovery.",,,
