Legal Location,1st Year Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Shrubby Fen,,,"June 30, 2016 - Wetland beginning at KP 2+650 has excellent vegetation cover consisting of wetland grasses and cat tails in lower areas.  Cross drains are in place and appear effective was no ponding water was noted.","July 15, 2017 - Shrubby fen on ROW from KP 2+650 to 2+960 appears to be at full functionality. Wetland has slightly upslope aras and low-lying areas exhibiting different conditions. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of broadleaf shrubs and willows on upslope area and graminoids in low-lying area. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Upslope areas of wetland resulting in semi-saturated soil conditions with no standing water. Low-lying area of wetland exhibiting saturated conditions with water table at surface resulting in surface water. - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; birds observed using wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved. No net loss of wetland function was observed.",,,
SW 2-97-8 W6 and NW 35-96-8 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species. There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  2013 moderate vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 1, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil and American vetch, providing dense ground cover in ¼.  Shrubs, Aspen and willows emerging and observed throughout ¼.  - Perennial sow thistle observed on ROW and off ROW on adjacent ROW’s and foreign facilities.  Recommend weed control. - No subsidence or erosional issues were observed in the ¼. July 12, 2016 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. August 23, 2016 - KP 3+500 – Additional perennial sow thistle observed (adjacent foreign facility is not controlling weeds).  Recommend additional weed control. Sept 19 and 20, 2016 - KP 3+050 – 3+630 – Herbicide application conducted to control perennial sow thistle, Canada thistle, and common tansy.  Issue resolved.","July 15, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, birdsfoot trefoil, willows and aspens. Present on tract vetch, common yarrow, clover, cattails, reed grass, raspberry and broadleaf shrubs.  - No erosion or subsidence on tract.  - Noxious Weeds - KP 3+080 to 3+200 and 3+430 - Perennial sow thistle observed, recommend weed control. July 25, 2017 – KP 2+900 to 3+200 and 3+430 – Intermittent herbicide application conducted to control perennial sow thistle. September 28, 2017 No noxious weeds were observed.  Effective control of noxious weeds observed",,,
SE 3-97-8 W6 and NE 34-96-8 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. Weeds (sow thistle) were observed between approximately 3+600 and 4+000. The weeds appeared to have been sprayed, continue monitoring. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  Weeds were not observed during assessment, but were noted in 2014 at KP 3+600 and 4+000, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 1, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil and American vetch, providing dense ground cover in ¼.  Shrubs, Aspen and willows emerging and observed throughout ¼.  - Perennial sow thistle and scentless chamomile (KP 4+350 to 4+375) observed on ROW and off ROW on adjacent ROW’s and foreign facilities.  Recommend weed control. - No subsidence or erosional issues were observed in this ¼. July 12, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile (KP 4+350 to 4+375). August 23, 2016 - KP 3+700 to 4+400 – Additional perennial sow thistle observed, weed control recommended. Sept 19 and 20, 2016 - KP 3+630 – 4+700 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","July 15, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - KP 3+630 to 4+000 – Perennial sow thistle and Canada thistle observed, recommend weed control. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - Good base of organic litter appears to be present.  - No erosion or subsidence identified within tract.  July 25, 2017 – KP 3+600 to 4+000 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.  Issue resolved. September 28, 2017 – KP 3+700 – Perennial sow thistle observed and herbicide application conducted to control.  Issue resolved. - Effective control of noxious weeds observed on remaining portions of ROW.",,,
,Shrubby Fen,,,"July 1, 2016 - Wetlands at KP’s 3+900 to 4+215 and 4+260 to 4+460 are well vegetated with wetland grasses, willows and shrubs.  Cross drains are functioning well and no pooling water was observed.",- Shrubby fen on ROW from KP 3+990 to 4+210 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of graminoids and willows. - Trench crown has settled but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland exhibiting saturated conditions with water table at surface resulting in surface water. - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; birds observed using wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed.,,,
,Treed Fen,,,"July 1, 2016 - Wetlands at KP’s 3+900 to 4+215 and 4+260 to 4+460 are well vegetated with wetland grasses, willows and shrubs.  Cross drains are functioning well and no pooling water was observed.","- Treed fen on ROW from KP 4+260 to 4+470 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, broadleaf shrubs and willows. Labrador Tea emerging onto ROW. - No noxious weeds were observed on ROW. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. Roach has slightly settled but remains functional. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Good peat depth observed on and off ROW. - Wetland exhibiting semi-saturated conditions with water table just below surface.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed.",,,
SW 3-97-8 W6 and NW 34-96-8 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. There were no weeds observed. The wetland areas were well vegetated with mainly grass species. The cross drains were in appropriate locations. Bear activity was observed throughout this section of the ROW.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 1, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil and American vetch, providing dense ground cover in ¼.  Shrubs, Aspen and willows emerging and observed throughout ¼.  - Perennial sow thistle (KP 4+515) and Canada thistle (KP 5+085) observed, recommend weed control. July 12, 2016 – Intermittent herbicide application conducted to control perennial sow thistle (KP 4+515) and Canada thistle (KP 5+085).  Issue resolved. August 23, 2016 – Effective control of noxious weeds observed.","July 15, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  September 28, 2017 - No noxious weeds were observed.",,,
,Treed Fen,,,"July 1, 2016 - Wetland from KP 4+700 to 4+760 is functioning well and is densely vegetated with wetland grasses.  Cat tails are populating low lying areas of wetland.  Cross drains appear to be effective.","July 15, 2017- Treed Fen on ROW from KP 4+260 to 4+470 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, broadleaf shrubs and willows. Labrador Tea emerging onto ROW. - No noxious weeds were observed on ROW. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. Roach has slightly settled but remains functional. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Good peat depth observed on and off ROW. - Wetland exhibiting semi-saturated conditions with water table just below surface.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed. - Treed Fen on ROW from KP 4+710 to 4+750 appears to be at full functionality - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. - No noxious weeds were observed on ROW. - Trench crown settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic matter content within substrate. - Wetland exhibiting saturated conditions with water table at surface resulting in surface water throughout wetland.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. Birds observed using wetland as habitat. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed.",,,
SE 4-97-8 W6 and NE 33-96-8 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover and grass species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season.  Wetland area within this section of ROW and they appeared to be well vegetated with many grass species. Small willow species were emerging within the wetland areas at the time of the assessment. The cross drains were in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 1, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, willows and aspen - providing a heavy canopy of vegetation throughout the tract.   - No noxious weeds were identified.  - Cross drains are maintaining good cross flow of water along right of way. - No subsidence or erosion identified.","July 15, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  July 25, 2017 – KP 5+900 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. September 28, 2017 – KP 6+015 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of noxious weeds observed on remaining portions of ROW.",,,
,Shrubby Swamp,,,"July 1, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.",- Shrubby swamp on ROW from KP 5+590 to 5+810 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids with willows emerging. Slightly higher density of shrubs on ditchline due to elevated roach. - No noxious weeds were observed on ROW. - Trench crown settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic matter content within substrate. - Wetland exhibiting saturated conditions with water table at surface resulting in surface water throughout wetland.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. Birds observed using wetland as habitat. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed. - Shrubby swamp on ROW from KP 5+900 to 6+200 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Slightly higher density of shrubs on ditchline due to elevated roach. - No noxious weeds were observed on ROW. - Trench crown settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland exhibiting semi-saturated conditions with water table just below surface.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. Birds observed using wetland as habitat. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved. No net loss of wetland function was observed.,,,
SW 4-97-8 W6 and NW 33-96-8 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the vegetation ranging from grass and clover to aspen and poplar (2013 moderate vegetation issue is resolved). The wetland to the west of the Unnamed Tributary to the Chinchaga River #1 was well vegetated. Vegetation included a combination of herbaceous and woody species. Woody species included Dwarf Birch and Willow Species. The cross drains were in appropriate locations","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 1, 2016 - Excellent establishment of grasses, birdsfoot trefoil, American vetch and willows providing a heavy canopy of vegetation throughout the tract.  There is a considerable amount of organic litter remaining from previous season of vegetative growth. - KP 6+250 - Canada thistle observed, recommend weed control. July 14, 2016 – KP 6+250 - Herbicide application conducted to control Canada thistle. August 23, 2016 – KP 6+250 - Effective control of noxious weeds observed.","July 15, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  Shrubby Swamp - Shrubby swamp on ROW from KP 5+900 to 6+200 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Slightly higher density of shrubs on ditchline due to elevated roach. - No noxious weeds were observed on ROW. - Trench crown settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland exhibiting semi-saturated conditions with water table just below surface.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. Birds observed using wetland as habitat. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved. No net loss of wetland function was observed. September 28, 2017 – KP 6+125 – Herbicide application conducted to control Canada thistle.  Issue resolved.",,,
SW 4-97-8 W6 and NW 33-96-8 W6,Unnamed Tributary to Chinchaga River,"There was willow staking throughout the Tributary area. The willow stakes were approximately 0.3 m away from the water within the tributary. The willow staking was at a density of approximately 2 per liner meter. Native species observed included willows, poplar, strawberry, pea vine and sedges. No issues were observed. The total vegetation was moderate and is recovering well. No erosion observed.","- No issues noted. Monitor vegetation cover on banks and approach slopes and remove/repair silt fencing, as required.","July 1, 2016 - Unnamed Tributary to Chinchaga River – there is no defined bed or bank at the crossing location.  Approached to beaver pond / water course are well vegetated, soils conditions stable.  It would appear that the drainage at the point of crossing (within beaver pond location) is high, but ponded water on either side of ditchline is consistent, with no evidence of ponding off right of way.  Minimal flow identified at present - 40m of silt fencing was removed from the east side of watercourse crossing.  Issue resolved - Pipeline identification sign on the east side of the watercourse crossing requires repairs. August 23, 2016 – Sign repaired, issue resolved.","July 15, 2017 - Unnamed Tributary to Chinchaga River is better represented as a beaver pond as there is no defined bed or bank at the crossing location.  No issues noted.",,,
,Open Water Pond,"The ROW was well vegetated, with the vegetation ranging from grass and clover to aspen and poplar. The wetland to the west of the Unnamed Tributary to the Chinchaga River #1was well vegetated. Vegetation included a combination of herbaceous and woody species. Woody species included Dwarf Birch and Willow Species. The cross drains were in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 1, 2016 - Good establishment of vegetation within wetland location, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 15, 2017 - Open water Pond on ROW from KP 6+200 to 6+230 appears to be at full functionality. - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of graminoid and willow species. Submergent and Emergent vegetation establishing within ponded water. - No noxious weeds were observed in wetland. - Trench crown present through wetland separating ponded areas on spoil and work side of ROW but hydrology is maintained via settlement of roach. No issues. - Substrate appears healthy through uniform growth of vegetation and high organic content. - Ponded areas exhibiting depths greater than 1m. Water quality maintained. - Wetland exhibiting high habitat potential via standing water and microsite habitat opportunity. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation diversity maintained on ROW. No net loss of wetland function was observed.",,,
