Alignment Sheet,Legal Location (WPM),Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
68,NE 15-9-28,962.82 to 962.83,4025,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (70%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (51%). Bare ground on right-of-way. Landowner has cultivated portion of right-of-way,Unresolved,Monitor in 2011.,,,
68,N1/2 14-9-28,963.0 to 964.6,4026 4026.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
68,NW 14-9-28,963.0 to 963.4,4026,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,,
68,NW 14-9-28,963.04 to 963.18,4026,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (60%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (54%).  Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Landowner has cultivated wetland margins.",Unresolved,Monitor in 2011.,,,
68,NW 14-9-28,963.28 to 963.32,4026,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (53%),Vegetation walked down prior to geotextile and ramp installation. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (54%).,Resolved,None.,,,
68,NW 14-9-28,963.37 to 963.42,4026,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (71%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (54%).  Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Landowner has cultivated portion of right-of-way.",Unresolved,Monitor in 2011.,,,
68,NE 14-9-28,964.00 to 964.11,4026.01,Wetland Class Overall: IV Wetland Class on right-of-way: II 2008 Health: No baseline assessment completed,Right-of-way narrowed for the length of the wetland. The topsoil that was stripped from the north part of the construction right-of-way was stored on both sides of the wetland prior to geotextile and ramp installation. Geotextile ramp installed.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (43%). Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Landowner has cultivated wetland margins.",Unresolved.,Follow weed control plan. Monitor in 2011.,,,
68,NE 14-9-28,964.5,4026.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"High density of false ragweed, lamb’s-quarters, creeping thistle, common pepper-grass and perennial sow-thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
68,NE 13-9-28,965.73 to 965.78,4027 4027.01,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (77%),Vegetation walked down prior to geotextile and ramp installation. Ramp removed and topsoil replaced in the wetland. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (69%).,Resolved,None.,,,
68,NE 13-9-28,966.3,4027 4027.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for dandelion and kochia.,Potential for weed introduction and spread.,"Moderate density of creeping thistle, perennial sow-thistle and foxtail barley on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
68,SW 18-9-27,966.60 to 966.65,4029,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Unhealthy (32%),Vegetation walked down prior to geotextile and ramp installation. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (48%).,Resolved,None.,,,
68,SW 18-9-27,966.76 to 966.94,4029,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with Problems (65%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours. Willow staking.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (65%).,Resolved,None.,,,
68,SE 18-9-27,967.15 to 967.18,4029.01,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Unhealthy (54%),Vegetation walked down prior to geotextile and ramp Installation. Wetland soils stored separately. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (66%).,Resolved,None.,,,
69,SW 17-9-27,968.35 to 968.48,4030,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (37%),Vegetation walked down prior to geotextile and ramp Installation. Wetland dry at time of construction. Ramp removed and wetland restored to previous contours. Willow staking.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (60%).,Resolved,None.,,,
69,SE 17-9-27,969.13 to 969.18,4030.01,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with Problems (68%),Vegetation walked down prior to geotextile and ramp Installation. Wetland soils stored either side of wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (58%).  Weeds: creeping thistle, perennial sow thistle Undesirable species dominant on right-of-way Bare ground on right-of-way",Unresolved,Monitor in 2011.,,,
69,SE 17-9-27,969.5,4030.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Land access not granted at the time of the ground reconnaissance.,Unresolved,Assess in 2011.,,,
69,SW 16-9-27,969.96 to 970.00,4031,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (61%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (38%).  Weeds: perennial sow thistle. Bare ground on right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated wetland margins.,Unresolved,Monitor in 2011.,,,
69,SE 16-9-27,970.52 to 970.56,4032,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (74%),Vegetation walked down prior to geotextile and ramp Installation. Wetland soils stored either side of wetland. Ramp removed and wetland restored to previous contours. Willow staking.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (49%).  Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Landowner has cultivated portion of right-of-way.",Unresolved,Monitor in 2011.,,,
69,SE 16-9-27,970.76 to 970.82,4032,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (67%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes. Willow staking.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (24%).  Weeds: creeping thistle, perennial sow thistle. Riparian: woody vegetation removed. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated portion of right-of-way.",Unresolved,Monitor in 2011.,,,
69,SE 16-9-27,971.09 to 971.12,4032,Wetland Class Overall: III Wetland Class on right-of-way: N/A 2008 Health: Healthy with Problems (67%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland was avoided by final route alignment.,Resolved,None.,,,
69,SW 15-9-27,971.80 to 971.87,4033,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (58%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (21%).,Resolved,None.,,,
69,SW 15-9-27,971.3 to 972.1,4033,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,SE 15-9-27,972.58 to 972.63,4033.01,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (56%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (40%).,Resolved,None.,,,
69,SE 15-9-27,972.1 to 972.9,4033.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,SE 15-9-27,972.3,4033.01,UWater Quality and Quantity Fish and Fish Habitat  nnamed Drainage,Appropriate vehicle crossing installed. Adhered to instream restricted activity period (RAP). Dry crossing - open cut method used. Reshaped and compacted bed and banks. Silt fence installed. Banks seeded. Final clean-up complete.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
69,SE 15-9-27,972.81 to 972.85,4033.01,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (63%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (54%). Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated wetland margins.",Unresolved,Monitor in 2011.,,,
69,SW 14-9-27,973.0 to 973.7,4034,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,SW 14-9-27,973.29 to 973.33,4034,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (75%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil was replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (43%). Weeds: perennial sow thistle. Undesirable species dominant on right-of-way. Landowner has cultivated right-of-way,Unresolved,Monitor in 2011.,,,
69,SW 14-9-27,973.42 to 973.56,4034,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Unhealthy (54%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (56%).,Resolved,None.,,,
69,SE 14-9-27,973.8 to 973.9,4034.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,SE 14-9-27,973.9,4034.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of perennial sow-thistle, wild oats, field dock, foxtail barley, green foxtail and green smartweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
69,NE 11-9-27,973.9 to 974.6,4034.99,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,NE 11-9-27,974.0 to 974.5,4034.99,Vegetation - Rare Plant,Green needle grass: Transplanted the larger population to a similar location off right-of-way in 2008.The remainder of the populations had the upper topsoil salvaged and stored separately in 2008. Replaced topsoil during clean-up in 2009.,Survival success of transplanted/ disturbed populations.,Population observed off right-of-way.,Unresolved,Monitor in 2011.,,,
69,NW 12-9-27,975.19 to 975.23,4035,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (77%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (56%). Undesirable species dominant on right-of-way. Landowner has cultivated wetland margins.,Unresolved,Follow weed control plan. Monitor in 2011.,,,
69,NE 12-9-27,975.90 to 975.94,4036,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with Problems (75%),Portion of right-of-way narrowed. Remainder has vegetation walked down prior to geotextile and ramp Installation. Ramp removed and wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (75%).,Resolved,None.,,,
69,NW 7-9-26,976.50 to 976.60,4037,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (70%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (77%).,Resolved,None.,,,
69,NE 8-9-26,979.5,4039,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Construction and reclamation on right-of-way still in progress at the time of the ground reconnaissance.,Unresolved,Assess in 2011.,,,
69,NW 9-9-26,979.5 to 980.4,4040 4040.03,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,NE 9-9-26,980.4 to 981.2,4041 4042,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,NW 10-9-26,981.2 to 982.1,4042 4043,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
69,NE 10-9-26,982.1 to 982.8,4042 4043,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,W1/2 11-9-26,982.8 to 983.9,4044 4044.01 4044.01 4045,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,SE 11-9-26,983.9 to 984.7,4045,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 2-9-26,984.7 to 984.8,4046,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 2-9-26,984.7 to 984.8,4046,Vegetation - Weeds,--,--,"Moderate density of false ragweed, nodding thistle and white cockle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70,NW 1-9-26,984.8 to 985.7,4046 4048,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 1-9-26,985.7 to 986.5,4049,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 1-9-26,985.7 to 986.5,4049,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of common knotweed, foxtail barley, false ragweed, spear-leaved goosefoot, perennial sow-thistle and barnyard grass on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70,N 1/2 6 to NW 5-9-25,986.5 to 988.4,4050 4051 4052,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Weeds,--,--,"Moderate density of foxtail barley, green foxtail, Canada fleabane and barnyard grass observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70,NW 5-9-25,988.4 to 989.0,4052,Soils - Erosion,Alternate between straw and native hay crimping (test plots).,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
70,NW 5-9-25,988.4 to 989.0,4052,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
70,NW 5-9-25,988.4 to 988.5,4052,Vegetation - Reclamation,Tall grass prairie native seed harvested from local source in 2008 and seeded during final clean-up in 2009. Area fenced off to prevent cattle grazing.,Success of vegetation establishment.,Poor vegetation establishment on right-of-way.,Unresolved,Reseed and monitor grass growth in 2011.,,,
70,NE 5-9-25,989.0 to 989.7,4052.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 5-9-25,989.5,4052.01,Vegetation - Rare Plant,Golden bean: Salvaged upper 6-8 cm of topsoil separately for the length of the population in 2008. Replaced lower and upper topsoil during clean-up in 2009.,Survival success of disturbed populations.,No plants were observed at or near the original population. Much of the areas was under 0.5 m of water.,Unresolved,Monitor in 2011.,,,
70,NW 4-9-25,989.7 to 990.6,4053,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 4-9-25,990.6 to 991.45,4054,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NW 3-9-25,991.45 to 992.3,4055,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 3-9-25,992.3 to 993.1,4055.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 3-9-25,992.5,4055.01,Vegetation - Rare Plant,Schweinitz’s flatsedge: Narrowed down the construction right-of-way to avoid population in 2008 and 2009.,Confirm avoidance.,Plants found.,Resolved,None.,,,
70,NW 2-9-25,993.1 to 993.8,4056 4056.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 2-9-25,993.93 to 994.05,4057,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with Problems (63%),Vegetation walked down prior to geotextile and ramp Installation. Wetland topsoil stored separately. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (67%).,Resolved,None.,,,
70,NE 2-9-25,993.8 to 994.6,4057,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 2-9-25,993.8 to 994.6,4057,Vegetation - Weeds,--,--,"Moderate density of common knotweed, flixweed, false ragweed, spear-leaved goosefoot, foxtail barley and green foxtail observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70,NW 1-9-25,994.6 to 995.5,4058,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NW 1-9-25,994.6 to 995.5,4058,Vegetation - Weeds,--,--,"Moderate density of common plantain, green smartweed, common knotweed, foxtail barley and green foxtail observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70,NE 1-9-25,995.5 to 996.4,4058.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NE 1-9-25,995.5 to 996.4,4058.01,Vegetation - Weeds,Landowner requested full wash station for equipment cleaning for leafy spurge prior to entry onto his land.,Potential for weed introduction and spread.,"Moderate density of common plantain, green smartweed, common knotweed, foxtail barley and green foxtail observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70,NW 6-9-24,996.4 to 997.3,4059,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70,NW 6-9-24,996.4 to 997.3,4059,Vegetation - Weeds,--,--,"Moderate density of kochia, green foxtail, lamb’s-quarters and wild buckwheat observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
70 and 71,NE 6-9-24,997.3 to 998.0,4060,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
70 and 71,NE 6-9-24,997.3 to 998.0,4060,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
71,NW 5-9-24,998.0 to 998.8,4061,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NE 5-9-24,998.8 to 999.6,4061.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NE 5-9-24,998.8 to 999.6,4061.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of spear-leaved goosefoot, redroot pigweed, green smartweed, Russian thistle, false ragweed, creeping thistle and barnyard grass on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,NW 4-9-24,999.6 to 1000.5,4062,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NE 4-9-24,1000.5 to 1001.3,4062.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,W1/2 3-9-24,1001.3 to 1002.3,4063 4064,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NW 3-9-24,1001.3,4063,Vegetation - Rare Plant,Sand bluestem: Narrowed down the construction right-of-way to avoid population in 2008 and 2009.,Confirm avoidance.,Plants not found.,Unresolved,Monitor in 2011.,,,
71,SE 3-9-24,1002.3 to 1003.1,4065,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,SE 3-9-24,1002.3 to 1003.1,4065,Vegetation - Weeds,--,--,"Moderate density of spear-leaved goosefoot, lamb’s-quarters, false ragweed and redroot pigweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,SW 2-9-24,1003.1 to 1003.8,4066,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NW 35-8-24,1003.8 to 1004.0,4067,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NW 35-8-24,1004.0,4067,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,"High density of spear-leaved goosefoot, Russian thistle, false ragweed, lamb’s-quarters, green foxtail and black medick on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,NE 35-8-24,1004.0 to 1004.9,4068,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NE 35-8-24,1004.9,4068,Vegetation - Rare Plants,Yellow indiangrass: Fenced off population and installed bar ditch ramp in area where there were no plants in 2008.,Survival success of disturbed populations.,"12 clumps of plants observed in flower, on the west side of the road.",Resolved,None.,,,
71,NW 36-8-24,1004.9 to 1005.7,4069,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,NW 36-8-24,1004.9 to 1005.7,4069,Vegetation - Weeds,--,--,"Moderate density of creeping thistle, false ragweed, dandelion, perennial sow-thistle, bluebur and green foxtail observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
