Legal Land Description (W6M),Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
NE 28- 108-12,Treed Fen,None,3.10 to 3.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 27-108-12,Forested,Low/Moderate Vegetation Establishment,3.41 to 3.62,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 28-108-12,Treed Fen,None,3.60 to 3.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SE 28-108-12,Forested,Low/Moderate Vegetation Establishment,3.62 to 4.23,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SE 28-108-12,Treed Fen,None,4.10 to 4.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SE 28-108-12,Treed Fen,None,4.10 to 4.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 21-108-12,Forested,Low/Moderate Vegetation Establishment,4.23 to 4.91,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 21-108-12 (cont’d),Treed Fen,None,4.40 to 4.54,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 22-108-12,Forested,Low/Moderate Vegetation Establishment,4.91 to 5.06,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 22-108-12,Forested,Low Vegetation Establishment,5.00,"Low vegetation establishment observed on the north side of the Hay River at the HDD site (Plate 3, Appendix B).",Monitor vegetation establishment in 2015.,,,
NW 22-108-12,Forested,Weeds,,"A low density of scentless chamomile was observed in this area (six total plants). All plants were pulled by the EI at the time of the assessment, however, further monitoring for this species should occur in subsequent years.",Monitor for scentless chamomile growth in 2015 and control if required.,,,
SW 22-108-12,Forested,Low/Moderate Vegetation Establishment,5.06 to 5.97,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 22-108-12,Hay River,High Vegetation Establishment,5.40,"No issues below the HDD sites on the north and south side of the river were observed (Plate 4, Appendix B).",Monitor in 2015.,,,
NW 15-108-12,Forested,Low/Moderate Vegetation Establishment,5.97 to 6.77,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 15-108-12,Forested,Low Vegetation Establishment,6.00,Low vegetation establishment observed on the south side of the Hay River at the HDD site. No erosion issues observed.,Monitor in 2015.,,,
NW 15-108-12 to  SW 15-108-12,Non-woody Fen,None,6.70 to 6.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 15-108-12,Forested,Low/Moderate Vegetation Establishment,6.77 to 7.60,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 15-108-12,Treed Bog,None,6.90 to 7.00,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 15-108-12 to NW 10-108-12,Shrubby Fen,None,7.30 to 7.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 10-108-12,Forested,Low/Moderate Vegetation Establishment,7.60 to 8.40,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 10-108-12 to SW-10-108-12,Shrubby Fen,None,8.00 to 8.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 10-108-12,Forested,Low/Moderate Vegetation Establishment,8.40 to 9.21,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 10-108-12,Treed Fen,None,8.90 to 9.10,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 3-108-12,Broad-leaf Treed Swamp,None,9.20 to 9.55,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 3-108-12,Forested,Low/Moderate Vegetation Establishment,9.21 to 10.11,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 3-108-12 (cont’d),Shrubby Swamp,None,9.80 to 10.00,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 3-108-12 (cont’d),Unnamed tributary to Hay River,Moderate Vegetation Establishment,10.00,"Moderate vegetation establishment observed on the north and south sides of the watercourse (Plate 5, Appendix B). Vegetation beginning to establish well. No erosion issues observed. Sediment fencing to be removed as soon as practical.",Monitor vegetation establishment and slope stability in 2015. Sediment fencing removal scheduled to commence in February 2015.,,,
SW 3-108-12,Shrubby Swamp,None,10.10 to 10.35,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 3-108-12,Forested,Low/Moderate Vegetation Establishment,10.11 to 10.94,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 3-108-12,Open Water Pond,None,10.80 to 10.86,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 3-108-12,Forested,Erosion,10.90,"Erosion issue observed at the open water pond.  Beaver dam was extended onto the right-of-way, which overflowed causing the erosion along the slope in this area (Plate 6, Appendix B). Slope currently under repair. Temporary erosion controls have been installed to avoid sedimentation of the wetland.  Additional repairs are scheduled to commence February 2015. The grade will be established, erosion controls will be installed and the area will be seeded.",Monitor in 2015.,,,
NW 34-107-12,Forested,Low/Moderate Vegetation Establishment,10.94 to 11.75,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 34-107-12 (cont’d),Treed Bog,None,11.10 to 11.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 34-107-12 (cont’d),Treed Bog,None,11.50 to 11.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 34-107-12,Forested,Low/Moderate Vegetation Establishment,11.75 to 12.55,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 34-107-12,Broad-leaf Treed Swamp,None,11.80 to 12.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 34-107-12 to NW 27-107-12,Treed Fen,None,12.30 to 12.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 27-107-12,Forested,Low/Moderate Vegetation Establishment,12.55 to 13.36,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 27-107-12,Open Water Pond,None,12.80 to 12.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 27-107-12 (cont’d),Forested,Low Vegetation Establishment,12.90 (unnamed tributary to Hay River),Low/moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation beginning to establish. No erosion issues observed. Sediment fencing required to remain in place.,"Monitor vegetation establishment and slope stability in 2015, reseed if required. Reassess removal of sediment fence if required.",,,
NW 27-107-12 (cont’d),Seasonal Emergent Marsh,None,12.90 to 13.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 27-107-12,Forested,Low/Moderate Vegetation Establishment,13.36 to 14.18,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 27-107-12,Shrubby Swamp,None,13.50 to 13.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 22-107-12,Forested,Low/Moderate Vegetation Establishment,14.18 to 14.99,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 22-107-12 to SW 22-107-12,Treed Bog,None,14.90 to 15.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 22-107-12,Forested,Low/Moderate Vegetation Establishment,14.99 to 15.80,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 22-107-12 to SW 15-107-12,Treed Bog,None,15.30 to 16.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 15-107-12,Forested,Low/Moderate Vegetation Establishment,15.80 to 16.60,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 15-107-12,Forested,Low/Moderate Vegetation Establishment,16.60 to 17.43,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 15-107-12,Open Water Pond,None,17.20 to 17.34,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 10-107-12,Forested,Low/Moderate Vegetation Establishment,17.43 to 18.23,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 10-107-12,Treed Bog,None,17.80 to 18.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 10-107-12,Forested,Low/Moderate Vegetation Establishment,18.23 to 19.04,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 10-107-12,Shrubby Fen,None,18.70 to 18.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 10-107-12,Treed Fen,None,18.80 to 18.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 3-107-12,Forested,Low/Moderate Vegetation Establishment,19.04 to 19.85,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 3-107-12 to NE 33-106-12,Treed Bog,None,19.50 to 21.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 3-107-12,Forested,Low/Moderate Vegetation Establishment,19.85 to 20.66,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 33-106-12,Forested,Low/Moderate Vegetation Establishment,20.66 to 21.27,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 33-106-12,Forested,Low/Moderate Vegetation Establishment,21.27 to 21.59,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 33-106-12,Forested,Erosion,21.50 (Little Buffalo River),"South bank of watercourse appears stable (Plate 7, Appendix B); no erosion issues observed. Erosion issues observed on north side: riling observed on each side of the trench crown starting at the top of the upper slope (Plate 8, Appendix B). Repairs are scheduled to commence February 2015. The grade will be established, erosion controls will be installed and the area will be seeded.",Monitor in 2015.,,,
SW 33-106-12,Forested,Low/Moderate Vegetation Establishment,21.59 to 22.54,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 33-106-12,Treed Bog,None,22.10 to 22.50,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 28-106-12,Forested,Low/Moderate Vegetation Establishment,22.54 to 23.35,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 28-106-12,Treed Bog,None,22.60 to 22.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 28-106-12,Forested,Low/Moderate Vegetation Establishment,23.35 to 24.17,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 28-106-12 (cont’d),Treed Bog,None,23.50 to 23.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 28-106-12 to NW 21-106-12,Treed Bog,None,24.00 to 24.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 21-106-12,Forested,Low/Moderate Vegetation Establishment,24.17 to 24.88,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 21-106-12,Treed Bog,None,24.40 to 24.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 20-106-12,Seasonal Emergent Marsh,None,24.80 to 25.00,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 20-106-12,Forested,Low/Moderate Vegetation Establishment,24.88 to 25.03,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 20-106-12,Forested,Moderate Vegetation Establishment,24.90 (Bivouac Creek),"Moderate vegetation establishment observed on the north and south sides of the watercourse (Plate 9, Appendix B). Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Remove sediment fencing as soon as practical.",Monitor vegetation establishment and slope stability in 2015. Sediment fencing removal scheduled to commence in February 2015.,,,
SE 20-106-12,Forested,Low/Moderate Vegetation Establishment,25.03 to 25.90,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SE 20-106-12 (cont’d),Treed Bog,None,25.40 to 25.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SE 20-106-12 to NE 17-106-12,Treed Fen,None,25.60 to 26.00,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 17-106-12,Forested,Low/Moderate Vegetation Establishment,25.90 to 26.89,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 17-106-12,Unnamed tributary to Bivouac Creek,Moderate Vegetation Establishment,26.80,Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Sediment fencing required to remain in place.,Monitor vegetation establishment and slope stability in 2015. Reseed if required. Removal of sediment fencing to be reassessed if required.,,,
NE 17-106-12,Treed Bog,None,26.00 to 26.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 17-106-12,Treed Bog,None,26.40 to 26.73,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 17-106-12 (cont’d),Shrubby Swamp,None,26.80 to 26.87,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SE 17-106-12,Forested,Low/Moderate Vegetation Establishment,26.87 to 26.89,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 17-106-12,Forested,Low/Moderate Vegetation Establishment,26.89 to 28.04,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 17-106-12 to NE 7-106-12,Mixedwood Treed Swamp,None,27.80 to 28.08,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SE 18-106-12,Forested,Low/Moderate Vegetation Establishment,28.04 to 28.07,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 7-106-12,Forested,Low/Moderate Vegetation Establishment,28.07 to 29.16,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NE 7-106-12,Treed Bog,None,28.10 to 28.27,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 7-106-12,Treed Bog,None,28.40 to 28.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NE 7-106-12 (cont’d),Treed Bog,None,29.10 to 29.17,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-106-12,Forested,Low/Moderate Vegetation Establishment,29.16 to 29.22,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 7-106-12,Treed Bog,None,29.20 to 29.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 7-106-12,Forested,Low/Moderate Vegetation Establishment,29.22 to 30.07,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 7-106-12,Forested,Rare Plant,29.5,"One individual western Jacob’s-ladder (SU) was observed on July 30, 2014.",Resolved and Successful.,,,
