Environmental Issue/Concern,Location,Current Status 2010,Current Status 2011,Recommendation/Schedule,VEC,GIS,Topic
Site Erosion Control / Reclamation Measures,Hardisty Tank Terminal  PS 5 – Hardisty  NW-29-42-9-W4,"Pre-construction design drawings included provisions for site drainage controls.  During construction, drainage controls were evaluated and some modified but preserve the integrity of the original drainage design for the site.      When conditions permit in Spring 2011, a civil design assessment will be conducted to assess current drainage maintenance and correct, if required.","•  All site drainage deficiencies were corrected in 2010 reassessed in 2011 during spring melt and some additional corrections were implemented, all deficiencies are considered completed.",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 6 Lakesend  NE-28-38-8-W4,"Perimeter slope grading and stabilization was conducted with the exception of a portion in the northeast corner of the site due to the planned installation of a second Static VAR Compensator. Complete re-grading of perimeter slope and stabilization when conditions permit in Spring 2011. Complete storm water drainage swale when conditions permit in Spring 2011.  Strip granular, re-construct swale and replace granular.",•  Re-grading and stabilization completed in 2011 •  Site Storm water drainage completed in 2011,Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 7 Monitor  SW-23-34-5-W4,Scope of work complete.,"•  No issues, No work required",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 8 Oyen  NE-20-28-4-W4,Containment ditch overflow requires modification. Modify containment ditch overflow to correct elevation when conditions permit in Spring 2011.,•  Overflow modified in 2011,Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 9 Bindloss  NW-10-22-3-W4,Scope of work complete.,"•  No issues, No work required",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 11 Cabri (co-located) SW-16-19-23-W3,Scope of work complete.,"•  No issues, No work required",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 13  Herbert (co-located) NW-22-18-10-W3,"Year one post-construction monitoring indicates lack of growth and the presence of some undesirable vegetation on the permanent topsoil stockpile and the reclaimed area south of the E-house/ substation. Seeding of the topsoil stockpile and area south of the E-house/substation to be completed in the Spring of 2011, subject to weather conditions.",•  Vegetation on topsoil stockpile and grassy area south of the E house is excellent with little/no weeds •  Minor drainage/ erosion issue within the station completed in Fall 2011,Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 15 Caron (co-located) NE-36-17-29-W2,"Due to extremely wet conditions in Spring and Summer 2010, there were delays in the construction schedule. Therefore, some incorrect grading for site drainage could not be rectified by re-grading until the Fall of 2010. Conduct assessment when conditions permit in Spring 2011 to confirm site drainage is working properly, and make adjustments as required.","•  Site Drainage assessed, design corrections made, constructed and completed",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 17 Regina (co-located) NE-34-16-18-W2,Scope of work complete.,•  Pump site drainage containment berms were re-constructed and completed,Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 18 Kendal  NW-10-16-13-W2,Scope of work complete.,"•  No issues, No work required",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 19 Grenfell (co-located) SE-30-15-7-W2,"A planned clean storm water drainage ditch along east limit of site was not constructed due to the presence of a slurry pit temporarily located in the area for the planned ditch.  When conditions permit in Spring 2011, the slurry pit will be reclaimed and the surface drainage ditch will be constructed along the east side of the site.","•  Slurry pit reclaimed •  Site Drainage assessed, design corrections made, constructed and completed",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 21 Moosomin (co-located) NW-23-14-30-W1,"Due to extreme wet conditions throughout 2010, there were delays in some construction activities including the following: Containment swale liner not secured into the top of bank; Laydown area south of pump station has not been fully reclaimed; Pond overflow elevation needs to be confirmed.   Liner to be excavated and re-secured when conditions permit in the Spring of 2011. Reclaim laydown area south of pump station.  Cleanup, replace topsoil and re-seed when conditions permit in the Spring of 2011. When conditions permit in Spring 2011, assess elevations and undertake necessary work to ensure overflow is at correct elevation.",•  Site Drainage berms reconstructed and completed •  Liner secured •  Laydown area reclaimed and seeded,Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 23 Rapid City (co-located) NW-3-13-19-W1,Scope of work complete.,"•  Stockpile is stable, however one slope is too steep to properly conduct vegetation management activities. TransCanada Operations assessing and may lower the profile of the topsoil stockpile.",•  TransCanada Operations is planning to lower the profile of the topsoil stockpile to address difficulties during vegetation management activities. •  Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 25 Portage La Prairie (co-located) NE-8-11-8-W1,Scope of work complete.,"•  No issues, no work required",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 26 Carman (MB) SE-1-8-5-W1,Scope of work complete.,"•  No issues, no work required",Monitor in 2012,,,
Site Erosion Control / Reclamation Measures,PS 27 Haskett (MB) NE-24-1-5-W1,"Due to extreme wet conditions throughout 2010, some activities including the following, were not completed: Install culvert along access road; Site drainage to be assessed in Spring 2011; Containment swale extends beyond fenceline and drain control valve is also located outside the present fenceline; Unable to install rip rap and geotech at culvert outlet of the containment swale. When conditions permit in Spring 2011, the following will be completed: Install culvert at road approach; Assess elevations and undertake necessary work to ensure proper drainage. Extend chainlink fence to include containment swale and drain control valve. Install rip rap and geotech at culvert outlet of containment swale.",••  Installed culvert at road approach; •  Assessed elevations and completed necessary work to ensure proper drainage. •  Extended chainlink fence to include containment swale and drain control valve. •  Installed rip rap and geotech at culvert outlet of containment swale.   All work complete.,Monitor in 2012,,,
Conversion  Site contours,SW 7-20-28-W3 Dig 7  MLV 2 (7+482.469),Some soil re-contouring and seeding  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,NW 34-19-26-W3 MLV 3,Electrical Trench sinkage - requires re-contouring.  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SW 34-19-25-W3 Liebenthal MS 9+850,Electrical Trench sinkage - requires re-contouring.  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SW 27-19-23-W3 MLV 4,Electrical Trench sinkage - requires re-contouring.  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SW 1-19-18-W3 Dig 60  MLV 5 (23+786.377),Some soil re-contouring  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SE 1-19-18-W3 MLV 6,Ruts around site to be repaired - Top soil may be required for clean up.  Repair ruts around site – haul in top soil if required for clean up - Spring thru Fall 2011.,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SE 19-17-23-W2 Belle Plain + 6.3km (MLV 15),"Re-contouring of subsoil and topsoil, cultivate  Re-contour subsoil and topsoil, cultivate - Spring thru Fall 2011.",Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SE 2-17-21-W2 Dig 510,Topsoil not replaced evenly - requires re-grading to level out work area and even up topsoil depths Re-grade topsoil to level out work area and even up topsoil depths - Spring thru Fall 2011.,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,SE 2-17-20-W2 Steelman MS,Some soil re-contouring and seeding  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,NE 36-16-20-W2 Belle Plain+45.3km RV,One topsoil stockpile to be cleaned up Cleanup topsoil stockpile - Spring thru Fall 2011,Topsoil salvaged and removed - No further work required,Monitor in 2012,,,
Conversion  Site contours,NW 34-16-18-W2 Richardson Compressor / PS,Minor re-contouring to allow proper water drainage north into bar ditch  Re-contour to allow proper water drainage north into bar ditch - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,NE 23-15-5-W2 MLV 22,Electrical Trench sinkage - requires re-contouring.  Re-contour soil - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,NW 12-15-1-W2  Dig 657.1,Uniformly spread topsoil and re-seed to landowner mix Uniformly spread topsoil and re-seed to landowner mix - Spring thru Fall 2011,Site completed - No further work required,Monitor in 2012,,,
Conversion  Site contours,Sites between  SW 9-20-29 W3M and NW 17-12-14 WPM,Not applicable,42 new sites with minor subsidence from 2011 assessments.,Re-contour subsoil and/or topsoil in 2012 Monitor and include results in Year 3 report.,,,
Conversion  Land levelling,SE 24-10-5-WP Carman Sales M/S,"Spots backfilled over line on new RoW has settled in some spots and water is pooling, topsoil may be require to be brought in to fill these spots, or re grading. Land owners drainage ditch was not contoured back to grade and water is not running through it but pooling in it instead.  Re-contour soil on new RoW, topsoil may be required to be brought in to fill these spots. Re-contour drainage ditch to allow water to move without pooling. - Spring thru Fall 2011",Field was not land levelled in 2011 due to lack of specialized equipment availability.,Land-levelling planned for 2012.   Topsoil import should not be required-land-levelling will correct ditch subsidence and restore drain and field contours.,,,
Conversion  Potential soils mixing-monitor,SE 6-18-29-W2 Digs 288-294,"Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the right-of-way. As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required","Sites assessed prior to seeding, during growing season, before harvest and after harvest. Crop production same as off right-of-way in majority of site, with small locations of slightly more sparse crops. Subsidence observed in 2011 assessments, with most completed.",Complete subsidence repairs in 2012. Continue monitoring crop production in affected areas in 2012,,,
Conversion  Potential soils mixing-monitor,SW 5-18-29-W2 Digs 295-296,Same as above,Same as above,Same as above,,,
Conversion  Potential soils mixing-monitor,"SE 5-18-29-W2 Digs 297, 298.1, 299",Same as above,"Sites assessed prior to seeding, during growing season, before harvest and after harvest. Crop production same as off right-of-way in majority of site, with small locations of slightly more sparse crops.",Continue monitoring crop production in affected areas in 2012,,,
Conversion  Potential soils mixing-monitor,SW 35-17-28-W2 Digs 405-406,Same as above,Same as above,Same as above,,,
Conversion  Potential soils mixing-monitor,SE 33-17-27-W2 Dig 409,Same as above,Same as above,Same as above,,,
Conversion Erosion Control Repair,SW 16-12-13 WPM Dig 1021,Not applicable,2011 assessment indicate erosion control matting requires repair or replacement,Repair or replace erosion control matting covering dig site in 2012,,,
Fence Removal,SW 18-18-8 W3M Dig 149.9.1,Not applicable,2011 assessment indicate temporary barb-wire fencing can be removed,Remove temporary fencing at dig site in 2012,,,
Fence Removal,SW 9-18-6 W3M Dig 187,Not applicable,Same as above,Same as above,,,
Fence Removal,SW 4-18-4 W3M Dig 214,Not applicable,Same as above,Same as above,,,
Conversion  Re-seeding,NE 26-19-24-W3 Dig 20  MLV 3 (22+730.066),Dig site requires re-seeding. Re-seed - Spring thru Fall 2011.,Site completed - No further work required,Monitor in 2012,,,
Conversion  Re-seeding,SW 26-19-23-W3 Dig 21 MLV 4 (1+856.868),Same as above,Site completed - No further work required,Monitor in 2012,,,
Conversion  Re-seeding,SE 25-19-23-W3 Dig 21.1  MLV 4 (4+709),Dig site requires re-seeding.,Site completed - No further work required,Monitor in 2012,,,
Conversion  Re-seeding,23 Sites between NE 36-19-26 W3M and SE 24-10-5 WPM,Not applicable,Facilities and dig sites requiring re-seeding,Monitor in 2012,,,
