Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number(s),Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2011/2012,TERA Observation(s) in 2012,"Repairs to Date (2010, 2011, 2012)",Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
2,SW 30-51-22,14.6,EL4-0044.00,Soils - Subsidence,Severe subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Trench subsidence evident at several locations.,Integrity dig/repair work in progress. Could not access site.,Subsidence repaired and area reseeded in summer 2012.,Unresolved,Monitor in 2013.,,,EDMONTON LOOP
2,SW 30-51-22,14.7 to 15.1,EL4-0044.01,Vegetation - Weeds,Moderate density of Canada thistle and low density of scentless chamomile on construction right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,2012: Moderate weed density on the right-of-way. Preconstruction weed survey lists Canada thistle at a high density.,Integrity dig/repair work in progress. Could not access site. Preconstruction density of Canada thistle indicates this is not an issue related to construction.,--,Resolved,None.,,,EDMONTON LOOP
2,NE 18-51-22,17.2,EL4-0050.00,Vegetation - Weeds,Moderate density of Canada thistle and low density of white cockle on construction right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed  density  and  composition  equal  on  and  off construction right-of-way.  Seeded  desirable  species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
2,NE 18-51-22,17.2 to 17.3,EL4-0050.00,Vegetation - Weeds,Moderate density of Canada thistle and low density of white cockle on construction right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed.,Weed  density  and  composition  equal  on  and  off construction right-of-way.  Seeded  desirable  species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
2,NW 17-51-22,17.5,EL4-0051.00,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence issue repaired in June 2012.,Resolved,None.,,,EDMONTON LOOP
2,NW 17-51-22,17.5,EL4-0051.00,Soils - Contouring,--,--,No profile issue at KP 17.4; water ponding near KP 17.6.,No contouring issues observed on construction right-of-way during ground reconnaissance.,Contouring issue repaired in June 2012.,Resolved,None.,,,EDMONTON LOOP
2,NW 17-51-22,18.0,EL4-0051.00,Vegetation – Weeds,--,--,2011: Canada thistle patches observed on construction right-of-way. 2012: Weed species and densities are comparable and actually much higher off the right-of-way than on.,--,Weeds sprayed summer 2011.,Resolved,None.,,,EDMONTON LOOP
2,SW 17-51-22,18.6 to 18.75,EL4-0052.00,Vegetation - Weeds,High density of hemp-nettle observed on construction right-of-way.,High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,2012: Canada thistle is throughout entire field. Much higher density off right-of-way.,Integrity dig/repair work in progress. Could not access site.,Weeds sprayed in summer 2011.,Resolved,None.,,,EDMONTON LOOP
2,SE 17-51-22,18.75 to 19.0,EL4-0053.01,Vegetation - Weeds,"High density of hemp-nettle, lamb's-quarters, Canada thistle and white cockle observed on construction right-of-way during ground reconnaissance.",High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,2012: This area is a swamp. No weed concerns. Standing water.,Integrity dig/repair work in progress. Could not access site.,Weeds sprayed in summer 2011.,Resolved,None.,,,EDMONTON LOOP
2,SW 9-51-22,20.3,EL4-0056.00,Vegetation - Weeds,High density of Canada thistle and white cockle observed on construction right-of-way.,Moderate density of Canada thistle and white cockle observed on construction right-of-way during ground reconnaissance.,Weeds observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
2,N1/2-4-51-22,21.0 to 23.0,,Vegetation - Weeds,--,--,Moderate to high densities of Canada thistle predominately on old lines.,Weed density and composition equal on and off construction right-of-way.,Canada thistle sprayed in July 2012.,Resolved,None.,,,EDMONTON LOOP
3,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Weeds,"High density of Canada thistle, stinkweed, white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.",High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Access to property not granted.,Reseeded in summer 2011.,Unresolved,Monitor in 2013.,,,EDMONTON LOOP
3,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Establishment,--,Poor alfalfa establishment on hay land on construction right-of-way reported by landowner.,--,Access to property not granted.,Reseeded in summer 2011.,Unresolved,Monitor in 2013.,,,EDMONTON LOOP
3,NW 22-50-22,26.9 to 27.6,EL4-0068.00,Vegetation - Weeds,"High density of stinkweed, lamb's-quarters, hemp-nettle and white cockle on construction right-of-way.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,2011: Weeds observed on the right-of-way. 2012: White cockle Canada thistle present in adjacent bush (off right-of-way). Preconstruction weed survey indicates Canada thistle present on the right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance. Canada thistle spreading onto Line 4 from adjacent Enbridge lines.,Canada thistle sprayed in August 2012.,Resolved,None.,,,EDMONTON LOOP
3,SE 22-50-22,27.8 to 28.8,EL4-0070.00,Vegetation - Weeds,Moderate density of white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.,Moderate density of Canada thistle and low density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,2011: Weeds observed on the right-of-way. 2012: Presence of Canada thistle is similar when compared to other places with trees cleared in this general area. Preconstruction weed survey indicates Canada thistle present on the right-of-way.,Integrity dig/repair work in progress. Could not access site.,Weeds sprayed in summer 2011.,Resolved,None.,,,EDMONTON LOOP
3,NE 15-50-22,28.9 to 29.1,EL4-0071.01,Vegetation - Weeds,--,Moderate to low density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,No evidence of scentless chamomile or Canada thistle in spring 2012.,Weed density and composition equal on and off construction right-of-way.,"Weeds picked in summer 2011, mowed in June and July 2012.",Resolved,None.,,,EDMONTON LOOP
3,NW 14-50-22,29.3 to 29.6,EL4-0073.00,Vegetation - Weeds,--,High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in summer 2011.,Resolved,None.,,,EDMONTON LOOP
3,SW 14-50-22,29.7 to 30.6,EL4-0074.00,Vegetation - Weeds,--,High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,2011: Weeds observed on the right-of-way. 2012: Area disturbed from recent integrity dig. Anything that is undisturbed is resolved. Similar weed presence from undisturbed areas of the right-of-way to off the right-of-way.,Integrity dig/repair work in progress. Unable to assess half of the quarter-section.,Weeds sprayed in summer 2011 and August 2012.,Resolved,None.,,,EDMONTON LOOP
3,NW 11-50-22,30.6 to 31.4,EL4-0075.00,Vegetation - Weeds,"Moderate to high density of white cockle, lamb's-quarters and hemp-nettle on construction right-of-way.",High density of Canada thistle and white cockle observed on construction right-of-way during ground reconnaissance.,Weeds observed on the right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance. No white cockle observed.,Weeds sprayed in August 2012.,Unresolved,Control weeds and monitor in 2013.,,,EDMONTON LOOP
3,NE 36-49-22,34.75 to 35.3,EL4-0083.00,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,EDMONTON LOOP
3,SE 36-49-22,35.3 to 35.4,EL4-0084.00,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,EDMONTON LOOP
3,SW 31-49-21,36.05 to 36.2,EL4-0085.00,Vegetation - Crop growth,--,Reduced crop growth observed on construction right-of-way by Environmental Inspector (EI).,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SW 31-49-21,36.05 to 36.2,EL4-0085.00,Soils - Admixing,--,Severe admixing observed on construction right-of-way by EI.,--,Crop growth equal on and off construction right-of-way.,Incorporated alfalfa pellets and repaired sunken ditch fall 2011.,Resolved,None.,,,EDMONTON LOOP
4,NW 33-48-20,52.05,EL4-0112.00,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,KINGMAN LOOP
4,SW 34-48-20,53.4,EL4-0115.00,Vegetation – Establishment,--,--,2011: Patchy areas of establishment on west side of wetland. 2012: Vegetation establishment of the reseeded portion of the right-of-way is good. Comparable in every way to the surrounding wetland.,--,Broadcast seeded in summer 2011.,Resolved,None.,,,KINGMAN LOOP
5,NW 26-48-20,55.27 to 55.45,EL4-0118.00,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Moderate compaction causing poor crop growth observed on construction right-of-way during ground reconnaissance.,Site graded and disced in November 2011.,Unresolved,"Repair compaction, if warranted and monitor crop growth in 2013.",,,KINGMAN LOOP
5,NW 26-48-20,55.27 to 56.0,EL4-0118.00,Vegetation - Weeds,--,--,--,"Low to moderate densities of wild oats, stinkweed, lamb’s quarters, pineapple weed, perennial sow-thistle and stork’s-bill observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,,KINGMAN LOOP
5,NW 26-48-20,56.0,EL4-0118.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance. Trench is located in a natural low area which follows adjacent contours. No crop growth issues observed.,Site graded and disced in November 2011.,Resolved,None.,,,KINGMAN LOOP
5,NW 20-48-19,60.5 to 60.7,EL4-0142.00,Vegetation - Establishment,--,--,2011: Patchy areas of growth observed on the right-of-way and near wetland. 2012: Very good establishment at reseeded areas. Hayland portion looks great. Uniform crop comparable to surrounding field.,--,Reseeded in summer 2011.,Resolved,None.,,,KINGMAN LOOP
5,NE 19-48-19,60.4,EL4-0125.00,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Minor subsidence (approximately 1 m x 0.15 m x 20 m) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2013.,,,KINGMAN LOOP
5,NE 16-48-19,64.0,EL4-0132.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way by EI.,--,Minor subsidence observed on adjacent pipeline (not Line 4) during ground reconnaissance. Issue communicated to Enbridge.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,SE 14-48-19,C 0 to C 0.2,EL4-0137.00,Vegetation - Weeds,--,--,Landowner complained about weeds on the right-of-way.,"Low to moderate densities of lamb’s quarters, wild buckwheat, shepherd’s purse, pineappleweed and dandelion observed on construction right-of-way during ground reconnaissance.",Weeds mowed by landowner in July 2012.,Unresolved,Control weeds and monitor in 2013.,,,KINGMAN LOOP
5,SE 14-48-19,C 0.2,EL4-0137.00,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,KINGMAN LOOP
5,SW 13-48-19,C 0.4,EL4-0137.01,Soils - Erosion,--,Rill erosion observed on construction right-of-way during ground reconnaissance.,--,Crop established well at this location. No erosion observed.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to C 1.5,EL4-0140.00,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,No vegetation establishment issues observed on construction right-of-way during ground reconnaissance.,Area mowed and reseeded in summer 2011.,Resolved,None.,,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to C 69.4,EL4-0140.00,Vegetation - Weeds,"High density of foxtail barley, lamb's-quarters, narrow-leaved hawk's-beard, green smartweed and common peppergrass observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed densities similar on and off right-of-way. Issue appears resolved.,Weed density and composition equal on and off construction right-of-way.,Weeds mowed summer 2011.,Resolved,None.,,,KINGMAN LOOP
6,SW 7-48-18,69.5 to 70.3,EL4-0142.01,Soils – Subsidence,--,--,Several areas of trench subsidence evident.,No subsidence issues observed on construction right-of-way during ground reconnaissance. Area appears recently repaired and reseeded. Vegetation should be monitored in 2013.,Area repaired by landowner in July 2012.,Resolved,None.,,,KINGMAN LOOP
6,SW 7-48-18,69.5 to 70.3,EL4-0142.01,Vegetation - Establishment,--,--,--,Subsidence issue recently repaired and reseeded. Vegetation not yet established on construction right-of-way.,Subsidence repaired and area reseeded summer 2012.,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
6,NW 5-48-18,71.42,EL4-0145.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, doscing, etc.) appear to have repaired the issue. No crop growth issues observed.",Reseeded August 2011.,Resolved,None.,,,KINGMAN LOOP
6,NW 5-48-18,71.7,EL4-0145.00,Vegetation – Establishment,--,--,2011: Poor vegetation establishment observed on the right-of-way. 2012: The vegetation on the right-of-way at the reseeded area is comparable with the vegetation stand off the right-of-way in the same land use.,--,Mowed and reseeded summer 2011.,Resolved.,None.,,,KINGMAN LOOP
6,NE 5-48-18,72.2 to 72.7,EL4-0146.00,Vegetation - Weeds,"High density of absinthe, pineappleweed and stinkweed observed on construction right-of-way during ground reconnaissance.","Moderate density of shepherd’s-purse, pineappleweed, lamb’s-quarters, stinkweed, narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.",,Weed density and composition equal on and off construction right-of-way.,Reseeded in 2010.,Resolved,None.,,,KINGMAN LOOP
6,NE 5-48-18,72.3 to 72.7,EL4-0146.00,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,MGM Land work list: Landowner concern with vegetation stand in hayland. Landowner would like hay stand looked at after second cut in 2012.,No vegetation establishment issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010 and in summer 2011.,Unresolved,"Reseed, if warranted and monitor in 2013.",,,KINGMAN LOOP
6,SE 5-48-18,73.0,EL4-0147.00,Vegetation – Establishment,--,--,MGM Land issue: Repair work done at drainage across the right-of-way. No vegetation present and weeds starting to take over. Met with landowner in summer 2012 and vegetation is coming in now. Century weed whacked the weeds to allow vegetation a chance to establish.,--,Weeds mowed in 2012.,Unresolved,"Reseed, if warranted and monitor in 2013.",,,KINGMAN LOOP
6,SW 4-48-18,73.1 to 73.3,EL4-0148.00,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment due to cattle observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed.,Moderate vegetation establishment observed on construction right-of-way in pasture during ground reconnaissance.,Weeds sprayed and area seeded in July 2012.,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
6,SW 4-48-18,73.1 to 73.25,EL4-0148.00,Vegetation – Weeds,--,--,Foxtail barley observed on the right-of-way.,--,Weeds sprayed fall 2011.,Unresolved,Control weeds and monitor in 2013.,,,KINGMAN LOOP
6,NW 34-47-18,75.0 to 75.8,EL4-0151.00 EL4-0152.00,Vegetation – Crop Growth,--,--,"Subsidence on the right-of-way repaired in 2011; however, crop growth still affected. Continued monitoring recommended.",--,"Field graded, disced and paratilled in 2011.",Unresolved,Reassess for potential soil issues  in 2013.,,,KINGMAN LOOP
6,NW 25-47-18,78.8 to 79.0,EL4-0157.00,Vegetation - Weeds,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, Canada thistle and scentless chamomile observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, perennial sow-thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",Scentless chamomile beginning to re-establish as of mid-August 2012.,Weed  density  and  composition  equal  on  and  off construction right-of-way.,"Weeds sprayed, baled and disposed in July 2012.",Unresolved,Control weeds and monitor in 2013.,,,KINGMAN LOOP
6,SW 25-47-18,79.0,EL4-0158.00,Vegetation - Weeds,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, Canada thistle and scentless chamomile on construction right-of-way.",High density of foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.,Scentless chamomile beginning to re-establish as of mid-August 2012.,Weed  density  and  composition  equal  on  and  off construction right-of-way.,"Weeds sprayed, baled and disposed in July 2012.",Unresolved,Control weeds and monitor in 2013.,,,KINGMAN LOOP
6,SE 25-47-18,79.7 and 80.6,EL4-0159.00,Vegetation - Weeds,"High density of foxtail barley, scentless chamomile and perennial sow-thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Scentless chamomile observed on the right-of-way.,Weed  density  and  composition  equal  on  and  off construction right-of-way.  No scentless chamomile observed.,Weeds mowed in June 2012 and sprayed in July 2012.,Resolved,None.,,,KINGMAN LOOP
7,NE 19-47-17,82.0 to 82.3,EL4-0162.00,Vegetation - Weeds,--,--,High density of scentless chamomile observed on construction right-of-way in August 2012.,,Scentless chamomile hand-picked in August 2012.,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
7,SW 20-47-17,82.5 to 82.8,EL4-0164.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed. This location of the issue is within a naturally lower area.",--,Resolved,None.,,,KINGMAN LOOP
7,SE 20-47-17,83.5,EL4-0165.00,Vegetation - Weeds,"Moderate density of foxtail barley, scentless chamomile and Russian pigweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Scentless chamomile observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way. Scentless chamomile observed in equal densities off construction right-of-way.,Scentless chamomile hand-picked and spot sprayed in July 2012.,Resolved,None.,,,KINGMAN LOOP
7,NE 17-47-17,84.25,EL4-0166.00,Soils - Subsidence,Issues reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence evident.,No subsidence issues observed on construction right-of-way during ground reconnaissance. Trench follows natural contours. No crop growth issues observed.,Subsidence repaired in 2010 and July 2012.,Resolved,None.,,,KINGMAN LOOP
7,NE 17-47-17,84.25,EL4-0166.00,Vegetation - Weeds,--,--,2011: Scentless chamomile observed at dry wetland location. 2012: No scentless chamomile noted on the right-of-way but a low to moderate presence noted throughout the general area.,--,Scentless chamomile hand-picked in 2011 and July/Aug 2012. Sprayed in July/Aug 2012.,Resolved,None.,,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Crop Growth,Reduced crop growth in low-lying areas throughout quarter observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Construction right-of-way recently cleared possibly due to an integrity dig. No crop present. Crop growth could not be assessed.,--,Unresolved,Monitor crop growth in 2013.,,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Weeds,--,Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,No weeds observed on the right-of-way.,"Construction right-of-way recently cleared. Moderate densities of lamb’s quarters, Canada thistle, scentless chamomile and wild buckwheat observed on construction right-of-way during ground reconnaissance.",Weeds sprayed by landowner in summer 2011. Weeds hand-picked/sprayed in August 2012.,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
7,SW 15-47-17,86.3,EL4-0170.00,Vegetation - Weeds,"Moderate to high density of foxtail barley, narrow-leaved hawk's-beard, common peppergrass and gumweed on construction right-of-way.",Moderate density of narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.,Weed densities similar on and off right-of-way.,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,KINGMAN LOOP
