Environmental Issue / Concern,Location,Status 2010,Status 2011,Status 2012,Status 2013,Status 2014,Status 2015,Status 2016,Status 2017,VEC,GIS,Topic
Weeds,SE-7-39-8-W4,,,•  Canada thistle (4%) and perennial sow thistle (1%) require control.,•  Weed control conducted.,"•  Kentucky bluegrass increased from 4 % to 21%, quack grass decreased from 4% to < 1%, awnless/smooth brome increased from 2% to 4%, monitor site as it is trending to modified. •  Canada thistle (4%) requires control.",•  Weed control not conducted as weed concentrations were equivalent to off- RoW.,"•  Weed concentrations were equivalent to off- RoW, therefore controls were not required. Weed control is considered complete. •  No further monitoring required.","• Landowner expressed concern with site. •  Site visit conducted in September; Canada thistle and perennial sow thistle were spot sprayed.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Weeds,NW-29-37-7-W4,,•,•  Canada thistle and perennial sow thistle (<1% each) require control.,•  Weed control conducted.,"•  Kentucky bluegrass increased from 1% to 15%, awnless/ smooth brome decreased from 2% to < 1%, monitor site as it is trending to modified.   •  Canada thistle (< 1%) requires control.",•  Weed control conducted.,•  Weed control conducted.   • Fall assessment indicated good results. •  Monitoring to be conducted in 2017,"•  Assessed site in May.  Weeds were comparable on and off-site, except for one patch of Canada thistle. •  Canada thistle was spot sprayed in July and September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Weeds,SW-29-37-7-W4,,•,•  Canada thistle and perennial sow thistle (1% each) require control.,•  Weed control conducted,•  Weed control conducted,•  Weed control conducted,•  Weed control conducted.   • Fall assessment indicated good results. •  Monitoring to be conducted in 2017,"•  Assessed site in May.  Weeds were comparable on and off-site. •  Assessed site in July.  Canada thistle was spot sprayed. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Weeds,SE-29-37-7-W4,,•,•  Canada thistle and perennial sow thistle (1% each) require control.,•  Weed control conducted,"•  Kentucky bluegrass increased from 2% to 10%, quack grass decreased from 8% to not recorded along transect, monitor site as it is trending to modified. •  Canada thistle (< 1%) requires control.",•  Weed control was conducted.,"•  Weed concentrations were equivalent to off- RoW, therefore controls were not required. Weed control is considered complete. •  No further monitoring required.","•  While travelling through this quarter section to access another location, it was noted that Canada thistle was an issue.  The weeds were spot sprayed in September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Weeds,SE-5-36-5-W4,,•,•  Canada thistle and perennial sow thistle (1% each) require control.,•  Weed control conducted,"•  Weed control conducted,",•  Weed control conducted.,•  Weed control conducted.  Fall assessment indicated good results. •  Monitoring to be conducted in 2017,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,,,
Weeds,SE-21-35-5-W4,,•,•  Canada thistle and perennial sow thistle (1% each) require control.,•  Weed control conducted.,•  Canada thistle and perennial sow thistle (< 1% each) require control.,•  Assessment indicated no weeds.  No weed control required.,•  Weed control conducted in 2016.  Fall assessment indicated good results. •  Monitoring to be conducted in 2017,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,,,
Weeds,NW-15-35-5-W4,,•,"•  Kentucky bluegrass (3%), smooth brome (2%) and crested wheat grass (1%) present in low amounts; requires monitoring.    •  Canada thistle (3%) and perennial sow thistle (2%) require control.",•  Weed control conducted.,"•  Kentucky bluegrass increased from 3% to 35%, awnless /smooth brome increased from 2% to 4%, crested wheat grass and creeping red fescue not recorded along transect in 2014. •  Canada thistle (4%) requires control.",•  Weed control was conducted based on assessment recommendations.,•  Weed control conducted.  Fall assessment indicated good results. •  Monitoring to be conducted in 2017,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,,,
Weeds,SW-19-33-4-W4,,,•  Canada thistle (1%) requires control.,•  Weed control conducted,•  Canada thistle (< 1%) requires control.,•  Weed control conducted.,•  Weed control conducted.  Fall assessment indicated good results  •  Monitoring to be conducted in 2017,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,,,
Weeds,NW-18-33-4-W4,,,•  Canada thistle (1%) requires control.,•  Weed control conducted.,•  Canada thistle (2%) requires control.,•  Weed control conducted.,•  Weed control conducted.  Fall assessment indicated good results  •  Monitoring to be conducted in 2017,"•  Weeds observed in June were comparable on/offsite, except for Canada thistle. •  Canada thistle was spot sprayed in July and September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Weeds,NE-31-32-4-W4,,,•  Canada thistle (1%) and perennial sow thistle (2%) require control; annual hawksbeard also present.,•  Weed control conducted.,•  Canada thistle (2%) requires control.,•  Weed control conducted.,•  Weed control conducted.  Fall assessment indicated good results  •  Monitoring to be conducted in 2017,"•  Assessed site in June.  Weeds comparable on/offsite except for Canada thistle. •  Assessed in July; spot sprayed Canada thistle. •  Assessed site in September.  Weeds observed were comparable on/offsite, except for Canada thistle and perennial sow thistle.  Canada thistle observed throughout the tract; one patch of sow thistle.   Canada thistle and perennial sow thistle were spot sprayed in September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
