Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor. - Good vegetation cover on ditch line. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.",,,
,Forested Rare Plant (5+000),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended.  Issue resolved.",,,
,Forested Rare Plant (5+200),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at pre-disturbance locations or at transplant location. Mitigation measures taken during construction effectively maintained habitat conditions similar to pre-disturbance conditions. Further monitoring at this site is not recommended. Issue resolved.",,,
D 029 J/094 I 11 to  C 028 J/094 I 11,Forested Rare Plant (5+000 to 5+600),"Due to the change in conservation priority status for western Jacob’s-ladder in BC, no monitoring was warranted for this species in 2014. Issue resolved.",,,,
D 029 J/094 I 11 to  C 028 J/094 I 11,Broad-leaf Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present such as sedge, berry bushes and willow species continue to re-establish.  - Poplar saplings as tall as 7.0 feet. - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning.  - Wetland functional, issue resolved.",,,
C-028-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"June 21, 2016 - Vegetation is well established throughout ROW.  July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
C-028-J/094-I-11,Forested Rare Plant (5+500),14 purple-stemmed aster’s were observed. Issue resolved.,,,,
C-028-J/094-I-11,Forested Rare Plant (5+500),No saxifrage species were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended.  Issue resolved.",,,
C-028-J/094-I-11,Forested Rare Plant (5+500),100 to 150 slender mannagrass were observed. Issue resolved.,,,,
,Forested Rare Plant (5+600),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended.  Issue resolved.",,,
D-028-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"June 21, 2016 - Vegetation is well established throughout ROW.  - KP 5+700 perennial sow thistle present, adjacent to road crossing July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. Low vegetation establishment noted in 2014 (KP 5+600 to 5+800) is no longer present, issue resolved. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 5+700 - Fixed sign and marker post on east side of road crossing.  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D-028-J/094-I-11,Forested Low Vegetation Establishment,Low vegetation establishment observed on both sides of road crossing. (5+600 to 5+800),"June 21, 2016 - Vegetation is well established throughout ROW.  - KP 5+700 perennial sow thistle present, adjacent to road crossing July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. Low vegetation establishment noted in 2014 (KP 5+600 to 5+800) is no longer present, issue resolved. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 5+700 - Fixed sign and marker post on east side of road crossing.  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D-028-J/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.",,,
C-027-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
B-027-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
B-027-J/094-I-11 to A-027-J/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging with moderate density.  - Grass species and density comparable to adjacent land. - Wetland functional, issue resolved.",,,
A-027-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
B-026-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
A-026-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract",,,
A-026-J/094-I-11,Unnamed drainage to Kyklo Creek (7+400) Moderate/High Vegetation Establishment,Vegetation has established well at this watercourse. No erosion issues were observed. Silt fencing removed in November 2014. Monitor vegetation establishment in 2015. Ensure banks remain stable and no erosion is occurring.,"June 21, 2016 - unnamed drainage to Kyklo creek, large wetland complex located at crossing. - Drainage functioning well. July 26, 2016 - Vegetation, soils and hydrology are stable and functional.",,,
A-026-J/094-I-11 to B-025-J/094-I-11,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Large wetland basin with open water and channeling. Hydrology maintained throughout. - Emergent and sub-emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Wetland functional, issue resolved",,,
B-025-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Herbicide application conducted at KP 7+800 to control perennial sow thistle throughout tract",,,
B-025-J/094-I-11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Large wetland basin with open water and channeling. Hydrology maintained throughout. - Emergent and sub-emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Wetland functional, issue resolved.",,,
B-025-J/094-I-11 to A-025-J/094-I-11,Broad-Leaf Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Large wetland basin with open water and channeling. Hydrology maintained throughout. - Emergent and sub-emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Wetland functional, issue resolved.",,,
A-025-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Herbicide application conducted at KP 7+800 to control perennial sow thistle throughout tract",,,
A-025-J/094-I-11 to B-024-J/094-I-11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.",,,
B-024-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
B-024-J/094-I-11 to A-024-J/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation within wetland.  - Spruce saplings establishing throughout. - Wetland functional, issue resolved.",,,
A-024-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
A-024-J/094-I-11 to B-023-J/094-I-11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.",,,
