Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Treed fen,"September 18, 2014 - Wetland located from KP 16+300 to KP 16+520 is holding water, contains emergent riparian vegetation and appears functional. - Margins of the wetland are dry, likely due to the small size of wetland complexes and time of year.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 19, 2015 - 70-80% vegetation established compared to off ROW. - Treed Bog located between KP 16+300 and KP 16+520 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional.  Issue resolved.","Sept 25, 2016 - Treed bog located between KP 16+300 and KP 16+520. - Emergent riparian vegetation present throughout wetland. - Wetland functional.  Issue resolved.","July 27, 2017 - Treed Fen on ROW from KP 16+300 to 16+520 appears to be at full, proper functionality. Wetland on ROW is part of transition zone from upslope deciduous landscape to the east to low-lying spruce landscape to the west. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and broadleaf shrubs. Hydrophytic species emerging throughout. Black spruce and tamarack emerging throughout wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through moderate moisture holding capacity and uniform vegetation growth throughout wetland. Slight peat accumulation in top layer of substrate throughout wetland was identified. - Wetland exhibiting semi-saturated conditions due to elevated water table. Intermittent localized areas of standing surface water acting as habitat microsites. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
94P-4-H9,Low vegetation establishment,"September 18, 2014 - Predominate species is sweet clover (85% cover over ROW).  2013 vegetation issue resolved.","June 19, 2015 - Vegetation on ROW appears to be 80-85% comparable to off ROW control. - Patch of perennial sow thistle on ROW at KP 17+200. Recommend herbicide application. - Roach appears stable and is well vegetated predominantly with sweet clover; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - Herbicide application conducted at KP 17+200 and 17+500 to control perennial sow thistle.  September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. Small conifers were also noted throughout the ROW at intervals.  2014 vegetation composition issue resolved. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - Rollback within tract is functioning well as no foreign activity is evident. - No erosion or subsidence issues. September 25, 2016 - KP 17+200, 17+500, 17+550 – herbicide application to control perennial sow thistle on ditch line. - Vegetation continues to establish, exhibiting good growth. No issues","July 27, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - KP 17+050 to 17+100 – Perennial sow thistle observed, recommend herbicide application. - Cross drains are vegetated and functioning.  - No soil stability issues.  July 29, 2017 - KP 17+050 to 17+100 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 29, 2017 – KP 16+900 to 17+400 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
,Watercourse crossing: unnamed tributary to Courvoisier Creek,"September 18, 2014 - silt fence can be removed at KP 16+650, no other issues October 3, 2014 – silt fencing removed. Issue resolved.","June 19, 2015 - Watercourse at KP 16+700 appears to be dammed up by beaver activity downstream causing a secondary channel north of crossing. Majority of revetment posts are underwater at this time but appear to be functional. Banks are well vegetated with grasses and deciduous species’. Amphibious life present. Slow water flow. Continue to monitor. - Creek at KP 17+130 appears to be stable with good vegetation establishing on both banks. Bed appears stable with moderate flow. Revetment posts appear to be functioning well at this time. Recommend removal of silt fence on both banks. July 15, 2015 - Silt fence was removed and steel pegs were removed from straw waddles at creek crossing at KP 17+130.  Issue resolved. September 23, 2015 - Northern tributary located at KP 16+700 appeared to be stable. Banks were well vegetated and no erosion or slumping was observed.  Water flow has been blocked by a large beaver dam; this has caused pooling across the ROW however it did not appear that construction activities had impacted the flow of water.  - Southern tributary located at 17+130 appeared to be stable. Banks were well vegetated and medium sized to large willows where found growing throughout the area. Plastic netted straw waddles were collected from northern bank of southern tributary (KP 17+130) and removed from location as the soils in the area appeared to be stable with well-established vegetation including deeply rooted willows and trees.","July 21, 2016 - Tributary KP 16+700 – banks are vegetated, slow moving due to beaver dam downstream. No issues. - Tributary KP 17+200- excellent vegetation within riparian area.  September 25, 2016 - 17+100 – Straightened and secured marker posts and signage.","July 27, 2017 - Tributary KP 16+800 – banks are vegetated, slow moving due to beaver dam downstream. No issues. - Tributary KP 17+200- excellent vegetation within riparian area.",,,
,"Rare Plant - western Jacob's ladder (S4) – KP 16+700 On August 24, 2013, rare plant specialists visited the location and observed 1 plant. Resolved: No further rare plant monitoring is recommended.",,,,,,,
94P-4-A99,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species. 2013 vegetation issue resolved.","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Patch of perennial sow thistle present on ROW at KP 17+720 and KP 18+020. Recommend herbicide application. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015 - Herbicide application conducted at KP 17+720 and 18+020 to control perennial sow thistle.  September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows observed throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Previous herbicide application appears successful, no noxious or prohibited noxious weeds were observed in the vicinity of the herbicide application.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. September 25, 2016 - KP 17+700, 18+000, 18+150 – Herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues","July 27, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - Perennial sow thistle observed intermittently, recommend herbicide application. - Cross drains are vegetated and functioning.  - No soil stability issues.  - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. July 29, 2017 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 29, 2017 – KP 18+200, 18+450, and 18+600 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
94P-4-A98,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 75% cover, no issues.  2013 vegetation issue resolved.","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout.  - Native vegetation was observed growing under high concentrations of sweet clover. - Soils appeared stable with no apparent subsidence, erosion or contour issues.    - No integrity concerns were noted. - Scentless chamomile were observed along the ditch line, recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established within tract compared to off ROW. - Scentless Chamomile and Perennial Sow Thistle observed between KP 18+700 and KP 18+800, primarily along ditchline. Herbicide application conducted to control. September 26, 2016 - Previous herbicide application appears to have effectively controlled scentless chamomile and perennial sow thistle. - Herbicide application conducted to control perennial sow thistle on south side of road crossing.  - Vegetation continues to establish, exhibiting good growth. No issues.","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - Perennial sow thistle observed intermittently, recommend herbicide application. - Cross drains are vegetated and functioning.  - No soil stability issues.  Caribou Habitat Restoration Location - Bored road crossing at KP 18+640 showing good establishment of deciduous trees exceeding 2m in height providing good line of sight barrier. Slightly less tree density on north side of road crossing but vegetation successfully controlling line of sight. July 29, 2017 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 29, 2017 – KP 18+620 and 18+700 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
94P-4-A88,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 75% cover.  2013 vegetation issue resolved. Scentless Chamomile was observed at KP 18+850 approx.12 plants already set seed. October 2, 2014 Repaired subsided area utilizing soils from ROW and hand tools.  Issue resolved.","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. - Patch of scentless chamomile at KP 18+810. Recommend herbicide application. - Minor subsidence evident south of road crossing at KP 18+640. Previous years repair has induced vegetation establishment. Ponding of water evident. Continue to monitor. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident along tract. July 15, 2015 - Herbicide application conducted at KP 18+810 and 18+850 to control scentless chamomile and perennial sow thistle.  September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Native vegetation was observed growing under high concentrations of sweet clover. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Scentless chamomile were observed along the ditch line, recommend assessment and control next growing season. - Previous herbicide application appears successful, no noxious or prohibited noxious weeds were observed in the vicinity of the herbicide application.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Scentless chamomile observed in patches at KP 18+820 to KP 18+920 and KP 19+070, and perennial sow thistle was noted at KP 19+350, primarily along ditchline.  Intermittent herbicide application conducted to control. September 26, 2016 - Previous herbicide appears to have effectively controlled the majority of the scentless chamomile and perennial sow thistle. - KP 18+770 to 18+870 – intermittent herbicide application conducted to control scentless chamomile. - Vegetation continues to establish, exhibiting good growth. No issues. - Subsidence repair vegetation issue noted in 2015 is no longer evident, issue resolved.","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - KP 18+850 – 18+950 – Intermittent scentless chamomile observed, recommend herbicide application. - Cross drains are full vegetated.  - No soil stability issues.  July 29, 2017 – KP 18+850 to 18+950 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. September 29, 2017 – KP 19+200 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
94P-4-A87,High vegetation establishment,"September 18, 2014 - No issues","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. September 23, 2015 - Minor subsidence was noted along the ditch line at KP 21+500,  appeared to be stable with no cracks or other indications of continued movement, not affecting land us, hand probe found approximately 120cm of cover. - Remaining soils throughout the tract appeared to be stable. No erosion or additional subsidence was observed.  - Scentless chamomile were observed along the ditch line. Recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Scentless Chamomile observed at KP 19+650, KP 19+800, KP 20+020 to KP 20+050, and 20+250, primarily along ditchline.  Intermittent herbicide application conducted to control September 26, 2016 - KP 19+550 and 20+150 – herbicide application conducted to control perennial sow thistle. - KP 19+700 – herbicide application conducted to control scentless chamomile. - Vegetation continues to establish, exhibiting good growth. No issues","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - Perennial sow thistle (KP 19+540 and 19+860) and scentless chamomile (KP 19+980) observed, recommend herbicide control. - Cross drains are full vegetated.  - No soil stability issues.  July 29, 2017 – Herbicide application conducted to control perennial sow thistle (KP 19+540 and 19+860) and scentless chamomile (KP 19+980).  Issue resolved. September 29, 2017 – KP 19+540, 20+150, and 20+250 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
94P-4-A77,High vegetation establishment,"September 18, 2014 - No issues","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. September 23, 2015 - Soils appeared to be stable. No erosion or additional subsidence was observed.  - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Perennial sow thistle plants observed intermittently, primarily along ditchline.  Herbicide application conducted to control. September 26, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of willows, alders and poplar species varying in height across ROW.  - No noxious weeds identified.   - Cross drains are full vegetated.  - No soil stability issues.  September 29, 2017 - No noxious weeds were identified in tract.  All previous issues resolved.",,,
94P-4-A76,Invasive species,"September 18, 2014 - Predominate species is sweet clover (90% cover over ROW), no other issues.","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’.  2013, invasive species, and 2014 vegetation composition issue resolved. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Drainage located at KP21+361 appeared to be stable. Wetland vegetation growth throughout drainage appears to have stabilized soils in the area, no erosion was noted.  - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Scentless Chamomile plants observed at KP 20+800, primarily along ditchline.  Herbicide application conducted to control. September 26, 2016 - KP 20+340 and 20+750 – herbicide applied to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of willows, alders and poplar species varying in height across ROW.  - No noxious weeds identified.   - Cross drains are full vegetated.  - No soil stability issues.  - Tributary– banks stable, no issues.  September 29, 2017 - No noxious weeds were identified in tract.  All previous issues resolved.",,,
94P-4-A66,Invasive species,"September 18, 2014 - Predominate species is sweet clover (90% cover over ROW), no other issues","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. 2013, invasive species, and 2014 vegetation composition issue resolved. - Patch of scentless chamomile present on ROW at KP 22+000.  Recommend herbicide application. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015 - Herbicide application conducted at KP 22+000 to control scentless chamomile. All flowered plants were handpicked, bagged and removed from ROW before spraying was conducted. September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Common burdock and scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","September 26, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues - Scentless chamomile and common burdock note in 2015 is no longer evident within tract, issue resolved.","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of willows, alders and poplar species varying in height across ROW.  - No noxious weeds identified.   - Cross drains are full vegetated.  - No soil stability issues.  - Tributary KP 12+500– banks are well-vegetated, no issues.  Caribou Habitat Restoration Location - Vegetation continuing to establish well from KP 21+600 to 21+760 in low-impact construction area providing effective line of sight barrier. Poplar and alder trees exceeding 1m in height with broadleaf shrubs emerging throughout area. September 29, 2017 – KP 21+350, 21+780, and 22+100 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
94P-4-A66,"Rare Plant - western Jacob's ladder (S4) – KP 22+200 to 22+900 On August 23, 2013, rare plant specialists visited the location and observed more than 50 plants. Resolved: No further monitoring is recommended.",,,,,,,
94P-4-A57,Moderate vegetation establishment,"September 18, 2014 - Predominate species is sweet clover (90% cover over ROW), no other issues.  2013 vegetation issue resolved.","June 19, 2015 - Vegetation on ROW appears to be 90-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover likely attributed to a high density of mulch. Good variety of native species consisting of native grasses, shrubs and deciduous species’.  2014 vegetation composition issue resolved. - Scentless chamomile patch present at KP 23+230. Recommend herbicide application.  - Roach appears stable with some areas exhibiting thinner vegetation establishment; cross drains appear to be functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 22+830 were handpicked, bagged and removed from ROW. - Herbicide application conducted at KP 23+230 to control scentless chamomile. All flowered plants were handpicked, bagged and removed from ROW. September 23, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","July 22, 2016 - 80-90% vegetation established compared to off ROW. - Scentless Chamomile observed at KP 22+930 to KP 22+950, KP 23+130, and KP 22+630 (perennial sow thistle also present), primarily along ditchline.  Intermittent herbicide application conducted to control. - Unnamed tributary to Sahtaneh River located at KP 23+250 banks have sloughed behind the revetments installed along ditchline. - Banks are well vegetated, but some of the material has settled between the revetments inside the channel, not affecting watercourse.  No work required, at this time, issue resolved. September 26, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issue.","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  2015 issue of patches of thinner vegetation is resolved.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - No noxious weeds identified.   - Cross drains are full vegetated.  - KP 23+250 - Unnamed tributary to Sahtaneh River – Banks are stabilized and fully vegetated, stream has flow.  - No soil stability issues.  - Rollback present in tract from KP 22+500 to 22+750 acting as access control and erosion control within forested area. Rollback appears to be effective as no third party traffic or erosion was observed within area. Caribou Habitat Restoration Location - Vegetation continuing to establish well from KP 22+700 to 22+800 in low-impact construction area providing effective line of sight barrier. Poplar and alder trees exceeding 2m in height with broadleaf shrubs emerging throughout area. - Re-vegetation in riparian zone on both banks of watercourse 10 (KP 23+250 to 23+290) providing good line of sight barrier. Tree species exceeding 2m in height. September 29, 2017 – KP 22+680 and 22+840 – Herbicide application conducted to perennial sow thistle.  Issue resolved.",,,
,Treed bog,"September 18, 2014 - Wetland located from KP 23+000 to KP 23+240 was dry, likely due to time of year of assessment.  - Slow re-vegetation of emergent riparian species present within wetland. - Cross-drains installed along ditchline appear functional during wet season.","June 19, 2015 - 70-80% vegetation established compared to off ROW. - Treed Fen located between KP 23+000 and Kp 23+240 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional.  Issue resolved. - Bare patches of peat and mulch present along ROW.","Sept 26, 2016 - Treed bog located between KP 23+000 and KP 23+420. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland functional. Issue resolved.","July 28, 2017 - Treed Bog on ROW from KP 23+000 to 23+240 appears to be at full, proper functionality.  - Vegetation establishment within wetland showing 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, black spruce, pine, Labrador tea, buck brush and sphagnum mosses. Hydrophytic species identified including algal growth within standing water areas. - Trench crown present through wetland with sufficient cross drains to allow for hydrology to be maintained. No subsidence or erosional issues identified. - Substrate appears stable throughout wetland via very high moisture holding capacity and uniform growth of vegetation. Peat depth in wetland exceeding 40cm; mottling occurring. - Wetland exhibiting semi-fully saturated conditions as a result of an elevated water table. Intermittent localized standing pouches of water present throughout wetland acting as habitat microsites. - Wetland providing good habitat opportunities for wildlife; amphibians and birds observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed.",,,
,"Rare plant - Iowa golden saxifrage (S2S3) – KP 22+900 On August 23, 2013, rare plant specialists visited the location and no plants were observed. Unresolved: Recommend further monitoring in 2015 after rare plants have had sufficient time to re-establish.","September 4, 2014 - Target species not observed.  Post-construction contours on the ROW are similar to off ROW conditions indicating that proposed mitigation measures were followed during construction. However, post-construction habitat on the ROW is currently unlikely to support a population of golden saxifrage as a result of the lack of shrub and tree cover to provide the associated shady sites with wet to moist soil conditions.  Necessary habitat characteristics to support this species. Resolved.  No further monitoring is recommended",,,,,,
,"Rare Plant - European water hemlock (S2S3) – KP 23+200 On August 23, 2013, rare plant specialists visited the location and observed 3 plants. Resolved: No further monitoring is recommended.",,,,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 23+200 On August 23, 2013, rare plant specialists visited the location and observed approximately 10 plants. Resolved: No further monitoring is recommended.",,,,,,,
,"Rare plant - Iowa golden saxifrage (S2S3) – KP 23+200 On August 23, 2013, rare plant specialists visited the location and observed approximately 10 plants. Resolved: No further monitoring is recommended.",,,,,,,
94P-4-A56,Moderate vegetation establishment,,"June 19, 2015 - Vegetation on ROW appears to be 80-90% comparable to off ROW control. Vegetation predominantly wetland species’.  2013 vegetation issue resolved. - Scentless chamomile present south of creek crossing at KP 23+330. Recommend handpicking weeds. - Roach appears stable with some areas exhibiting thinner vegetation establishment; cross drains appear to be functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015 - All scentless chamomile plants found within wetland area at KP 23+330 were handpicked, bagged and removed from ROW. September 23, 2015 - Foreign winter access road did not appear to be impacted by ROW.  - ROW did not appear to be impacted by Foreign winter construction.","July 22, 2016 - 80-90% vegetation established compared to off ROW. - Scentless Chamomile observed at KP 23+400, primarily along ditchline.  Intermittent herbicide application conducted to control. September 26, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issue.","July 28, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - No noxious weeds identified.   - Cross drains are vegetated and functioning.  - No soil stability issues.  Caribou Habitat Restoration Location - Vegetation continuing to establish well from KP 23+350 to 23+400 in low-impact construction area acting as effective line of sight barrier. Tree species in area exceeding 2m in height.  September 29, 2017 - No noxious weeds were identified in tract.  All previous issues resolved.",,,
94P-4-A56,Watercourse crossing: unnamed tributary to Sahtaneh River,"September 18, 2014 - No issues with water crossing in good shape, silt fence can be removed. October2, 2014 – silt fencing removed.  Issue resolved.","June 19, 2015 - Creek crossing at KP 23+300 appears stable with both banks exhibiting good vegetation growth and willows beginning to flourish. Bed appears stable with a slow flow. Water has settled beyond revetment posts but continue to be functioning well. September 23, 2015 - Tributary located at KP23+253 appeared to be stable. Banks were well vegetated with willows and trees growing throughout the immediate area.",,,,,
,Treed fen,"Wetland located from KP 23+320 to KP 26+450 is holding water, contains emergent riparian vegetation and appears functional.  - Cross-drains installed along ditchline are functional and are allowing water to drain across ROW. Recommend potential cross drain alteration at 23+600 to allow water to drain across ROW.","June 19, 2015 - Treed Fen located between KP 23+320 and KP 26+450 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional. Issue resolved. - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.  - Bare patches of peat and mulch present along ROW. - Marker posts and cathodic cable signs are almost fully submerged at road crossing located at KP 24+250 due to ponded water on ditchline.","Sept 26, 2016 - Treed fen located between KP 23+320 and KP 26+450. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland functional.  Issue resolved.","July 28, 2017 - Treed Fen on ROW from KP 23+320 to 26+450 appears to be at full, proper functionality. Wetland exhibiting different levels of hydrology resulting in varying vegetation composition throughout. - Vegetation establishment within wetland showing 80-100% cover compared to off ROW control. KP 23+320 to 25+400 exhibiting semi-saturated conditions with spruce, willow, buck brush and sphagnum mosses as the dominant vegetation. KP 25+400 to 25+800 exhibiting fully-saturated conditions with emergent herbaceous graminoids as the dominant vegetation. KP 25+900 to 26+450 existing on slightly upslope terrain with water table further down below surface resulting in hardwood deciduous species such as poplar and alder as the dominant species. Sweet clover present throughout entire wetland and will be outcompeted by native vegetation through natural succession over time. All vegetation types within wetland compare to off ROW conditions.  - Trench crown present through wetland with sufficient cross drains to allow for hydrology to be maintained. No subsidence or erosional issues identified. - Substrate appears stable throughout wetland via very moderate-high moisture holding capacity, comparing to off ROW conditions, and uniform growth of vegetation. Peat depth exceeding 40cm depth in areas of wetland with mottling and gleying occurring throughout. - Wetland exhibiting alternating levels of saturation that compare with off ROW conditions. - Wetland providing good habitat opportunities for wildlife; amphibians and birds observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed.",,,
94P-4-A46,Moderate vegetation establishment,"September 18, 2014 - No issues, good re-establishment of forbs, shrubs and woody species.  2013 vegetation issue resolved.","June 19, 2015 - Vegetation on ROW appears to be 80-90% comparable to off ROW control. Vegetation predominantly wetland species’. - No weed issues evident in tract; majority of tract in wetland. - Roach appears stable showing good vegetation growth and cross drains functioning well - No subsidence or erosional issues evident within tract. September 24, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. Black spruce seedlings were observed throughout the ROW - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Foreign road crossing appeared to be stable. Foreign operations did not appear to have any detrimental effect to the TCPL ROW. No Noxious or prohibited noxious weeds were observed.","July 22, 2016 - 80-90% vegetation established compared to off ROW. - Perennial Sow Thistle observed at KP 24+050, primarily along ditchline.  Herbicide application conducted to control. September 26, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issue.","July 28, 2017 - KP 24+380 to 25+300 – Intermittent perennial sow thistle (KP 24+380 to 25+300) and scentless chamomile (KP 25+350 to 26+450) observed.  Recommend weed control  July 29, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 24+380 to 25+300) and scentless chamomile (KP 25+350 to 26+450).  Issue resolved. September 29, 2017 – KP 23+950 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
