Legal Location (W6M),Land Use,2013 Issue(s),2013 Notes,2013 CH2M Recommendation(s),2014 CH2M/Pembina Observations and Recommendations,2014 Status of Landowner Issues and Concerns,2015 Status of Landowner Issues and Concerns,2015 CH2M Observations and Comments,2015 CH2M Recommendations,2017 Status of Landowner Issues and Concerns,2017 CH2M Observations and Comments,2017 CH2M Recommendations,VEC,GIS,Topic
SW 16-83-16 (cont’d),See above,Vegetation - Establishment,--,--,--,--,August/October 2015: See comments above.,Low vegetation density was observed within the entire length of pasture from KP 4.93 to KP 5.40.,"Additional seeding is recommended along the RoW in this quarter-section. Monitor any reseeding efforts in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July 2017. Landowner comments: Pembina is dealing with sloughing on the hills and other rough areas.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor vegetation establishment in 2018. Confirm with landowner the location of sloughing and rough terrain.,,,
SE 16-83-16,Forested,Landscape - Erosion,--,--,--,--,June 8 - Pembina advised landowner that these lands will need to be used for access purposes to adjacent lands to complete PCEM. Contacted landowner and obtained permission to access lands. June 4 - Pembina advised that there will be no inspections taking place on the quarter-sections where no issues were observed in 2013.,No existing issues. Quarter-section not assessed.,None.,Landowner was contacted in July 2017. Landowner comments: There is an exposed plug and erosion on the hill by the road. In discussions with Pembina to conduct repair work.,"The exposed plug and erosion along the side of the hill has been repaired. Both issues were noted as being at NE 16 83 16; however, crew members on the RoW were able to speak with the landowners. The issue was further west at SE 16-83-16, by the side of the rode. They are happy with the repairs and have no other concerns.",Issue resolved. No recommendations.,,,
NE 16-83-16 (West/south side of Beatton River),Pasture/Hay,Vegetation - Weeds,"Weed issue observed from KP 6.45 to KP 6.80. Low densities of dandelion, Bicknell’s geranium, lamb’s-quarters, Canada thistle, shepherd’s-purse, and common plantain observed.",Monitor in 2014.,--,Landowner compensated to control weeds. Re-assess during the third-year PCEM program in 2015.,"Contacted landowner in the spring to discuss the upcoming rROW inspection by CH2M. June 9, 2015 Landowner contacted Pembina regarding compensation for access to inspect some monitoring equipment on his land. Landowner comments: No concerns.",Crew was unable to assess this quarter-section due to unsafe access. The steep slope heading east down to the river (starting near KP 5.40) is covered in a high amount of rollback.,Assess during the fifth year of the PCEM program in 2017.,--,Density and distribution of weeds observed were equal on and off the RoW. Excellent hay establishment. Crew members on the RoW were able to speak with the landowners. They are happy with the repairs and have no other concerns.,Issue resolved. No recommendations.,,,
NE 16-83-16 (West/south side of Beatton River),Pasture/Hay,Landscape - Soil Heaving/Erosion,--,--,--,--,"May 10 - Landowner contacted Pembina to notify of erosion issue at NE 16. Pembina indicated that a site topographical survey and site repair will be completed in 2016, as per Montane observations and recommendations.",Field crews did not assess area due to safety concerns. Montane observed exposure of a ditch plug due to a surface heave and an area of ponded water west of the ditch plug near the access road.,"Repair ditch plug and surface/subsurface drainage, reseed, and monitor area until stable. The ditch plug should be fully exposed and replaced in whole or part. Monitor any reseeding efforts in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July 2017. Landowner comments: There is an exposed plug and erosion on the hill by the road. In discussions with Pembina to conduct repair work.,"The exposed plug has been repaired. The issue was noted as being at NE 16 83 16; however, crew members on the RoW were able to speak with the landowners. The issue was further west at SE 16-83-16, by the side of the rode. They are happy with the repairs and have no other concerns.",Issue resolved. No recommendations.,,,
NE 16-83-16 (East/north side of Beatton River),Pasture,Vegetation - Weeds,"Moderate densities of stinkweed, annual hawk’s-beard, and flixweed observed. Grasses at this location are beginning to establish well and will likely out-compete weeds.",Monitor in 2014.,--,"Landowner compensated to control weeds. Will monitor in 2015, during the third-year PCEM program.",Landowner comments: No concerns.,This weed issue was a result of the lack of vegetation established in previous years. Vegetation establishment is now high and weeds are no longer a concern.,Issues resolved. No recommendations.,--,--,--,,,
NE 16-83-16 (East/north side of Beatton River),Pasture,Vegetation - Weeds,Weed issue observed from KP 7.3 to KP 7.4 (west edge of trees adjacent to the river to the toe of the slope). High density of stinkweed observed.,Control weeds and monitor in 2014.,--,"Landowner compensated to control weeds. Will monitor in 2015, during the third-year PCEM program.",Landowner comments: No concerns.,This weed issue was a result of the lack of vegetation established in previous years. Vegetation establishment is now high and weeds are no longer a concern.,Issues resolved. No recommendations.,--,--,--,,,
NE 16-83-16 (East/north side of Beatton River),Pasture,Vegetation - Establishment,Establishment issue observed from KP 7.3 to KP 7.4. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. A high amount of bare soil observed. No soil issues observed.,Reseed and monitor in 2014.,Unable to determine if vegetation observed from the helicopter was desirable or weed species. Continue to monitor vegetation establishment during the third-year PCEM.,"RoW was mowed and reseeded in August 2014, as per landowner request. Landowner was compensated to conduct work. Re-assess during the third-year PCEM program in 2015.",Landowner comments: No concerns.,Vegetation establishment similar to off the RoW. No bare soils observed or weed issues.,Issues resolved. No recommendations.,--,--,--,,,
SE 21-83-16 (Eastern slope),Pasture/Forested,Vegetation - Weeds,"Weed issue observed from KP 8.11 to KP 8.41. Moderate densities of flixweed and annual hawk’s-beard observed. High densities of stinkweed, lamb’s-quarters, and wild buckwheat observed.",Control weeds and monitor in 2014.,--,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss upcoming the RoW inspection by CH2M. Landowner comments: No concerns or issues. August 2015: Landowner requested copy of environmental report. Report was received in October 2015.,"No weeds observed. Vegetation is very well-established (high density observed, with small patches of moderate density) along the entire slope. Excellent canopy cover observed and slopes appear very stable.",Issues resolved. No recommendations.,--,--,--,,,
NE 21-83-16,Cultivated/Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of dandelion and annual hawk’s-beard observed. Moderate densities of stinkweed, wild buckwheat, and lamb’s-quarters observed.",Control weeds and monitor in 2014.,--,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August 2015: Landowner requested copy of environmental report. Report was received in October 2015.,This area has been cultivated and seeded to a cereal species. No weed issues were observed.,Issue resolved. No recommendations.,--,--,--,,,
NE 21-83-16,Cultivated/Forested,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The land use is now cultivated. No issues with crop establishment. Continue to monitor crop growth during the third-year PCEM to ensure that it is comparable to off the RoW crop growth.,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August/October 2015: see comments above.,This area has been cultivated and seeded to a cereal species. No crop issues were observed.,Issue resolved. No recommendations.,--,--,--,,,
NW 22-83-16,Cultivated/Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of hemp nettle, dandelion, and bluebur observed. Moderate densities of wild buckwheat and stinkweed observed.",Control weeds and monitor in 2014.,--,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request cleanup of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush (see NE 22 and NW 21 for additional comments). August 2015: Landowner requested copy of environmental report. Report was received in October 2015.",This area has been cultivated and seeded to a cereal species. No weed issues were observed.,Issue resolved. No recommendations.,--,--,--,,,
NW 22-83-16 (cont’d),See above,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The land use is now cultivated. No issues with crop establishment. Continue to monitor crop growth during the third-year PCEM to ensure that it is comparable to off the RoW crop growth.,Re-assess during the third-year PCEM program in 2015.,See above,This area has been cultivated and seeded to a cereal species. No crop issues were observed.,Issue resolved. No recommendations.,--,--,--,,,
NW 22-83-16 (cont’d),See above,Soil - Topsoil depth,Admixing issue observed at KP 9.18. Subsoil is present with no topsoil cover. Affected area is approximately 30 m x 30 m x 20 m.,Source and add clean topsoil or redistribute topsoil more evenly in the area. Monitor in 2014.,Crop growth was not observed to be an issue; soils were not assessed. Continue to monitor crop growth during the third-year PCEM.,Re-assess during the third-year PCEM program in 2015.,See above,"One small area (20 m x 20 m) was observed where topsoil depth was not equal to off the RoW; however, the growth stage and height of the crop was observed as being equal both on and off the RoW (that is, crop not affected).",Issue resolved. No recommendations.,--,--,--,,,
NE 22-83-16,Pasture/Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of flixweed, dandelion, hemp nettle, common horsetail, Canada thistle, maple-leaved goosefoot, annual sow-thistle, perennial sow-thistle, Bicknell’s geranium, and common plantain observed. Moderate densities of lamb’s-quarters, annual hawk’s-beard, and stinkweed observed.",Control weeds and monitor in 2014.,--,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request clean-up of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush. The roots were not cleaned up on the RoW and the landowner is not able to work or seed crop. Would like Pembina to address possible cleanup. Issue exists from approximately KP 9.90 to KP 11.00 (at NE 22 and NW 23). August 2015: Landowner requested copy of environmental report. Report was received in October 2015. Cleanup of woody debris was completed by Pembina crews.","The weed issues identified in this quarter-section are caused by the low vegetation density. As such, the weed issue will be resolved and the issue tracked as a single issue under Vegetation Establishment below.",None.,--,--,--,,,
NE 22-83-16,Pasture/Forested,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,A low level of natural revegetation was observed and is not comparable to off the RoW conditions. Seed RoW and monitor during the third-year PCEM.,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request clean-up of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush. The roots were not cleaned up on the RoW and the landowner is not able to work or seed crop. Would like Pembina to address possible cleanup. Issue exists from approximately KP 9.90 to KP 11.00 (at NE 22 and NW 23). August 2015: Landowner requested copy of environmental report. Report was received in October 2015. Cleanup of woody debris was completed by Pembina crews.","This quarter-section has not been seeded; therefore, no vegetation (with the exception of a high density of weeds) has established. The landowner identified that the reason the area has not been seeded is due to an excessive amount of woody debris which does not allow for mechanical seeding. The landowner has requested that the topsoil be cleaned up (woody debris picked).","Discuss a plan for the resolution of this issue with the landowner. Monitor any reseeding efforts in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July and August 2017. Landowner comments: Landowner is going to conduct repair work and reseed.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor vegetation establishment in 2018.,,,
NE 22-83-16,Pasture/Forested,Soil - Topsoil Depth,Admixing issue observed at KP 10.03. Several small patches where subsoil is present at the surface with no topsoil cover.,Source and add clean topsoil or redistribute topsoil more evenly in the area. Monitor in 2014.,Soils were not assessed. Continue to monitor crop growth during the third-year PCEM.,Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request clean-up of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush. The roots were not cleaned up on the RoW and the landowner is not able to work or seed crop. Would like Pembina to address possible cleanup. Issue exists from approximately KP 9.90 to KP 11.00 (at NE 22 and NW 23). August 2015: Landowner requested copy of environmental report. Report was received in October 2015. Cleanup of woody debris was completed by Pembina crews.",Several small areas (approximately 5 m in diameter) were observed where subsoil was encountered at the surface along the RoW.,"Redistribute or import additional clean topsoil or amend soil with locally available manure/compost at these locations. Monitor any seeding efforts in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July and August 2017. Landowner comments: Landowner is going to conduct repair work and reseed.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor vegetation establishment in 2018.,,,
