Legal Land Description (W6M),Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
SW 21-96-5,Shrubby Swamp,None,6.10 to 6.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
SW 21-96-5,Unnamed drainage to Midget Creek,Erosion,6.40,"Erosion gully observed on upper slope of east bank (Plate 5, Appendix B). This issue was repaired in January 2015.",Monitor in 2015.,,,
SW 21-96-5,Unnamed drainage to Midget Creek,Low Vegetation Establishment,6.40,"Low vegetation establishment observed on approach slopes of watercourse (Plates 6 to 8, Appendix B).","Monitor in 2015, reseed if required.",,,
SE 20-96-5,Forested,Low/Moderate Vegetation Establishment,6.96 to 7.77,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 20-96-5,Forested,Low/Moderate Vegetation Establishment,7.77 to 8.60,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 20-96-5,Forested,Rare Plant,8.5,"No lance-leaved grape ferns (S2) were observed on July 30, 2014. Numerous other grape fern species observed are present and the site appears undisturbed.",Resolved and successful.,,,
SW 20-96-5,Forested,Rare Plant,8.5,"One individual leather grape fern (S3) was observed on July 30, 2014.",Resolved and successful.,,,
SW 20-96-5,Forested,Rare Plant,8.5,"Two northwestern grape ferns (S3) were observed on July 30, 2014.",Resolved and successful.,,,
SW 20-96-5,Forested,Rare Plant,8.5,"Three scalloped moonwort (S1) were observed on July 30, 2014.",Resolved and successful.,,,
SE 19-96-5,Forested,Low/Moderate Vegetation Establishment,8.60 to 9.05,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 19-96-5,Treed Fen,None,8.70 to 8.97,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 18-96-5,Forested,Low/Moderate Vegetation Establishment,9.05 to 9.49,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 18-96-5 (cont’d),Treed Fen,None,9.20 to 9.34,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NW 18-96-5,Forested,Low/Moderate Vegetation Establishment,9.49 to 10.37,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 18-96-6,Shrubby Swamp,None,9.50 to 9.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 13-96-6,Forested,Low/Moderate Vegetation Establishment,10.37 to 11.20,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 13-96-6,Treed Fen,None,10.50 to 10.82,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NW 13-96-6,Treed Bog,None,11.20 to 11.35,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NW 13-96-6,Forested,Low/Moderate Vegetation Establishment,11.20 to 12.04,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 13-96-6 to NE 14-96-6,Shrubby Fen,None,11.90 to 12.10,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 14-96-6,Forested,Low/Moderate Vegetation Establishment,12.04 to 12.84,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 14-96-6,Shrubby Fen,None,12.20 to 12.36,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NW 14-96-6,Forested,Low/Moderate Vegetation Establishment,12.84 to 13.67,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 14-96-6,Treed Fen,None,13.00 to 13.28,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 15-96-6,Forested,Low/Moderate Vegetation Establishment,13.67 to 14.48,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 15-96-6,Treed Fen,None,13.70 to 14.41,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NW 15-96-6,Forested,Low/Moderate Vegetation Establishment,14.48 to 15.32,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 15-96-6,Treed Fen,None,14.90 to 15.37,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 16-96-6,Forested,Low/Moderate Vegetation Establishment,15.32 to 16.15,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 16-96-6,Forested,Low/Moderate Vegetation Establishment,16.15 to 16.19,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 16-96-6,Forested,Low/Moderate Vegetation Establishment,16.19 to 17.01,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 17-96-6,Forested,Low/Moderate Vegetation Establishment,17.01 to 17.84,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 17-96-6,Forested,Low/Moderate Vegetation Establishment,17.84 to 18.68,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 17-96-6,Sloat Creek,Low Vegetation Establishment,17.90,"At the time of the assessment, work was occurring on the approach slopes of the watercourse to stabilize the soil (Plate 9, Appendix B).",Monitor in 2015 and re-seed if required.,,,
SE 18-96-6,Forested,Low/Moderate Vegetation Establishment,18.68 to 19.50,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 18-96-6,Forested,Low/Moderate Vegetation Establishment,19.50 to 20.17,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 18-96-6,Forested,Low/Moderate Vegetation Establishment,20.17 to 20.34,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 13-96-7,Forested,Low/Moderate Vegetation Establishment,20.34 to 21.18,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 13-96-7,Forested,Rare Plant,20.5,"No golden saxifrage (S3?) were observed on July 30, 2014. Habitat is suitable for this species at this location.",Monitor in 2016.,,,
NE 13-96-7,Forested,Erosion,20.63,"Erosion rills observed along the long sloping stretch in this area (Plate 10, Appendix B). Issues continue for approximately 100 m. This issue is not near a watercourse so there is no risk of sedimentation, but should be repaired to avoid gully formations. This issue was repaired in January 2015.",Monitor in 2015.,,,
NW 13-96-7,Forested,Low/Moderate Vegetation Establishment,21.18 to 22.10,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 14-96-7,Forested,Low/Moderate Vegetation Establishment,22.10 to 22.39,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 23-96-7,Forested,Low/Moderate Vegetation Establishment,22.39 to 23.09,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 23-96-7,Forested,Low Vegetation Establishment,22.40,"At the time of the assessment, work was occurring on the steep slopes at this location to stabilize the soil (Plate 11, Appendix B).",Monitor in 2015.,,,
SE 23-96-7,Forested,Low/Moderate Vegetation Establishment,23.09 to 23.93,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 23-96-7,Forested,Low/Moderate Vegetation Establishment,23.93 to 24.04,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 22-96-7,Forested,Low/Moderate Vegetation Establishment,24.04 to 24.85,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 22-96-7,Forested,Low/Moderate Vegetation Establishment,24.85 to 25.68,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 21-96-7,Forested,Low/Moderate Vegetation Establishment,25.68 to 26.55,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 21-96-7,Unnamed tributary to Chinchaga River,Moderate/High Vegetation Establishment,26.40,"Moderate to high vegetation establishment was observed on the banks and approach slopes of the watercourse (Plates 12 to 13, Appendix B).",Monitor in 2015.,,,
NW 21-96-7,Forested,Low/Moderate Vegetation Establishment,26.55 to 27.42,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NE 20-96-7,Forested,Low/Moderate Vegetation Establishment,27.42 to 28.32,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 20-96-7 to SW 29-96-7,Treed Fen,None,28.30 to 29.07,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NW 20-96-7,Forested,Low/Moderate Vegetation Establishment,28.32 to 28.94,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 29-96-7,Forested,Low/Moderate Vegetation Establishment,28.94 to 29.43,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 29-96-7 (cont’d),Treed Bog,None,29.20 to 29.36,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
SE 30-96-7,Forested,Low/Moderate Vegetation Establishment,29.43 to 29.98,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 30-96-7,Treed Bog,None,29.52 to 29.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
SE 30-96-7,Treed Bog,None,29.80 to 29.91,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 30-96-7,Forested,Low/Moderate Vegetation Establishment,29.98 to 30.91,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 31-96-7,Forested,Low/Moderate Vegetation Establishment,30.91 to 31.25,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 31-96-7,Forested,Low/Moderate Vegetation Establishment,31.25 to 32.21,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 31-96-7,Treed Bog,None,31.80 to 32.10,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
NE 30-96-9,Forested,Rare Plant,Cranberry Hydrostatic Site,"Two clusters of approximately 70 and 6 western jacob’s-ladder were observed on July 30, 2014.",Resolved and successful.,,,
