Legal Location (W4M),Land Use,Condition/Issues Observed (Rating),"KP1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
SW-36-079-06,Forested,Noxious Weeds (High) Plant Growth (High),9+370,"•  Canada thistle (Cirsium arvense) and scentless chamomile (Tripleurospermum inodorum) identified with limited distribution... Noxious weed cover greater than reference site. •  Good first year plant growth, but limited establishment of species observed relative to reference site.",Monitor in  2019  and  control weeds as necessary.,Unresolved.,,,
SW-36-079-06,Wetland (WET 8-1),Wetland (Low),9+620 to 9+840,•  Wetland is located off ROW and was not impacted by construction activities.,None.,No issues.,,,
NW-25-079-06,Forested,HDD Pad (N/A),10 + 130 to 11 + 070,•  No erosion or subsidence noted.  • Vegetation starting to establish.,None.,No Issues.,,,
NW-25-079-06,Watercourse (WC 5),Watercourse (N/A),10+540,•  No disturbance HDD crossing.,None.,No issues.,,,
NE-25-079-06,Wetland (WET 9-1),Wetland (Low),10+660 to 10+700,•  Wetland is located off ROW and was not impacted by construction activities.,None.,No issues.,,,
NE-25-079-06,Watercourse (WC 6),Watercourse (Low),11+070,"•  No disturbance, HDD crossing.",None.,No issues.,,,
SE-25-079-06,Forested,HDD Pad Surface Drainage (High),11+100,"• The area within the HDD pad is >1.5m deep with water pooled in it at KP 11+100; however, with limited or no impacts to land use.",Monitor in 2019.,Unresolved.,,,
SE-25-079-06,Forested,Rollback (N/A),11 + 350,•  No third-party access observed. • In good condition and currently effective.,Monitor in 2019.,Unresolved.,,,
SE-25-079-06,Forested,Plant Growth,11 + 350,• Limited vegetation growth is consistent with Year 1 expectations and no mitigation is required.,Monitor in 2019.,Unresolved.,,,
SW-30-079-05,Wetland (WET 10-1),Plant Growth (Moderate),11+610 to 11+700,• Limited vegetation recovery due to areas of heavy mulch. Continue to monitor to determine if mitigation required. • Pre-construction contours restored.,Monitor in 2019.,Unresolved.,,,
SW-30-079-05,Wetland (WET 10-2),Wetland (Low),11+730 to 11+880,•  Wetland is on an acceptable trajectory of reaching pre-construction functional conditions.  • Pre-construction contours restored.  • Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SW-30-079-05,Forested,Rollback (N/A),12 + 000,•  No third-party access observed. • In good condition and currently effective. • Limited vegetation growth.,Monitor in 2019.,Unresolved.,,,
SW-30-079-05,Forested,Rollback (N/A),12 + 240,•  No third-party access observed. • In good condition and currently effective.,Monitor in 2019.,Unresolved.,,,
SE-30-079-05,Wetland (WET 10-3),Wetland (Low),12+240 to 13+040,•  Wetland is on an acceptable trajectory of reaching pre-construction functional conditions.  • Pre-construction contours restored.  • Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SE-30-079-05,Forested,Rollback (N/A),13 + 100,•  No third-party access observed. • In good condition and currently effective.,Monitor in 2019.,Unresolved.,,,
SW-29-079-05,Forested,Plant Growth (High),13 + 360,• Limited vegetation growth is consistent with Year 1 expectations and no mitigation is required. •,Monitor in 2019.,Unresolved.,,,
SW-29-079-05,Forested,Rollback (N/A),14 + 000,•  No third-party access observed. • In good condition and currently effective.,Monitor in 2019.,Unresolved.,,,
SW-29-079-05,Forested,Plant Growth (High),14 + 100,• Limited vegetation growth is consistent with Year 1 expectations and no mitigation is required. •,Monitor in 2019.,Unresolved.,,,
SE-29-079-05,Forested,Rollback (N/A),14 + 220,•  No third-party access observed. • In good condition and currently effective.,Monitor in 2019.,Unresolved.,,,
SE-29-079-05,Wetland (WET 10-4),Wetland (Low),14+590 to 16+220,•  Wetland is on an acceptable trajectory of reaching pre-construction functional conditions.  • Pre-construction contours restored.  • Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SE-29-079-05,Forested,Plant Growth (High),15 + 090,• Limited vegetation growth is consistent with Year 1 expectations and no mitigation is required. •,Monitor in 2019.,Unresolved.,,,
SW-21-079-05,Wetland (WET 11-1),HDD (N/A),16+200 to 16+450,"•  No disturbance, trenchless crossing.",None.,No issues.,,,
SW-21-079-05,Watercourse (WC 7),Watercourse (N/A),16+300,"•  No disturbance, trenchless crossing",None.,No issues.,,,
SE-21-079-05,Wetland (WET 12-1),Noxious Weeds (High),16+430 to 17+180,• Scentless chamomile (Tripleurospermum inodorum) and common tansy (Tanacetum vulgare) were identified with limited distribution. Noxious weed cover greater than reference site. •  Wetland is on an acceptable trajectory of reaching pre-construction functional conditions.  • Pre-construction contours restored.  • Appropriate wetland species are beginning to establish,Monitor in 2019 and control weeds as necessary.,Unresolved.,,,
SE-21-079-05,Wetland (WET 13-1),Wetland (Low),KP 17+170 to 17+220,•  Wetland is on an acceptable trajectory of reaching pre-construction functional conditions. • Pre-construction contours restored. • Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SE-21-079-05,Wetland (WET 12-2),Noxious Weeds (Moderate),17+210 to 18+380,• A single common tansy (Tanacetum vulgare) plant was identified. No noxious weed cover on reference site. •  Wetland is on an acceptable trajectory of reaching pre-construction functional conditions. • Pre-construction contours restored.  • Appropriate wetland species are beginning to establish.,Monitor in 2019 and control weeds as necessary.,Unresolved.,,,
NE-15-079-05,Forested,Plant Growth (High),18 + 900,• Limited vegetation growth is consistent with Year 1 expectations and no mitigation is required. •,Monitor in 2019.,Unresolved.,,,
NE-15-079-05,Forested,Surface Drainage (Moderate),19+100 to 19+400,• Three cross drains across the trench crown were noted to be ineffective and causing ponding along the ROW at KP 19+100.,"Repairs completed on October 28, 2018.  Monitor in 2019.",Unresolved.,,,
NE-15-079-05,Forested,Erosion (High),19+400,• An erosion channel of approximately 35 cm deep was noted across the ROW.,"Repairs completed on October 28, 2018.  Monitor in 2019.",Unresolved.,,,
"Notes:  1.  KP locations are approximate 2.  KP locations may be repeated if multiple issues are present, and/or multiple issues are identified.",,,,,,,,,
