Approximate KP [Legal Location],1st Year Issue/ Condition,1st Year (2014) Issue(s),2nd Year (2015) PCRM Assessment and Work Completed,3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
KP 0+750 - 0+825 [PCL 16-1 SEC M2031 LT 16],(KP 0+680 to 0+810) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle and wild carrot) was noted on the ROW.  The slopes surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015, implement weed control as required.","August 15, 2015 - Mechanical weed control completed from KP 0+750 to 0+825 to control noxious weeds. - Sediment fence was removed at KP 0+810, issue resolved.","June 8, 2016 - ROW is fenced in on both south and north ends as residential barriers. - Vegetation establishing well consisting of native grasses and broadleaf vegetation. - Bull thistle, ox-eye daisy present throughout tract. Recommend implementation of control measures. - No subsidence, erosion present evident tract. June 28 and 29, 2016 – Mechanical weed control conducted from KP 0+680 to 0+810.",,,
KP 0+750 - 0+825 [PCL 15-1 SEC M2031 LT 15],(KP 0+680 to 0+810) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle and wild carrot) was noted on the ROW.  The slopes surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015, implement weed control as required.","August 15, 2015 - Mechanical weed control completed from KP 0+750 to 0+825 to control noxious weeds.","June 8, 2016 - Vegetation establishing well consisting of native grasses and broadleaf vegetation. - Bull thistle, ox-eye daisy present throughout tract. Recommend implementation of control measures. - Slope leading to Rachelle Court is vegetated and stable. Recommend removal of erosion control materials at KP 0+790 and KP 0+810. - No subsidence or erosion evident within tract. June 28 and 29, 2016 – Removed erosion control materials at KP 0+790 and KP 0+810. – Mechanical weed control conducted to control noxious weeds.",,,
KP 0+845 - 0+925 [PCL 7-1 SEC M2031 LT 7],residential (KP 0+810 to 1+450) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle, wild carrot, common ragweed and scentless chamomile) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 17, 2015 - Mechanical weed control completed from KP 0+845 to 0+925 to control noxious weeds. - Phragmites identified and was picked, bagged, and removed from ROW.","June 8, 2016 - 90-95% vegetation establishment on ROW consisting of native grasses and broadleaf vegetation. - Perennial sow thistle, scentless chamomile, and ox-eye daisy were observed throughout tract. Phragmites was observed from KP 0+845 to KP 0+925. Recommend implementation of control measures. - No subsidence or erosion evident within tract. June 28, 2016 – Mechanical weed control conducted to control phragmites, Perennial sow thistle, scentless chamomile, ox-eye daisy from KP 0+845 to KP 0+925, cuttings removed from ROW. - Fence damage noted at KP 0+760. June 29, 2016 - Fence repaired at KP 0+760.",,,
KP 0+845 - 0+945 [PCL 8-1 SEC M2031 LT 8},residential (KP 0+810 to 1+450) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle, wild carrot, common ragweed and scentless chamomile) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 17, 2015 - Mechanical weed control completed from KP 0+845 to 0+925 to control noxious weeds. - Phragmites identified and was picked, bagged, and removed from ROW.","June 8, 2016 - 90-95% vegetation establishment on ROW consisting of native grasses and broadleaf vegetation. - Perennial sow thistle and Canada thistle were observed throughout tract. Phragmites were observed within southern portion of ROW along fence in low lying wet areas. Recommend implementation of control measures. - No subsidence or erosion evident at time of assessment. June 28, 2016 – Mechanical weed control conducted to control noxious weeds. June 29, 2016 – Fence at KP 0+980 on south side of ROW has minor damage and remains functional, no work recommended, issue resolved.",,,
KP 0+925 - 1+060 [PT LT 29 CON 6],residential (KP 0+810 to 1+450) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle, wild carrot, common ragweed and scentless chamomile) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 17, 2015 - Mechanical weed control completed from KP 0+925 and Pine Valley Drive (0+940) to control noxious weeds. - Phragmites identified and was picked, bagged, and removed from ROW.","June 8, 2016 - 90-95% vegetation establishment on ROW; consisting of native grasses and broadleaf vegetation. - Tall buttercup, scentless chamomile, bull thistle, ox-eye daisy, perennial sow thistle and phragmites were observed throughout tract during time of assessment. Recommend implementation of control measures. - Seasonal drainage at KP 1+010 appears to be stable and dry at time of assessment.  - No subsidence or erosion evident within tract. June 28, 2016 – Mechanical weed control conducted to control noxious weeds. July 26, 2016 - Fallen dead tree on fence at 0+980, recommend removal. Dec 7, 2016 - Fallen mature tree on the north side of ROW at KP 0+980 removed from ROW. Issue resolved.",,,
KP 0+925 - 1+060 [PT LT 29 CON 6],residential (KP 0+960) noxious weed issue (high),"Scentless chamomile was observed by the fence near Pine Valley Drive. Recommendations: Monitor in 2015, implement weed control as required.","August 17, 2015 - Mechanical weed control completed from KP 0+925 and Pine Valley Drive (0+940) to control noxious weeds. - Phragmites identified and was picked, bagged, and removed from ROW.","June 8, 2016 - 90-95% vegetation establishment on ROW; consisting of native grasses and broadleaf vegetation. - Tall buttercup, scentless chamomile, bull thistle, ox-eye daisy, perennial sow thistle and phragmites were observed throughout tract during time of assessment. Recommend implementation of control measures. - Seasonal drainage at KP 1+010 appears to be stable and dry at time of assessment.  - No subsidence or erosion evident within tract. June 28, 2016 – Mechanical weed control conducted to control noxious weeds. July 26, 2016 - Fallen dead tree on fence at 0+980, recommend removal. Dec 7, 2016 - Fallen mature tree on the north side of ROW at KP 0+980 removed from ROW. Issue resolved.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],residential (KP 0+810 to 1+450) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle, wild carrot, common ragweed and scentless chamomile) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 17 and 18, 2015 - Mechanical weed control completed from KP 0+945 to 1+065 to control noxious weeds. September 1, 2015 - Tile drain installation was conducted to reduce ponding within adjacent landowners backyard. Installed tile drain from approximately KP 0+930 to KP 1+060. November 21, 2015 Assessed drainage tile. Disturbed soils re revegetating with local grasses moving in from the boundaries of the soil. Drainage tile appears to be working as very minimal standing water was located and water appears to be draining into the bar ditch along the county road.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Perennial sow thistle and Canada Thistle were observed throughout tract during time of assessment. Recommend implementation of control measures. - No subsidence or erosion evident within tract.  June 28, 2016 - Mechanical weed control conducted to control noxious weeds. Dec 7, 2016 - Water ponding is evident within ROW, not affecting neighboring property, as it did in 2015. Monitor in 2017 and repair as required.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],residential (KP 0+970 to 0+990) Moderate admixing issue (moderate),Admixing observed at approximately 30% of the topsoil. Recommendations: Monitor in 2015 and implement remedial actions if necessary,"August 17 and 18, 2015 - Mechanical weed control completed from KP 0+945 to 1+065 to control noxious weeds. September 1, 2015 - Tile drain installation was conducted to reduce ponding within adjacent landowners backyard. Installed tile drain from approximately KP 0+930 to KP 1+060. November 21, 2015 Assessed drainage tile. Disturbed soils re revegetating with local grasses moving in from the boundaries of the soil. Drainage tile appears to be working as very minimal standing water was located and water appears to be draining into the bar ditch along the county road.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Perennial sow thistle and Canada Thistle were observed throughout tract during time of assessment. Recommend implementation of control measures. - No subsidence or erosion evident within tract.  June 28, 2016 - Mechanical weed control conducted to control noxious weeds. Dec 7, 2016 - Water ponding is evident within ROW, not affecting neighboring property, as it did in 2015. Monitor in 2017 and repair as required.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],residential (KP 1+055 to 1+095) Topsoil thickness issue (moderate),Topsoil was observed to be greater than 10 cm. Recommendations: Monitor in 2015 and implement remedial actions if necessary,"August 17 and 18, 2015 - Mechanical weed control completed from KP 0+945 to 1+065 to control noxious weeds. September 1, 2015 - Tile drain installation was conducted to reduce ponding within adjacent landowners backyard. Installed tile drain from approximately KP 0+930 to KP 1+060. November 21, 2015 Assessed drainage tile. Disturbed soils re revegetating with local grasses moving in from the boundaries of the soil. Drainage tile appears to be working as very minimal standing water was located and water appears to be draining into the bar ditch along the county road.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Perennial sow thistle and Canada Thistle were observed throughout tract during time of assessment. Recommend implementation of control measures. - No subsidence or erosion evident within tract.  June 28, 2016 - Mechanical weed control conducted to control noxious weeds. Dec 7, 2016 - Water ponding is evident within ROW, not affecting neighboring property, as it did in 2015. Monitor in 2017 and repair as required.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],residential (KP 1+100) Temporary ponding - Land owner concern (high),Water pooling on adjacent property to the ROW. Recommendations: Installation of a swale or drain tile across ROW to divert water toward ditch on east side of Pine Valley Drive will be conducted as per the commitment made to Landowner for Spring 2015.,"August 17 and 18, 2015 - Mechanical weed control completed from KP 0+945 to 1+065 to control noxious weeds. September 1, 2015 - Tile drain installation was conducted to reduce ponding within adjacent landowners backyard. Installed tile drain from approximately KP 0+930 to KP 1+060. November 21, 2015 Assessed drainage tile. Disturbed soils re revegetating with local grasses moving in from the boundaries of the soil. Drainage tile appears to be working as very minimal standing water was located and water appears to be draining into the bar ditch along the county road.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Perennial sow thistle and Canada Thistle were observed throughout tract during time of assessment. Recommend implementation of control measures. - No subsidence or erosion evident within tract.  June 28, 2016 - Mechanical weed control conducted to control noxious weeds. Dec 7, 2016 - Water ponding is evident within ROW, not affecting neighboring property, as it did in 2015. Monitor in 2017 and repair as required.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],Watercourse [14] /Wetland (KP 1+125) Non-native species (moderate),"Non-native species have become established at the open cut crossings. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","August 18, 2015 - Mechanical weed control completed around watercourse 14 at KP 1+156 to control non native species. August 25, 2015  - Removed silt fence at watercourse 14 (KP 1+156), issue resolved","June 8, 2016 - Watercourse #14 appears to be stable at this time. Banks are well vegetated with revetment posts functioning well. Low flow at time of assessment. June 27, 2016 – Mechanical weed control conducted at watercourse 14.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],residential – TUC corridor (KP 1+155 to 1+165) temporary ponding issue (moderate),Temporary ponding was observed on the outside of the silt fence. The remaining area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015,,"June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Ponding water noted in 2014 is no longer evident, issue resolved. - Perennial sow thistle and Canada Thistle were observed throughout tract during time of assessment. Recommend implementation of control measures. - No subsidence or erosion evident within tract. June 28, 2016 - Mechanical weed control conducted to control noxious weeds.",,,
KP 0+945 - 1+065 [PT BLK 54 PL M2031 PTS 2&3],residential – TUC corridor (KP 1+155 to 1+185) Coarse fragment issue (moderate) Vegetation and admixing issue (moderate),Fine gravels were observed on surface of the soil at percentages greater than the Control. Gravels at surface are due to Enbridge work that took place in this area concurrent to the Parkway Loop cleanup. Bare ground (approximately 30%) and admixing (approximately 20%) was observed was observed on the trenchline and temporary work space along the ROW. Admixing is due to Enbridge work that took place in this area concurrent to the Parkway Loop cleanup. Recommendations: Monitor in 2015 and implement remedial actions if necessary,,"June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Coarse fragment, bare ground and admixing issues noted in 2014 are no longer evident and have not inhibited the ROW from attaining equivalent land capability, issue resolved. - Perennial sow thistle and Canada Thistle were observed throughout tract during time of assessment. Recommend implementation of control measures. - No subsidence or erosion evident within tract. June 28, 2016 - Mechanical weed control conducted to control noxious weeds",,,
KP 1+200 - 1+300 [LT 29 CON 7 PTS 1&2],residential (KP 0+810 to 1+450) noxious weed issue (high) near a watercourse crossing (KP 1+210) Noxious weed issues (high),"A major presence of noxious weeds (Canada thistle, wild carrot, common ragweed and scentless chamomile) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required. The presence of noxious weeds (Canada thistle, wild carrot, common ragweed and perennial sow thistle) was noted on the ROW. Similar weed species were noted on the adjacent ROW, but percentage of noxious weed cover was noted to be higher on ROW than off ROW. Bare ground is a maximum of 30% and is due to Enbridge work that took place in this area concurrent to the Parkway Loop cleanup. Adjacent land is a gravel roadway and parking lot. [KP 1+155 to KP 1+370] Recommendations: Monitor in 2015, implement weed control as required.","August 18, 2015 - Mechanical weed control completed from KP 1+200 to 1+300 to control noxious weeds.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Bare ground noted in 2014 is no longer evident, issue resolved. - Ox-eye daisy, tall buttercup, Canada thistle and scentless chamomile were observed throughout tract during time of assessment. Recommend implementing control measures. - No subsidence or erosion evident within tract. June 27, 2016 – Mechanical weed control conducted to control noxious weeds.",,,
KP 1+090 - 2+100 [LT 29 CON 7. PT 1],residential (KP 0+810 to 1+450) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle, wild carrot, common ragweed and scentless chamomile) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 26, 2015 - Removed silt fence at unnamed drainage at KP 2+000.","June 8, 2016 - 90-95% vegetation establishment on ROW. Vegetation establishing well consisting of native grasses and broadleaf vegetation.  -  Tall buttercup, ox-eye daisy and Canada Thistle observed throughout tract. Recommend implementing control measures. - No subsidence or erosion evident at time of assessment. June 27, 2016 – Mechanical weed control conducted to control noxious weeds. July 26, 2016  - Silt fence remains on temporary work space at kp 1+250. Recommend removal of silt fence. Oct 14, 2016 - Removed silt fence at KP 1+250",,,
KP 1+090 - 2+100 [LT 29 CON 7),residential (KP 1+280 to 1+315) Vegetation and admixing issues (moderate),Topsoil is admixed (approximately 30%). Adjacent land is a gravel roadway and parking lot. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 8, 2016 - 90-95% vegetation establishment on ROW. Vegetation establishing well consisting of native grasses and broadleaf vegetation. - Admixing and associated vegetation issue noted in 2014 is no longer evident and has not inhibited the ROW from attaining equivalent land capability, issue resolved.",,,
KP 1+090 - 2+100 [LT 29 CON 7),residential (KP 1+300 to 1+315) Coarse fragment issue (moderate),Fine gravels were observed on surface of the soil at percentages greater than off ROW. Gravels at surface are due to Enbridge work that took place in this area concurrent to the Parkway Loop cleanup. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 8, 2016 - 90-95% vegetation establishment on ROW. Vegetation establishing well consisting of native grasses and broadleaf vegetation. - Coarse fragment issue noted in 2014 is no longer evident and has not inhibited the ROW from attaining equivalent land capability, issue resolved.",,,
KP 1+090 - 2+100 [LT 29 CON 7),Watercourse [13] / Wetland (KP 1+325) No issues observed.,No issues. Recommendations: None,"August 18, 2015 - Mechanical weed control completed around watercourse 13 at KP 1+340 to control non native species. August 25, 2015 - Removed silt fence at watercourse 13 at KP 1+340, issue resolved.","June 8, 2016 - Watercourse #13 appears stable. High numbers of cattails present and standing water / very low flow observed. Vegetation is establishing well within watercourse. June 27, 2016 – Mechanical weed control conducted at watercourse 13.",,,
KP 1+090 - 2+100 [LT 29 CON 7),crop – soybeans (KP 1+620 & 1+875) No issues observed.,No issues. Crop is comparable to the Control. Recommendations: None,,"June 8, 2016 Cultivated Portion KP 1+400 – KP 1+900 - Tract has recently been worked and seeded. Soybean crop beginning to emerge. - Sprout height on ROW appears to be similar to off ROW. - No subsidence or erosion evident throughout tract.",,,
,Woodland (off ROW Northwest of drainage 4) (KP 1+800 to 2+200) Species at risk (moderate),"Since the program started late in the season, the issues for Species at Risk are specifically targeted at the timing of monitoring for next year to ensure that activity is captured during monitoring. Recommendations: In order to confirm that breeding activities within the heronry have not been impacted by the construction of the Parkway Loop, conduct surveys during the core breeding period in 2015. These would consist of three site visits, occurring once in each month of April, May and June.","August 26, 2015 - Removed silt fence at unnamed drainage at KP 2+000.","June 8, 2016 Forested Portion KP 1+900 – KP 2+100 - 90-95% vegetation establishment on ROW. Vegetation establishing well consisting of native grasses and broadleaf vegetation. - Drainage D4 at KP 2+010 appears to be stable at this time. Good vegetation establishment with standing water at time of assessment. - No subsidence or erosion issued evident at this time. - Species at Risk monitored by Stantec, details provided in Section 3.3.2.",,,
"KP 2+100 - 3+088 [LT 29 CON 7, PTS 1,2,3]",hayland/grassland (KP 2+000 to 2+640) noxious weed issue (high),"The presence of noxious weeds Canada thistle, wild carrot, common ragweed, perennial sow thistle and bull thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation conditions within ROW are beginning to resemble off the ROW due to unworked hay crop consisting of grass and alfalfa. - Canada thistle, tall buttercup, and ox-eye daisy present intermittently on and off ROW. Therefore, no work required. - No subsidence or erosion issues evident at this time. September 20, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation conditions within ROW differ from off the ROW due to unworked hay crop consisting of grass and alfalfa. - No temporary ponding was observed. - No subsidence or erosion issues evident at this time. November 15, 2016 - Forage crop on ROW has recently been cultivated by landowner. Removal of the forage crop has eliminated the previously noted noxious weeds on ROW, issue resolved. - Species at Risk monitored by Stantec, details provided in Section 3.3.2.",,,
"KP 2+100 - 3+088 [LT 29 CON 7, PTS 1,2,3]",hayland/grassland (KP 2+000 to 3+050) Species at risk (moderate),"Since the program started late in the season, the issues for Species at Risk are specifically targeted at the timing of monitoring for next year to ensure that activity is captured during monitoring. Several post-breeding bobolink were observed. Recommendations: In order to confirm breeding activities, conduct standard targeted BOBO & EAME breeding bird surveys in 2015 following MNRF protocols (MNR, 2012). These would consist of three surveys in the early June to early July period to confirm the ongoing breeding of these species in the target areas.",,"June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation conditions within ROW are beginning to resemble off the ROW due to unworked hay crop consisting of grass and alfalfa. - Canada thistle, tall buttercup, and ox-eye daisy present intermittently on and off ROW. Therefore, no work required. - No subsidence or erosion issues evident at this time. September 20, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation conditions within ROW differ from off the ROW due to unworked hay crop consisting of grass and alfalfa. - No temporary ponding was observed. - No subsidence or erosion issues evident at this time. November 15, 2016 - Forage crop on ROW has recently been cultivated by landowner. Removal of the forage crop has eliminated the previously noted noxious weeds on ROW, issue resolved. - Species at Risk monitored by Stantec, details provided in Section 3.3.2.",,,
