Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
23,NE 27-35-25,315.65 to 315.90,569,Vegetation - Weeds,"High density of foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,"Weed densities, including Canada thistle, remain higher on the construction right-of-way than off.",Weeds sprayed in fall 2011 and summer 2012. 2013: Selective hand spraying of Canada thistle completed.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W3M,
23,SE 27-35-25,315.9 to 316.0,570,Vegetation - Weeds,"High density of foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.",Moderate density of Canada thistle observed on construction right-of-way.,"Weed densities, including Canada thistle, remain higher on the construction right-of-way than off.",Weeds sprayed in fall 2011 and summer 2012. 2013: Selective hand spraying of Canada thistle completed.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W3M,
23,NW 17-35-24,322.3,580,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Land fallow at time of survey. Unable to assess.,Issue not assessed in 2013 to avoid crop damages.,--,Unresolved,Reassess in 2014.,,W3M,
23,NW 17-35-24,322.3,580,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Land fallow at time of survey. Unable to assess.,Issue not assessed in 2013 to avoid crop damages.,--,Unresolved,Reassess in 2014.,,W3M,
24,NE 9-35-24,324.5 to 325.4,585,Vegetation - Weeds,--,"Moderate density of foxtail barley, absinthe, perennial sow-thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",High density of foxtail barley and moderate density of gumweed was observed on the construction right-of-way during ground reconnaissance.,Foxtail barley present in higher densities on the construction right-of-way than off.,Reseeded in fall 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,SE 9-35-24,325.4 to 325.5,586,Vegetation – Weeds,--,--,High density of foxtail barley and moderate density of gumweed was observed on the construction right-of-way during ground reconnaissance.,Foxtail barley present in higher densities on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,SW 10-35-24,325.5 to 326.55,587,Vegetation - Weeds,--,"High density of foxtail barley, absinthe, perennial sow-thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weeds sprayed in summer 2012.,Resolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,SE 10-35-24,326.55 to 326.8,588,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Heavy cattle traffic on construction right-of-way.,Patches of poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Patches of low vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NE 3-35-24,326.8 to 327.6,589,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed along construction right-of-way and within wetland/wet area during ground reconnaissance.,Vegetation establishment on construction right-of-way not equal to off.,Reseeded in fall 2011.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NE 3-35-24,326.8 to 327.6,589,Vegetation - Weeds,High density of foxtail barley and kochia observed on construction right-of-way during ground reconnaissance.,"High density of foxtail barley, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds are present at a higher density on the construction right-of-way than off.,Weeds mowed in summer 2010.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NW 2-35-24,327.6 to 328.0,590,Vegetation - Weeds,--,"High density of foxtail barley, kochia, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Gumweed remains an issue from KP 327.6 to KP 328.0.,Weeds sprayed in fall 2011.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NW 2-35-24,327.6 to 328.0,590,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Grasses are establishing, however densities on the construction right-of-way are not yet equal to off. Sparsely vegetated patches are present.",--,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,SW 1-35-24,329.3 to 329.9,593,Vegetation - Weeds,--,"High density of foxtail barley, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.","Moderate densities of foxtail barley, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.","Gumweed, perennial sow-thistle, foxtail barley and sweet clover remain as weed issues in this area.",Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NW 35-34-24,329.9 to 330.3,594,Vegetation - Weeds,--,"High density of foxtail barley, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.","Moderate densities of foxtail barley, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Gumweed remains an issue in this area. No perennial sow-thistle observed.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NW 35-34-24,329.9 to 330.0,594,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed.,--,Resolved,None.,,W3M,
24,NW 35-34-24,330.0 to 330.3,593,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation observed on construction right-of-way during ground reconnaissance. Likely due to livestock disturbance.,Vegetation parameters observed on construction right-of-way not equal to off.,--,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NE 35-34-24,330.3 to 331.3,595,Vegetation - Weeds,--,"High density of foxtail barley, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Foxtail barley present at higher density on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,NE 35-34-24,331.3,595,Vegetation – Weeds,--,--,Patch of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Perennial sow-thistle issue has been Resolved,Canada thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,
24,NW 36-34-24,331.3 to 331.6,596,Vegetation - Weeds,"Moderate density of foxtail barley, gumweed, lamb's-quarters, kochia, knawel and common tansy observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Moderate density of absinthe observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weeds mowed in summer 2010. Canada thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,
24,SW 36-34-24,331.6 to 332.2,597,Vegetation - Weeds,--,--,Moderate densities of absinthe and foxtail barley observed on construction  right-of-way during ground reconnaissance.,Vegetation now out-competing weeds. No weed issues observed.,Canada thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,
24,SW 29-34-23,335.15,603,Vegetation - Weeds,Moderate density of foxtail barley on construction right-of-way.,"Moderate density of foxtail barley, gumweed, Canada thistle and kochia observed on construction right-of-way during ground reconnaissance.",Patches of Canada thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle issue now restricted to a single patch at KP 335.15. No weed issues observed within the remainder of this quarter-section.,Weeds mowed in summer 2010. Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
24,SE 29-34-23,336.45,604,Vegetation - Weeds,--,Moderate density of Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Low density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Numerous sporadic Canada thistle plants observed along the construction  right-of-way.,Weeds sprayed in summer 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA <s>Management Plan. </s>,,W3M,
25,SW 5-34-22,347.4,623,Vegetation - Weeds,Moderate density of foxtail barley and lamb's-quarters on construction right-of-way.,"Moderate density of foxtail barley, Canada thistle and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.",Perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed species composition and density on construction right-of-way equal to off.,Weeds sprayed in summer 2011. Canada thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,
25,SE 5-34-22,347.7 to 348.3,625,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,An area (approximately 8 m x 50 m) of bare ground exists on the construction  right-of-way near KP 348.21. Some foxtail barley growing in patches within this area.,Reseeded in 2011. Weeds sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
25,SE 5-34-22,347.4 to 348.07,625,Vegetation - Weeds,--,--,--,"Perennial sow-thistle, gumweed and kochia observed at moderate densities on the construction right-of-way.",--,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
25,SW 4-34-22,348.4 to 348.9,626,Vegetation - Weeds,Moderate density of foxtail barley and lamb's-quarters on construction right-of-way.,Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Moderate densities of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed densities remain higher on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the PFRA Management Plan.,,W3M,
28,NE 4-32-18,393.0 to 393.1,699.02,Vegetation - Establishment,Identified during spring overflight. Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed near fence on construction right-of-way during ground reconnaissance.,Vegetation establishment on construction right-of-way equal to off.,Reseeded in 2010.,Resolved,None.,,W3M,
31,SE 33-30-15,425.6,751,Vegetation – Rare Plants  bristly mousetail (S3),One plant observed on northern boundary.,Located 20 plants (in fruit and most with > 50% seed dispersal) in a 20 m by 8 m area.,Location flooded and no plants observed. There is a dense cover of agronomic wheatgrasses and it seems that the area is being grazed less than in previous years making it less likely for bristly mousetail to persist at this location. Rare plant great basin downingia (S1S2) observed at this location (KP 425.7) in 2011 was not observed in 2012.,"This site was incorrectly identified as requiring a revisit in 2013. During monitoring in 2012, the site was flooded with water and a proper survey could not be conducted. As this site has been repeatedly flooded for several years, it is not possible to determine whether construction methods have contributed to the resolution of this concern. See 2013 PCEM report (Section 5.4.2) for further details.",2012: Mowed.,Resolved,None.,,W3M,
32,NW 35-29-13,449.6 to 449.85,788,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Field was not seeded at time of assessment. Could not assess crop height.,Subsidence repaired in 2011.,Unresolved,Monitor crop growth in 2014.,,W3M,
33,NE 35-29-13,449.85 to 450.8,789,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Field was not seeded at time of assessment. Could not assess crop height.,Subsidence repaired in 2011.,Unresolved,Monitor crop growth in 2014.,,W3M,
33,SW 28-29-12,456.1 to 456.2,799,Soils - Topsoil Loss,Minor topsoil loss and reduced crop growth observed on construction right-of-way during ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance. Since TERA has not been granted access to this land since 2010 and no complaints regarding topsoil loss have been received from the landowner during communications this issue has been deemed resolved. Enbridge will contact the landowner to ensure the site is satisfactory. Repairs to other issues brought forward by the landowner were completed on this site in May 2013.,Various issues repaired in May 2013.,Resolved,None.,,W3M,
33,SW 27-29-12,458.0,801,Soils - Subsidence,Issue reported by construction contractor.,Land access was not granted by the landowner at the time of ground reconnaissance.,Minor soil subsidence (approximately 20 m long) observed on construction right-of-way during ground reconnaissance. Reduced crop height observed over trench line.,No subsidence issues observed. Field was fallow at time of survey.  Status of issue has been amended to unresolved as a result of the NEB IR No. 1. Further monitoring will occur in 2014.,Subsidence repaired in 2010 and in May 2013.,Unresolved,Monitor in 2014.,,W3M,
33,NW 23-29-12,459.6 to 459.65,804,Vegetation - Crop Growth,Reduced crop growth on construction right-of-way.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Crop growth equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
34,SE 17-29-11,M 1.75 to M 1.8,814 814.01,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance. EI reported that issue was repaired in fall 2013. Follow-up monitoring to occur in 2014.,Subsidence repaired in 2010. Subsidence repaired in fall 2013.,Unresolved,Monitor in 2014.,,W3M,
34,NE 8-29-11,M 1.8 to M 2.6,815,Vegetation - Weeds Land and Resource Use - Certified/ Registered Seed Grower,"Moderate density of foxtail barley, flixweed and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle observed at low to moderate densities along the construction right-of-way. This area was re-seeded in the fall of 2013 following a repair to a subsidence issue and follow-up monitoring will occur in 2014.,Canada thistle spot sprayed in summer 2012. 2013: Chemical weed management of Canada thistle completed. Site re-seeded in fall 2013 following subsidence repair.,Unresolved,Monitor in 2014.,,W3M,
34,NE 8-29-11,M 2.0,815,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Moderate subsidence (approximately 1 m x 0.5 m x 12 m) observed on construction right-of-way during ground reconnaissance.,Moderate subsidence observed on construction right-of-way. This site was repaired in September 2013 and follow up monitoring will occur in 2014.,Subsidence repaired in September 2013.,Unresolved,Monitor in 2014.,,W3M,
34,NW 9-29-11,M 2.6 to 2.7,816,Vegetation – Weeds,--,--,"Low to moderate densities of perennial sow-thistle, Canada thistle, foxtail barley, curled dock, flixweed, wild buckwheat, and common goat’s-beard observed on construction right-of-way during ground reconnaissance.",Perennial sow-thistle and Canada thistle observed at moderate to high densities on the construction right-of-way.,Canada thistle spot sprayed in summer 2012 and September 2013.,Unresolved,Control weeds and monitor in 2014.,,W3M,
34,NE 9-29-11,M 3.6,817,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance. Since TERA has not been granted access to this land since 2010 and no further complaints have been received from the landowner this issue has been deemed resolved. Enbridge has contacted the landowner to ensure the repair work was satisfactory.,Subsidence repaired in 2010. Subsidence repaired in spring 2013.,Resolved,None.,,W3M,
34,NE 9-29-11,M 3.9,817,Vegetation - Weeds,--,--,Land access was not granted by the landowner at the time of ground reconnaissance.,"Land access was not granted by the landowner at the time of ground reconnaissance. No weeds observed from road within the cultivated land. Since TERA has not been granted access to this land since 2010 and no complaints have been received from the landowner, this issue has been deemed resolved. Furthermore, as this is a cultivated field, weeds are controlled annually by standard farming practices.",--,Resolved,None.,,W3M,
35,SW 20-28-9-3,486.0 to 486.29,846,Soils – Subsidence and Erosion,--,--,Minor subsidence observed on construction right-of-way during ground reconnaissance causing a drainage issue. Erosion occurring over trench line.,Issue not assessed in 2013. Follow-up monitoring to occur in 2014.,Subsidence repaired in spring 2013.,Unresolved,Monitor in 2014.,,W3M,
36,SE 14-28-9-3,492.7 to 493.0,856,Soils - Subsidence,--,Subsidence observed on construction right-of-way during ground reconnaissance.,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Issue not assessed in 2013. Follow-up monitoring to occur in 2014.,Subsidence repaired in 2011. Subsidence repaired in fall 2013.,Unresolved,Monitor in 2014.,,W3M,
36,NW 3-28-8,499.9 to 500.0,868,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence (approximately  100 m x 10 m) observed on construction right-of-way during ground reconnaissance. Issue could possibly be poor contouring.,No subsidence or contouring issues observed.,Subsidence repaired in 2011. Right-of-way repair work completed in fall 2012.,Resolved,None.,,W3M,
36,NW 3-28-8,499.9 to 500.0,868,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Crop growth equal on and off the construction right-of-way.,--,Resolved,None.,,W3M,
36,NE 36-27-8,504.1 to 504.38,875 876,Topography – Slopes Soils – Erosion,Rill erosion at KP 504.3 observed on construction right-of-way during ground reconnaissance,No issues observed on construction right-of-way during ground reconnaissance.,No erosion observed on construction right-of-way during ground reconnaissance.,Land not assessed during 2013 survey. Status of issue amended to unresolved as a result of the 2012 NEB IR No.1. Issue will be re-assessed in 2014.,Erosion repaired in summer 2011.,Unresolved,Monitor in 2014.,,W3M,
36,NE 36-27-8,504.22 to 504.38,875,Vegetation -Weeds,--,--,High densities of Canada thistle observed on construction right-of-way.,Weeds issue appears to be related to adjacent Enbridge pipelines and not the construction right-of-way. Issue to be addressed by Enbridge Operations.,Canada thistle sprayed in summer 2012. Chemical application in late summer 2013.,Resolved,None.,,W3M,
36,NE 36-27-8,504.24,875,Soils – Erosion,--,--,--,Erosion observed along the construction right-of-way.,Erosion repaired in 2012.,Unresolved,Repair erosion and monitor in 2014.,,W3M,
36,NW 31-27-7,505.0 to 505.1,876,Topography – Slopes Vegetation – Weeds,"Moderate density of kochia, lamb's-quarters and Russian thistle on construction right-of-way.","Moderate density of Canada thistle, nodding thistle, gumweed and common peppergrass observed on construction right-of-way during ground reconnaissance.",Low to moderate densities of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds issue appeared to be related to the Enbridge mainline and not the construction right-of-way. Issue to be addressed by Enbridge mainline operations.,Canada thistle sprayed in summer 2012.,Resolved,None.,,W3M,
36,SE 31-27-7,506.5 to 506.7,878,Vegetation – Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way.,Nodding thistle and Canada thistle observed at equal densities on and off the construction right-of-way.,Weeds mowed in 2010. Canada thistle and nodding thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,
36,SE 31-27-7,506.5,878,Soils – Erosion,--,--,--,Some minor erosion observed. Seed mix installed in 2012 and grasses are established well. No repairs are recommended due to the moderate establishment of vegetation in this area. Any repairs would affect vegetation establishment.,Sediment fence repaired in summer 2012. Remedial seeding done in 2012.,Resolved,None.,,W3M,
36 to 37,SW 32-27-7,506.53 to 507.75,879,Vegetation - Weeds,"Moderate density of nodding thistle, lamb's-quarters and black medick observed on construction right-of-way during ground reconnaissance.","Moderate density of nodding thistle, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at a moderate density on the construction right-of-way.,Weeds mowed in 2010 and 2011. Canada thistle and nodding thistle spot sprayed in summer 2012. Chemical application in fall 2013.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W3M,
37,SE 32-27-7,507.75 to 508.1,880 880.01 880.02 880.03,Vegetation - Weeds,"Moderate density of nodding thistle, lamb's-quarters and black medick observed on construction right-of-way during ground reconnaissance.",High density of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Moderate densities of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate to high densities on the construction right-of-way.,Weeds mowed in 2010 and 2011. Canada thistle and nodding thistle spot sprayed in summer 2012. Chemical application in fall 2013.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W3M,
37,NE 29-27-7,508.1,881,Vegetation - Weeds,"Moderate density of nodding thistle, spear-leaved goosefoot and black medick observed on construction right-of-way during ground reconnaissance.",High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weed issue appeared to be related to the Enbridge mainline and not the construction right-of-way. Issue to be addressed by Enbridge mainline operations.,Weeds mowed in 2010 and 2011. Canada thistle and nodding thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,
37,SW 27-27-7,510.8 to 511.3,885,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Crop growth equal on and off the construction right-of-way.,--,Resolved,None.,,W3M,
37,SW 23-27-7,512.3 to 513.3,2406,Vegetation – Crop Growth,--,--,--,Crop growth equal on and off the construction right-of-way.,--,Resolved,None.,,W3M,
38,SW 21-26-5,532.0 to 532.6,2420,Soils - Subsidence,--,--,--,Subsidence issue resolved and landowner has no further concerns.,Subsidence repaired by landowner in 2010. Right-of-way repairs completed in fall 2013.,Resolved,None.,,W3M,
38,SW 21-26-5,532.0 to 532.6,2420,Vegetation – Crop Growth,--,--,--,Crop growth issue resolved and landowner has no further concerns.,Right-of-way repairs completed in fall 2013.,Resolved,None.,,W3M,
39,SE 11-26-5,538.0,2427.02,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of annual sow-thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate density of perennial sow-thistle and foxtail barley observed on construction right-of-way.,Land has not been seeded or managed. Weed densities are equal on and off the construction right-of-way.,Weeds controlled in 2010.,Resolved,None.,,W3M,
39,NW 1-26-5,538.3 to 538.5,2429,Vegetation - Weeds,"Moderate density of lamb's-quarters, perennial sow-thistle and kochia observed on construction right-of-way during ground reconnaissance.","Moderate density of narrow-leaved hawk's-beard, foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of common goat’s-beard, curled dock, stinkweed, Canada thistle, foxtail barley, common plantain, wild buckwheat and gumweed observed on construction right-of-way. High densities of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds were restricted to low-lying areas. Similar low weedy areas were observed on and off the construction right-of-way.,--,Resolved,None.,,W3M,
39,NW 1-26-5,539.8 to 539.9,2430,Vegetation - Weeds,--,High density of weeds observed and sprayed on construction right-of-way by EI.,Farmer discing land at time of survey. Unable to assess. Possible integrity dig location.,"Weeds were restricted to low-lying areas. Similar low, weedy areas were observed on and off the construction right-of-way.",Weeds sprayed in summer 2011.,Resolved,None.,,W3M,
39,SE 6-26-4,541.3 to 541.5,2433,Vegetation - Weeds,--,High density of nodding thistle observed and mowed/sprayed on construction right-of-way by EI.,Low to moderate density of Canada thistle and low density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weeds sprayed in summer 2011.,Resolved,None.,,W3M,
