Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2013) Issue(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NE-15-64-7 W6,Watercourse Crossing: Unnamed Tributary to Cutbank River,"No concerns were observed at the watercourse crossing at KP 3.9. Vegetation establishment is high on the banks of the tributary, although low on the slopes leading to the tributary. Erosion control measures are in place and functional.","July 5, 2014 - Tributary to Cutbank River KP 3+950.  Silt fencing and straw wattles on either bank is still functioning and should remain. Roll back functioning effectively.  Moderate flow in bed of tributary.  Revetment posts and banks appear stable with no sign of subsidence. Good vegetation establishment.   - Silt fencing remains on East side of ROW KP 4+100 - can be removed.  July 16, 2014 - Silt fencing removed at KP 4+100. July 26, 2014 - Approximately 6 scentless chamomile plants were found on north bank at unnamed tributary to Cutbank River (KP 3+900). Weeds were handpicked in previous visit to site in similar area. Noxious weeds were handpicked and bagged.","June 15, 2015 - Vegetation is comparable to off ROW. South of the crossing, vegetation is established approximately 50%. North of the crossing, vegetation is established approximately 80%.  - Common, non-noxious weeds observed in limited densities. - Banks are defined and stabile, subsidence was not noted. - Amphibians were observed. - Rutting, due to ATV activity, noted on the west side of the crossing. - ~ 100m of silt fencing requires repair. July 27, 2015 - Reset pipeline markers and sign, repaired silt fencing on the north side of the crossing. July 29, 2015 - Removed windfall trees and additional repairs to the silt fencing on the north side of the crossing.",,,
NW-14-64-7 W6,Low Vegetation Establishment,Low vegetation establishment observed on the right-of-way. Vegetation cover is expected to improve in subsequent years.,"July 5, 2014 - ~60% vegetation establishment as opposed to off RoW. Many areas with moderate cover and vegetation still establishing. Common weeds comparable to off RoW. - Silt fencing remains and is still functioning at KP 4+180, 4+250. Monitor. - Rill erosion on South facing slope from KP 4+370 to 4+490. 120m X 1m X 30cm. requires installation of water diversion remedies. Jul 16, 2014 - Implemented straw wattle erosion control material within rill erosion on south facing fill slope from KP 4+370 to KP 4+490. - Removed silt fences (KP 4+100, 4+410, and 4+425). July 26, 2014 - Recently installed straw between diversion berms exhibiting significant sediment build-up from recent precipitation events. Continue to monitor.","June 15, 2015 - RoW is moderately vegetated, approximately 65% vegetation cover on RoW compared to off RoW control, continue to monitor. - Common, non-noxious weeds observed in limited densities and are comparable to off RoW conditions. - Silt fencing required and functional at KP 4+180 and, 4+250. Monitor and repair and remove, as required. - Diversion berm at 4+370 shows signs of moderate erosion. Vegetation is not establishing in the heel of the berm. Recommend installation of erosion control measures. - Rill erosion beginning from the West side of RoW on South facing slope from KP 4+370 to 4+490. These rills were present in 2014, previously installed erosion controls require repairs.  Requires installation of multiple straw waddle erosion breakers. July 29, 2015 - Installed straw wattles at KP 4+370 to 4+490. August 28, 2015 - Perennial sow thistle and Canada thistle observed at KP 4+120 and 4+500. Recommend fall herbicide application. September 19, 2015 - Herbicide was applied to control perennial sow thistle and Canada thistle at KP 4+120 and 4+500.",,,
SW-23-64-7 W6,Low Vegetation Establishment,Low vegetation establishment observed on the right-of-way. Vegetation cover is expected to improve in subsequent years.,"July 5, 2014 - KP 4+510 to KP 4+700 exhibits vegetation cover on RoW 50-60% comparable to off RoW control with native grasses beginning to emerge. From KP 4+700 onwards for the rest of tract, vegetation on RoW approximately 70-75% comparable to off RoW control with areas on work side (east side of RoW) exhibiting sparse vegetation cover. Vegetation consisting of clover, aven species’, common yarrow, Indian paintbrush and native grasses. - Weeds comparable to off RoW control. Non-noxious weeds consisting of horsetail and dandelion. Tall buttercup that was recently sprayed for appears to be wilting within tract. - Silt fence erosion control (KP 4+650 and KP 4+750) functional, monitor and remove as needed. - Removed knocked over silt fence (KP 5+170). June 28, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control Tall buttercup, Canada Thistle and Scentless Chamomile. July 16, 2014 - Completed implementation of straw wattle erosion control material into rill erosion at (KP 5+330) - Removed silt fence (KP 5+360). July 26, 2014 – Positive results from spraying on June 28. -Noxious weeds (bull thistle at KP 5+080) were handpicked and bagged.","June 15, 2015 – Majority of the RoW is moderately vegetated, approximately 70 - 75% vegetation cover on RoW compared to off RoW control.  Reduced vegetation cover (50 – 60%) was observed from KP 4+510 to 4+700, continue to monitor. - Diversion berm at KP 4+670 shows signs of recent erosion but is vegetating. Continue to monitor, no work required at this time.  - Picked and bagged Tall buttercup at 4+750. Continue to monitor.   - Picked and bagged 2 bull thistle at KP 5+270 - Canada thistle and tall buttercup was identified at 5+200 to 5+450 Recommend herbicide application.  - Erosion from KP 5+370 to 5+450 previously installed breakers are no longer functional. Replacement of erosion control measures required. July 11, 2015 - Spot sprayed from KP 4+180 to 4+510 for Canada thistle and tall buttercup. July 29, 2015 - Installed straw wattles at KP 5+370 to 5+450. August 17, 2015 – Additional straw wattles installed at KP 5+370 to 5+450. August 28, 2015 - Perennial sow thistle observed at KP 4+670. Recommend fall herbicide application. September 19, 2015 - Herbicide was applied to control perennial sow thistle and bull thistle at KP 4+670.",,,
NW-23-64-7 W6,Low Vegetation Establishment,Low vegetation establishment observed on the right-of-way. Vegetation cover is expected to improve in subsequent years.,"July 5, 2014 - 70-75% vegetation cover on RoW compared to off RoW control. Several areas along work side (east of ditchline) exhibiting sparse vegetation cover - Rill erosion evident from KP 5+380 to KP 5+630, continue to monitor. - Silt fence material (KP 5+630, 5+830, 5+890, 6+260) functional – monitor and remove as required. June 28, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control Tall buttercup and Scentless Chamomile.  July 15, 2014 - Removed silt fence material within diversion berms (KP 5+850, 5+900, and 6+160). - Picked and bagged bull thistle (KP 5+775). - Installed straw wattle erosion control material on north facing slope from KP 5+460 to KP 5+620. July 26, 2014 – Positive results observed from June 28th spraying. - Tall buttercup at KP 5+730, 6 plants picked and bagged.","June 15, 2015 - RoW is moderately vegetated, approximately 70% vegetation cover on RoW compared to off RoW control.  Patch of limited vegetation cover at KP 5+550. - Common, non-noxious weeds observed in limited densities and are comparable to off RoW conditions - Diversion berms/ditches were functioning and well vegetated. - Rutting, possibly ATV, was observed along the eastern edge of the ROW for the length of the quarter section. - Tall buttercup was observed from KP 5+450 to 5+570. Recommend spot spraying. - Erosion continues from the SW 23-64-7 W4 on the west portion of the ROW from KP 5+450 to 5+630 where it terminates at a diversion berm.  Recommend replacement of previously installed erosion control measures. July 29, 2015 - Installed wattles from KP 5+450 to 5+630 and reset a pipeline marker.",,,
NW-23-64-7 W6,Watercourse Crossing: Unnamed Tributary to Cutbank River,"No concerns were observed at the watercourse crossing at KP 5.8. Vegetation establishment is high on the north bank and moderate on the south bank of the tributary, although low on the slopes leading to the tributary. Erosion control measures are in place and functional.","July 5, 2014 - Unnamed tributary to Cutbank River (KP 5+750) exhibits minor slumping along ditchline within tributary. Minor subsidence on south bank, good vegetation establishment. Revetment posts functioning well at time of assessment. Diversion berm with straw wattle erosion control material on south bank functioning well. Steel pegs were left in material at time of assessment. Continue to monitor. June 28, 2014 - Tall buttercup and Scentless Chamomile present within 30m of watercourse at kp 5+750. All noxious weeds within the watercourse buffer zone were hand-picked.","June 15, 2015 – RoW is well vegetated, approximately 85% vegetation cover on RoW compared to off RoW control.  Diversion berms/ditches are functional and vegetated. - Common, non-noxious weeds observed in limited densities. - Steel pegs were removed from the straw wattles on the south side of the crossing. - Rutting observed on the west side of crossing. - Ponding on ditch line within channel of watercourse crossing. Recommend redistributing cobble. - Erosion has occurred around straw wattles on the eastern end of diversion ditch on south side of the crossing. Recommend installation of erosion control measures. - Recommend removal of silt fencing. Approximately 200m. - Plastic erosion control lifting from the ground along the slope south of the crossing. Recommend removal. August 17, 2015 - Installed straw wattles, removed non-biodegradable mesh wattles, removed non-biodegradable plastic mesh erosion control, redistributed cobble, removed a bull thistle, and removed approximately 200m of silt fencing from both sides of the crossing.",,,
SW-26-64-7 W6,Low Vegetation Establishment,Low vegetation establishment observed on the right-of-way. Vegetation cover is expected to improve in subsequent years.,"July 3, 2014 - 90-95% vegetation cover as opposed to off RoW with some thin areas. Common weeds comparable to off RoW.  Reduced veg affected by large woody debris KP 6+500, monitor. - Diversion berms functioning effectively. - Steel pins remain in straw wattles and can be removed at any time at KP 6+600, 6+680 6 +700, 6+790. - Silt fence remains at KP 6+300, 6+380, 6+550, 6+600, 6+880 and can be removed. July 15, 2014 - Removed silt fence and steel pins in straw wattles at locations above.","June 16, 2015 – RoW is well vegetated, approximately 95% vegetation cover on RoW compared to off RoW control.  Patches of reduced vegetation were noted at KP 6+400, 6+425, and 7+065, continue to monitor. - Common, non-noxious weeds observed in limited densities. - ATV tracks running down the center of ROW. - Subsidence was not observed. - Diversion berms/ditches and associated silt fencing are functioning and/or vegetating. - Three tall buttercup plants were observed at KP 6+640 along the ditch line. Picked and bagged. Monitor July 11, 2015 - Spot sprayed from KP 6+280 to 7+080 for perennial sow thistle and tall buttercup. August 28, 2015 - Ox-eyed daisy and perennial sow thistle observed at KP 6+550. Recommend fall herbicide application. September 19, 2015 - Herbicide was applied to control ox-eyed daisy, perennial sow thistle, and bull thistle at KP 6+550.",,,
NW-26-64-7 W6,Low Vegetation Establishment,"Low vegetation establishment observed on the right-of-way, particularly over the trench line from KP 7.1 to KP 7.6. Vegetation cover expected to improve in subsequent years. Open cut contingency route started at KP 7.5.","July 3, 2014 - ~ 90% vegetation cover as opposed to off RoW. Some patches with reduced vegetation cover. Good Native grass establishment especially on ditchline.  More weeds present on RoW as opposed to off.  - Diversion berms functioning effectively. - Minor erosion below silt fencing at KP 7+100, silt fencing can be removed - continue to monitor. - Cross drains at   KP 7+200, 7+300, 7+360, 7+400, 7+500 have silt fencing and steel pins along East side of Row that can be removed. - Drainage exhibits minor erosion KP 7+610; however vegetation is establishing.  60-70m of silt fencing remaining along drainage. Recommend removal of majority and installation of straw wattles to prevent erosion. July 15, 2014 - Removed steel pins and spikes from straw wattle material and removed silt fence from locations above. - Erosion repair at KP 7+500. 1 straw wattle erosion control breaker installed within eroded cross drain. Filled with soil and re- contoured. Removed steel pins from existing material. Remove silt fence.  July 26, 2014 - Small patch of Perennial Sow thistle at KP 7+510. Picked and bagged.","June 16, 2015 –RoW is well vegetated, approximately 90% vegetation cover on RoW compared to off RoW control.   – Common, non-noxious weeds observed in limited densities. - ATV tracks on ROW. Rutting observed at KP 7+200 till 7+255 west of ditch line, it is mostly vegetated. Continue to monitor. - Tall buttercup observed at KP 7+160 and 7+650, picked and bagged, monitor.  Tall buttercup observed at KP 7+350 west of ROW, recommend spot spray. July 11, 2015 - Spot sprayed from KP 7+080 to 7+890 for perennial sow thistle and tall buttercup. August 19, 2015 - Reset pipeline markers and sign.",,,
NW-26-64-7 W6,Watercourse Crossing: Unnamed Tributary to Cutbank River,No concerns were observed at the watercourse crossing at KP 7.8. Vegetation establishment is high on the banks and surrounding slopes. Erosion control measures are in place and functional.,"July 3, 2014 - Un-named tributary to Cutbank River 7+800. Ponding water on upstream side. Cobble is high on ditchline and needs to be redistributed. Banks appear stable with good vegetation establishment. Spikes to be removed from erosion straw wattle on either side. Silt fence to be removed on diversion berm on south bank. July 15, 2014 - Removed 60m of silt fencing, t bar and posts. - Redistribute cobble removing from ditchline within drainage.","June 16, 2015 – RoW is well vegetated, approximately 75% vegetation cover on RoW compared to off RoW control.  Willow and poplar are beginning to establish. - Banks are defined and stabile. - Rutting noted on the west side of the crossing. - Substantial flow was observed. - Area of tall buttercup observed at 8+130, on west ROW. Recommend spot spraying. July 11, 2015 - Spot sprayed for tall buttercup at KP 8+130. August 19, 2015 - Mechanically controlled perennial sow thistle north of the creek bank.",,,
SW-35-64-7 W6,Watercourse Crossing: Unnamed Tributary to Cutbank River,"Vegetation establishment was observed to be low on the coir matting at the watercourse crossing at KP 7.9, although no erosion was observed. Vegetation establishment is high on the surrounding slopes. Erosion control measures are in place and functional.","July 3, 2014 - Un-named tributary to cut Bank River 7+900. 60m silt fence can be removed on North slope.  Willows and vegetation establishing on crib wall. Banks appear stable. Grizzly tracks observed. July 15, 2014 - Removed silt fence on north and south bank at unnamed tributary to Cutbank River.","June 16, 2015 – RoW is well vegetated, approximately 80% vegetation cover on RoW compared to off RoW control. – Common, non-noxious weeds observed in limited densities. - Banks are defined and stabile.  Coir wraps banks are in good condition and functional. - Fish were observed. - Subsidence was not noted. - Rutting was observed on the west side of the crossing.",,,
,Moderate Vegetation Establishment,Moderate vegetation establishment on the right-of-way from KP 8.1 to KP 8.7. Vegetation cover expected to improve in subsequent years. Berms are effectively preventing erosion in this area.,"June 27, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control Tall buttercup.  July 3, 2014 - ~ 85-90% vegetation cover as opposed to off Row control. More common weeds on RoW as opposed to off RoW control. Good establishment of Native grasses. Diversion berms functioning effectively, slope appears stable. - Removed steel pins from erosion control materials (KP 8+015, 8+100, 8+440, 8+480, 8+555, and 8+525).  Removed silt fence (KP 8+015, and 8+440)  - Erosion repair at KP 8+ 120. 1 straw wattle erosion control breaker installed within eroded cross drain. Filled with soil and re- contoured.  July 26, 2014- Tall buttercup at KP 8+080, 6 plants picked and bagged.","June 16, 2015 – RoW is well vegetated, approximately 95% vegetation cover on RoW compared to off RoW control.  Patch of reduced vegetation cover at KP 7+840. – Common, non-noxious weeds observed in limited densities. - Rutting was observed on west side of ROW. Well vegetated. Continue to monitor. - Diversion berms/ditches are well vegetated and associated silt fencing is functional and required. - Tall buttercup observed at KP 7+830, 7+850, and 8+100 along the ditch line. Picked and bagged. Monitor. July 10, 2015 – Additional tall buttercup located and spot sprayed from KP 7+900 to 8+700.",,,
,Watercourse Crossing: Unnamed Tributary to Cutbank River,No concerns were observed at the watercourse crossing at KP 8.4. Vegetation establishment on banks and surrounding area is moderate. Erosion control measures are in place and functional.,"June 27. 2014 Tall buttercup present within 30m of watercourse at KP 8+380. All noxious weeds were handpicked and bagged. July 3, 2014- Un-named tributary to Cutbank River KP 8+360. Moderate flow observed, good vegetation establishment, banks appear stable. Cobble present up and down stream and over ditchline with no slumping. Silt fence either side of bank can be removed.  Noxious weeds identified within riparian area, recommend had picking. Diversion berm at top of south bank facing North exhibits slumping; no erosion - continue to monitor. July 14, 2014 - Removed silt fence on north and south bank at unnamed tributary to Cutbank River (KP 8+360). Picked and bagged tall buttercup on north bank. Removed steel pins remaining within straw wattles on north bank. July 26, 2014- Tall buttercup at KP 8+080, 4 plants picked and bagged within 30m of watercourse.","June 16, 2015 - RoW is well vegetated, approximately 75% vegetation cover on RoW compared to off RoW control. – Common, non-noxious weeds observed in limited densities. - Banks are defined and stable.  Subsidence was not noted. August 19, 2015 - Reset pipeline marker.",,,
NW-35-64-7 W6,Moderate Vegetation Establishment,Moderate vegetation establishment observed over the right-of-way. Seedlings are present and vegetation cover is expected to improve in subsequent years.,"June 27, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control Tall buttercup. July 3, 2014 - ~85% vegetation cover as opposed to off RoW with some thin areas may be attributed to low lying wet areas. More common weeds present on RoW as opposed to off.  - Erosion within cross drain extending across RoW. KP 9+160. Continue to monitor.  - Surface water migrating across RoW effectively. Many low lying areas within tract. July 14, 2014 - Removed steel pins within tract (KP 9+160). - Implemented straw wattle erosion control material within cross drain (KP 9+160). July 26, 2014 – Observed effective weed control on ROW.","June 16, 2015 - RoW is well vegetated, approximately 85% vegetation cover on RoW compared to off RoW control.  Minor non-contiguous areas of reduced vegetation cover. – Common, non-noxious weeds observed in limited densities. Tall buttercup identified from KP 8+700 to 9+530 -more concentrated on West side of RoW, recommend spot spraying.   - Previously noted, 2014, erosion within cross drain extending across RoW at KP 9+160, is consistent with previous assessment. Continue to monitor.  - Cross drains on RoW effectively moving water. July 10, 2015 - Spot sprayed from KP 8+700 to 9+530 to control tall buttercup.",,,
SW-2-65-7 W6,Moderate Vegetation Establishment,Moderate vegetation establishment observed over the right-of-way. Seedlings are present and vegetation cover is expected to improve in subsequent years.,"June 27, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control Tall buttercup. Tall buttercup present within 30m of drainage at KP 9+600. All noxious weeds were hand-picked. July 3, 2014 - ~90-95 vegetation cover as opposed to off RoW with some thin areas. More common weeds present on RoW as opposed to off. Good native grass establishment. - Spikes in erosion control material, and straw wattle within diversion berms remain and are still functioning. - Water appears to be emerging within diversion berm over ditchline at KP 9+720, no erosion - continue to monitor.  - Diversion berms functioning effectively with good vegetation establishment.  - Silt fence can be removed at KP 9+720 and 9+780. July 14, 2014 - Picked and bagged tall buttercup plants (KP 9+615). Silt fence was removed from north bank (KP 9+720 and 9+780). - Steel pins were removed (KP 9+650, 9+680, and KP 9+750). July 26, 2013 – Effective weed control observed.","June 16, 2015 – RoW is well vegetated, approximately 95% vegetation cover on RoW compared to off RoW control.  Minor non-contiguous areas of reduced vegetation cover. – Common, non-noxious weeds observed in limited densities. Tall buttercup present intermittently from KP 9+530 to 10+000. - Sow thistle is present on North bank of drainage. - Drainage at 9+600 is functioning and flow was observed.  There is no evidence of subsidence on either bank and vegetation is established. - Diversion berms are effectively moving water across ROW with moderate vegetation establishment. July 10, 2015 - Spot sprayed from KP 9+530 to 10+000 to control perennial sow thistle and tall buttercup.",,,
