Legal Location,1st Year Issue/ Condition,1st Year (2012) Issue(s),2nd Year (2013) PCRM Assessment and Work Completed,3rd Year (2014) PCRM Assessment and Work Completed,4th Year (2015) PCRM Assessment and Work Completed,2016 PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 19-75-09 W6,Cultivated,Hydrovac holes,,"May 24, 2014 – Seeding recently completed. Uneven contouring throughout majority of 1/4, with wide shallow drilling parallel with ditchline. Normal farming practise should remediate.","May 24, 2015 - Tract appears to exhibit poor contouring intermittently. Minor subsidence exists at KP 2+750 at foreign pipeline crossing. As previously assessed- normal farming practices should remediate, continue to monitor. Canada thistle noted throughout tract, but more prevalent  at foreign line crossing. September 26, 2015 - Applied herbicide to control Canada thistle. Hydrovac holes noted in 2012, KP 2+720, are no longer evident, issue resolved.","June 1, 2016 - This tract has been seeded to cereal crop   Minor subsidence exists throughout the majority of the tract, as well as possible poor contouring along edges off ROW. Subsidence also appears to exist along parallel ROWs. Poor contouring observed at foreign pipeline crossing location.   Canada thistle was identified at the west end of the tract (1 plant within ROW) – weed control within cultivated land is the landowner’s responsibility, no work to be completed.   Lease road crossing at the east end of the tract remains bare, with minimal erosion occurring – consistent with off ROW.   All minor subsidence and poor contouring will be addressed by the landowner working the field, following the 2016 harvest. Issues resolved",,,
SE 24-75-10 W6,Hay,"SEWeeds ubsidence,  rosion","  County completed brush clearing work along RR-10 on east side of the ¼.  Landowner would like NGTL to move one set of posts towards the road and fix a small amount of subsidence on the adjacent line.   There is a field drain on the west side of the ¼.  A washout is present that the occupant would like fixed sometime this summer.  Under 10m long but 30cm deep.   Both minor issues with no set timeline for completion from occupant.   June - Poor growth, however during discussion with the landowner, they are planning to work up the whole quarter and put back into fescue, so will look after, no issues.   September – landowner concern with weeds on entire ROW. Detailed assessment completed.","May 24, 2014 - this tract has recently been plowed under, disked, reseeded and rolled (2013 landowner weed issue resolved, due to reworking of field and ROW). ROW boundaries difficult to determine at this time. No erosion or subsidence identified at this time. Washout along field drainage at west ¼ line remains as previously assessed. May 30 – 31, 2014 - 2 loads (20yds) of topsoil used to fill washout with 2yds of bagged subsoil (biodegradable bags). 1 load of topsoil (10yds) placed in repair area with maruka and skid steer. A straw waddle (Bio-4) was constructed across ROW along edge of hay land to mitigate erosion.","May 29, 2015 - Moderate vegetation establishment on ROW as opposed to off ROW ~75%. Patches of reduced vegetation throughout. No erosion or subsidence identified at this time.  Excessive amount of Canada thistle throughout entire tract  both on and off ROW. Landowner compensated previously to deal with weeds, no work required – issue resolved.   Washout repaired in 2014 along field drainage at west ¼ line shows no signs of erosion, is vegetated, and is functioning effectively, issue is resolved. July 26, 2015 - Erosion and bare patches on ROW are consistent with off ROW. Issue resolved. 2012 issue of subsidence (KP 3+800) and erosion (KP 3+950) no longer evident, issues resolved.","June 8, 2016- This tract has been seeded to canola, emerging plants consistent with off ROW.   Canada thistle was identified at Kp 3+800, controlled by landowner, issue resolved.   An abundance of rocks are present both on and off right way.   2014 Erosion repair along west ¼ line is well vegetated, no drainage issues or ponding water, issue resolved.",,,
SW 24-75-10 W6,Cultivated,CReduced crop growth  ompaction,"  Seeded to canola, no issues assess growth later in season.","May 25, 2014 - Uneven contouring of soils observed throughout majority of ROW, normal farming practices should remediate issue. Continue to monitor. Minor subsidence noted (KP 4+015). Recently reseeded. No other issues to report.","May 25, 2015 - Vegetation and weeds are comparable to off ROW. No signs of admixing or erosion.   Minor subsidence as noted last year (KP 4+015). Continue to monitor. 2012 compaction and reduced crop growth (KP 3+950 to 4+050) is no longer evident, issues resolved.","June 1, 2016- Vegetation comparable to off ROW. Tract has been seeded to cereal crop.     No subsidence or erosion, previously noted subsidence (including KP 4+015) and uneven contouring repaired by normal farming practices, issues resolved.   No noxious weeds observed.",,,
SE 23-75-10 W6,Treed,No,"  Good growth, few weeds and no subsidence. Foreign line crossing at KP 5.1 left hydrovac holes. Contact foreign line owner to complete repairs.","May 25, 2014 - ROW fenced off, leave fences in place at this time, although portions of the fencing wire have been removed and grazing is occurring on the ROW. Several sections of fence are damaged/missing due to fallen trees. Removed several trees off fence so no further damage could occur. Recommend fixing sections. Rutting on ROW as a result of third party activities. Uneven contouring on extra workspace, north side of ROW. Minor intermittent subsidence occurring along the length of ROW, following ditch line. Foreign hydrovac holes still present on ROW from perpendicular line crossing. August 1, 2014 - Remove trees from fencing and fence repairs completed.   Filled 3 hydrovac trenches at foreign pipeline crossing. Issue resolved.","May 25, 2015 - ROW is fenced in this tract. Good vegetation cover.    There are downed trees on the fence. Recommend removal of downed trees and fence repair.   Subsidence noted in previous report observed. Continue to monitor.    Weeds (dandelion) is comparable to off ROW.   No signs of admixing or erosion. July 20, 2015 - Fence removed, issue resolved.","June 1, 2016 -Vegetation on ROW is tame pasture, off ROW is treed. Grasses, clover, Dandelion, hemp nettle and common weeds found on ROW. Vegetation cover is good.    Minor subsidence noted throughout tract is stable and it is not impacting land use or the ROW from attaining equivalent land capability, issue resolved.",,,
SW 23-75-10 W6,Treed,Rutting,,"May 25, 2014 - Fencing damage, trees overhanging, rutting, and uneven contour in workspace. Intermittent subsidence located. Numerous fencing repairs required. Some of the wire on the fence has been pulled back to allow livestock to graze. August 1, 2014 - Removed trees from fencing and repaired fencing.","May 25, 2015 - ROW is fenced in this tract. Good vegetation cover.   Minor subsidence (KP 6+100) at two locations. Continue to monitor. There are downed trees on the fence. Recommend  removal of downed trees and fence repair. Rutting observed in 2012 (KP 5+670 and 6+190) is stable  and not impacting the recovery of the ROW, issue resolved.   Weeds (dandelion) are comparable to off ROW. No signs of admixing or erosion.  July 20, 2015 - Fence removed, issue resolved.","June 1, 2016- Vegetation on ROW is tame pasture, off ROW is treed.   Minor subsidence noted throughout tract (including KP 6+100) is stable and it is not impacting land use or the ROW from attaining equivalent land capability, issue resolved.",,,
SE 22-75-10 W6,Hay,AWeeds dmixing,"  June - Poor growth, however during discussion with the landowner, they are planning to work up the whole quarter and put back into fescue, so will look after, no issues. Landowner working the land for the seeding of fescue grasses would resolve the 2012 weed and admixing (KP 6+500 to 7+330), issues resolved.   September – landowner concern with weeds on entire ROW. Detailed assessment completed.","May 25, 2014 - Appears to have been seeded last fall to hay. Minor erosion rills on and off ROW throughout tract. Seeded vegetation just beginning to emerge.","May 29, 2015- Moderate vegetation establishment on ROW as opposed to off ROW ~75%.    Erosion rills on and off ROW throughout tract. Erosion at KP 6+910 mainly on ROW on minor slope, rill erosion noted off ROW, but not as prevalent. Erosion is a result of landowner reseeding the field and ROW, not a result of pipeline construction, issue resolved.","June 8, 2016- Vegetation and weeds similar to off ROW.    Bare patches exist throughout ROW and are consistent with off ROW cover.    ROW has signs of recent vehicle track down centre.    Weeds are managed by landowner, evidence of recent weed control were noted.",,,
,Drainage,No,,"May 25, 2014 - Ephemeral draw exhibiting flow at this time. Poor grass establishment on ROW, continue to monitor. No erosion and no defined bed or bank. Pipeline markers exist on parallel NGTL pipelines within ephemeral draw crossing, however not on Project ROW.","May 29, 2015 - Drainage exhibits good vegetation establishment, no erosion. Poor vegetation issue noted in 2014 is resolved.   Canada thistle noted on either side of drainage. Landowner compensated previously to address weeds, issue resolved.   No pipeline markers on either side of drainage. Install as soon as practical in 2016, pending landowner approval.","June 8, 2016 - Well vegetated, low water flowing.   Willows established.    No signs of erosion or slumping.     Canada thistle bordering farmed area. Landowner compensated previously to address weeds, issue resolved. July 22, 2016 - Landowner requested that signs and marker posts are not to be installed due to the inconvenience of farming around them. Issue resolved.",,,
,Rare plants – golden saxifrage,,"KP 7+350 On August 7, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. Clover species were dominant on the ROW which potentially inhibited the rare plant’s growth. In addition, high water levels unrelated to project construction (i.e., naturally occurring) were also suspected to have affected the vegetation growth at the site. Resolved and unsuccessful: No further monitoring is recommended, issue resolved.",,,,,,
SW 22-75-10 W6,Hay,CWeeds  ompaction,,"May 25, 2014 - Recently cultivated (no longer hay land) no issues at this time. Not seeded. Last year’s crop indicates canola. Weed issue noted in 2012 (KP 7+330 to 8+140) is no longer relevant (land now in cultivation with weeds managed by landowner). Issue resolved.","May 29, 2015 - Previously cultivated by landowner.   No signs of subsidence, admixing or erosion.   No evidence of compaction noted in 2012 (KP 7+330 to 8+140) remains, issue resolved.","June 8, 2016 - Vegetation comparable to off ROW (Crop coming in). Minor issues with subsidence and weeds (perennial sow thistle) were noted. Discussions with the landowner indicate that the field will be worked (turned over) addressing the subsidence noted, issue resolved. The landowner also indicated that they preferred to address the weeds through their farming practices, issue resolved.",,,
SE 21-75-10 W6,Hay,Moderate vegetation establishment,,"May 25, 2014 - Grass cover significantly less on ROW. Dandelion may be inhibiting the growth of grasses on ROW. Monitor and control weeds if required.","May 29, 2015 - Percent cover is consistent on and off ROW. Vegetation consists of grasses, dandelion, alfalfa, and horsetail; there is approximately 60% alfalfa cover off ROW. Dandelion on ROW may be inhibiting other vegetative growth on ROW. Continue to monitor.   No subsidence, erosion or admixing was observed.","June 8, 2016 - Vegetation similar to off ROW - pasture consisting of Alfalfa, and grasses. Dandelion issue noted in 2014 and 2015 is no longer present, issue resolved. Vegetation establishment issue noted in 2012 (KP 8+140 to 8+360) no longer present, issue resolved.   No signs of erosion or subsidence.",,,
NE 16-75-10 W6,Hay,EModerate vegetation establishment rosion,"  Minor subsidence and erosion at KP 8.7, requires repair.","May 26, 2014 - Good establishment of Alfalfa on ROW - comparable to off ROW, moderate vegetation issue noted in 2012 (KP 8+360 to 9+000) is resolved. Minor subsidence/contouring issue and erosion exists intermittently. Monitor and assess when hay removed. Depressions present with uneven contouring and erosion rills along ditch line. Erosion identified meandering back and forth across ROW as well as along ditchline. October 1, 2014 – Vegetation was mowed to expose subsidence and erosion. October 5, 2014 – Soils were raked and the ROW contoured to fill minor subsidence and erosion (KP 8+580 to 8+700). Area was seeded and finally raked.","May 29, 2015 - Vegetation is comparable to off ROW. Consists of alfalfa, grasses and dandelion.    Subsidence/contouring issues, noted in 2014 present, but stable. Continue to monitor.   No signs of admixing.","June 8, 2016- Vegetation similar to off ROW. Alfalfa.    2014 repair at KP 8+580 to 8+700, is stabilized (no further erosion or subsidence) and well vegetated. Issue resolved.   Remaining subsidence/contouring noted in 2014 and 2015 is stable and it is not impacting land use or the ROW from attaining equivalent land capability, issue resolved.",,,
,Drainage,Rutting,,"May 26, 2014 - Drainage appears to be utilized as an ATV crossing. Substantial flow within intermittent drain. Good vegetation establishment in riparian zone along both sides of intermittent drainage banks. Wetland amphibians present.","May 29, 2015 - Vegetation is comparable to off ROW. Species present include grasses, willow, dandelions, and lily pads. Drainage - Banks are stable and no erosion was observed but the banks have been rutted through third party ATV use.   There were no pipeline markers present, install as soon as practical in 2016.","June 8, 2016 -Well vegetated. No defined bed and banks. No erosion, subsidence, or sloughing.  No noxious weeds observed. July 27, 2016 - Markers, sign post and sign were installed on both sides of crossing, issue resolved.",,,
,Rare plants – golden saxifrage,,"KP 8+450 On August 7, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. The site could not be accessed as it was located within the boundaries of an elk farm which was fenced off. The rare plant coordinate was off the ROW and there are no indications that the construction activities would have affected the rare plant site (well-developed shrubs between ditchline and rare plant site indicate that construction activities did not occur within habitat). The habitat along the creek looked suitable for golden saxifrage along the edges of the ROW even though the 2013 crew did not observe. Resolved: No further monitoring is recommended, issue resolved.",,,,,,
NW 16-75-10 W6,Tame Pasture/Treed,No,  No issues noted.,"May 26, 2014 - Converted to hay land and is seeded to Alfalfa and grasses. Vegetation established 75-80% compared to parallel pipeline off ROW. Minor subsidence intermittent throughout tract. Minor rutting exists on East side of valve site off ROW.","May 29, 2015 - The ROW consists of alfalfa and grasses. Off ROW is treed with deciduous. Stinkweed and tall buttercup observed.   Rutting (due to 3rd party activity) is present on the west end of the tract.   No signs of subsidence (minor subsidence is no longer evident with the improved vegetation cover, issue resolved), erosion or admixing.","June 8, 2016 - Vegetation and weeds similar to adjacent ROW. Noxious weed, tall buttercup, was not located, issue resolved.   Off ROW is not fenced and is treed.   No erosion or subsidence observed.",,,
