Legal Location,1st Year Issue/Condition,1st Year (2016) Issue(s),2nd Year (2017) PCRM Assessment and Work Completed,3rd Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 28-063-07 W6,None 3+765 to 4+220,- good vegetation establishment,"June 17, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - KP 3+860 – Bull thistle observed, recommend herbicide application. July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 11, 2017 – KP 3+800 – Herbicide application conducted to control bull thistle.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, sedges, birdsfoot trefoil, vetches, avens, raspberry and clover. - Meadow hawkweed (intermittently) and bull thistle (KP 4+315) observed, recommend herbicide application. - KP 4+180, Ponding water observed, recommend repairs. - No erosion or subsidence was observed in ¼. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and bull thistle (KP 3+800 to 3+860). August 20, 2018 - No additional noxious weeds were observed. Sept 5, 2018 - No noxious weeds were identified on ROW. Sept 6 and 7, 2018 – KP 4+620 – Silt fence removed from drainage, issue resolved. - KP 4+180 – Ponding water issue repaired, issue resolved.",,,
SE 28-063-07 W6,Temporary Ponding (moderate) 3+940,- temporary ponding was noted against the roach - issue repaired fall of 2016 - Issue resolved,"June 17, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - KP 3+860 – Bull thistle observed, recommend herbicide application. July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 11, 2017 – KP 3+800 – Herbicide application conducted to control bull thistle.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, sedges, birdsfoot trefoil, vetches, avens, raspberry and clover. - Meadow hawkweed (intermittently) and bull thistle (KP 4+315) observed, recommend herbicide application. - KP 4+180, Ponding water observed, recommend repairs. - No erosion or subsidence was observed in ¼. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and bull thistle (KP 3+800 to 3+860). August 20, 2018 - No additional noxious weeds were observed. Sept 5, 2018 - No noxious weeds were identified on ROW. Sept 6 and 7, 2018 – KP 4+620 – Silt fence removed from drainage, issue resolved. - KP 4+180 – Ponding water issue repaired, issue resolved.",,,
SE 28-063-07 W6,Moderate to High Issues with Plant Growth (high) 4+220 to 4+645,- decreased percent cover of vegetation was noted throughout the remainder of the quarter section - sparse areas of establishing native vegetation were observed,"June 17, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - KP 3+860 – Bull thistle observed, recommend herbicide application. July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 11, 2017 – KP 3+800 – Herbicide application conducted to control bull thistle.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, sedges, birdsfoot trefoil, vetches, avens, raspberry and clover. - Meadow hawkweed (intermittently) and bull thistle (KP 4+315) observed, recommend herbicide application. - KP 4+180, Ponding water observed, recommend repairs. - No erosion or subsidence was observed in ¼. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and bull thistle (KP 3+800 to 3+860). August 20, 2018 - No additional noxious weeds were observed. Sept 5, 2018 - No noxious weeds were identified on ROW. Sept 6 and 7, 2018 – KP 4+620 – Silt fence removed from drainage, issue resolved. - KP 4+180 – Ponding water issue repaired, issue resolved.",,,
,Temporary Ponding (moderate) 4+500,- ponding was noted against the roach - issue repaired fall of 2016 - Issue resolved,,,,,
,Erosion Control 4+620,- silt fencing was down on the ROW - silt fencing repaired fall of 2016 - Issue resolved.,,,,,
NE 21-063-07 W6,Rollback 4+900 to 5+060,,"June 17, 2017 - KP 4+900 – 5+000 Rollback present and functional.","June 28, 2018 - Access control (rollback) within tract from KP 4+900 to KP 5+000 is functional, as no third-party use along ROW was identified.",,,
NE 21-063-07 W6,Moderate to High Issues with Plant Growth 4+645 to 5+575,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 17, 2017 - Vegetation cover on the ROW is 65 – 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - KP 4+780 – 4+800 – Erosion rill observed, recommend installation of erosion control materials. - KP 5+050 – Meadow hawkweed observed, recommend herbicide application July 11, 2017 – KP 5+000 to 5+200 – Intermittent herbicide application conducted to control meadow hawkweed. September 11, 2017 – KP 4+800 – Herbicide application conducted to control scentless chamomile. Meadow hawkweed no longer present, issue resolved. September 17, 2017 - KP 4+780 to 4+800 – Erosion control materials installed, issue resolved. - Silt Fencing was removed from pipeline crossing at KP 4+810 and road crossing at KP 4+850 as areas are fully vegetated (80-100% cover) and silt fence is no longer required, issue resolved.","June 28, 2018 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control with some areas on work side exhibiting 65-80% cover. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, raspberry, large-leaf aven, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - Perennial sow thistle (KP 4+815), Canada thistle (KP 4+815), orange hawkweed (KP 4+800), and meadow hawkweed (KP 4+645 to 5+575) observed, recommend herbicide application. - KP 4+850 - Mat identified on work side, recommend removal. - KP 4+780 to 4+800 – 2017 erosion repairs are stable with vegetation infilling. - Cross drains are functioning well as no ponding was observed. - No subsidence was identified within tract. July 16, 2018 – KP 4+645 to 5+575 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 4+815). Previously noted perennial sow thistle, Canada thistle, and orange hawkweed were no longer present, likely outcompeted by desirable vegetation, issues resolved. Sept 5, 2018 - No noxious weeds were identified on ROW. Sept 6 and 7, 2018 – KP 4+850 – Mat removed and disposed of. Issue resolved.",,,
SE 21-063-07 W6,Rollback 5+950 to 6+070,,"June 17, 2017 - Rollback present and functional","June 28, 2018 - Rollback from KP 5+500 to KP 6+070 functioning well. Vegetation infill is 50 to 65% in the roll back area.",,,
SE 21-063-07 W6,Moderate to High Issues with Plant Growth (moderate) 5+575 to 6+485,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 17, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - Cross drains in good condition and functional.  - KP 6+500 - Scentless chamomile identified one plant on work side, picked/bagged and disposed of. - No soil stability issues. July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile. September 11, 2017 – Herbicide application conducted to control perennial sow thistle (KP 5+800) and scentless chamomile (KP 5+820, 6+190, and 6+500). Meadow hawkweed no longer present, issue resolved.","June 28, 2018 - Vegetation cover on the ROW is 65-80% comparable to off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, vetch and willows. - Meadow hawkweed (intermittently) and scentless chamomile (KP 6+460) observed, recommend herbicide application. - KP 6+460 – Ponding observed, repairs recommended to alleviate. - KP 5+670 – Piece of crushed culvert observed, recommend removal. - No subsidence or erosion observed during assessment. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 6+460) and bull thistle (KP 5+845) August 20, 2018 – Successful control of weeds observed. KP 6+460 – a few individual scentless chamomile plants were picked, bagged and disposed of. Sept 5, 2018 - No noxious weeds were identified on ROW. Sept 7, 2018 – KP 5+670 – Piece of culvert removed from ROW, issue resolved. - KP 6+460 – Repairs completed to alleviate ponding, issue resolved.",,,
NW 16-063-07 W6,Rollback 6+700 to 6+800,,"June 18, 2017 - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","June 28, 2018 - Rollback between KP 6+700 to 6+800 remains undisturbed and continues to provide effective access control as no third-party use was evident.",,,
,Moderate to High Issues with Plant Growth (high) 6+485 to 7+340,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 18, 2017- Vegetation cover on the ROW is 65-80%, compared to the off ROW control for most of the 1/4. Spoil side of ROW exhibits higher vegetation density than work side. 2016 decreased percent cover vegetation issue resolved. - Desirable vegetation continues to establish on ROW.  - Scentless chamomile observed throughout, recommend herbicide application. - Cross drains throughout ¼ are functioning and effective at maintaining hydrology.  - KP 6+900 and 7+100 to 7+130 – Minor erosion, recommend installation of erosion control materials. - KP 6+880 – Subsidence observed, recommend repairs. - Silt fence and wattles previously installed at KP 7+075 continue to function, leave in place.  July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and white cockle (KP 7+325) September 11, 2017 - KP 6+550 to 7+200 – Intermittent herbicide application conducted to control scentless chamomile. Meadow hawkweed and white cockle no longer observed, issue resolved. September 17, 2017 – KP 6+900 and 7+100 to 7+130 – Erosion repaired and control materials installed, issue resolved. - KP 6+880 – Subsidence repaired, issue resolved.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, sedges, birdsfoot trefoil, Indian paintbrush, vetches, avens, yarrow, bluebell and clover  - Meadow hawkweed (intermittently), scentless chamomile (KP 6+700 to 7+200), and bull thistle (KP 6+530), recommend herbicide application. - KP 6+600 – Ponding water observed, recommend repairs. - KP 7+070 – Silt fence at natural spring is no longer required, as there is adequate vegetation. Recommend removal. KP 7+100 and 7+130 – Additional (erosion materials were installed in 2017) erosion controls recommended as area has reduced vegetation cover. - KP 7+260 – Mat observed on ROW, recommend removal. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 6+700 to 7+200), and bull thistle (KP 6+530). August 20, 2018 – Scentless chamomile (KP 6+785, 6+950, 6+990, and 7+100 to 7+200) and perennial sow thistle (KP 7+145) observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. Sept 7, 2018 – KP 6+600 – Ponding issue repaired, issue resolved. - KP 6+900, 7+100, and 7+130 – Additional erosion control materials installed, issue resolved. - KP 7+070 – Silt fence removed, issue resolved. Sept 8, 2018 – KP 7+260 – Mat removed from ROW, issue resolved.",,,
,Erosion (moderate) 6+850,- erosion control below the ground water seepage is effective - erosion approximately 10 cm deep was noted across the ROW (above the ground water seepage and existing erosion control) - issue repaired fall of 2016 - Issue resolved,"June 18, 2017- Vegetation cover on the ROW is 65-80%, compared to the off ROW control for most of the 1/4. Spoil side of ROW exhibits higher vegetation density than work side. 2016 decreased percent cover vegetation issue resolved. - Desirable vegetation continues to establish on ROW.  - Scentless chamomile observed throughout, recommend herbicide application. - Cross drains throughout ¼ are functioning and effective at maintaining hydrology.  - KP 6+900 and 7+100 to 7+130 – Minor erosion, recommend installation of erosion control materials. - KP 6+880 – Subsidence observed, recommend repairs. - Silt fence and wattles previously installed at KP 7+075 continue to function, leave in place.  July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and white cockle (KP 7+325) September 11, 2017 - KP 6+550 to 7+200 – Intermittent herbicide application conducted to control scentless chamomile. Meadow hawkweed and white cockle no longer observed, issue resolved. September 17, 2017 – KP 6+900 and 7+100 to 7+130 – Erosion repaired and control materials installed, issue resolved. - KP 6+880 – Subsidence repaired, issue resolved.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, sedges, birdsfoot trefoil, Indian paintbrush, vetches, avens, yarrow, bluebell and clover  - Meadow hawkweed (intermittently), scentless chamomile (KP 6+700 to 7+200), and bull thistle (KP 6+530), recommend herbicide application. - KP 6+600 – Ponding water observed, recommend repairs. - KP 7+070 – Silt fence at natural spring is no longer required, as there is adequate vegetation. Recommend removal. KP 7+100 and 7+130 – Additional (erosion materials were installed in 2017) erosion controls recommended as area has reduced vegetation cover. - KP 7+260 – Mat observed on ROW, recommend removal. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 6+700 to 7+200), and bull thistle (KP 6+530). August 20, 2018 – Scentless chamomile (KP 6+785, 6+950, 6+990, and 7+100 to 7+200) and perennial sow thistle (KP 7+145) observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. Sept 7, 2018 – KP 6+600 – Ponding issue repaired, issue resolved. - KP 6+900, 7+100, and 7+130 – Additional erosion control materials installed, issue resolved. - KP 7+070 – Silt fence removed, issue resolved. Sept 8, 2018 – KP 7+260 – Mat removed from ROW, issue resolved.",,,
SW 16-063-07 W6,Rollback 7+320 to 7+550 & 7+650 to 7+770,,,"June 28, 2018 - Access control (rollback) from KP 7+320 to KP 7+550 and from KP 7+650 to KP 7+770 remains to function well as no third-party use along ROW was identified.",,,
SW 16-063-07 W6,Moderate to High Issues with Plant Growth (high) 7+340 to 8+240,"- decreased percent cover of vegetation was noted throughout the quarter section, except around watercourse 1","June 18, 2017 - Vegetation cover on ROW is predominantly 65-80% compared to the off ROW control. Some areas exhibiting 0-50% vegetation cover compared to off ROW control. Desirable vegetation continues to establish on ROW. - KP 7+525 and 8+220 to 8+240 – Scentless chamomile observed, herbicide application recommended. - Cross drain at KP 7+490 requires repairs. All others are functional. - No soil stability issues.  July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 8+220 to 8+240) September 11, 2017 – Herbicide application conducted to control perennial sow thistle and scentless chamomile. Meadow hawkweed no longer present, issue resolved. September 17, 2017 – KP 7+490 – Cross drain repaired, issue resolved.","June 28, 2018 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control with some areas on work side exhibiting 65-80% cover. Previous issues of reduced vegetation cover resolved. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, raspberry, large-leaf aven, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - Meadow hawkweed (KP 7+500 to 7+700) and scentless chamomile (KP 7+500 to 7+530) observed, recommend herbicide application. - No subsidence or erosion was identified within tract. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+600). August 21, 2018 – Meadow hawkweed (KP 7+500 to 7+700), scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+630 to 7+700) observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 7+500 to 7+700), scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+630 to 7+700).",,,
