Location Legal Location (WPM),Location Construction Start KP,Location Construction End KP,Location Environment Start KP,Location Environment End KP,Land Use/ Environmental Feature,Construction KP of Issue,Environment KP of Issue,UTM of Issue (14 U),Issue(s) Observed,Observations/Comments,Repair Work Completed by Enbridge,Status,Recommendations/Notes,VEC,GIS,Topic
NW 13-9-28 (cont’d),5.801,5.838,965.560,965.580,Wetland No. 26,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 13-9-28,5.899,6.687,965.489,966.298,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NE 13-9-28,6.117,6.157,965.710,965.750,Wetland No. 27,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 13-9-28,6.687,6.706,966.282,966.301,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
SW 18-9-27,6.736,7.541,966.806,967.138,Cultivated,7.290 to 7.300,966.888 to 966.898,346042E 5512598N to 346054E 5512598N,No issues observed.,"2015 – Higher density of weeds (perennial sow-thistle, yellow/white sweet-clover) were observed on the right-of-way and within the Enbridge right-of-way compared to off right-of-way (CH2M drainage and wetland assessment). 2016 – Weeds were observed at equal densities on the right-of-way compared to off the right-of-way. Equivalent land capability has been achieved.",The weeds issue observed in 2015 was likely rectified through normal agricultural practices.,Resolved.,No further action required.,,,
SW 18-9-27 (cont’d),6.795,6.855,966.390,966.450,Wetland No. 28,6.795,966.390,345573E 5512647N,Vegetation – Weeds.,2016 – Weed observations of perennial sow-thistle and white and yellow sweet-clover. 2017 – Weed observations of perennial sow-thistle. 2018 – Weed observations of Canada thistle and perennial sow-thistle along fence line and in fallow areas adjacent to wetlands on right-of-way.,--,Unresolved.,Control weeds in Spring 2019 and monitor weed growth in 2019.,,,
SW 18-9-27 (cont’d),7.172,7.282,966.770,966.880,Wetland No. 29,--,--,--,No issues observed.,"2016 – Wetland health: healthy with problems and high-moderate functional condition. Weed observations of white sweet-clover, perennial sow-thistle, and barnyard grass.  2017 – Wetland health: healthy and high-moderate functional condition. Wetland recovery is on a trajectory to equivalent health and function status.",--,Resolved.,No further action required.,,,
SW 18-9-27 (cont’d),7.322,7.361,966.920,966.960,Wetland No. 30,--,--,--,No issues observed.,2016 – Weed observations of foxtail barley and white and yellow sweet-clover. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 18-9-27,7.541,8.345,967.138,967.948,Cultivated,7.890 to 8.100,967.493 to 967.704,346640E 5512537N to 346848E 5512514N,No issues observed.,2015 – Rill erosion up to 30 cm deep and 310 m long was observed across the entire right-of-way (a sediment fence was present and functioning at the time of the assessment) (CH2M drainage and wetland assessment). 2016 – Rill erosion was not observed at the time of the assessment. Equivalent land capability has been achieved.,The rill erosion observed in 2015 was likely rectified through normal agricultural practices.,Resolved.,No further action required.,,,
SE 18-9-27,7.540,7.580,967.140,967.180,Wetland No. 31,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 18-9-27,8.195,8.215,967.800,967.820,Wetland No. 32,8.195,967.800,346950E 5512510N,No issues observed.,2016 – Slow vegetation establishment through wetland. Wetland appears to be cultivated. 2017 – Slow vegetation establishment through wetland. Wetland appears to be cultivated. 2018 – Slow vegetation establishment along depressed vehicle tracks observed through the wetland between cultivated fields. Wetland vegetation is well established on either side of the vehicle tracks.,--,Resolved.,Vehicle tracks through the wetland are preventing the establishment of wetland vegetation. The wetland is on a positive trajectory following construction of the Project. No further action required.,,,
SW 17-9-27,8.375,9.183,967.978,968.792,Cultivated,8.375 to 9.183,967.981 to 968.795,347125E 5512487N to 347929E 5512403N,No issues observed.,"2015 – Higher density of weeds were observed on the right-of-way and within the Enbridge corridor compared to off right-of-way (perennial sow-thistle, yellow/white sweet-clover) (CH2M drainage and wetland assessment). 2016 – Weeds were observed at equal densities on the right-of-way compared to off the right-of-way. Equivalent land capability has been achieved.",The weeds issue observed in 2015 was likely rectified through normal agricultural practices.,Resolved.,No further action required.,,,
SW 17-9-27,8.619,8.713,968.201,968.295,See above,8.619 to 8.714,968.227 to 968.323,347368E 5512470N to 347462E 5512461N,Landscape – Compaction.,2016 – Severe soil compaction was observed in the upper 10-15 cm of topsoil causing reduced crop height and overall establishment. 2017 – Compaction was noted along portion of the right-of-way causing reduced crop height and overall establishment. Issue has improved from 2016 and is likely to improve in 2018. 2018 – Soil compaction in the upper 10 cm and reduced crop height observed. Issue has improved from 2017 and is likely to improve further in 2019.,--,Unresolved.,Discing of the compacted soil is recommended for Spring 2019. Monitor crop growth in 2019.,,,
SW 17-9-27,8.751,8.830,968.360,968.440,Wetland No. 33,8.751,968.360,347511E 5512430N,No issues observed.,"2016 – Slow vegetation establishment at east and west wetland margins. 2017 – Weeds observations of perennial sow-thistle, white sweet-clover, foxtail barley, and prickly lettuce at west margin with slow vegetation establishment. 2018 – Weeds are equivalent on and off the right-of-way and are at low densities. Wetland vegetation is well established.",--,Resolved.,The wetland vegetation establishment and weed issue has resolved itself through natural processes. No further action required.,,,
SE 17-9-27,9.183,9.990,968.792,969.605,Cultivated,9.606 to 9.683,969.221 to 969.299,348348E 5512365N to 348424E 5512355N,No issues observed.,2016 – Reduced crop growth and density was observed on the right-of-way. No soil issues were observed. 2017 – Reduced crop growth and density was observed on the right-of-way. Conditions have improved from 2016.  2018 – Reduced crop growth and density was observed on and off the right-of-way within wetland margins.,--,Resolved.,Reduced crop growth was observed on and off the right-of-way is due to cultivation in the Class II/III zone of adjacent wetlands. Reduced crop growth is not related to the Project. No further action required.,,,
SE 17-9-27,9.227,9.257,968.840,968.870,Wetland No. 34,--,--,--,No issues observed.,2016 – Slow vegetation establishment at east and west wetland margins. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 17-9-27,9.535,9.585,969.150,969.200,Wetland No. 35,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 17-9-27 (cont’d),9.625,9.665,969.240,969.280,Wetland No. 36,9.625,969.240,348387E 5512365N,No issues observed.,"2016 – Wetland health: healthy with problems and high-moderate functional condition. Slow vegetation establishment at wetland margins. Weed observations of perennial sow-thistle. 2017 – Wetland health: healthy with problems and high-moderate functional condition. Slow vegetation establishment at wetland margins. Weed observations of perennial sow-thistle, Canada thistle, and foxtail barley. 2018 – Wetland health: healthy with problems and high-moderate functional condition. Wetland vegetation is well established and weed densities are equivalent on and off right-of-way.",--,Resolved.,No further action required.,,,
SE 17-9-27 (cont’d),9.834,9.843,969.450,969.460,Wetland No. 37,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 16-9-27,10.021,10.827,969.635,970.447,Cultivated,10.021 to 10.321,969.639 to 969.940,348763E 5512315N to 349059E 5512285N,No issues observed.,2015 – Admixed soils were observed (CH2M drainage and wetland assessment). 2016 – Admixing was not observed at the time of the assessment.  2017 – Minor admixing was observed at the time of the assessment. 2018 – Admixing was not observed at the time of the assessment.,Enbridge ameliorated admixed soils in 2015 using manure.,Resolved.,No further action required.,,,
SW 16-9-27,10.021,10.827,969.635,970.447,Cultivated,10.660 to 10.730,970.281 to 970.352,349397E 5512248N to 349467E 5512241N,No issues observed.,2015 – Rill erosion approximately 20 cm deep and 100 m long was observed transecting the entire right-of-way (no sediment fence was present at the time of the assessment) (CH2M drainage and wetland assessment). 2016 – Rill erosion was not observed at the time of the assessment. Equivalent land capability has been achieved.,The rill erosion observed in 2015 was likely rectified through normal agricultural practices.,Resolved.,No further action required.,,,
SW 16-9-27,10.162,10.231,969.780,969.850,Wetland No. 38,--,--,--,No issues observed.,2016 – Slow vegetation establishment due to cultivation within wetland margins. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 16-9-27 (cont’d),10.351,10.420,969.970,970.040,Wetland No. 39,10.351,969.970,349091E 5512281N,No issues observed.,"2016 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment at wetland margins along trench. Weed observations of foxtail barley. 2017 – Wetland health: healthy and high-moderate functional condition. Slightly elevated trench crown at east and west wetland margins, but hydrology not impeded. Slow vegetation establishment at wetland margins along trench. Weed observations of foxtail barley. 2018 – Wetland health: healthy and high functional condition. Elevated trench crown not observed at the time of assessment. Weed densities are low on and off right-of-way and observations include perennial sow-thistle and foxtail barley.",--,Resolved.,No further action required.,,,
SW 16-9-27 (cont’d),10.539,10.599,970.160,970.220,Wetland No. 40,10.539,970.160,349333E 5512255N,Vegetation – Establishment. Landscape - Subsidence,"2016 – Wetland has been cultivated through in recent past. Weed observations of foxtail barley. 2017 – Slow vegetation establishment due to cultivation. 2018 – Wetland health: unhealthy and low-moderate functional condition. Vegetation establishment is slow due to cultivation and many areas of bare soil are present. Landowner concerned about subsidence within the wetland; however, no subsidence was observed during the 2018 monitoring program.",Subsidence to be repaired at the request of the landowner in Winter 2018/2019.,"Unresolved.  Monitor wetland health and function,",vegetation establishment and subsidence repair in 2019.,,,
SE 16-9-27,10.827,11.635,970.447,971.260,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
SE 16-9-27,10.877,10.927,970.500,970.550,Wetland No. 41,10.877,970.500,349674E 5512222N,No issues observed.,"2015 –Elevated trench crown causing altered hydrological function on east and west wetland margins as well as a 7 m trench crown section in the center of the wetland (CH2M drainage and wetland assessment). 2016 – Wetland health: healthy with problems and high-moderate functional condition. Slow vegetation establishment due to cultivation. Weed observations of Canada thistle and perennial sow-thistle. 2017 – Wetland health: healthy with problems and high-moderate functional condition. Slow vegetation establishment due to cultivation. Weed observations of perennial sow-thistle, white sweet-clover, and foxtail barley. 2018 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment at the west margin. Weed densities were equivalent on and off right-of-way and observations include perennial sow-thistle and Canada thistle.",--,Resolved.,Wetland vegetation in the riparian area is unlikely to establish under the current land use (cultivation) and is considered resolved. No further action required.,,,
SE 16-9-27,10.967,10.987,970.590,970.610,Wetland No. 42,10.967,970.590,349734E 5512217N,Vegetation – Weeds.,"2016 – Wetland health: healthy and high-moderate functional condition. Weed observations of perennial sow-thistle and foxtail barley. 2017 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment due to cultivation. 2018 – Wetland health: healthy with problems and high-moderate functional condition. Weed densities were high and observations include Canada thistle, perennial sow-thistle, lamb’s-quarters, red-root pigweed and night-flowering catchfly.",--,Unresolved.,Control weeds in Spring 2019 and monitor weed growth in 2019.,,,
SE 16-9-27 (cont’d),11.086,11.175,970.710,970.800,Wetland No. 43,11.086,970.710,349945E 5512192N,No issues observed.,"2016 – Wetland health: healthy with problems and high-moderate functional condition. Slightly deeper water on either side of trench was noted. Slow vegetation establishment due to cultivation. Weed observations of perennial sow-thistle and foxtail barley. 2017 – Wetland health: healthy with problems and high-moderate functional condition. Slightly elevated trench crown at west wetland margin, but hydrology not impeded. Weed observations of perennial sow-thistle and foxtail barley. 2018 – Wetland health: healthy with problems and high-moderate functional condition. Slightly elevated trench crown (increased height of approximately 10 cm) at west wetland margin, but hydrology not impeded. Wetland vegetation is well established. Weed densities were low and equivalent on and off the right-of-way. Weed observations include Canada thistle and perennial sow-thistle.",--,Resolved.,No further action required.,,,
SE 16-9-27 (cont’d),11.285,11.305,970.910,970.930,Wetland No. 44,11.285,970.910,350038E 5512165N,No issues observed.,2016 – Bare ground in central wetland portion. 2017 – Slow vegetation establishment due to cultivation within wetland margins. 2018 – Wetland is cultivated throughout its extent. Crop is healthy at this site.,--,Resolved.,Wetland vegetation is unlikely to establish under the current land use (cultivation) and is considered resolved. No further action required.,,,
SE 16-9-27 (cont’d),11.581,11.608,971.210,971.240,Wetland No. 45,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 15-9-27,11.666,12.484,971.291,972.115,Pasture/Hay,11.666 to 12.484,971.298 to 972.122,350390E 5512145N to 351210E 5511957N,No issues observed.,"2016 – Yellow/white sweet-clover, perennial sow-thistle, Canada thistle, common plantain, smart weed and black-eyed Susan were observed at higher densities on right-of-way compared to off right-of-way. 2017 – Yellow/white sweet-clover, perennial sow-thistle, Canada thistle and smooth brome were observed at higher densities on right-of-way compared to off right-of-way. 2018 – Weeds (yellow/white sweet-clover, Canada thistle, smooth brome and perennial sow-thistle were observed at equivalent, low to moderate densities on and off the right-of-way.",--,Resolved.,Overall weed densities are decreasing annually and are equivalent on and off the right-of-way. No further action required.,,,
SW 15-9-27,11.666,12.484,971.291,972.115,Pasture/Hay,12.075,12.075,350653E 5512100N,No issues observed.,2017 – Minor subsidence observed on right-of-way. 2018 – Area of minor subsidence determined to be a Class I wetland that partially parallels the right-of-way. No subsidence observed on the right-or-way or within the wetland.,,Resolved.,No further action required.,,,
SW 15-9-27 (cont’d),11.708,11.747,971.340,971.380,Wetland No. 46,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
