Potential Adverse Environmental Effect,Identified Issue,Location(s) (KL/KP),2011 Post-Construction Observations and/or Monitoring,Issue Resolution Status at End of 2011,Implemented or Recommended Measures to Resolve Issues,VEC,GIS,Topic
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing due to sand spilling on topsoil or root zone material,"349.15 to 349.2, 354.25 to 354.3 382.6",Grass vegetation has establishing well at 354.25 to 354.3.,Resolved,Monitor for improved grass vegetation establishment at 349.15 to 349.2 and 382.6 only in 2012.,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing due to sand spilling on topsoil or root zone material,357.0,Grass vegetation has established on the area observed in 2010 with low grass establishment.,Resolved,,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing during ditching,414.0 to 415.0,Grass vegetation has established on the areas observed in 2010 with low grass establishment.,Resolved,,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing during backfilling,338.0,Grass vegetation has established on the area observed in 2010 with low grass establishment.,Resolved,,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing during backfilling (cont'd),462.5 to 462.6,Grass vegetation has established on the area observed in 2010 with low grass establishment.,Resolved,,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential soil mixing due to rutting,Wolf Lake Pump Station,"See ""Physical Environment - Erosion"" for comments",Resolved,,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for poor vegetation establishment due to rutting,317.4 317.5,Vehicle tire rutting was observed and low grass establishment.,Measure(s) Implemented,"Raked out ruts and seeded with native grass seed again in 2011 and fenced area to discourage vehicle use in this area, monitor in 2012 for vegetation establishment",SOIL AND SOIL PRODUCTIVITY,,
Contaminated sites,Potential for contamination due to chemical dust suppression,Jasper main yards,Grass and woody vegetation was establishing.,Measure(s) Implemented,"Recontoured subsoil to match the grade adjacent the disturbance, replaced topsoil, installed native grass seed and coniferous and deciduous plants. Irrigated installed plants and sprayed for weeds. Monitor in 2012 for vegetation establishment.",SOIL AND SOIL PRODUCTIVITY,,
Contaminated sites (cont’d),Potential for contamination due to chemical dust suppression (cont’d),Valemount main yard,"Grass establishment on the majority of the yard is progressing well, approximately three localized areas of low grass establishment were observed.",Unresolved,Monitor localized areas of low grass vegetation establishment in 2012.,SOIL AND SOIL PRODUCTIVITY,,
Loss or alteration of rare plant communities,Disturbance of rare plants communities,See Environmental Work Sheets for locations,See Section 2.3.2 for discussion.,Unresolved,Continue PCM for vegetation establishment,VEGETATION,,
Loss or alteration of rare vascular plants,Loss of rare vascular plants,321.8 332.38-334.55 (Parnassia parviflora and Trichophorum pumilum) 341.7 345.9 354.1 357.45 370.9 371.5 372.3 372.4 372.6 373.85 375.081 375.8 377.765 388.8 405.1 405.301 405.9,Monitoring by rare plant specialists was conducted in summer 2011. Mitigation undertaken during construction was determined to be unsuccessful for these plants in 2011 and no further mitigation is required.,Resolved,,VEGETATION,,
Loss or alteration of rare nonvascular plants,Loss of rare nonvascular plants,"Access Road (5888786, 432572) Access Road (5888786, 432572)Access Road (5888749, 432573)  344.3 Access Road356.5  362.465 379.75 (Pter ova) 379.75 (Didy sp.)380.2 384.2",Monitoring by rare plant specialists was conducted in summer 2011. Mitigation undertaken during construction was determined to be unsuccessful for these plants in 2011 and no further mitigation is required.,Resolved,,VEGETATION,,
Disturbance to Haller's apple moss,"Bartramia halleriana, COSEWIC and SARA-listed species",407.5,"120 large trees (coniferous and deciduous) and a jute screen (located on the west side of the population) were installed adjacent the Haller’s Apple Moss population in spring 2011 and fall 2010 respectively, at the request of the Haller's Apple Moss Recovery Team. The large trees, in addition to the smaller trees, shrubs and grass vegetation that were installed prior to 2011, were observed establishing well. The screen located on the west side of the population was functioning as planned.",Measure(s) Implemented,Monitor in 2012 for woody and grass vegetation establishment,VEGETATION,,
Revegetation of disturbed areas,Potential for unsuccessful revegetation,337.5 to 338.1 338.1 to 339.2 Athabasca River west side,Grass and salvaged/replanted woody riparian plants were observed establishing.,Resolved,,VEGETATION,,
Revegetation of disturbed areas,Potential for unsuccessful revegetation,424.9 to 424.95 460.5 to 460.8,Low grass establishment was observed.,Unresolved,Install soil retention measures and reseed at 424.9 to 424.95; monitor for vegetation establishment in 2012,VEGETATION,,
Revegetation of disturbed areas,Potential for unsuccessful revegetation,Chappel Pump Station,"Localized areas of low vegetation establishment were observed adjacent the facility fencing, and within open areas adjacent the pump station and access road.",Unresolved,Reseed areas of low vegetation establishment in spring 2012. Monitor for vegetation establishment in summer/fall 2012,VEGETATION,,
Revegetation of disturbed areas,Potential for unsuccessful revegetation,Hargreaves Scraper Trap,Localized areas of low vegetation establishment were observed adjacent the facility fencing.,Unresolved,Reseed areas of low vegetation establishment in spring 2012. Monitor for vegetation establishment in 2012,VEGETATION,,
Revegetation of disturbed areas,Woody plant damage due to mowing,325.9 (Gate Creek),"The majority of woody riparian vegetation that was inadvertently mowed by a third party contractor in the summer of 2010, resumed growth in 2011. 200 addition willow plants were installed and irrigated in 2011. All vegetation was observed establishing well.",Measure(s) Implemented,Monitor in 2012 for the establishment of woody vegetation installed in 2011,VEGETATION,,
Native grass/forb/woody plant re-establishment,"Small, localized areas of low grass establishment",314.5 to 450.2,Grass vegetation has established on the majority of the areas observed in 2010 with low grass establishment.,Resolved,,VEGETATION,,
Native grass/forb/woody plant re-establishment,"Small, localized areas of low grass establishment",314.5 to 450.2,Low to moderate grass establishment was observed at select sites.,Measure(s) Implemented,Localized areas will be monitored in spring 2012 and reseeded as warranted. Seeded areas will be monitored in 2012 for vegetation establishment,VEGETATION,,
Native grass/forb/woody plant re-establishment,Sites with low forb or woody plant establishment,336.85,460 silver berry plants were installed at 336.85 in 2011. All vegetation was observed establishing well.,Unresolved,Monitor in 2012 for the establishment of woody vegetation installed in 2011,VEGETATION,,
Native grass/forb/woody plant re-establishment,Sites with low forb or woody plant establishment,373.8 (replaced with grass),Grass vegetation was observed establishing well at 373.8.,Resolved,,VEGETATION,,
Native grass/forb/woody plant re-establishment,Sites with low forb or woody plant establishment,354.1 (see sunken trench),Approximately 150 willow stakes where installed at the banks of the 354.1 crossing in fall 2010. The majority (~80%) of willow stakes were observed establishing in 2011.,Resolved,,VEGETATION,,
Native grass/forb/woody plant re-establishment (cont’d),Sites with low forb or woody plant establishment (cont’d),458.15,All vegetation located adjacent to the channel banks was observed establishing well.,Unresolved,The watercourse at 458.15 will be reconstructed in 2012. Woody plants will be salvaged prior to channel reconstruction and replaced immediately following the completion of earthworks.,VEGETATION,,
Native grass/forb/woody plant re-establishment (cont’d),Identification and treatment of weeds in the Project area,See Appendix A for right-of-way locations,Tables A1 and A2 identify locations of weeds and treatments undertaken in 2011.,Measure(s) Implemented,Weed control completed. Monitor in 2012 for weed spread or establishment and treat as necessary,VEGETATION,,
Acceleration of the spread of forest health pathogens,Potential spread of forest health pathogens,See Appendix C,Forest health management is considered complete.,Resolved,,VEGETATION,,
Acceleration of the spread of forest health pathogens,Beetle infected trees located,See Appendix C,Forest health factors monitoring/sanitation procedures outlined in Appendix C will be implemented in winter/spring 2012 where beetle infested spruce or Douglas-fir windthrow were identified in 2011.,Unresolved,Monitor spruce and Douglas-fir windthrow only,VEGETATION,,
Disturbance to off right-of-way areas,Non-Project horse training area established on the right-of-way,324.0,Low grass establishment was observed.,Resolved,,VEGETATION,,
Alterations of natural flow patterns,Alteration of flow due to rock berm installation,362.0,No issues regarding flow were identified during the assessment of the rock berm as part of the Supplemental Wetland Function Study conducted in 2011,Resolved,,WATER QUALITY AND QUANTITY,,
Disruption of stream flow Reduction of surface water quantity,Interruption of downstream flow due to seepage into ditchline,409.1,See Section 2.4 for details.,Resolved,,WATER QUALITY AND QUANTITY,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,332.0 [fish-bearing] Central segment of riparian area adjacent waterbody,2010 and previously installed plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,338.0 and 338.14 [fish-bearing] Unnamed Creeks,Plants salvaged and re-installed in 2009 were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,341.7 [fish-bearing] Devona Creek,2010 and previously installed plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,352.2 [fish-bearing] Pretty Creek,2010 and previously installed plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,354.1 [fish-bearing] Snaring Reservoir Creek,2010 and previously installed plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,366.5 [nonfish-bearing] east bank of Palisades Creek,2010 and previously installed plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Insufficient establishing plants at watercourse riparian areas (cont’d),375.0 [fish-bearing] east bank of Cottonwood Creek,2011 and previously installed plants were observed establishing.,Measure(s) Implemented,25 spruce were installed in 2011. Monitor in 2012 for vegetation establishment.,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Insufficient establishing plants at watercourse riparian areas (cont’d),379.1 [fish-bearing] Cabin Creek,2011 and previously installed plants were observed establishing.,Measure(s) Implemented,20 willow and 30 balsam poplar were installed in 2011. Monitor in 2012 for vegetation establishment.,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Insufficient establishing plants at watercourse riparian areas (cont’d),383.2 [fish-bearing] Miette River No. 1,2011 and previously installed plants were observed establishing.,Measure(s) Implemented,50 spruce were installed on each bank in 2011. Monitor in 2012 for vegetation establishment.,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Insufficient establishing plants at watercourse riparian areas (cont’d),390.3 [fish-bearing] Meadow Creek,2011 and previously installed plants were observed establishing.,Measure(s) Implemented,40 and 45 spruce were installed on the east and west banks respectively in 2011. Monitor in 2012 for vegetation establishment.,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Insufficient establishing plants at watercourse riparian areas (cont’d),411.6 [fish-bearing] west bank of Rockingham Creek,2011 and previously installed plants were observed establishing.,Measure(s) Implemented,75 spruce were installed in 2011. Monitor in 2012 for vegetation establishment.,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Insufficient establishing plants at watercourse riparian areas (cont’d),414.4 [fish-bearing] Unnamed Watercourse/wetland,2010 and previously installed plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Clearing or grading within a watercourse buffer zone,366.2 Palisades Creek,Plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont’d),Clearing or grading within a watercourse buffer zone,390.3 Meadow Creek,Plants were observed establishing.,Resolved,,FISH AND FISH HABITAT,,
Instream habitat loss and alteration (including fish-bearing and nonfish-bearing watercourses),Potential for instream habitat loss due to lack of downstream flows,409.1,See Section 2.5 for details.,Resolved,,FISH AND FISH HABITAT,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alteration of wetland function due to soil mixing,357.7,Monitoring by a wetland specialist conducted as per Parks Canada request. Low grass establishment observed on west edge of wetland.,Unresolved,Monitor in 2012.,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alternation of wetland function due to installation of a rock berm,362.0,No issues of concern were identified during the assessment of the rock berm in 2011.,Resolved,,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alteration of wetland function due to poor revegetation,332.0,"Woody vegetation was observed establishing, localized areas on the east side of the berm were observed with low vegetation establishment.",Unresolved,Monitor for continued vegetation establishment in 2012. Discussions with Parks Canada are on-going.,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alteration of wetland function due to poor revegetation,357.7,Monitoring by a wetland specialist conducted as per Parks Canada request. Woody and herbaceous plant material was observed establishing.,Resolved,,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alteration of wetland function due to poor revegetation,407.1 to 407.4,Monitoring by a wetland specialist conducted as per Parks Canada request. Low grass establishment was observed.,Unresolved,Monitor for continued vegetation establishment in 2012. Discussions with Parks Canada are on-going.,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (cont’d)",Potential alteration of wetland function due to construction encroachment,332.0,Post-construction concern from DFO regarding encroachment into the wetland margin.,Resolved,,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (cont’d)",Potential alteration of wetland function due to construction encroachment,334.0,Post-construction concern from DFO regarding encroachment into the wetland margin.,Resolved,,WETLANDS,,
Disturbance to Haller's apple moss,"Bartramia halleriana, COSEWIC and SARA-listed species",407.5,"See ""Vegetation - Disturbance to Haller's apple moss"".",Measure(s) Implemented,Monitor in 2012 for maintenance and growth of the colony.,SPECIES AT RISK,,
Visual linear disturbance,Visual linear disturbances along Decoigne Road. Parks Canada request for additional planting.,396.0,"Grass, forb and woody vegetation were observed establishing on the causeway.",Resolved,,VISUAL AESTHETICS,,
Visual linear disturbance,Visual linear disturbances along Decoigne Road. Parks Canada request for additional planting.,396.7 to 398.1,"Grass, forb and woody vegetation were observed establishing.",Resolved,,VISUAL AESTHETICS,,
