Legal Land Description (W4),Land Use,1st Year (2015) Issue(s),<s>2nd Year (2016) PCRM Assessment and Work Completed</s>,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Potential Western Toad Breeding Pond,Wildlife Habitat,,"Sept 16, 2017 - Non-woody Fen on ROW from KP 1+840 to 1+940 appears to be at full functionality. Wetland on ROW has been designated on upslope area with down sloping terrain to the north and south resulting in dry conditions on ROW and wet conditions in low lying areas downslope. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of graminoids and broadleaf shrubs. No hydrophytic vegetation able to emerge on ROW. - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Minimal humification occurring throughout wetland due to sloping terrain. - Substrate exhibiting dry sandy conditions on ROW. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SE-07-076-05,Forested,None,"Aug 12, 2016 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. Sept 12, 2016 – Additional herbicide application conducted to control perennial sow thistle.  Issue resolved.","June 29, 2017 - Oxeye daisy (KP 2+900), scentless chamomile (KP 2+400) and perennial sow thistle (intermittently) observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues Aug 24, 2017 – KP 2+300 to 3+050 – intermittent herbicide application conducted to control perennial sow thistle, oxeye daisy, and scentless chamomile.  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 2+390 to 2+590 appears to be at full functionality. Terrain on ROW is undulating resulting in varying levels of saturation resulting in diverse vegetation compositions. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum mosses in low areas with higher densities of broadleaf shrubs on upslope drier areas. - No noxious weeds were identified in wetland. - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities, with lesser moisture in upslope areas. Humification occurring throughout wetland through decomposing vegetation litter. - Substrate exhibiting semi to fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
,,"Rare Plant – KP 2+950 to 3+000 and 3+000 to 3+100 Three northern slender ladies’-tresses (S2; Spiranthes lacera) were observed on the south side of an undisturbed portion of the right-of-way. None were observed on the disturbed portion of the right-of-way but they are expected to re-establish over time. Additional monitoring committed to in June 24, 2016 NEB IR.","Species not observed on the disturbed portion of the ROW. Based on site observations, mitigation measures used during construction are considered effective with respect to minimizing soil disturbance in proximity to this location, and therefore maintaining suitable habitat for species re-establishment. As this species was observed during the previous rare plant monitoring event at this site (off-ROW), mitigation measures employed to avoid project related effects to the off-ROW occurrences of this population are considered effective. Further monitoring at this location is recommended for establishment of the target species on ROW.",,,,
SW-07-076-05,Forested,None,"Aug 12, 2016 - 60-70% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.  Issue resolved. Sept 12, 2016 - 60-70% vegetation established compared to off ROW. - Additional intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle observed throughout the tract, recommend weed control. Aug 24, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 3+500 to 3+600) and scentless chamomile (KP 3+100).  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 3+110 to 3+610 appears to be at full functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, rush, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled from influence from saturation. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
SW-07-076-05,Forested,Access Control / Microsites,,,,,
SE-12-076-06,Forested,None,"Aug 12, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile throughout tract.  Issue resolved. Sept 12, 2016 - No noxious weeds observed within tract during assessment. - KP 4+440 - Construction debris (piece of pipe) removed from ROW.  Issue resolved.","June 29, 2017 - Perennial sow thistle observed intermittently throughout tract, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues Aug 24, 2017 – KP 4+000 to 4+760 - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 3+810 to 3+980 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, rush, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled from influence from saturation. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding but is fully saturated. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed. - Treed Fen on ROW from KP 4+310 to 4+510 appears to be at full functionality. Wetland on ROW is within undulating terrain sloping downwards to the north resulting in drier substrate. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control with sandy areas exhibiting 65-80% cover. Vegetation consisting of graminoids, broadleaf shrubs and willows. Black spruce emerging on wetland fringes with common cattail and sphagnum mosses emerging in lower wet areas. - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Minimal humification occurring throughout wetland due to sloping terrain. - Substrate exhibiting mainly dry sandy conditions on ROW. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags.",,,
SE-12-076-06,Forested,"Rare Plant – KP 4+000 Two northern slender ladies’-tresses (S2; Spiranthes lacera) were observed on the south side of an undisturbed portion of the right-of-way. None were observed on the disturbed portion of the right-of-way but they are expected to re-establish over time. Additional monitoring committed to in June 24, 2016 NEB IR.","Species not observed on the disturbed portion of the ROW. Based on site observations, mitigation measures used during construction are considered effective with respect to minimizing soil disturbance in proximity to this location, and therefore maintaining suitable habitat for species re-establishment. As this species was observed during the previous rare plant monitoring event at this site (off-ROW), mitigation measures employed to avoid project related effects to the off-ROW occurrences of this population are considered effective.  Further monitoring at this location is recommended for establishment of the target species on ROW.",,,,
SW-12-076-06,Forested,None,"Aug 12, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 12, 2016 - No noxious weeds observed within tract during assessment.","June 29, 2017 - Perennial sow thistle observed intermittently throughout tract, recommend weed control. Aug 18, 2017 - Vegetation established at 80-100% of off ROW.  - No erosion or subsidence issues Aug 24, 2017 – KP 4+780 to 5+600 – Intermittent herbicide application conducted to control perennial sow thistle, common tansy (KP 5+200), and scentless chamomile (KP 4+800 and 5+170).  Issue resolved.",,,
,,Access Control / Microsites,,"Aug 18, 2017 - 5+300 Mounding Access Control is present and functioning.",,,
SE-11-076-06,Mineral Wetland (Emergent Marsh),None,,"Sept 15, 2017 - Emergent Marsh on ROW from KP 6+160 to 6+260 appears to be at full functionality. Wetland is inclusive of riparian zone to WC2. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum moss with sporadic emergence of willow and broadleaf shrubs. - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through decomposing vegetation litter. - Substrate exhibiting semi-saturated conditions with the outlet of wetland WC2. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",,,
SE-11-076-06,Unnamed Watercourse (WC2),None,"Silt fencing (east bank) removed in October 2015.  Issue resolved. Aug 4, 2016 - Watercourse 2 riparian buffers are stable and well vegetated, revetments are in good condition. - Remaining silt fencing is no longer required, vegetation is providing adequate sediment control.  Remove as soon as practical. Aug 12, 2016 - Creek banks are stable. - Reduced vegetation noted on ditchline. - Silt fencing removed.  Issue resolved.","Aug 18, 2017 - Creek banks are stable and vegetated - KP 6+480 - Marker signs/posts repaired, issue resolved.",,,
SE-11-076-06,Forested,Limited Vegetation Establishment (Moderate Issue),"Aug 12, 2016 - 60-70% vegetation established compared to off ROW. Bare patches of mulch present within tract. - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 15, 2016 - No noxious weeds observed during assessment of tract.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited vegetation issue from 2015 is resolved. - No erosion or subsidence issues - Perennial sow thistle observed, recommend weed control. Aug 24, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 5+900 to 6+200 and 6+250 to 6+550) and Canada thistle (KP 6+200 and 6+250).  Issue resolved.",,,
SW-11-076-06,Forested,None,"Aug 12, 2016 - 70-80% vegetation established compared to off ROW. - KP 7+150 – Herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 15, 2016 - 70-80% vegetation established compared to off ROW. - KP 7+150 – Additional herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. - KP 7+050 – Marker post repaired, issue resolved.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - 7+100 – Perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 24, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 6+600 to 7+500), Common Tansy (KP 7+100) and Scentless Chamomile (KP 7+140).  Issue resolved. Sept 15, 2017 - Treed Fen on ROW from KP 6+660 to 7+660 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, sphagnum moss, black spruce and sporadic emergence of broadleaf shrubs. Hydrophytic vegetation emerging on ROW (common cattail, arrowhead). - No noxious weeds were identified in wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Some areas exhibiting good peat accumulation and high humification; mottling observed. - Wetland exhibiting semi-fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, sufficient snags and standing water; birds observed throughout. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed.",,,
SW-11-076-06,Forested,Access Control / Microsites,,,,,
SW-11-076-06,Forested,"Rare Plant – KP 7+200 Five golden saxifrage (S4; Chrysosplenium iowense) plants were observed on the ditch crown of the right-of-way. Due to recent changes to the ACIMS classification – golden saxifrage is no longer considered rare. Additional monitoring committed to in June 24, 2016 NEB IR.","Species observed at the historically recorded pre-disturbance location. As this species was observed at this location during the rare plant monitoring, mitigation measures employed during construction are considered effective and this site is considered resolved. No further monitoring required.",,,,
SE-10-076-06,Forested,LCoarse Woody Debris Layer (High Issue) imited Vegetation Establishment (Moderate Issue),"Coarse woody debris and logs redistributed in January 2016.  Issue resolved. Aug 12, 2016 - 70-80% vegetation established compared to off ROW.  2015 limited vegetation issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.  Sept 15, 2016 - 70-80% vegetation established compared to off ROW. - Additional intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","Aug 18, 2017 - Vegetation established at 80 - 100% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle observed throughout tract, recommend weed control. Aug 24, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 7+500 to 8+160) and scentless chamomile (KP 7+815).  Issue resolved. Sept 21, 2017 - Treed Fen on ROW from KP 7+880 to 9+310 appears to be at full functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, tamarack and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, rush, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled from influence from saturation. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting semi to fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
SE-10-076-06,Forested,"Rare Plant – KP 7+950 Golden saxifrage (S4; Chrysosplenium iowense) was not observed on the right-of-way. Habitat on the right-of-way was characterized as suitable for re-establishment. Due to recent changes to the ACIMS classification – golden saxifrage is no longer considered rare Additional monitoring committed to in June 24, 2016 NEB IR.","Species not observed on the disturbed portion of the ROW. Based on the general habitat requirements of this species, mitigation measures used during construction (i.e. restoration of pre-disturbance contours) are considered effective with respect to restoring hydrology and micro-topography conditions favorable for species re-establishment at this location. Further monitoring at this location is recommended.",,,,
NE-03-076-06,Forested,None,"Aug 12, 2016 - 70-80% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. Sept 15, 2016 - 70-80% vegetation established compared to off ROW. - KP 8+180 – Additional intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","Aug 18, 2017 - Vegetation established at 80-100% of off ROW - No erosion or subsidence issues - Intermittent perennial sow thistle observed throughout tract, recommend weed control. Aug 24, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 8+160 to 8+470).  Issue resolved.",,,
NE-03-076-06,Forested,Material Left on Right-Of-Way (Moderate Issue),Mat removed in early 2016.  Issue resolved.,"Aug 18, 2017 - Vegetation established at 80-100% of off ROW - No erosion or subsidence issues - Intermittent perennial sow thistle observed throughout tract, recommend weed control. Aug 24, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 8+160 to 8+470).  Issue resolved.",,,
NE-03-076-06,Forested,Rare Plant – KP 8+200 Golden saxifrage (S4; Chrysosplenium iowense) Preconstruction location of rare plant was off right-of-way.  Construction did not impact population.  No further monitoring required.,,,,,
NW-03-076-06,Forested,None,"Sept 15, 2016 - 75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (KP 8+550, 8+650, 9+160, and 9+450) and Canada thistle (KP 8+550).  Issue resolved. - KP 9+400 – Repaired marker post/sign.  Issue resolved.","June 29, 2017 – Intermittent perennial sow thistle observed, recommend weed control. - Significant amounts of perennial sow thistle observed on adjacent wellsite in juvenile stages. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle observed throughout tract, recommend weed control. Aug 25, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 8+540 to 9+510).  Issue resolved. Sept 16, 2017 - Shrubby Fen on ROW from KP 9+310 to 9+410 appears to be at full functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, broadleaf shrubs and sphagnum moss. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, rush, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled from influence from saturation. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
NW-03-076-06,Forested,Access Control / Microsites,,,,,
