Environmental Issue/Concern,Legal Location/Site,Current Status 2010,Current Status 2011,Current Status 2012,Current Status 2013,Current Status 2014,Recommendations/Schedule for 2015,VEC,GIS,Topic
"Conversion
Site contours","NW 34-16-18-W2
Richardson Compressor/PS","Minor re-contouring to allow proper water drainage north into bar ditch
Re-contour to allow proper water drainage north into bar ditch - Spring thru Fall 2011",Site completed - No further work required,"•  Re-seeded reclaimed slurry pit area, north of station •  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","NE 23-15-5-W2
MLV 22","Electrical Trench sinkage - requires re-contouring.
Re-contour soil - Spring thru Fall 2011",Site completed - No further work required,•  Minor erosion was observed on the west side of the valve. Repair by discing in 2013.,"•  No issues, No work required  •  Minor erosion on west side of valve has been addressed by landowner by cultivation as part of normal farming operations","•  No issues, No work required",Monitor in 2015,,,
"Conversion
Site contours","NW 12-15-1-W2
Dig 657.1","Uniformly spread topsoil and re-seed to landowner mix
Uniformly spread topsoil and re-seed to landowner mix - spring thru fall 2011",Site completed - No further work required,•  Site was mowed and re-seeded in 2012,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours",Sites between SW 9-20-29 W3M and NW 17-12-14 WPM,Not applicable,42 new sites with minor subsidence from 2011 assessments.,•  See below for work completed and corresponding status from the 2012 program.,•  See below for work completed and corresponding status from the 2013 program.,,See below for 2015 recommendations,,,
"Conversion
Site contours","Dig 3
SE 11-20-29 W3M",Not applicable,Not applicable,Not applicable,Not applicable,"• Subsidence on dig site observed during spring assessment • Dig site was stripped, re-graded planned for fall 2014. Subsidence repair had been completed during 2014 summer from another TCPL / Keystone Project working in the same area.",Monitor in 2015,,,
"Conversion
Site contours","Dig 7.1
SE 8-20-28 W3M",Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment •  Subsidence was not repaired due to fall rye being seeded,"• Subsidence observed during 2013 assessment. Unable to complete do to landowner seeding fall rye. • Dig site was stripped, re-graded and reclaimed in Fall of 2014 • No further issues",Monitor in 2015,,,
"Conversion
Site contours","Dig 9
SE 2-20-27 W3M",Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 11.1 NE 34 19-26 W3M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 14 SW 31-19-25 W3M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 23 NE 13-19-21 W3M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 23.1  NE 18-19-20 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 23.1.1 NE 18-19-20 W3M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 24 SW 15-19-20W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 24.1 SE 15-19-20 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 26  SW 18-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Cabri Drip Removal Site NW 7-19-19 W3M,Not applicable,Not applicable,•  Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 28 NE 9-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 29 – 30.1 NW 10-19-19 W3M,Not applicable,Not applicable,•  Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 31 NE 10-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 No further issues",•  No Work Required - Natural field drainage had caused minor erosion on and off ROW and through the middle of the dig site. Landowner has repaired during normal farming operations,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 31.1 NE 11-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 32 NW 11-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,"Dig 32.1, 33 and 33.1 NE 11-19-19- W3M",Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues",•  No Work Required - Natural field drainage has caused minor erosion on and off ROW and through the middle of the dig site. Landowner has repaired during normal farming operations,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 36 SE 12-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 48-53 SE 7-19-18 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  Digs 48 – 49.1 - No issues, No work required •  Digs 50 – 52 – Top soil not uniform – repaired by disking / dragging •  Dig 53 - No issues, No work required","•  No issues, No work required",PMonitor in 2015  (Digs 50 – 52 only) CEM is considered to be complete on Digs 48-49.1 and Dig 53.,,,
Conversion  Site contours,Dig 67 NE 31-18-17 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 69 SW 33-18-17 W3M,Not applicable,Not applicable,•  Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 71 SW 35-18-17 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 73 NE 29-18-16 W3M,Not applicable,Not applicable,•  Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 143 – 149.2 SE 21-18-09 W3M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 173 SE 14-18-08 W3M,Not applicable,Not applicable,Not applicable,•  Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2014 •  No further issues,Monitor in 2015,,,
Conversion  Site contours,Digs 215 – 216  NW 1-18-3 W3M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during Fall Assessment. •  Subsidence was not repaired due to crossing agreement issue,•  Minor repairs required •  Repaired contours by filling with topsoil in 2014,Monitor in 2015,,,
Conversion  Site contours,Digs 226 & 227 NE 3-18-2 W3M,Not applicable,Not applicable,•  Not applicable,•  Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2014 •  No further issues",Monitor in 2015,,,
Conversion  Site contours,Digs 235 - 237 NW 6-18-1 W3M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment •  Subsidence was not repaired due to fall rye being seeded,•  Subsidence within dig sites has been repaired during normal farming practice.  •  No further work required.,Monitor in 2015,,,
Conversion  Site contours,Dig 256 SE 1-18-1 W3M,Not applicable,Not applicable,Not applicable,•  Not applicable,"•  Dig site to be stripped, re-graded and reclaimed in 2015","Strip, re-grade and reclaim at appropriate time in 2015 based on consultation with landowner.",,,
Conversion  Site contours,Digs 257-258 SE 1-18-1 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 260 SE 1-18-30 W2M,Not applicable,Not applicable,Not applicable,•  Not applicable,"•  Dig site to be stripped, re-graded and reclaimed in 2015","Strip, re-grade and reclaim at appropriate time in 2015 based on consultation with landowner.",,,
Conversion  Site contours,Dig 262 SE 1-18-30 W2M,Not applicable,Not applicable,Not applicable,Subsidence on dig site observed during spring assessment,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 276-278 SW 6-18 29 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Site contours,Dig 404 NW 32-17-28 W2M,,,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Site contours,Caron drip Removal Site SE 36-17-28 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Site contours,Dig 409 SE 33-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Site contours,Dig 414 NE 26-17-27 W2M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion Site contours,Dig 415-417 NE 26-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  Dig 414 – Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues •  Digs 415 – 417 - No issues, No work required","•  No issues, No work required",Monitor in 2015,,,
Conversion Site contours,Digs 418-420 NW 25-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Site contours,Digs 421 - 422 NW 25-17-27 W2M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 423-428 NE 25-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 430-431 NW 30-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 432-433 NE 20-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 434-435 NW 29-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 445 NW 26-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 448-449 SW 25-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 450 NE 25-17-26 W2M,Not applicable,Not applicable,•  Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 451 - 452 NW 30-17-25 W2M,Not applicable,Not applicable,•  Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 453-455 SW 30-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 460 SW 28-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Subsidence was not repaired due to crossing agreement issue  Haul topsoil into site in 2013,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 461  SW 27-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 462 NW 23-17-25 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 463 NE 23-17-25 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 464-466 NE 23-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 467 NW 24-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 470 - 471 NE 20-17-24 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 475-477.1 NW 22-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 481 - 482 NE 22-17-24 W2M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment •  No crop productivity issues observed •  Subsidence was not repaired due to crossing agreement issue,"•  Dig sites to be stripped, re-graded and reclaimed in 2015","Strip, re-grade and reclaim sites at appropriate time in 2015 based on consultation with landowner.",,,
Conversion  Site contours,Dig 483 NW 23-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 484-489 SW 23-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 490-492 SE 23-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 494 SE 19-17-23 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 495-497 SW 20-17-23 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 498 - 500 NW 15-17-23 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 501 NE 15-17-23 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 502-503 NE 14-17-23 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 507 SW 17-17-22 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 508 NW 10-17-22 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 509.1 SE 12-17-22 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 512 SE 04-17-20 W2M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 517 NE 34-16-19 W2M,Not applicable,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2014 •  No further issues,Monitor in 2015,,,
Conversion  Site contours,Dig 518 NE 35-16-19 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 519 NW 31-16-18 W2M,Not applicable,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2014 •  No further issues,Monitor in 2015,,,
Conversion  Site contours,Dig 521 NE 31-16-18 W2,Not applicable,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2014 •  No further issues",Monitor in 2015,,,
Conversion  Site contours,Digs 522 - 523 NW 32-16-18 W2M,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 524 NE 34-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 525-530 NW 35-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 531  NE 35-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 534 SE 36-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"• No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 535 SW 31-16-17 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into dig site to fill in subsidence and reclaimed in Fall of 2012 •  No further issues,"• No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 548 and 552 SE 32-16-17 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","• No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Regina Drip Removal Site  SE 32-16-17 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into dig site to fill in subsidence and reclaimed in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 563-564 SE 30-16-16 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2014 •  No further issues",Monitor in 2015,,,
Conversion  Site contours,Dig 579 NW 13-16-15 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
