Legal Location (W6M),1st Year (2013) Issue(s),1st Year (2013) Notes,2nd Year (2014) PCM Assessment,2015 PCM Assessment,VEC,GIS,Topic
SE 2-97-8 and NE 35-96-8,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 2-97-8 and NW 35-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover and pea vine species. There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 3-97-8 and NE 34-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. Weeds (sow thistle) were observed between approximately 3+600 and 4+000. The weeds appeared to have been sprayed, continue monitoring. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  Weeds were not observed during assessment, but were noted in 2014 at KP 3+600 and 4+000, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 3-97-8 and NE 34-96-8,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. Weeds (sow thistle) were observed between approximately 3+600 and 4+000. The weeds appeared to have been sprayed, continue monitoring. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  Weeds were not observed during assessment, but were noted in 2014 at KP 3+600 and 4+000, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 3-97-8 and NE 34-96-8,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. Weeds (sow thistle) were observed between approximately 3+600 and 4+000. The weeds appeared to have been sprayed, continue monitoring. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  Weeds were not observed during assessment, but were noted in 2014 at KP 3+600 and 4+000, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 3-97-8 and NW 34-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. There were no weeds observed. The wetland areas were well vegetated with mainly grass species. The cross drains were in appropriate locations. Bear activity was observed throughout this section of the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 3-97-8 and NW 34-96-8,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. There were no weeds observed. The wetland areas were well vegetated with mainly grass species. The cross drains were in appropriate locations. Bear activity was observed throughout this section of the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 4-97-8 and NE 33-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover and grass species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. Wetland area within this section of ROW and they appeared to be well vegetated with many grass species. Small willow species were emerging within the wetland areas at the time of the assessment. The cross drains were in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 4-97-8 and NE 33-96-8,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover and grass species (2013 moderate vegetation issue is resolved). Spruce trees have been planted in the bare mulch areas this growing season. Wetland area within this section of ROW and they appeared to be well vegetated with many grass species. Small willow species were emerging within the wetland areas at the time of the assessment. The cross drains were in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 4-97-8 and NW 33-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the vegetation ranging from grass and clover to aspen and poplar (2013 moderate vegetation issue is resolved). The wetland to the west of the Unnamed Tributary to the Chinchaga River #1 was well vegetated. Vegetation included a combination of herbaceous and woody species. Woody species included Dwarf Birch and Willow Species. The cross drains were in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
,Unnamed Tributary to Chinchaga River,"No erosion observed. Vegetation cover is moderate on upper slopes, but recovering well on creek banks and several seedlings observed. Sediment fence is covered by vegetation.","There was willow staking throughout the Tributary area. The willow stakes were approximately 0.3 m away from the water within the tributary. The willow staking was at a density of approximately 2 per liner meter. Native species observed included willows, poplar, strawberry, pea vine and sedges. No issues were observed. The total vegetation was moderate and is recovering well. No erosion observed.","- No issues noted. Monitor vegetation cover on banks and approach slopes and remove/repair silt fencing, as required.",,,
,Open Water Pond,Beaver activity is influencing hydrology on the ROW and causing water to pond. Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the vegetation ranging from grass and clover to aspen and poplar. The wetland to the west of the Unnamed Tributary to the Chinchaga River #1was well vegetated. Vegetation included a combination of herbaceous and woody species. Woody species included Dwarf Birch and Willow Species. The cross drains were in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the vegetation ranging from grass and clover to aspen and poplar. The wetland to the west of the Unnamed Tributary to the Chinchaga River #1was well vegetated. Vegetation included a combination of herbaceous and woody species. Woody species included Dwarf Birch and Willow Species. The cross drains were in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 5-97-8 and NE 32-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated (2013 moderate vegetation issue is resolved). Species identified during the assessment induced; aspen, poplar, clover and pea vine. At the time of the assessment Sow Thistles were observed at approximately 7+500. The weeds span a 30 m area along the roach. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. Weeds were not observed during assessment, but were noted in 2014 at KP 7+500, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 5-97-8 and NE 32-96-8,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated (2013 moderate vegetation issue is resolved). Species identified during the assessment induced; aspen, poplar, clover and pea vine. At the time of the assessment Sow Thistles were observed at approximately 7+500. The weeds span a 30 m area along the roach. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. Weeds were not observed during assessment, but were noted in 2014 at KP 7+500, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 5-97-8 and NE 32-96-8,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated (2013 moderate vegetation issue is resolved). Species identified during the assessment induced; aspen, poplar, clover and pea vine. At the time of the assessment Sow Thistles were observed at approximately 7+500. The weeds span a 30 m area along the roach. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. Weeds were not observed during assessment, but were noted in 2014 at KP 7+500, monitor and implement weed control, as required. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 5-97-8,Low Vegetation Establishment,Vegetation on the trench line and much of ROW has not yet established. Vegetation cover is anticipated to improve in subsequent years.,"The ROW was well vegetated (2013 low vegetation issue is resolved). Species identified during the assessment induced; aspen, poplar, clover and pea vine. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 6-97-8,Low Vegetation Establishment,Vegetation on the trench line and much of ROW has not yet established and what is present is predominantly sweet clover; an invasive species. Vegetation cover is anticipated to improve in subsequent years.,"The ROW was well vegetated with a combination of herbaceous and woody species. Species identified during the assessment induced; Prickly Rose, Aspen, Poplar, Clover and Pea vine. No weeds were observed at the time of the assessment (2013 noxious weed issue resolved). The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 6-97-8,Noxious Weeds,"Low density of Canada thistle, a noxious weed, observed at KP 9.0. Noxious weeds were removed on October 8, 2013.","The ROW was well vegetated with a combination of herbaceous and woody species. Species identified during the assessment induced; Prickly Rose, Aspen, Poplar, Clover and Pea vine. No weeds were observed at the time of the assessment (2013 noxious weed issue resolved). The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 6-97-8,Unnamed Tributary to Chinchaga River,"Rill erosion is present on the east bank of the tributary to Chinchaga River at KP 9.0 and sediment fencing has fallen down. A diversion berm on the west bank does not extend to the edge of the ROW. Vegetation on the banks is establishing, approach slopes are stabilized and overland water flow is being diverted with berms. The diversion berm was extended to the edge of the ROW and the sediment fencing was repaired in fall 2013.","The entire tributary area is well vegetated with herbaceous and woody species, including the recently constructed diversion berm. There was willow staking on the south side of the ROW on the bank of the tributary.  Monitor silt fencing and repair/remove, as required.","- No issues noted. Monitor vegetation cover on banks and approach slopes and remove/repair silt fencing, as required.",,,
SE 6-97-8,Open Water Pond,Removal of the beaver dam during pipeline construction changed the hydrology of the wetland. The wetland was previously an open water beaver pond and now exhibits the characteristics of a marsh type wetland with emergent vegetation establishing on the construction ROW. Wetland is on the trajectory to reaching pre-construction functional condition.,No issues noted.,"Oct 25, 2015 - No issues noted.",,,
SW-6-97-8,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated with a combination of herbaceous and woody species at the time of the assessment. Species identified during the assessment induced; Prickly Rose, Aspen, Poplar, Clover and Pea vine.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW-6-97-8,Rollback Installation,Rollback installed for access control from KP 9.58 to KP 9.63 is sparse.  The placement of additional rollback is scheduled for winter 2014.,Two sections of rollback were assessed at 9+300 and 9+500. The rollback were put back with success and have eliminated the potential of third party activity. The rollback was also built up high which help to reduce line of sight.  Mounding was completed to the south of the rollback at 9+500. 2013 issue with sparse rollback is resolved.,- There was no noted change to the rollback condition.,,,
SE-1-97-9 and NE 36-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 low vegetation issue is resolved). There were no weeds observed at the time of the assessment. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE-1-97-9 and NE 36-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 low vegetation issue is resolved). There were no weeds observed at the time of the assessment. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 1-97-9 and NW 36-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","Sept 21, 2014 – K Wilson. The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass, sedges and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 1-97-9 and NW 36-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"Sept 21, 2014 – K Wilson. The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass, sedges and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 2-97-9 and NE 35-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor in the ROW in 2016.",,,
NW 35-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 35-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 35-96-9,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 34-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","Sept 21, 2014 – K Wilson. The ROW was well vegetated at the time of the assessment, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). There were many poplar saplings throughout work side and ditch side. There were no weeds observed at the time of the assessment. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 34-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"Sept 21, 2014 – K Wilson. The ROW was well vegetated at the time of the assessment, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). There were many poplar saplings throughout work side and ditch side. There were no weeds observed at the time of the assessment. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 34-96-9,Unnamed Tributary to Chinchaga River,"No erosion observed. Vegetation cover is low, but recovering. Several seedlings observed. Sediment fence is covered by vegetation.","Sept 21, 2014 – K Wilson. Well vegetated throughout the area. The areas to either side of the roach (work side and ditch side) were wet and vegetated with sedge species, grasses and willow. The area over the roach near the tributary was moderately vegetated with a combination of grass and wood species. There is no erosion issues in the area. Continue to monitor the vegetation growth throughout the tributary area. Monitor silt fencing and remove/repair, as required.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016. - Remove silt fencing as soon as practical.",,,
NE 34-96-9,Open Water Pond,Beaver activity is influencing hydrology on the ROW and cause water to pond. Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 34-96-9,"Noxious Weeds, Invasive Species","Scentless chamomile, a Noxious weed, and sweet clover, an invasive species, were observed at KP 14.0 in a 30 m x 10 m area near the watercourse crossing. Noxious weeds were removed on October 8, 2013.",Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 34-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 34-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 34-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 34-96-9,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 33-96-9,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 33-96-9,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 33-96-9,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 33-96-9,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed – could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 33-96-9,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,Not assessed - could not access,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 32-96-9,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated (2013 moderate vegetation issue is resolved). The shrubby swamp areas had standing water throughout the ROW. The vegetation included sedges, reed grass, dwarf birch and willows. The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 32-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated (2013 moderate vegetation issue is resolved). The shrubby swamp areas had standing water throughout the ROW. The vegetation included sedges, reed grass, dwarf birch and willows. The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
