Legal Land Description,1<s>st</s> Year (2013) Issue(s),1<s>st</s> Year (2013) Discussion,2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
,Moderate Vegetation Establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Vegetation cover is anticipated to improve in subsequent years.","July 8, 2014 - 65 - 75% vegetation cover on RoW compared to off RoW control. Several areas along RoW exhibiting lesser vegetation establishment. Willows and deciduous species’ establishing well within RoW. Vegetation consisting of clover, wild rose, aven species’, Indian paintbrush, common yarrow and native grasses. - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of hemp nettle, sweet clover, dandelion, milk vetch, field horsetail, cow parsnip and narrow-leaf hawksbeard. - Perennial sow thistle existing throughout tract from KP 3+970 to KP 4+050 across width of RoW. - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 19, 2014 - kp 3+900 to 4+800 Herbicide application was conducted within intermittent sections of the RoW, to control perennial sow thistle and Canada thistle August 10, 2014 – Successful herbicide application observed. September 11, 2014 -. Herbicide application was conducted within areas of active Canada thistle identified.","June 22, 2015. – Vegetative coverage approximately 95%, compared to off RoW control.  - Subsidence and erosion was not observed. - Diversion berms/ditches are functioning and/or vegetating. - Perennial sow thistle was observed at KP 3+960 along the ditch line for about 20m. Recommend weed mitigation measures. July 12, 2015 – KP 3+000 to 3+900; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 23, 2015 – Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 3+960, 4+000, 4+200, 4+400 South West side of Patterson Creek. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle.",,,
,Treed Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - Wetland (treed swamp) KP 4+670 to KP 4+580 appears to be in dry condition at time of assessment. No standing water evident within wetland and soils appear to be well drained. Minimal sphagnum moss development and other wetland indicator species (sedge and rush). Native grasses proliferating well within wetland. Continue to monitor for enhancement of wetland conditions.","June 25, 2015 - early seral stage wetland vegetation of black spruce swamp present; no standing water; willows infilling from west portion of site;",,,
,Treed Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - Wetland (treed swamp) at KP 4+690 to KP 4+730 appears to be in stable condition at time of assessment. Hydrology is maintained; standing water evident through trench breaks. No sedimentation issues evident. Good sphagnum moss, sedge and rush species’ development throughout wetland. Organic peat depth greater than 40cm. Willows starting to establish within wetland. Appropriate mulch thickness within wetland with vegetation emerging around mulch. Amphibians present within wetland. No net loss of wetland function.","June 22, 2015- Subsidence and erosion was not observed. June 25 -  willows, common cattail, sedges, reed grasses,  all present; Standing water on both sides of the roach with cross ditch in place; very thick ( > 90% comparable to off RoW) vegetation throughout wetland area;",,,
NE 10-66-3 W6,Moderate Vegetation Establishment,Vegetation on the right-of-way up to KP 4.9 has not yet established. Vegetation cover is anticipated to improve in subsequent years.,"July 8, 2014 - 75 - 85% vegetation cover on RoW compared to off RoW control. KP 4+800 to KP 5+200 exhibits moderate vegetation establishment. Good willow and deciduous species’ establishment within RoW. Vegetation consisting of clover, aven species’, wild rose, Indian paintbrush, common yarrow and native grasses. - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of hemp nettle, dandelion, milk vetch, American vetch, cow parsnip and field horsetail. - Perennial sow thistle and dispersed marsh thistle evident throughout tract from KP 5+740 to KP 5+950. July 19, 2014 - kp 4+800 to 5+900 Herbicide application conducted within intermittent sections of the RoW, to control perennial sow thistle and Canada thistle. Trace amount of perennial sow thistle and bull thistle was hand-picked and bagged within wetland. August 10, 2014 – Positive results from spraying on July 19th. Native grass species’ appear to be mainly unaffected.","June 22, 2015 - Vegetative coverage approximately 80%, compared to off RoW control.  - Vegetation coverage reduced (30 – 40%) between KP 4+800 to 5+200, monitor. - Diversion berms/ditches are functioning and/or vegetating. July 12, 2015 – KP 4+800 to 5+900; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 23, 2015- Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 5+200. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections along intermittent sections within RoW to control perennial sow thistle, Canada thistle and bull thistle.",,,
,Erosion,Sheet erosion was observed on the slope at KP 4.8. Some sediment is entering the drainage at the toe of the slope.,"July 8, 2014 - Erosion evident within drainage at KP 4+800. Continue to monitor. - Erosion at KP 4+850, repairs required. - Subsidence at KP 5+200, repairs required. July 23, 2014- Re-contoured and implemented straw waddle erosion control material within erosion on south facing hill slope at KP 4+850. Removed sediment fence material within erosion. - Removed steel pegs along diversion berm at KP 4+885 - Re-contoured and implemented straw waddle erosion control material within subsidence on north facing hill slope at KP 5+200.","June 22, 2015. - Vegetation not comparable to ROW. Vegetative coverage approximately 80%.  - Previously installed erosion controls are functioning. - Diversion berms/ditches are functioning and/or vegetating. - Perennial sow thistle observed along ditch line at KP 5+400 and 5+830. Recommend weeds control measures. July 12, 2015 – KP 4+800 to 5+900; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 23, 2015- Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 5+200. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections along intermittent sections within RoW to control perennial sow thistle, Canada thistle and bull thistle.",,,
,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - KP 5+210 to KP 5+450 appears to be stable at time of assessment. Exceptional sphagnum moss, rush and sedge species development throughout wetland. Hydrology is maintained throughout wetland as indicated by standing water present within trench breaks. Appropriate mulch thickness existing within wetland. Willows beginning to establish within wetland. Organic peat depth reaching greater than 40cm. No sedimentation issues evident. Water quality appears to be in good condition within wetland as indicated by water clarity and submergent vegetation establishment. Amphibians appear to be using wetland as effective habitat. No net loss of wetland function. Trace amounts of perennial sow thistle found within wetland (small patch).","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; Standing water on east side of the roach with cross ditch in place; very thick (>95% comparable to off RoW) vegetation throughout wetland area;",,,
,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - KP 5+490 to KP 5+630 appears to be stable at time of assessment. Exceptional sphagnum moss, rush and sedge species development throughout wetland. Appropriate mulch thickness evident within wetland. Hydrology is maintained throughout wetland as indicated by standing water present within trench breaks. Willows beginning to establish within wetland. Organic peat depth reaching greater than 40cm. No sedimentation issues evident. Water quality appears to be in good condition within wetland as indicated by water clarity and submergent vegetation establishment. Amphibians appear to be using wetland as effective habitat. No net loss of wetland function.","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; Standing water on both sides of the roach with cross ditch in place; very thick (>95% comparable to off RoW) vegetation throughout wetland area;",,,
,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - KP 5+700 to KP 5+800 appears to be stable at time of assessment. Good sphagnum moss and emergent vegetation development throughout wetland. Appropriate mulch thickness evident within wetland. No standing water existing within wetland but soils appear to be semi-saturated indicated that hydrology is maintained. Willows beginning to establish within wetland. Organic peat depth reaching greater than 40cm. No sedimentation issues evident. Amphibians appear to be using wetland as effective habitat. No net loss of wetland function.","June 22, 2015 - One bull thistle was observed at KP 5+740. Picked and bagged. Monitor. June 25, 2015 -  willows, common cattail, sedges, reed grasses, all present; Standing water on both sides of the roach with cross ditch in place; very thick (>95% comparable to off RoW) vegetation throughout wetland area;",,,
SE 15-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 8, 2014- ~ 90% vegetation establishment compared to off RoW control. – Native grasses, and native clover well established. Weeds comparable to off RoW adjacent pipeline. Low lying area, standing water KP 6+130, west side of ditchline.  - Canada thistle KP 6+230. - Cross drains well vegetated and functioning. July 19, 2014 - kp 5+900 to 6+400 Herbicide application conducted within intermittent sections of the RoW, to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive spray results observed from July 19th application. - Small patches of perennial sow thistle evident on east side of ditchline at KP 6+100 and on ditchline at KP 6+380 and 6+230, monitor and control as required.","June 23, 2015- >95% vegetation establishment on RoW compared to off RoW control.  KP 6+040 patch of Sow thistle on ditchline and East side of ditchline. KP 6+200 patch of Canada thistle on ditchline.  - Cross drains well vegetated and functioning. July 12, 2015 - KP 5+900 to 6+400 -Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 23, 2015 - Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 6+000 to KP 6+150. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle, Canada thistle and bull thistle.",,,
SW 15-66-3 W6,Moderate Vegetation Establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Vegetation cover is likely to improve in subsequent years.","July 8, 2014 - ~ 90% vegetation establishment, compared to off RoW control. –Weeds comparable to off RoW adjacent pipeline.   - Depression or poor contour at KP 6+451. South side of ditchline. Vegetation establishing – monitor.  - Perennial sow thistle KP 6+615, marsh thistle and bull thistle also noted. - Cross drains well vegetated and functioning. July 19, 2014 - kp 6+400 to 7+000 Herbicide application conducted within intermittent sections of the RoW, to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results from July 19th spray application observed. - Patches of perennial sow thistle found on ditchline at KP 6+480, KP 6+580, north of ditchline KP 6+730, on ditchline at KP 6+800 and KP 6+850, monitor and control as required.","June 23, 2015- >95% vegetation establishment on RoW compared to off RoW control. - KP 6+500 patch of Sow thistle on ditchline. - KP 6+600 sign missing on pipeline crossing. - Cross drains well vegetated and functioning. July 12, 2015 - KP 6+400 to 7+000; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. July 24, 2015 - Pipeline markers straightened and new pipeline sign installed at KP 6+600. Aug 23, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle and Canada thistle were observed at KP 6+560 to KP 6+700. Fall herbicide spot spray application is recommended. Leaning and fallen pipeline marker posts at KP 6+800. Recommend re-set.  Sept. 23, 2015 – herbicide application conducted along intermittent sections within RoW to control perennial sow thistle. Oct. 3, 2015- Reset pipeline markers at KP 6+800.",,,
NW 15-66-3 W6,Invasive Species,"Sweet clover, a non-native invasive species, was observed in high densities on the right-of-way. Sweet clover was also seen in high densities on the adjacent right-of-way.","July 8, 2014 - ~ 90% vegetation establishment, compared to off RoW control. – Some thin patches. Weeds comparable to off RoW. - Cross drains well vegetated and functioning - Perennial sow thistle at KP 7+200 to 7+700.  July 19, 2014 - kp 7+000 to 7+700 – Herbicide application conducted within intermittent sections of the RoW, to control Perennial Sow Thistle and Canada Thistle. July 27, 2014- KP 7+000 to 7+700 – ineffective control observed from July 19<s>th</s>, Herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle and Canada thistle. August 10, 2014 – successful application of herbicide observed from July application. Aug 10, 2014 - Patch of perennial sow thistle found north of wetland at KP 7+320, on the east edge of RoW at KP 7+430 and to the east side of RoW at KP 7+465. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle.","June 23, 2015 - >95% vegetation establishment on RoW compared to off RoW control. - KP 7+100 to 7+250 Canada thistle and perennial sow thistle on ditchline. - Cross drains well vegetated and functioning. July 12, 2015 - KP 7+000 to 7+700; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 23, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle and Canada thistle were observed intermittently throughout tract. Fall herbicide spot spray application is recommended. Sept. 23, 2015 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle. Oct 3, 2015- Reset a pipeline marker and mechanically controlled perennial sow thistle.",,,
NW 15-66-3 W6,Open Water Pond,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - Open water pond KP 7+310. Emergent vegetation visible. Deciduous species establishing around perimeter. Silty soil observed around edges and within pond. Natural hydrology within wetland is maintained. Evidence of wildlife using pond. Wetland appears stable. Bear sign observed (tracks). Perennial Sow thistle North side of pond within 30m.  July 23, 2014 - Handpicked noxious weed, perennial sow thistle, on north bank within 30m buffer of wetland (open-water pond) (KP 7+340). July 30, 2014 Previously identified Perennial sow thistle within 30m of watercourse at KP 7+300 was controlled by weedwacking.","June 23, 2015 - perennial sow thistle around open water pond. June 25, 2015  - willows, common cattail, sedges, reed grasses, all present; very thick (>95% comparable to off RoW) vegetation throughout wetland area; Standing water because of old beaver dam west of RoW backing water up past RoW; the dam is well vegetated and no recent “damming” activity; from the tracks, the beaver use the water as a travel corridor; July 25, 2015 - Conducted mechanical weed control for perennial sow thistle. Aug 23, 2015- Open water pond at 7+300 requires further mechanical weed control to control perennial sow thistle.  Pipeline markers require re-install at 7+400.",,,
NW 15-66-3 W6,Open Water Pond (Artificial),Wetland is on the trajectory to reaching pre-construction functional condition.,"July 8, 2014 - Open water pond KP 7+560. Submergent and emergent vegetation exist. Deciduous species establishing around perimeter. Soils appear dry on perimeter edge. Water clarity is good. Natural hydrology within wetland is maintained. Evidence of wildlife using pond. Wetland appears stable. Perennial Sow thistle and Canada thistle noted around pond.  July 23, 2014- Mechanically removed noxious weed, perennial sow thistle, within 30m of wetland (artificial open-water pond) at KP 7+550. July 30, 2014- Previously identified Perennial sow thistle within 30m of watercourse at KP 7+500 was controlled by weedwacking.","June 25, 2015 - willows, common cattail, sedges, reed grasses, submergent vegetation  all present; very thick (>95% comparable to off RoW) vegetation throughout wetland area; “artificial ponded water”; this feature had high water levels contributing to wetlands development; it was back flooded into non aquatic grass; migratory birds, amphibians and ungulates use the wetland.",,,
NE 16-66-3 W6,Invasive Species,"Sweet clover, a non-native invasive species, was observed in high densities on the right-of-way. Sweet clover was also seen in high densities on the adjacent right-of-way.","July 8, 2014 - ~90-95% vegetation establishment, compared to off RoW control. Native grasses, and native clover well established. More weeds on RoW as opposed to off. - No noxious weeds present.  - Cross drains functioning and well vegetated.  Deciduous species establishing. July 27, 2014 - KP 7+700 to 7+900 - Perennial sow thistle and Canada thistle located and herbicide application conducted along intermittent sections within RoW to control.","June 23, 2015 - >95% vegetation establishment on RoW compared to off RoW control. Excellent grasses vetch and clover establishment on RoW.  -KP 7+700 - drain at road edge is poorly contoured allowing water to pond seasonally on RoW. Continue to monitor. - Cross drains well vegetated and functioning.  - Noxious weeds were not identified in this tract. Aug 23, 2015- Noxious weeds were not observed.",,,
SE 21-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 7, 2014 - 85 - 95% vegetation cover on RoW compared to off RoW control. Willow and deciduous species’ establishing within RoW. - Canada thistle and perennial sow thistle found throughout entire tract predominantly on east side of RoW from KP 7+900 to KP 8+900. - Bare spot evident along ditchline from KP 8+260 to KP 8+350. Continue to monitor. July 22, 2014- Implemented straw waddle erosion control material within erosion to the west of ditchline at KP 8+660.  - July 27, 2014 - KP 7+900 to 8+900 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results observed form July 27th spray application, although perennial sow thistle found across RoW at KP 7+980, 8+380, 8+140, 8+175, KP 8+460, 8+530, and 8+720, monitor and control as required. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle identified","June 23, 2015 - Vegetative coverage approximately 95%, compared to off RoW control. Common weeds observed included dandelion and hemp nettle.  - Subsidence and erosion was not observed. - Canada thistle noted along the ditch line from KP 8+000 to 8+180 and 8+880 to 8+900, perennial sow thistle noted at 8+150, from 8+300 to 8+465, and 8+600 to 8+900. Recommend weed control measures. - Pipeline markers at KP 8+250 are out of the ground and/or leaning heavily. Recommend reinstallation. - Previously reported bare patch at KP 8+260 to 8+350 and 8+600 observed. Concentrated around ditch line. Area vegetated is approximately 40%. Continue to monitor. July 12, 2015 – KP 7+900 to 8+900; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle, Canada thistle, and bull thistle. July 24, 2015- Reset pipeline markers and signs, at KP 8+250, 700. Aug 23, 2015- Herbicide application appears to be successful. Although, patches of unaffected perennial sow thistle were observed at KP 8+200, 8+400, 8+600 and 8+700 and Canada thistle was observed at KP 8+000. Fall herbicide spot spray application is recommended. Sept. 23, 2015 – Herbicide application conducted intermittent sections within RoW to control perennial sow thistle and Canada thistle.",,,
SE 21-66-3 W6,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 27, 2014 - Wetland (treed bog) at KP 8+220 to KP 8+270 appears to be in a dry-state at time of assessment. Very little moisture content evident within soils / no standing water evident at time of assessment. Evidence of recent water flow through trench breaks. Some sphagnum moss, willow and deciduous species’ development throughout wetland. Areas exhibiting slow vegetation establishment. Peat depth minimal in some areas within wetland. Mulch appears to be in appropriate densities across RoW with vegetation establishing around. Amphibians present within wetland. Continue to monitor for enhancement of wetland conditions.","June 25, 2015 -  willows, common cattail present; no standing water; has cross ditch in place; very thick (>95% comparable to off RoW) vegetation throughout wetland area; surrounded by upland vegetation (poplar, spruce);",,,
SE 21-66-3 W6,Open Water Pond,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 27, 2014 - Wetland (open water pond) at KP 8+465 appears to be in good condition at time of assessment. Good native grass, willow and deciduous species establishment around the perimeter of the pond and wetland indicative emergent and submerging (sedge and rush) species present within wetland. Organic soil depth around perimeter of pond greater than 40cm. Hydrology maintained within pond. Evidence of wildlife using wetland as bypass habitat / beaver was spotted within pond. Beaver activity continuing to cause ponding across RoW. Amphibians and other various aquatic organisms using pond as effective habitat. Wetland on trajectory to reaching pre-disturbance state. July 22, 2014 Hand-picked perennial sow thistle within 30m of wetland (open-water pond) on north and south banks at KP 8+465.  July 30, 2014 - Previously identified Perennial sow thistle within 30m of watercourse at KP 8+500 was controlled by weedwacking.","June 25, 2015 -  willows, common cattail, sedges, reed grasses, all present; very thick (>90% comparable to off RoW) vegetation throughout wetland area; standing water because of an old beaver dam west of RoW backing water east up past RoW; water level variations due to deteriorating integrity of the beaver dam are affecting shore line vegetation;",,,
