Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Shrubby Swamp (KP 5+100 to 5+140),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 9, 2016 - Wetlands vegetating quite well with wetland grasses, shrubs and willows on the majority of the wetland (High; 80 – 100 % vegetation cover compared to off right-of-way). There is open ponded water on both sides of ditch line but cross drains are in place to allow for proper migration.","July 8, 2017 - Shrubby swamp on RoW from KP 5+100 to 5+140 is at proper functionality and appears stable. - Vegetation within wetland showing 80-100% cover comparable to off RoW with ditch line exhibiting 65-80% cover. Herbaceous graminoids, sphagnum mosses and willows are the dominant vegetation on RoW. - No noxious weeds were observed on RoW. - Trench crown present through wetland. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. High nutrient levels observed in standing water throughout wetland, successfully filtering and retaining from surrounding area. - Channelized flow via natural drainage present in wetland, draining water from off RoW to the north to the south. Hydrology has been maintained. - No subsidence was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce and Jack Pine to emerge onto RoW over time, retaining species diversity. Wetland showing good habitat potential for wildlife with amphibians present at time of assessment.","July 17, 2018 - Shrubby Swamp on RoW from KP 5+100 to KP 5+140 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Wetland is inclusive of several drainages across the RoW that is channeling water flow from the north to south with the defined drainage at KP 5+150 acting as the hydrological outlet of the wetland.  - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Ditchline vegetation cover has increased to 80-100% (previously assessed at 65-80%); vegetation cover issue resolved. - Vegetation throughout wetland on RoW consisting of graminoids (rushes & grasses), horsetails, common cattail, common great bulrush, marsh cinquefoil, sphagnum mosses, pondweed and scouring rushes. Birdsfoot trefoil present on elevated ditch roach. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Low organics and humification present throughout the majority of the wetland with the exception of the area of drainages whereby an increase in organics was observed. Conditions are comparable with off RoW. Nutrient and sediment conditions within standing water in wetland suggesting that wetland is acting as a good filtration complex for any hydrological flow.  - Substrate within wetland exhibiting moderately-dry conditions with saturation increasing moving towards the drainage at KP 5+150. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will continue to infill onto RoW over time.",,,
SE 21-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 10, 2016 - Low vegetation density (0 – 50 % vegetation cover compared to off right-of-way) throughout this tract; continue to monitor vegetation recovery. Alder, willow and poplar starting to infill; birdsfoot trefoil clumps. - Minor rill erosion intermittently throughout. - Adequate cross drains present and functional – no ponding present.","July 1, 2017 - Rollback present for access control. Adjacent RoW is used to bypass access control, making access control ineffective. July 5, 2017 - 65-80%% overall vegetation establishment throughout this tract, consisting of intermittent patches of brome, timothy, wheatgrass, birdsfoot trefoil and alsike clover. Willows and alders continue to establish along the pipeline right of way. Good establishment of grasses, sedges and cattails within low, wet areas. Previous low vegetation cover issue resolved. - Minor erosion remains within cross drains, improving vegetation cover is expected to mitigate erosion issues, no work recommended. Issue resolved - Adequate cross drains are present within this tract. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, aspens, pine, alders, raspberry, yellow rattle, wild rose and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Rollback KP 5+425 to 5+500. Excellent vegetation infill. Not functioning for access control as access is available around it on parallel ROW. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 21-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 10, 2016 – Majority of the right of way is vegetating well with grasses, birdsfoot trefoil, shrubs, willow and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). Continue to monitor vegetation recovery. - No noxious weeds were identified.  - KP 6+560 to 6+620, Two erosion rills, require repairs. Cross drain required at KP 6+620. Seeding of slope may be required. Aug 30, 31, Sept 10, 11, and 13, 2016 – KP 6+560 to 6+620 – Erosion repairs conducted by filling in eroded channels by hand, installing erosion control materials, and digging cross drain. Repairs seeded with approved seed mix. Continue to monitor in 2017.","June 29, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. - Moderate vegetation cover (50 – 65%) vegetation cover on 2016 erosion repairs. - KP 6+600 - Lower diversion berm identified minor erosion. Recommend repairs. Remaining 2016 repairs are providing effective erosion mitigation.  - KP 6+600 hand dug cross drain and berm is functioning well diverting water off of RoW to vegetated area.  July 1, 2017 - Mounding implemented across RoW, for access control.  August 29, 2017 – Erosion repairs completed at KP 6+600, issue resolved. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. All previous vegetation cover issues resolved. Vegetation consists of various grasses, willows, aspens, pine, alders, raspberry, yellow rattle, blue bell and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains and diversion berms appear to be functioning well with no evidence of ponding. - No subsidence was identified within 1/4.",,,
SW 21-96-5 W6,Shrubby Swamp (KP 6+100 to 6+400),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 10, 2016 - Wetland at is well vegetated with wetland grasses, willows and shrubs (High; 80 – 100% vegetation cover compared to off right-of-way). Cross drains are affectively draining water across ditch line.","July 9, 2017 - Shrubby Swamp on RoW from KP 6+100 to 6+400 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes. Willows and Spruce saplings successfully emerging onto RoW throughout RoW. - No noxious weeds were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate with humification observed. - Wetland has high water table resulting in saturated soils and standing water throughout allowing for microsite habitat.  - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW species successfully emerging onto RoW; biodiversity retained. Wetland showing good habitat potential for wildlife.","July 17, 2018 - Shrubby Swamp on RoW from KP 6+100 to KP 6+400 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Wetland is partially divided by a hill slope at KP 6+320 from an intersecting power line that crosses the RoW. There is a low-lying pathway on the southern edge of the RoW allowing for hydrological connectivity of the wetland; no issue. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Some vegetation throughout wetland is present on a floating mat of substrate.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), lichen, sphagnum moss, pondweed and yellow rattle. Some common yarrow and fireweed present on elevated ditch roach in low densities. Volunteer spruce saplings continue to be infilling on RoW. Excellent establishment of hydrophytic vegetation throughout wetland.  - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation but approximate depth proved to be difficult due to substrate saturation. - Substrate within wetland exhibiting semi- to fully-saturated conditions with intermittent standing water pouches present throughout (depth 10-30cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will continue to infill onto RoW over time.",,,
,Unnamed drainage to Midget Creek (KP 6+400) Erosion Low Vegetation Establishment,"Erosion gully observed on upper slope of east bank. This issue was repaired in January 2015. Low vegetation establishment observed on approach slopes of watercourse. Monitor in 2015, reseed if required.","July 10, 2016 - watercourse is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way). Sediment fencing no longer required, remove. - East slope has some rill erosion. Recommend repairs. This is not the same erosion noted in 2014, the 2014 erosion issue is no longer evident, issue resolved. Although reduced vegetation density remains, continue to monitor following repairs. July 11, 2016 - KP 6+460 – Marker posts require repairs. - KP 6+505, Diversion berm on work side of the ROW has filled with sediment. Repairs required. Aug 30, 2016 - KP 6+340 and 6+460 – Repaired marker posts, issue resolved. - Removed sediment fence that was no longer functional, issue resolved. Aug 30, 31, Sept 10, 11, and 13, 2016 – Erosion repairs and diversion berm repairs completed.","June 29, 2017 - Unnamed watercourse to Midget creek at KP 6+400. Well vegetated, banks appear to be stable. Previous erosion repairs effective and vegetation cover issues resolved.","July 19, 2018 - Vegetation continues to recover on both sides of the watercourse at 80-100% cover. Hydrophytic vegetation establishing well in the riparian area. Watercourse is surrounded by wetlands. - Banks appear stable at this time.  - Light flow observed in watercourse.  - Signage and marker posts remain intact and straight.",,,
SE 20-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the right of way is vegetating well with grasses, birdsfoot trefoil, shrubs, willow and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way), there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. - KP 7+410, ponding water on workside, cross drain repairs required.  - No noxious weeds were identified. Aug 30 and 31, 2016 - KP 7+410 – Cross drain repairs completed, issue resolved.","July 5, 2017 - Vegetation establishment is 80-100% compared to off right of way. The predominant species consist of birdsfoot trefoil and alsike clover with good grasses present – brome, wheatgrass, timothy. Willows and alders are establishing throughout, with low areas indicating cattails and cottongrass. Previous low vegetation cover issues resolved. July 24, 2017 – KP 7+010 – Herbicide application conducted to control scentless chamomile. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, aspens, pine, alders, raspberry, yellow rattle, and birds-foot trefoil. - No noxious weeds were identified in ¼. Previous noxious weed issues resolved. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 20-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the right of way is vegetating well with American vetch, grasses, willows and alders (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way), there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. - KP 8+000, signs and marker posts require repairs.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. All previous vegetation cover issues resolved. Vegetation consists of various grasses, willows, vetch, aspens, pine, alders, raspberry, yellow rattle, and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding.",,,
SW 20-96-5 W6,Rare Plant (KP 8+500),"No lance-leaved grape ferns (S2) were observed on July 30, 2014. Numerous other grape fern species observed are present and the site appears undisturbed. Issue resolved","July 11, 2016 - Majority of the right of way is vegetating well with American vetch, grasses, willows and alders (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way), there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. - KP 8+000, signs and marker posts require repairs. - No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. All previous vegetation cover issues resolved. Vegetation consists of various grasses, willows, vetch, aspens, pine, alders, raspberry, yellow rattle, and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
,Rare Plant (KP 8+500),"One individual leather grape fern (S3) was observed on July 30, 2014. Issue resolved","- No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.",,- No erosion or subsidence was identified within 1/4.,,,
,Rare Plant (KP 8+500),"Two northwestern grape ferns (S3) were observed on July 30, 2014. Issue resolved","- No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.",,- No erosion or subsidence was identified within 1/4.,,,
,Rare Plant (KP 8+500),"Three scalloped moonwort (S1) were observed on July 30, 2014. Issue resolved","- No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.",,- No erosion or subsidence was identified within 1/4.,,,
SE 19-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the right of way is vegetating well with grasses, birdsfoot trefoil, shrubs, willow and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way), there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. 2014 vegetation issue resolved. - KP 8+770 – Drainage is stable with well-established vegetation. Minor erosion noted in bed of drainage, recommend repairs. - Adequate cross drains present and functional – no ponding present. Aug 31, 2016 - KP 8+770 – vegetation cover within minor erosion has improved over growing season (High; 80 – 100 % vegetation cover compared to off right-of-way), repairs no longer warranted, issue resolved.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot Trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, vetch, aspens, pine, alders, raspberry, yellow rattle, and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SE 19-96-5 W6,Treed Fen (KP 8+700 to 8+970),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Good establishment of vegetation within wetland locations (High; 80 – 100 % vegetation cover compared to off right-of-way) - appear to be meeting adequate function consistent with pre-construction conditions.","July 9, 2017 - Treed Fen on RoW from KP 8+700 to 8+970 is at proper functionality and appears stable.  - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes in lowlying areas and broadleaf shrubs in upslope terrain areas. Willows and Pine trees successfully emerging throughout wetland. - No noxious weeds were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate with humification observed. - Wetland has high water table resulting in saturated soils and standing water in low-lying areas allowing for microsite habitats and direct sources of water for wildlife. Meandering natural drainage acting as outlet for wetland present from KP 8+730 to 8+810. Algal build up in standing water exhibiting high nutrient retention / filtering capacity through wetland. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW species successfully emerging onto RoW; biodiversity retained. Wetland showing good habitat potential for wildlife.","July 17, 2018 - Treed Fen on RoW from KP 8+700 to KP 8+970 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Wetland is inclusive of a meandering drainage system across the RoW that is channeling water from a large open body of water off RoW to the south to the north to south. The drainage meanders from KP 8+720 to KP 8+815. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. - Vegetation throughout wetland on RoW consisting of graminoids (rushes & grasses), birdsfoot trefoil, horsetails, common cattail, yellow rattle, coltsfoot, marsh cinquefoil, water milfoil, pondweed and common great bulrush. Good deciduous tree growth throughout wetland including alder and willow species. Labrador tea infilling onto RoW from edges of wetland. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Low organics and humification present throughout the majority of the wetland with the exception of the area of drainages whereby an increase in organics was observed. Conditions are comparable with off RoW. Nutrient and sediment conditions within standing water in wetland suggesting that wetland is acting as a good filtration complex for any hydrological flow.  - Substrate within wetland exhibiting moderately-dry conditions with saturation increasing moving towards the drainage system. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will infill onto the RoW over time.",,,
NE 18-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Good vegetation establishing within the south portion of this tract with birdsfoot trefoil, grasses, shrubs, willows and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way). - Poor establishment of vegetation throughout the north portion of this tract, continue to monitor vegetation recovery (Low; 0 – 50% vegetation cover compared to off right-of-way). - KP 9+240 – Ponding of water, repair cross drain. - KP 9+490 – Drainage is stable, no erosion or slumping; willow staking has been conducted along both sides of the drainage. Aug 31, 2016 - KP 9+240 – Cross drain repaired by hand, issue resolved.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, sedges, and aspens are also establishing. Previous low vegetation cover issues resolved. - No noxious weeds identified on tract.  - KP 9+180 - Cross drain requires repairs. August 29, 2017 – KP 9+180 – Cross drain repaired, issue resolved. September 30, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation predominantly birds-foot trefoil. Other vegetation consists of various grasses, willows and cotton grass - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning  - No erosion or subsidence was identified within 1/4.",,,
NE 18-96-5 W6,Treed Fen (KP 9+200 to 9+340),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"July 9, 2017 - Treed Fen on RoW from KP 9+200 to 9+340 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout.  - No noxious weeds were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Mottling observed with good peat depth throughout. - Wetland has high water table resulting in saturated soils just below organic surface layer and intermittent pouches of standing water acting as microsite habitat. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife.","July 17, 2018 - Treed Fen on RoW from KP 9+200 to KP 9+340 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), sphagnum mosses, birdsfoot trefoil, cottongrass, lichens, horsetails, bog cranberry and Labrador tea. Good establishment of deciduous species including alder and willow throughout wetland.  - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation but approximate depth proved to be difficult due to substrate saturation. Mottling was observed in the peat moss. - Substrate within wetland exhibiting semi- to fully-saturated conditions with intermittent pouches of standing water throughout (depth 10cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will infill onto RoW over time.",,,
NW 18-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 – Majority of the right of way is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way), there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. 2014 vegetation issue resolved. - KP 9+640 – Drainage is stable, no erosion or slumping; willow staking has been conducted along both sides of the drainage. - Marker posts on the northeast side of drainage required repair. - KP 9+860 & 10+040– effective implementation of access control across right of way on both sides of access road. - Adequate cross drains present and functional – no ponding present. Aug 31, 2016 - KP 9+620 – marker posts repaired.","July 1, 2017 – Rollback present at access road. ATV’s utilizing parallel RoW for access, rollback is ineffective. July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract. - KP 9+600 sign post requires repairs. August 29, 2017 – KP 9+600 – Sign post repaired, issue resolved. September 30, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control.  Vegetation predominantly birds-foot trefoil. Other vegetation consists of various grasses, willows, alders and raspberries - No noxious weeds were identified in ¼. - Line of sight barrier at KP 10+130 is in place and vegetation has established on the berm. - Roll back from KP 10+060 to KP 10+130 is infilling with vegetation. Roll back preventing access directly on ROW but can bypass on adjacent ROW. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
NW 18-96-5 W6,Shrubby Swamp (KP 9+500 to 9+700),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"July 9, 2017 - Shrubby Swamp on RoW from KP 9+500 to 9+700 is at proper functionality and appears stable. Wetland is undulating with 2 low-lying drainages at KP 9+500 and 9+660.  - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of broadleaf shrubs (Clover, Marigold) with willows and poplars establishing throughout. Excellent Lodgepole Pine thriving throughout wetland. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland substrate remains relatively dry due to the two outlet drainages downslope of wetland terrain. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Pine trees successfully establishing on RoW retaining off RoW biodiversity. Wetland showing good habitat potential for wildlife.","July 17, 2018 - Shrubby Swamp on RoW from KP 9+500 to KP 9+700 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Wetland is inclusive of two drainage systems across the RoW at KP 9+500 and at KP 9+670 that are channeling water from the south to the north. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. - Vegetation throughout wetland on RoW consisting of graminoids (rushes & grasses), birdsfoot trefoil, horsetails and sphagnum mosses. Good deciduous tree growth throughout wetland including alder and willow species. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Low organics and humification present throughout the majority of the wetland with the exception of the areas of drainages whereby an increase in organics was observed. Conditions are comparable with off RoW. Nutrient and sediment conditions within standing water in wetland suggesting that wetland is acting as a good filtration complex for any hydrological flow.  - Substrate within wetland exhibiting moderately-dry conditions with saturation increasing moving towards the drainage system. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will infill onto the RoW over time.",,,
NE 13-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Poor establishment of vegetation throughout the majority of this tract, birdsfoot trefoil, grasses, shrubs, willows and aspen are present (Low; 0 – 50% vegetation cover compared to off right-of-way). Continue to monitor vegetation recovery. - KP 10+500 – diversion berm at top of slope requires repairs. - Adequate cross drains present and functional – no ponding present. Sept 1, 2016 - KP 10+500 – Repairs completed by hand on diversion berm, issue resolved.","July 5, 2017 - 65-80% overall vegetation establishment compared to off RoW. Previous low vegetation cover issues resolved. Previous low vegetation over issues resolved. - KP 11+050 – Evidence of recent dig site on ROW with lower vegetation cover, monitor in 2018. - Cross drains appear to be managing cross flow of surface water effectively. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Alder trees showing excellent growth on the work side of the ROW. Vegetation predominantly birds-foot trefoil. Other vegetation consists of various grasses, willows, alders, wild rose, aspen and raspberries - No noxious weeds were identified in ¼. -Trench crown is present and stable.  - KP 11+050 - During 2017 assessment it was noted that there was evidence of a recent dig and lower vegetation cover. Area has infilled with vegetation. Issue resolved. - Cross-drains and diversion berms appear to be functioning well with no evidence of ponding. - No subsidence was identified within 1/4",,,
