Legal Location (W6M),KP,Land Use,Condition/Issues,Notes,Recommendation(s),VEC,GIS,Topic
NW 4-79-10,9+300,Hayland,"High surface drainage (ponding), microtopography (low area) issue, moderate vegetation issue","Ponding on workside. Vegetation growth is impacted in dip). During the fall of 2013, topsoil was distributed and the area was reseeded.",Monitor in 2014,,,
NW 4-79-10,9+100,Hayland,"Moderate surface drainage (ponding), microtopography (low area) issue","Swale on workside with 80% vegetation cover in swale. During the fall of 2013, topsoil was distributed and the area was reseeded.",Monitor in 2014,,,
NW 4-79-10,9+025,Hayland,High surface drainage (ponding) and Microtopography (low area) issue,"Swale on workside and on trench. During the fall of 2013, topsoil was distributed and the area was reseeded.",Monitor in 2014,,,
NW 4-79-10,8+950,Hayland,"High surface drainage (ponding), microtopography (low area) issue and, moderate vegetation issue","Depression on workside holding water which is impacting vegetation Intermittent drain across ROW, some ruts. During the fall of 2013, topsoil was distributed and the area was reseeded.",Monitor in 2014,,,
NE 4-79-10,8+550,Watercourse,High noxious weed issue,Canada thistle observed on workside.,Monitor in 2014 and implement appropriate weed control if necessary,,,
NE 4-79-10,8+400,Cultivated,High vegetation issues,Repair had recently been done along workside at the time of the assessment.,Monitor in 2014,,,
NE 4-79-10,8+000,Cultivated,"Moderate surface drainage (ponding), microtopography (low area) issue and moderate vegetation issue","Swale on west side. No growth. During the fall of 2013, topsoil was distributed.",Monitor in 2014.,,,
NE 4-79-10,7+900,Hayland,Moderate erosion issue,"Gully erosion. During the fall of 2013, the area was recontoured, erosion controls were installed and the swale was reseeded.",Monitor in 2014,,,
NW 3-79-10,7+450,Forested,No issues observed,The ROW is revegetating well.,None,,,
NW 3-79-10,7+200,Forested,"Moderate surface drainage (ponding), microtopography (low area) issue and moderate vegetation issue","Slight swale observed in naturally low are which is affecting vegetation growth. During the fall of 2013, the area was recontoured,",Monitor in 2014 to assess if recontouring is necessary,,,
NE 3-79-10,6+400,Forested,"Moderate erosion issue, topsoil loss (eroded in localized area), moderate vegetation issue","Erosion rill observed. Topsoil eroded down to subsoil. During the fall of 2013, the area was recontoured, erosion controls were installed and the swale was reseeded.",Monitor in 2014,,,
NW 2-79-10,6+000,Forested,No issues observed,The ROW is revegetating well.,None,,,
NW 2-79-10,5+700,Hayland,Moderate weed issue,"Low levels of wild oats and hawksbeard were observed on the ROW. During the fall of 2013, the area was reseeded.","Monitor in 2014 and implement appropriate weed control if necessary, reseed",,,
NW 2-79-10,5+700,Hayland,Moderate vegetation issues,"Vegetation cover is expected to improve in subsequent year.  During the fall of 2013, the area was reseeded.",Monitor in 2014,,,
NE 2-79-10,5+400,Hayland,No issues observed,The ROW is revegetating well.,None,,,
NE 2-79-10,5+150,Hayland,Moderate erosion issue,Slight erosion rilling observed,Monitor in 2014,,,
NE 2-79-10,5+150,Hayland,High noxious weed issue,Low levels of Canada thistle observed on the ROW.,Monitor in 2014 and implement appropriate weed control if necessary,,,
NE 2-79-10,4+850,Forested,No issues observed,The ROW is revegetating well.,None,,,
NW 1-79-10,4+800,Forested,Moderate erosion issue,"Rill/gully erosion parallel to trench on west side. During the fall of 2013, the area was reseeded.",Monitor in 2014,,,
NW 1-79-10,4+700,Forested,"Moderate erosion issue, moderate vegetation issue","3 rills N to S. with limited vegetation in eroded areas. During the fall of 2013, the area was reseeded.",Monitor in 2014,,,
NW 1-79-10,4+650,Forested,"Moderate erosion issue noted (rills), moderate vegetation issue","Rill no vegetation in rill, sides are vegetated.  During the fall of 2013, the area was reseeded.",Monitor in 2014,,,
NW 1-79-10,4+450,Forested,High noxious weed issue,Canada thistle observed on the south side of ROW.,Monitor in 2014 and implement appropriate weed control if necessary,,,
NW 1-79-10,3+800,Forested,No issues observed,The ROW is revegetating well.,None,,,
NE 1-79-10,3+700,Forested,Moderate erosion issue,"Lower rill erosion on ROW, natural low area",Monitor in 2014,,,
NE 1-79-10,3+250,Forested,No issues observed,The ROW is revegetating well.,None,,,
NW 6-79-9,3+000,Forested,No issues observed,The ROW is revegetating well.,None,,,
NW 6-79-9,2+600,Forested,High noxious weed issue,"Two scentless chamomile plants were hand-picked, bagged and disposed of.",Monitor in 2014 and implement appropriate weed control if necessary,,,
NW 6-79-9,2+400,Forested,No issues observed,Drainage channel; vegetation established and stable.,None,,,
NW 6-79-9,2+150,Forested,No issues observed,The ROW is revegetating well.,None,,,
SE 6-79-9,1+800,Forested,High noxious weed issue,Canada thistle observed,Monitor in 2014 and implement appropriate weed control if necessary,,,
NE 6-79-9,1+350,Forested,Moderate vegetation issue,Vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
NW 5-79-9,0+750,Forested,Moderate vegetation issues,Seedlings are present and vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
NE 6-79-9,0+550,Forested,Moderate vegetation,Seedlings are present and vegetation cover is expected to improve in subsequent years.,Monitor in 2014,,,
SE 5-79-9,0+400 to 0+800,Forested,Rare plant,Rare Plant Specialists visited the transplant location and observed the two logs with the rare lichen. Suitable habitat was observed at the site.,Resolved and successful: no further monitoring is recommended,,,
SE 5-79-9,0+400,Watercourse,No issues observed,Creek banks are stable The ROW is revegetating well.,None,,,
SE 5-79-9,0+300,Forested,No issues observed,The ROW is revegetating well.,None,,,
SE 5-79-9,0+200,Forested,High noxious weed issue,Perennial Sow thistle present on work side,Monitor in 2014 and implement appropriate weed control if necessary,,,
