Legal Location (W6M),Land Use,Vegetation Issue(s),Soil Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
SE 6-79-12,Tame pasture,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way.  Moderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on the right-of-way.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 6-79-12,Tame pasture,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way.  Moderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on the right-of-way.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 1-79-13,Tame pasture,No,No,--,None.,,,
SE 1-79-13,Tributary of Henderson Creek,No,No,--,None.,,,
SE 1-79-13,Treed-pasture,Poor vegetation establishment,No,Poor vegetation establishment observed on the right-of-way at KP 9.90 on the steep slope.,"Monitor in 2013 and, if warranted, reseed.",,,
SW 1-79-13,Cultivated,No,No,--,None.,,,
SW 1-79-13,Treed-pasture,No,Erosion,Rill erosion observed in two areas on the right-of-way at KP 11.15. One area has been partially repaired by the landowner.,"Repair erosion, reseed and monitor in 2013.",,,
SE 2-79-13,Treed,Weeds,"Rutting, erosion","Rutting from vehicle use (third party damage) observed on the right-of-way at KP 11.20. Rill erosion observed on the right-of-way in three swales near KP 11.50.  One plant of scentless chamomile was observed at KP 12.00 on the east side of a seasonal drain. The plant was picked and bagged on September 13, 2012.  See Plate 5.","Monitor erosion in 2013 and, if warranted, install erosion controls and/or reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 2-79-13,Treed,No,No,--,None.,,,
NW 34-78-13,Treed,"Poor vegetation establishment, weeds",Erosion,"Rill erosion observed on the right-of-way at KP 13.20. Poor vegetation establishment observed on the right-of-way at KP 12.87, KP 13.20 and KP 13.40.  See Plate 6. High density of stork’s bill observed on the right-of-way. Stork’s bill was picked and bagged on September 13, 2012.","Repair erosion, reseed and monitor in 2013. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 33-78-13,Treed-pasture,"Poor vegetation establishment, weeds",Erosion,"Rill erosion observed on the right-of-way at KP 13.60. Poor vegetation establishment observed on the right-of-way at KP 13.60, KP 13.75 and KP 14.30. High densities of lamb’s-quarters and stinkweed observed on the right-of-way at KP 13.75 and KP 14.30.","Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 33-78-13,Treed,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way at KP 15.00, KP 15.10 and KP 15.30.  High densities of lamb’s-quarters, dandelion and stinkweed observed at KP 14.40 and from KP 15.00 to KP 15.30.  See Plate 7.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 33-78-13,Treed-pasture,No,No,--,None.,,,
SW 33-78-13,Tame pasture,Weeds,No,High density of lamb’s-quarters and moderate density of white cockle observed on the right-of-way from KP 16.00 to KP 16.39.,"Monitor in 2013 and, if warranted, implement weed control measures.",,,
SE 32-78-13,Cultivated,No,Topsoil loss,Landowner concerned with topsoil loss on the right-of-way from KP 16.40 to KP 16.57.,"Sample soil and conduct lab analysis to determine topsoil loss. Source and add clean topsoil in 2013, if warranted.",,,
SW 32-78-13,Cultivated,No,Subsidence,Subsidence observed on the right-of-way at KP 17.73.,"Monitor in 2013 and, if warranted, repair subsidence.",,,
NW 29-78-13,Cultivated,No,No,--,None.,,,
NE 30-78-13,Cultivated,No,No,--,None.,,,
NE 30-78-13,Sergeant Creek,No,No,--,None.,,,
NW 30-78-13,Cultivated,No,No,--,None.,,,
SW 31-78-13,Cultivated,Crop growth,Rutting,Rutting caused by tractor use (third party) observed on the right-of-way at KP 19.30.,Monitor vegetation growth in 2013.,,,
SE 36-78-14,Cultivated,No,No,--,None.,,,
SW 36-78-14,Cultivated,No,No,--,None.,,,
NW 36-78-14,Cultivated,No,No,--,None.,,,
NE 35-78-14,Cultivated,"Crop growth, weeds",No,"Crop maturity appeared slower on the right-of-way compared to off the right-of-way based on stubble.  One plant of scentless chamomile was observed at KP 21.80. The plant was picked and bagged on September 13, 2013.","Monitor vegetation growth in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 35-78-14,Treed,No,No,--,None.,,,
NW 35-78-14,Treed,No,No,--,None.,,,
NW 35-78-14,Pouce Coupe River,No,No,--,None.,,,
NE 34-78-14,Hay,"Moderate vegetation establishment, weeds",No,Moderate vegetation establishment observed on the right-of-way. High densities of stinkweed and Russian pigweed observed on the right-of-way.,"Monitor vegetation growth in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 34-78-14,Seasonal marsh,"Limited wetland vegetation establishment,  weeds",No,Wetland from KP 23.83 to KP 23.86 was observed to be in functional at-risk condition due to limited vegetation establishment. Canada Thistle observed on right-of-way from KP 23.83 to KP 23.86. See Plate 8.,"Monitor vegetation growth in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 34-78-14,Cultivated,No,No,--,None.,,,
NE 33-78-14,Cultivated,No,No,--,None.,,,
NW 33-78-14,Cultivated,No,Subsidence,Subsidence observed on the right-of-way at KP 26.40.,"Monitor in 2013 and, if warranted, repair subsidence.",,,
NE 32-78-14,Cultivated,No,No,--,None.,,,
NW 32-78-14,Cultivated,No,No,--,None.,,,
SE 5-79-14,Cultivated,No,No,--,None.,,,
SW 5-79-14,Hay,No,No,--,None.,,,
SW 5-79-14,Cultivated,No,No,--,None.,,,
SW 5-79-14,Seasonal marsh,No,Wetland cultivated by landowner,Wetland from KP 29.09 to KP 29.12 has been cultivated by landowner and no longer functions as wetland.,Remove from Wetland Function PCM Program. NGTL cannot be responsible for returning wetland to pre-construction condition if it is being disturbed by third-party activities.,,,
SE 6-79-14,Cultivated,No,No,--,None.,,,
SW 6-79-14,Cultivated,No,No,--,None.,,,
SE 1-79-15,Cultivated,No,No,--,None.,,,
SE 1-79-15,McQueen Creek,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way at KP 31.83 on the east slope. High density of scentless chamomile observed on the right-of-way at KP 31.83 on the east slope. One bag of scentless chamomile was picked on September 14, 2012.","Monitor vegetation growth in 2013, and if warranted reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 1-79-15,Cultivated,No,Rutting,Rutting caused by tractor use (third party) observed on the right-of-way at KP 33.00.,Monitor vegetation growth in 2013.,,,
SE 2-79-15,Cultivated,No,No,--,None.,,,
SW 2-79-15,Cultivated,No,No,--,None.,,,
SE 3-79-15,Cultivated,No,"Subsidence, rutting",Subsidence observed on the right-of-way at KP 35.24. Rutting caused by tractor use (third party) observed on the right-of-way.,"Monitor subsidence in 2013 and, if warranted, repair.  Monitor vegetation growth in 2013.",,,
SW 3-79-15,Cultivated,No,No,--,None.,,,
SE 4-79-15,Cultivated,No,No,--,None.,,,
SW 4-79-15,Cultivated,No,No,--,None.,,,
SE 5-79-15,Cultivated,No,No,--,None.,,,
SW 5-79-15,Cultivated,No,No,--,None.,,,
NE 31-78-15,Cultivated,Weeds,No,High densities of lamb’s-quarters observed on the right-of-way from KP 39.25 to KP 39.99.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 31-78-15,Hay,No,No,--,None.,,,
NW 31-78-15,Treed,No,No,--,None.,,,
NW 31-78-15,Tributary to Dawson Creek,No,No,--,None.,,,
NE 36-78-16,Tame pasture,Weeds,No,High densities of lamb’s-quarters observed on the right-of-way from KP 40.35 to KP 41.22.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 36-78-16,Cultivated,No,No,--,None.,,,
NE 35-78-16,Treed,"Poor vegetation establishment, weeds",No,Poor vegetation establishment observed where the right-of-way was not seeded. Moderate density of white cockle observed on the right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 35-78-16,Tame pasture,"Moderate vegetation establishment, weeds",No,Moderate vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 35-78-16,Tame pasture,"Moderate vegetation establishment, weeds",Erosion,Rill erosion observed on the right-of-way at KP 43.44. Moderate vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 34-78-16,Hay,"Poor vegetation establishment, weeds",No,Poor vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 34-78-16,Tame pasture,No,No,--,None.,,,
NW 34-78-16,Treed,"Poor vegetation establishment, weeds",No,Patches of poor vegetation establishment observed on the right-of-way. High density of white cockle and moderate densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 34-78-16,Tame pasture,No,No,--,None.,,,
NE 33-78-16,Treed-pasture,"Moderate vegetation establishment, weeds",No,"Moderate vegetation establishment observed from KP 45.30 to KP 45.78. See Plate 9. Moderate density of scentless chamomile observed on the right-of-way. One bag of scentless chamomile was picked on September 15, 2012.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 33-78-16,Hay,"Moderate vegetation establishment, weeds",No,Moderate vegetation establishment observed on the right-of-way. High density of lamb’s-quarters observed on the right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 33-78-16,Treed,Poor vegetation establishment,No,Patch of poor vegetation establishment observed on the right-of-way at KP 46.80.,"Monitor vegetation growth in 2013 and, if warranted, reseed.",,,
SE 32-78-16,Tame pasture,"Poor vegetation establishment, weeds",Erosion,"Rill erosion observed on slope on the right-of-way at KP 47.30. Poor vegetation establishment observed on the right-of-way from KP 47.40 to KP 47.60. Moderate density of flixweed, lamb’s-quarters and stinkweed observed on the right-of-way.","Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth and, if warranted, reseed. Monitor weeds in 2013 and, if warranted implement weed control measures.",,,
SW 32-78-16,Hay,No,Erosion,Gully erosion caused by a breached drainage berm observed on the right-of-way at KP 48.44. See Plate 10. Rill erosion observed on the right-of-way at KP 48.53.,"Repair berm and erosion, reseed and monitor in 2013.",,,
SE 31-78-16,Hay,Weeds,No,High density of lamb’s-quarters observed on the right-of-way from KP 48.56 to KP 48.98.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 31-78-16,Tame pasture,Weeds,No,Moderate density of lamb’s-quarters and stinkweed observed on the right-of-way.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 36-78-17,Hay,"Poor vegetation establishment, weeds",Subsidence,"Subsidence observed on the right-of-way at KP 50.26. Poor vegetation establishment observed on the right-of-way. High densities of stinkweed, lamb’s-quarters and narrow-leaved hawk’s-beard observed on the right-of-way. One plant of scentless chamomile was observed at KP 50.91. The plant was picked on September 15, 2012.","Monitor subsidence in 2013 and, if warranted, repair. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 36-78-17,Seasonal marsh,No,Wetland cultivated by landowner,Wetland from KP 50.42 to KP 50.49 has been cultivated by landowner and no longer functions as wetland.,Remove from Wetland Function PCM Program. NGTL cannot be responsible for returning wetland to pre-construction condition if it is being disturbed by third party activities.,,,
SW 36-78-17,Hay,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way. Small patches of scentless chamomile observed on the right-of-way at KP 51.58 and KP 51.85. The plants were picked on September 15, 2012.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 35-78-17,Cultivated,No,No,--,None.,,,
NE 26-78-17,Tame pasture,"Poor vegetation establishment, weeds",Erosion,Rill erosion observed on the right-of-way at KP 52.82. Poor vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed.  Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 26-78-17,Shrubby swamp,"Limited vegetation establishment, weeds",No,"Wetland from KP 53.81 to KP 53.82 was observed to be in non-functional condition due to limited vegetation establishment and a road and pipeline installation to the north causing decreased water flow to the shrubby swamp. Timothy, pineappleweed, stinkweed and alsike clover were observed on right-of-way fromKP 53.81to KP 53.82.","Monitor vegetation growth in 2013 Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 26-78-17 (cont’d),Treed-pasture,Moderate vegetation establishment,Subsidence,Subsidence observed on the right-of-way at KP 54.08 and KP 54.20. Moderate vegetation establishment observed on the right-of-way.,"Monitor subsidence in 2013 and, if warranted, repair subsidence. Monitor vegetation establishment in 2013, and if warranted, reseed.",,,
NW 26-78-17 (cont’d),Tributary of Dawson Creek,No,No,--,None.,,,
NE 27-78-17,Cultivated,Poor vegetation establishment,No,Patch of poor vegetation establishment observed on a berm on the right-of-way at KP 54.40.,"Monitor vegetation in 2013 and, if warranted, reseed.",,,
NW 27-78-17,Cultivated,"Poor vegetation establishment, weeds",Erosion,"Rill erosion observed on the right-of-way at KP 55.45. Poor vegetation establishment observed on the right-of-way from KP 55.30 to KP 55.56 where the right-of-way was not seeded. High densities of lamb’s-quarters, wild oats, narrow-leaved hawk’s-beard and stinkweed and low density of stork’s bill observed on the right-of-way.","Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 27-78-17,Treed,No,No,--,None.,,,
NW 27-78-17,Cultivated,No,No,--,None.,,,
NE 28-78-17,Cultivated,Poor vegetation establishment,Subsidence,Subsidence observed on the right-of-way at KP 56.78. See Plate 11. Poor vegetation establishment observed on the right-of-way from KP 56.80 to KP 56.84. See Plate 12.,"Monitor subsidence in 2013 and, if warranted, repair.  Monitor vegetation growth in 2013 and, if warranted, reseed.",,,
NW 28-78-17,Tame pasture,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way. Moderate densities of lamb’s-quarters, narrow-leaved hawk’s-beard and stinkweed observed on the right-of-way.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 29-78-17,Tame pasture,"Poor vegetation establishment, weeds",Erosion,"Rill erosion observed on the right-of-way at KP 57.70 and KP 57.76. Poor vegetation establishment observed on the right-of-way from KP 57.67 to KP 58.30. High densities of lamb’s-quarters, wild oats, narrow-leaved hawk’s-beard and stinkweed observed on the right-of-way.","Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 29-78-17,Tributary of Kiskatinaw River,No,No,--,None.,,,
SE 32-78-17,Tame pasture,Rare plants - Drummond’s thistle,No,Rare plant specialists visited a transplant site. No plants and stakes were observed.,Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NW 29-78-17,Treed-pasture,"Poor vegetation establishment, weeds",No,Patch of poor vegetation establishment observed on the right-of-way at KP 59.35. Moderate densities of Canada thistle and stinkweed observed on right-of-way at KP 59.35.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 29-78-17,Kiskatinaw River,No,No,--,None.,,,
NE 30-78-17,Shrubby swamp,Limited wetland vegetation establishment,No,Wetland was observed to be in functional at-risk condition from KP 59.85to KP 59.86 due to limited vegetation establishment.,Monitor vegetation growth in 2013.,,,
NE 30-78-17,Treed-pasture,"Poor vegetation establishment, weeds",Subsidence,"Two areas of subsidence observed on the right-of-way at KP 60.00. Subsidence repaired in September 2012. See Plate 13. Poor vegetation establishment observed on the right-of-way at KP 60.00. One plant of common tansy observed on the right-of-way at KP 60.77. The plant was picked on September 18, 2012.","Monitor subsidence in 2013. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 30-78-17,Seasonal marsh,Limited wetland vegetation establishment,No,Wetland was observed to be in functional at-risk condition from KP 60.07to KP 60.10due to limited vegetation establishment.,Monitor vegetation growth in 2013,,,
NE 30-78-17,Seasonal marsh,Limited wetland vegetation establishment,No,Wetland from KP 60.26to KP 60.44was observed to be in functional at-risk condition due to limited vegetation establishment.,Monitor vegetation growth in 2013,,,
NE 30-78-17,Treed-pasture,Rare plants – autumn willow,No,"On September 12, 2012, rare plant specialists visited KP 60.40. No plants were observed; however, specialists were informed that with the exception of one plant, all plants were trimmed to the ground prior to construction. The root mass for all plants were kept intact.  Attempts to propagate autumn willow stakes proved unsuccessful.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NE 30-78-17,Shrubby fen,"Limited wetland vegetation establishment, weeds",No,Wetland from KP 60.54 to KP 60.66 was observed to be in functional at-risk condition due to limited vegetation establishment. Canada thistle observed on right-of-way from KP 60.53 to KP 60.64.,"Monitor vegetation growth in 2013 Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 30-78-17,Treed-pasture,Rare plants – autumn willow,No,"Rare plant specialists visited KP 60.60. Specialists were informed that while the plants root mass was kept intact, the vegetation was trimmed to the ground prior to construction. Willows were observed recolonizing on the right-of-way; however, no catkins were present to allow for conclusive identification. No confirmed autumn willows were observed off the right-of-way. Attempts to propagate autumn willow stakes proved unsuccessful.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NW 30-78-17,Treed bog,Limited wetland vegetation establishment,No,Wetland from KP 60.81to KP 60.85was observed to be in functional at-risk condition due to limited vegetation establishment.,Monitor vegetation growth in 2013,,,
NW 30-78-17,Treed-pasture,No,Trench crown,Trench crown blocking cross drainage observed on the right-of-way at KP 60.98.,Open trench crown to allow cross drainage in 2013 and monitor.,,,
NE 25-78-18,Treed-pasture,Weeds,Subsidence,Subsidence observed on the right-of-way from KP 61.84 to KP 62.04. Moderate densities of lamb’s-quarters and stinkweed observed from KP 62.30 to KP 62.50.,"Repair subsidence and monitor in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 25-78-18,Hay,"Moderate vegetation establishment, weeds",No,Moderate vegetation establishment observed on the right-of-way. High density of lamb’s-quarters observed in patches on the right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted implement weed control measures.",,,
NW 25-78-18,Fox Creek,No,No,--,None.,,,
NE 26-78-18,Treed-pasture,Weeds,No,"High density of stinkweed and lamb’s-quarters observed on the right-of-way. One plant of scentless chamomile was observed at KP 64.00. The plant was picked on September 16, 2012.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 26-78-18,Treed-pasture,Rare plants - prairie buttercup,No,"One potential plant was observed 51 m north of the centre line (GPS track) from KP 63.20 to KP 63.40 within a woodland. The plant appeared in fair condition and consisted of a single basal leaf. No plants were observed along the right-of-way and woodland trails; however, this species is most readily observed early in the growing season. The entire right-of-way in the vicinity of the plant appeared disturbed and generally weedy.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NE 26-78-18,Treed-pasture,Rare plants - Torrey’s sedge,No,"Rare plant specialists visited from KP 63.30 to KP 63.40. No plants were observed. Given the apparent state of the right-of-way at this location, more time may be needed for native vegetation to regenerate.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NE 26-78-18,Treed-pasture,Rare plants - prairie buttercup,No,"Rare plant specialists visited KP 63.70. No plants were observed; however, this species is most readily observed early in the growing season.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NE 26-78-18,Treed-pasture,Rare plants - riverbank anemone,No,"Rare plant specialists visited the transplant location at KP 63.80. Although stakes were located, no plants were observed. Weed presence at this site was moderate to high.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NE 26-78-18,Non-woody fen,Limited wetland vegetation establishment,No,Wetland from KP 63.22to KP 64.04was observed to be in functional at-risk condition due to limited vegetation establishment.,Monitor vegetation growth in 2013,,,
NE 26-78-18,Tributary to Fox Creek,No,No,--,None.,,,
NW 26-78-18,Treed-pasture,Weeds,Trench crown,"Trench crown blocking cross drainage observed on the right-of-way at KP 64.50. Patches of Canada thistle observed on the right-of-way at KP 64.26 and KP 64.39. Patch of flixweed and stinkweed observed on the right-of-way from KP 64.50 to KP 64.70. One plant of scentless chamomile was observed at KP 64.50. The plant was picked on September 16, 2012.","Open trench crown to allow cross drainage in 2013 and monitor. Monitor weeds in 2013, and, if warranted, implement weed control measures.",,,
NW 26-78-18 (cont’d),Non-woody fen,Limited wetland vegetation establishment,No,Wetland from KP 64.44 to KP 64.51 was observed to be in functional at-risk condition due to limited vegetation establishment.,Monitor vegetation growth in 2013,,,
NW 26-78-18 (cont’d),Treed-pasture,Rare plants - Drummond’s thistle,No,Rare plant specialists visited both the original and transplant recipient locations at KP 64.45. No plants were observed.,Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NW 26-78-18 (cont’d),Treed-pasture,Rare plants - prairie buttercup,No,"Rare plant specialists visited KP 64.50. No plants were observed; however, this species is most readily observed early in the growing season.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NE 27-78-18,Treed-pasture,No,Contouring,Water pooling on the right-of-way caused by poor contouring at KP 65.16.,Recontour in 2013 and monitor cross drainage.,,,
NW 27-78-18,Cultivated,Weeds,No,High density of stinkweed observed on the right-of-way.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SW 34-78-18,Cultivated,Weeds,No,High density of stinkweed observed on the right-of-way.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 34-78-18,Cultivated,Weeds,No,High density of stinkweed observed on the right-of-way.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 33-78-18,Cultivated,No,No,--,None.,,,
NW 33-78-18,Treed-pasture,"Poor vegetation establishment, weeds",Erosion,"Areas of rill erosion observed on the right-of-way. Poor vegetation establishment observed on the right-of-way. Moderate density of foxtail barley, narrow-leaved hawk’s-beard and stork’s bill observed on the right-of-way.","Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 32-78-18,Tame pasture,No,No,--,None.,,,
NE 32-78-18,Treed,Weeds,No,"Patch of stork’s bill observed on the right-of-way at KP 69.75. The plants were picked on September 17, 2012.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 32-78-18,Tame pasture,No,No,--,None.,,,
NW 32-78-18,Treed fen,Limited wetland vegetation establishment,No,Wetland from KP 70.16 to KP 70.39 was observed to be in functional at-risk condition due to limited vegetation establishment.  See Plate 14.,Monitor vegetation growth in 2013,,,
NE 31-78-18,Hay,Poor vegetation establishment,No,Poor vegetation establishment observed on the right-of-way.,"Monitor vegetation in 2013 and, if warranted, reseed.",,,
NW 31-78-18,Tame pasture,"Moderate vegetation establishment, weeds",Erosion,Rill erosion observed on the right-of-way at KP 71.56. Moderate vegetation establishment observed on the right-of-way. High density of lamb’s-quarters observed on the right-of-way.,"Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
